path,table,rows,columns,weather_columns,target_year_hits
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2015 Temp Archive,997,19,Ambient | Track | Humidity | Wind | Pressure,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2014 Temp archive ,979,20,Ambient | Track | Humidity | Wind | Pressure,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2013 Temp archive,1282,14,Ambient | Track | Humidity | Wind | Pressure,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2012 Temp archive,2260,8,Ambient | Track | Humidity | Wind | Pressure,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2011 Temp archive,2232,14,Ambient | Track | Humidity | Wind | Pressure,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2010 Temp archive ,2257,10,Ambient | Track | Humidity | Wind | Pressure,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2009 Temp archive,1424,10,Ambient | Track | Wind | Humidity | Pressure,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2008 Temp archive,1559,12,Ambient | Track | Wind | Humidity | Pressure,
weather/evidence/ptsc/FirestoneTemperatures_current.xlsx,2007 Temps archive,724,10,,
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024.csv,CSV,168,26,ambient_f | ambient_c | track_f | track_c | humidity | wind_raw | wind | wind_direction | pressure_raw | pressure | pressure_quality,
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,CSV,168,30,ambient_f | ambient_c | track_f | track_c | humidity | wind_raw | wind | wind_direction | pressure_raw | pressure | pressure_quality,
weather/evidence/ptsc/indy500_day1_track_temp_excluded_blocks.csv,CSV,20,27,ambient_f | ambient_c | track_f | track_c | humidity | wind_raw | wind | wind_direction | pressure_raw | pressure | pressure_quality,
weather/evidence/ptsc/indy500_day1_track_temp_qa.csv,CSV,160,5,,2025
weather/evidence/ptsc/indy500_day1_track_temp_qa_summary.csv,CSV,5,5,,
weather/evidence/ptsc_all_file_links.csv,CSV,301,6,,2018 | 2019 | 2025 | 2026
weather/evidence/ptsc_firestone_history_probe.csv,CSV,216,9,,2025
weather/evidence/ptsc_wayback_results.csv,CSV,2,8,,2025
weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,SessionReports,3,8,,
weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records,59,34,,
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SessionReports,3,8,,
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,records,59,34,,
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,SessionReports,3,8,,
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,records,44,34,,
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,SessionReports,5,8,,
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,records,34,34,,
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,SessionReports,3,8,,
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,records,34,34,,
weather/evidence/rescue/official_indy500_correct_series/2020_events_by_year_series_correct.json,JSON,14,3,,
weather/evidence/rescue/official_indy500_correct_series/2021_events_by_year_series_correct.json,JSON,16,3,,
weather/evidence/rescue/official_indy500_correct_series/2022_events_by_year_series_correct.json,JSON,17,3,,
weather/evidence/rescue/official_indy500_correct_series/2023_events_by_year_series_correct.json,JSON,17,3,,
weather/evidence/rescue/official_indy500_correct_series/2024_events_by_year_series_correct.json,JSON,18,3,,
weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2020_events_by_year_series.json,JSON,0,0,,
weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2021_events_by_year_series.json,JSON,20,3,,
weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2022_events_by_year_series.json,JSON,14,3,,
weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2023_events_by_year_series.json,JSON,14,3,,
weather/evidence/rescue/official_indy500_day1_sessions/raw_api/2024_events_by_year_series.json,JSON,14,3,,
weather/evidence/rescue/official_indy500_season_dropdown/season_dropdown_ntt_indycar.json,JSON,31,2,,2018 | 2019 | 2025 | 2026
weather/evidence/rescue/official_lane_queue_live_resources/current_tsconfig.json,ways_to_watch,5,4,,
weather/evidence/track_condition_evidence_candidates.csv,CSV,3,11,temperature_values,2026
weather/evidence/track_condition_evidence_candidates_v2.csv,CSV,0,14,temperature_values,
weather/output/attempt_performance_baseline_aggregate_metrics_v1.csv,CSV,5,11,,2018
weather/output/attempt_performance_baseline_feature_set_v1.csv,CSV,16,7,,
weather/output/attempt_performance_baseline_fold_metrics_v1.csv,CSV,20,14,,
weather/output/attempt_performance_baseline_model_diagnostics_v1.csv,CSV,144,8,,
weather/output/attempt_performance_baseline_predictions_v1.csv,CSV,615,13,,2018
weather/output/attempt_performance_baseline_v1_qa.csv,CSV,16,3,,
weather/output/attempt_performance_feature_manifest_v1.csv,CSV,12,8,,
weather/output/attempt_performance_model_matrix_v1.csv,CSV,123,22,forecast_relative_humidity_pct | forecast_wind_speed_10m_ms | forecast_wind_direction_sin | forecast_wind_direction_cos | forecast_pressure_hpa | forecast_cloud_cover_pct | forecast_shortwave_radiation_wm2,2018 | 2025 | 2026
weather/output/attempt_performance_modeling_column_audit.csv,CSV,118,12,,
weather/output/attempt_performance_modeling_correlation_audit.csv,CSV,120,5,,
weather/output/attempt_performance_modeling_readiness_summary.csv,CSV,13,3,,
weather/output/attempt_performance_prior_speed_diagnostics_v1.csv,CSV,5,10,,
weather/output/attempt_performance_repeat_delta_context_v1.csv,CSV,40,41,current_forecast_wind_direction_sin | current_forecast_wind_direction_cos | baseline_forecast_wind_direction_sin | baseline_forecast_wind_direction_cos | delta_forecast_wind_direction_sin | delta_forecast_wind_direction_cos | current_relative_humidity_pct | baseline_relative_humidity_pct | delta_relative_humidity_pct | current_wind_speed_10m_ms | baseline_wind_speed_10m_ms | delta_wind_speed_10m_ms | current_pressure_hpa | baseline_pressure_hpa | delta_pressure_hpa | current_cloud_cover_pct | baseline_cloud_cover_pct | delta_cloud_cover_pct | current_shortwave_radiation_wm2 | baseline_shortwave_radiation_wm2 | delta_shortwave_radiation_wm2,2018 | 2025 | 2026
weather/output/attempt_performance_repeat_delta_context_v1_qa.csv,CSV,18,3,,
weather/output/attempt_performance_residual_diagnostics_v1.csv,CSV,615,34,forecast_relative_humidity_pct | forecast_wind_speed_10m_ms | forecast_wind_direction_sin | forecast_wind_direction_cos | forecast_pressure_hpa | forecast_cloud_cover_pct | forecast_shortwave_radiation_wm2,2018 | 2025 | 2026
weather/output/attempt_performance_residual_feature_correlations_v1.csv,CSV,60,9,,2019
weather/output/attempt_performance_residual_group_summary_v1.csv,CSV,61,10,,2018
weather/output/attempt_performance_residual_stability_qa_v1.csv,CSV,22,3,,
weather/output/attempt_performance_target_structure_v1.csv,CSV,5,12,,
weather/output/attempt_performance_v1_design_qa.csv,CSV,17,3,,
weather/output/attempt_performance_validation_folds_v1.csv,CSV,4,9,,
weather/output/chronology_evidence_field_inventory_v1.csv,CSV,526,4,,2026
weather/output/chronology_evidence_source_inventory_v1.csv,CSV,73,10,,
weather/output/chronology_evidence_source_inventory_v1_qa.csv,CSV,8,3,,
weather/output/chronology_rescue_2022_action_lane_evidence_v1.csv,CSV,1,19,,
weather/output/chronology_rescue_2022_adjudicated_evidence_v2.csv,CSV,7,25,,
weather/output/chronology_rescue_2022_adjudicated_evidence_v2_qa.csv,CSV,10,3,,
weather/output/chronology_rescue_2022_adjudicated_evidence_v3.csv,CSV,9,25,,
weather/output/chronology_rescue_2022_adjudicated_evidence_v3_qa.csv,CSV,6,3,,
weather/output/chronology_rescue_2022_adjudicated_evidence_v4.csv,CSV,13,25,,
weather/output/chronology_rescue_2022_adjudicated_evidence_v5.csv,CSV,15,25,,
weather/output/chronology_rescue_2022_adjudicated_summary_v2.csv,CSV,7,2,,
weather/output/chronology_rescue_2022_attempt_coverage_gap_audit_v1.csv,CSV,44,22,,
weather/output/chronology_rescue_2022_attempt_coverage_gap_audit_v2.csv,CSV,44,18,,
weather/output/chronology_rescue_2022_car06_car6_official_raw_schema_audit_v1.csv,CSV,89,6,,
weather/output/chronology_rescue_2022_car06_car6_official_raw_schema_audit_v1_qa.csv,CSV,6,3,,
weather/output/chronology_rescue_2022_car06_car6_result_match_forensics_summary_v1.csv,CSV,5,2,,
weather/output/chronology_rescue_2022_car06_car6_result_match_forensics_v1.csv,CSV,6,21,,
weather/output/chronology_rescue_2022_car06_car6_result_match_forensics_v1_qa.csv,CSV,6,3,,
weather/output/chronology_rescue_2022_castroneves_canonical_identity_audit_v1.csv,CSV,3,10,,
weather/output/chronology_rescue_2022_castroneves_canonical_identity_audit_v1_qa.csv,CSV,9,3,,
weather/output/chronology_rescue_2022_castroneves_car06_reaudit_v1.csv,CSV,2,7,,
weather/output/chronology_rescue_2022_castroneves_car06_reaudit_v1_qa.csv,CSV,11,3,,
weather/output/chronology_rescue_2022_castroneves_final_integration_v1_qa.csv,CSV,12,3,,
weather/output/chronology_rescue_2022_castroneves_first_run_action_v1.csv,CSV,0,19,,
weather/output/chronology_rescue_2022_castroneves_first_run_action_v1_qa.csv,CSV,10,3,,
weather/output/chronology_rescue_2022_castroneves_first_run_final_adjudication_v1.csv,CSV,1,21,,
weather/output/chronology_rescue_2022_castroneves_repeat_pair_audit_v1.csv,CSV,7,2,,
weather/output/chronology_rescue_2022_castroneves_repeat_pair_audit_v1_qa.csv,CSV,6,3,,
weather/output/chronology_rescue_2022_castroneves_repeat_pair_evidence_v1.csv,CSV,1,16,,
weather/output/chronology_rescue_2022_chronology_action_coverage_summary_v2.csv,CSV,13,2,,
weather/output/chronology_rescue_2022_chronology_action_coverage_summary_v2_corrected.csv,CSV,16,2,,
weather/output/chronology_rescue_2022_chronology_action_coverage_v2_qa.csv,CSV,8,3,,
weather/output/chronology_rescue_2022_chronology_only_link_resolution_v1.csv,CSV,4,18,,
weather/output/chronology_rescue_2022_chronology_only_link_resolution_v1_qa.csv,CSV,12,3,,
weather/output/chronology_rescue_2022_coverage_gap_audit_v1_qa.csv,CSV,6,3,,
weather/output/chronology_rescue_2022_coverage_gap_summary_v1.csv,CSV,12,2,,
weather/output/chronology_rescue_2022_derived_attempt_intervals_v1.csv,CSV,2,19,,
weather/output/chronology_rescue_2022_derived_attempt_intervals_v1_qa.csv,CSV,7,3,,
weather/output/chronology_rescue_2022_editorial_candidate_mining_v1_qa.csv,CSV,13,3,,
weather/output/chronology_rescue_2022_editorial_candidates_v1.csv,CSV,64,23,,2018 | 2026
weather/output/chronology_rescue_2022_editorial_entity_matches_v1.csv,CSV,47,11,,
weather/output/chronology_rescue_2022_editorial_promotion_audit_v1.csv,CSV,7,8,,
weather/output/chronology_rescue_2022_editorial_promotion_audit_v1_qa.csv,CSV,10,3,,
weather/output/chronology_rescue_2022_editorial_source_audit_v1.csv,CSV,6,11,,
weather/output/chronology_rescue_2022_evidence_with_attempt_ids_v1.csv,CSV,15,27,,
weather/output/chronology_rescue_2022_evidence_with_attempt_ids_v2.csv,CSV,15,27,,
weather/output/chronology_rescue_2022_high_priority_editorial_candidates_v1.csv,CSV,12,17,,
weather/output/chronology_rescue_2022_high_priority_editorial_candidates_v1_qa.csv,CSV,9,3,,
weather/output/chronology_rescue_2022_high_priority_editorial_target_summary_v1.csv,CSV,9,8,,
weather/output/chronology_rescue_2022_ilott_archive_target_local_matches_v1.csv,CSV,52,5,,
weather/output/chronology_rescue_2022_ilott_autosport_retake_adjudication_summary_v1.csv,CSV,12,2,,
weather/output/chronology_rescue_2022_ilott_autosport_retake_adjudication_v1.csv,CSV,1,19,,
weather/output/chronology_rescue_2022_ilott_autosport_retake_adjudication_v1_qa.csv,CSV,13,3,,
weather/output/chronology_rescue_2022_ilott_autosport_retake_adjudication_v2.csv,CSV,1,23,,
weather/output/chronology_rescue_2022_ilott_autosport_retake_evidence_v1.csv,CSV,1,28,,
weather/output/chronology_rescue_2022_ilott_autosport_retake_evidence_v2.csv,CSV,1,32,,
weather/output/chronology_rescue_2022_ilott_ledger_integration_preflight_summary_v1.csv,CSV,9,2,,
weather/output/chronology_rescue_2022_ilott_ledger_integration_preflight_v1_qa.csv,CSV,6,3,,
weather/output/chronology_rescue_2022_ilott_ledger_integration_schema_preflight_v1.csv,CSV,60,4,,
weather/output/chronology_rescue_2022_ilott_local_text_hits_v1.csv,CSV,8,8,,
weather/output/chronology_rescue_2022_ilott_paragraph_local_adjudication_summary_v1.csv,CSV,9,2,,
weather/output/chronology_rescue_2022_ilott_paragraph_local_adjudication_v1.csv,CSV,18,22,,
weather/output/chronology_rescue_2022_ilott_paragraph_local_adjudication_v1_qa.csv,CSV,9,3,,
weather/output/chronology_rescue_2022_ilott_postintegration_coverage_corrected_summary_v1.csv,CSV,13,2,,
weather/output/chronology_rescue_2022_ilott_postintegration_coverage_corrected_v1.csv,CSV,6,4,,
weather/output/chronology_rescue_2022_ilott_postintegration_coverage_corrected_v1_qa.csv,CSV,9,3,,
weather/output/chronology_rescue_2022_ilott_precision_archive_targets_summary_v1.csv,CSV,8,2,,
weather/output/chronology_rescue_2022_ilott_precision_archive_targets_v1.csv,CSV,16,8,,
weather/output/chronology_rescue_2022_ilott_precision_archive_targets_v1_qa.csv,CSV,8,3,,
weather/output/chronology_rescue_2022_ilott_repeat_pair_audit_v1.csv,CSV,15,2,,
weather/output/chronology_rescue_2022_ilott_repeat_pair_audit_v1_qa.csv,CSV,11,3,,
weather/output/chronology_rescue_2022_ilott_repeat_pair_evidence_v1.csv,CSV,18,18,,
weather/output/chronology_rescue_2022_ilott_retake_ledger_integration_summary_v1.csv,CSV,10,2,,
weather/output/chronology_rescue_2022_ilott_retake_ledger_integration_v1.csv,CSV,3,15,,
weather/output/chronology_rescue_2022_ilott_retake_ledger_integration_v1_qa.csv,CSV,13,3,,
weather/output/chronology_rescue_2022_ilott_retake_postintegration_coverage_v1.csv,CSV,5,4,,
weather/output/chronology_rescue_2022_ilott_sentence_local_adjudication_summary_v1.csv,CSV,10,2,,
weather/output/chronology_rescue_2022_ilott_sentence_local_adjudication_v1.csv,CSV,18,21,,
weather/output/chronology_rescue_2022_ilott_sentence_local_adjudication_v1_qa.csv,CSV,11,3,,
weather/output/chronology_rescue_2022_ilott_sentence_local_promotion_candidate_v1.csv,CSV,1,21,,
weather/output/chronology_rescue_2022_karam_attempt_identity_audit_v1.csv,CSV,9,3,,
weather/output/chronology_rescue_2022_karam_attempt_identity_audit_v1_qa.csv,CSV,7,3,,
weather/output/chronology_rescue_2022_karam_identity_evidence_v1.csv,CSV,3,16,mentions_track_reopened,
weather/output/chronology_rescue_2022_karam_identity_promotion_candidate_v1.csv,CSV,0,13,,
weather/output/chronology_rescue_2022_karam_racer_two_event_evidence_v1.csv,CSV,2,12,,
weather/output/chronology_rescue_2022_karam_repeat_conflict_adjudication_v1.csv,CSV,1,20,,
weather/output/chronology_rescue_2022_karam_repeat_conflict_evidence_v1.csv,CSV,2,17,,
weather/output/chronology_rescue_2022_karam_repeat_conflict_evidence_v1_qa.csv,CSV,10,3,,
weather/output/chronology_rescue_2022_karam_repeat_evidence_hits_v1.csv,CSV,59,15,,
weather/output/chronology_rescue_2022_karam_repeat_integration_summary_v1.csv,CSV,14,2,,
weather/output/chronology_rescue_2022_karam_repeat_integration_v1_qa.csv,CSV,15,3,,
weather/output/chronology_rescue_2022_karam_repeat_object_reconciliation_v1.csv,CSV,3,8,,
weather/output/chronology_rescue_2022_karam_repeat_object_reconciliation_v1_qa.csv,CSV,13,3,,
weather/output/chronology_rescue_2022_karam_two_event_adjudication_v1.csv,CSV,6,4,,
weather/output/chronology_rescue_2022_karam_two_event_adjudication_v1_qa.csv,CSV,8,3,,
weather/output/chronology_rescue_2022_karam_two_event_ordering_edges_v1.csv,CSV,4,9,,
weather/output/chronology_rescue_2022_lane_action_metric_semantics_v1_qa.csv,CSV,6,3,,
weather/output/chronology_rescue_2022_malukas_autosport_repeat_evidence_v1.csv,CSV,1,32,,
weather/output/chronology_rescue_2022_malukas_autosport_repeat_evidence_v1_qa.csv,CSV,12,3,,
weather/output/chronology_rescue_2022_malukas_repeat_chronology_audit_v1.csv,CSV,2,6,,
weather/output/chronology_rescue_2022_malukas_repeat_chronology_audit_v1_qa.csv,CSV,6,3,,
weather/output/chronology_rescue_2022_malukas_repeat_evidence_hits_v1.csv,CSV,37,12,,
weather/output/chronology_rescue_2022_malukas_repeat_integration_summary_v1.csv,CSV,13,2,,
weather/output/chronology_rescue_2022_malukas_repeat_integration_v1_qa.csv,CSV,14,3,,
weather/output/chronology_rescue_2022_marco_first_attempt_identity_binding_v1.csv,CSV,1,15,,
weather/output/chronology_rescue_2022_marco_first_attempt_identity_binding_v1_qa.csv,CSV,8,3,,
weather/output/chronology_rescue_2022_marco_first_attempt_integration_summary_v1.csv,CSV,12,2,,
weather/output/chronology_rescue_2022_marco_first_attempt_integration_v1_qa.csv,CSV,8,3,,
weather/output/chronology_rescue_2022_marco_repeat_chronology_audit_v1.csv,CSV,2,7,,
weather/output/chronology_rescue_2022_marco_repeat_chronology_audit_v1_qa.csv,CSV,5,3,,
weather/output/chronology_rescue_2022_marco_repeat_evidence_hits_v1.csv,CSV,51,4,,
weather/output/chronology_rescue_2022_marco_second_attempt_integration_summary_v1.csv,CSV,13,2,,
weather/output/chronology_rescue_2022_marco_second_attempt_integration_v1_qa.csv,CSV,13,3,,
weather/output/chronology_rescue_2022_marco_second_attempt_therace_evidence_v1.csv,CSV,1,27,,
weather/output/chronology_rescue_2022_marco_second_attempt_therace_evidence_v1_qa.csv,CSV,8,3,,
weather/output/chronology_rescue_2022_marco_second_run_direct_evidence_adjudication_v1.csv,CSV,1,15,,
weather/output/chronology_rescue_2022_marco_second_run_direct_evidence_hits_v1.csv,CSV,59,13,,
weather/output/chronology_rescue_2022_marco_second_run_direct_evidence_v1_qa.csv,CSV,10,3,,
weather/output/chronology_rescue_2022_next_rescue_priority_v1.csv,CSV,44,22,,
weather/output/chronology_rescue_2022_next_rescue_priority_v2.csv,CSV,44,18,,
weather/output/chronology_rescue_2022_official_evidence_v1.csv,CSV,5,23,,
weather/output/chronology_rescue_2022_official_evidence_v1_qa.csv,CSV,8,3,,
weather/output/chronology_rescue_2022_ordering_edges_v2.csv,CSV,1,16,,
weather/output/chronology_rescue_2022_ordering_edges_v3.csv,CSV,3,6,,
weather/output/chronology_rescue_2022_repeat_group_denominator_reconciliation_summary_v1.csv,CSV,8,2,,
weather/output/chronology_rescue_2022_repeat_group_denominator_reconciliation_v1.csv,CSV,21,8,,
weather/output/chronology_rescue_2022_repeat_group_denominator_reconciliation_v1_qa.csv,CSV,4,3,,
weather/output/chronology_rescue_2022_repeat_pair_coverage_post_ilott_v1.csv,CSV,10,6,,
weather/output/chronology_rescue_2022_repeat_pair_coverage_v1.csv,CSV,8,12,,
weather/output/chronology_rescue_2022_repeat_pair_driver_eligibility_v1.csv,CSV,10,9,,
weather/output/chronology_rescue_2022_repeat_pair_eligibility_policy_summary_v1.csv,CSV,8,2,,
weather/output/chronology_rescue_2022_repeat_pair_eligibility_policy_v1.csv,CSV,1,11,,
weather/output/chronology_rescue_2022_repeat_pair_eligibility_policy_v1.json,excluded_status_only_types,2,1,,
weather/output/chronology_rescue_2022_repeat_pair_eligibility_policy_v1.json,excluded_drivers,2,1,,
weather/output/chronology_rescue_2022_repeat_pair_eligibility_policy_v1.json,eligible_drivers,8,1,,
weather/output/chronology_rescue_2022_repeat_pair_eligibility_policy_v1_qa.csv,CSV,7,3,,
weather/output/chronology_rescue_2022_repeat_pair_final_driver_coverage_v1.csv,CSV,8,8,,
weather/output/chronology_rescue_2022_repeat_pair_rescue_completion_v1.csv,CSV,14,2,,
weather/output/chronology_rescue_2022_repeat_pair_rescue_completion_v1.json,policy_notes,5,1,,
weather/output/chronology_rescue_2022_repeat_pair_rescue_completion_v1_qa.csv,CSV,8,3,,
weather/output/chronology_rescue_2022_result_match_car_number_literal_repair_audit_v1.csv,CSV,44,15,,
weather/output/chronology_rescue_2022_result_match_car_number_literal_repair_summary_v1.csv,CSV,11,2,,
weather/output/chronology_rescue_2022_result_match_car_number_literal_repair_v1_qa.csv,CSV,9,3,,
weather/output/chronology_rescue_2022_result_match_v3_active_adoption_manifest_v1.csv,CSV,8,14,,
weather/output/chronology_rescue_2022_result_match_v3_active_adoption_v1_qa.csv,CSV,8,3,,
weather/output/chronology_rescue_2022_result_match_v3_active_switch_candidates_v1.csv,CSV,8,6,,
weather/output/chronology_rescue_2022_result_match_v3_dependency_audit_v1.csv,CSV,22,8,,
weather/output/chronology_rescue_2022_result_match_v3_dependency_audit_v1_qa.csv,CSV,5,3,,
weather/output/chronology_rescue_2022_result_match_v3_dependency_summary_v1.csv,CSV,9,2,,
weather/output/chronology_rescue_2022_result_row_matches_v1.csv,CSV,4,9,,
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v1.csv,CSV,40,15,,
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v1_qa.csv,CSV,10,3,,
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,CSV,44,15,,
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v3.csv,CSV,44,24,,
weather/output/chronology_rescue_2022_sato_marco_result_context_v1.csv,CSV,4,11,,
weather/output/chronology_rescue_2022_sato_required_reattempt_adjudication_v1.csv,CSV,1,22,,
weather/output/chronology_rescue_2022_sato_required_reattempt_evidence_hits_v1.csv,CSV,24,13,,
weather/output/chronology_rescue_2022_sato_required_reattempt_summary_v1.csv,CSV,11,2,,
weather/output/chronology_rescue_2022_sato_required_reattempt_v1_qa.csv,CSV,12,3,,
weather/output/chronology_rescue_2022_sato_second_attempt_action_only_summary_v1.csv,CSV,12,2,,
weather/output/chronology_rescue_2022_sato_second_attempt_action_only_v1_qa.csv,CSV,8,3,,
weather/output/chronology_rescue_2022_secondary_adjudicated_evidence_v1.csv,CSV,3,19,,
weather/output/chronology_rescue_2022_secondary_adjudicated_evidence_v1_qa.csv,CSV,9,3,,
weather/output/chronology_rescue_2022_secondary_editorial_candidates_v1.csv,CSV,29,17,,
weather/output/chronology_rescue_2022_secondary_editorial_candidates_v1_qa.csv,CSV,9,3,,
weather/output/chronology_rescue_2022_secondary_ordering_edges_v1.csv,CSV,2,9,,
weather/output/chronology_rescue_2022_secondary_rejected_candidates_v1.csv,CSV,10,7,,
weather/output/chronology_rescue_2022_secondary_source_manifest_v1.csv,CSV,3,10,,
weather/output/chronology_rescue_2022_unresolved_attempt_links_v1.csv,CSV,4,10,,
weather/output/chronology_rescue_2022_weather_event_edges_v1.csv,CSV,5,7,,
weather/output/chronology_rescue_2022_weather_interruption_windows_v1.csv,CSV,4,15,,
weather/output/chronology_rescue_2022_weather_interruption_windows_v1_qa.csv,CSV,9,3,,
weather/output/contemporaneous_cutoff_speed_anchor_summary_v1.csv,CSV,8,2,,
weather/output/contemporaneous_cutoff_speed_anchor_v1_qa.csv,CSV,10,3,,
weather/output/contemporaneous_decision_state_evidence_ledger_v1.csv,CSV,7,21,,
weather/output/contemporaneous_decision_state_evidence_ledger_v1_qa.csv,CSV,8,3,,
weather/output/contemporaneous_decision_state_evidence_ledger_v1_summary.csv,CSV,9,2,,
weather/output/contemporaneous_decision_state_evidence_ledger_v2.csv,CSV,7,23,,
weather/output/decision_recovery_prior_sensitivity_v1.csv,CSV,24,13,,
weather/output/decision_robustness_envelope_v1.csv,CSV,480,37,,
weather/output/decision_robustness_envelope_v1_qa.csv,CSV,20,3,,
weather/output/decision_robustness_summary_v1.csv,CSV,8,15,,
weather/output/decision_time_observable_state_v2.csv,CSV,8,66,tire_thermal_pressure_state | track_temperature_policy | elapsed_time_as_track_evolution,
weather/output/decision_time_observable_state_v2_provenance.csv,CSV,17,10,,
weather/output/decision_time_observable_state_v2_qa.csv,CSV,14,3,,
weather/output/decision_time_observable_state_v3.csv,CSV,8,52,tire_thermal_pressure_state | track_temperature_policy | elapsed_time_as_track_evolution,
weather/output/decision_time_observable_state_v3_provenance.csv,CSV,10,12,,
weather/output/decision_time_observable_state_v3_qa.csv,CSV,10,3,,
weather/output/decision_time_observable_state_v3_summary.json,known_predecision_rank_drivers,2,1,,
weather/output/decision_time_observable_state_v3_summary.json,expected_predecision_rank_drivers,2,1,,
weather/output/decision_time_observable_state_v4_1_final.csv,CSV,8,55,tire_thermal_pressure_state | track_temperature_policy | elapsed_time_as_track_evolution,
weather/output/decision_time_observable_state_v4_final.csv,CSV,8,55,tire_thermal_pressure_state | track_temperature_policy | elapsed_time_as_track_evolution,
