year,path,table,rows,weather_columns
2026,weather/output/performance_context_features.csv,CSV,136,forecast_GUST_surface | forecast_GUST_surface_before | forecast_GUST_surface_after | forecast_GUST_surface_interpolation_method | forecast_cloud_cover_pct | forecast_cloud_cover_pct_before | forecast_cloud_cover_pct_after | forecast_cloud_cover_pct_interpolation_method | forecast_dewpoint_c | forecast_dewpoint_c_before | forecast_dewpoint_c_after | forecast_dewpoint_c_interpolation_method | forecast_gust_ms | forecast_gust_ms_before | forecast_gust_ms_after | forecast_gust_ms_interpolation_method | forecast_pressure_hpa | forecast_pressure_hpa_before | forecast_pressure_hpa_after | forecast_pressure_hpa_interpolation_method | forecast_relative_humidity_pct | forecast_relative_humidity_pct_before | forecast_relative_humidity_pct_after | forecast_relative_humidity_pct_interpolation_method | forecast_shortwave_radiation_wm2 | forecast_shortwave_radiation_wm2_before | forecast_shortwave_radiation_wm2_after | forecast_shortwave_radiation_wm2_interpolation_method | forecast_wind_direction_deg | forecast_wind_direction_deg_before | forecast_wind_direction_deg_after | forecast_wind_direction_deg_interpolation_method | forecast_wind_speed_10m_ms | forecast_wind_speed_10m_ms_before | forecast_wind_speed_10m_ms_after | forecast_wind_speed_10m_ms_interpolation_method
2018,weather/output/performance_grade_attempt_realized_environment.csv,CSV,129,ptsc_ambient_c | ptsc_track_c | ptsc_humidity | ptsc_wind | ptsc_pressure
2018,weather/output/performance_grade_attempt_timing.csv,CSV,129,
2018,weather/output/performance_grade_hrrr_forecast_alignment.csv,CSV,136,forecast_GUST_surface | forecast_GUST_surface_before | forecast_GUST_surface_after | forecast_GUST_surface_interpolation_method | forecast_cloud_cover_pct | forecast_cloud_cover_pct_before | forecast_cloud_cover_pct_after | forecast_cloud_cover_pct_interpolation_method | forecast_dewpoint_c | forecast_dewpoint_c_before | forecast_dewpoint_c_after | forecast_dewpoint_c_interpolation_method | forecast_gust_ms | forecast_gust_ms_before | forecast_gust_ms_after | forecast_gust_ms_interpolation_method | forecast_pressure_hpa | forecast_pressure_hpa_before | forecast_pressure_hpa_after | forecast_pressure_hpa_interpolation_method | forecast_relative_humidity_pct | forecast_relative_humidity_pct_before | forecast_relative_humidity_pct_after | forecast_relative_humidity_pct_interpolation_method | forecast_shortwave_radiation_wm2 | forecast_shortwave_radiation_wm2_before | forecast_shortwave_radiation_wm2_after | forecast_shortwave_radiation_wm2_interpolation_method | forecast_wind_direction_deg | forecast_wind_direction_deg_before | forecast_wind_direction_deg_after | forecast_wind_direction_deg_interpolation_method | forecast_wind_speed_10m_ms | forecast_wind_speed_10m_ms_before | forecast_wind_speed_10m_ms_after | forecast_wind_speed_10m_ms_interpolation_method
2019,weather/output/performance_grade_hrrr_forecast_alignment.csv,CSV,136,forecast_GUST_surface | forecast_GUST_surface_before | forecast_GUST_surface_after | forecast_GUST_surface_interpolation_method | forecast_cloud_cover_pct | forecast_cloud_cover_pct_before | forecast_cloud_cover_pct_after | forecast_cloud_cover_pct_interpolation_method | forecast_dewpoint_c | forecast_dewpoint_c_before | forecast_dewpoint_c_after | forecast_dewpoint_c_interpolation_method | forecast_gust_ms | forecast_gust_ms_before | forecast_gust_ms_after | forecast_gust_ms_interpolation_method | forecast_pressure_hpa | forecast_pressure_hpa_before | forecast_pressure_hpa_after | forecast_pressure_hpa_interpolation_method | forecast_relative_humidity_pct | forecast_relative_humidity_pct_before | forecast_relative_humidity_pct_after | forecast_relative_humidity_pct_interpolation_method | forecast_shortwave_radiation_wm2 | forecast_shortwave_radiation_wm2_before | forecast_shortwave_radiation_wm2_after | forecast_shortwave_radiation_wm2_interpolation_method | forecast_wind_direction_deg | forecast_wind_direction_deg_before | forecast_wind_direction_deg_after | forecast_wind_direction_deg_interpolation_method | forecast_wind_speed_10m_ms | forecast_wind_speed_10m_ms_before | forecast_wind_speed_10m_ms_after | forecast_wind_speed_10m_ms_interpolation_method
2025,weather/output/performance_grade_hrrr_forecast_alignment.csv,CSV,136,forecast_GUST_surface | forecast_GUST_surface_before | forecast_GUST_surface_after | forecast_GUST_surface_interpolation_method | forecast_cloud_cover_pct | forecast_cloud_cover_pct_before | forecast_cloud_cover_pct_after | forecast_cloud_cover_pct_interpolation_method | forecast_dewpoint_c | forecast_dewpoint_c_before | forecast_dewpoint_c_after | forecast_dewpoint_c_interpolation_method | forecast_gust_ms | forecast_gust_ms_before | forecast_gust_ms_after | forecast_gust_ms_interpolation_method | forecast_pressure_hpa | forecast_pressure_hpa_before | forecast_pressure_hpa_after | forecast_pressure_hpa_interpolation_method | forecast_relative_humidity_pct | forecast_relative_humidity_pct_before | forecast_relative_humidity_pct_after | forecast_relative_humidity_pct_interpolation_method | forecast_shortwave_radiation_wm2 | forecast_shortwave_radiation_wm2_before | forecast_shortwave_radiation_wm2_after | forecast_shortwave_radiation_wm2_interpolation_method | forecast_wind_direction_deg | forecast_wind_direction_deg_before | forecast_wind_direction_deg_after | forecast_wind_direction_deg_interpolation_method | forecast_wind_speed_10m_ms | forecast_wind_speed_10m_ms_before | forecast_wind_speed_10m_ms_after | forecast_wind_speed_10m_ms_interpolation_method
2026,weather/output/performance_grade_hrrr_forecast_alignment.csv,CSV,136,forecast_GUST_surface | forecast_GUST_surface_before | forecast_GUST_surface_after | forecast_GUST_surface_interpolation_method | forecast_cloud_cover_pct | forecast_cloud_cover_pct_before | forecast_cloud_cover_pct_after | forecast_cloud_cover_pct_interpolation_method | forecast_dewpoint_c | forecast_dewpoint_c_before | forecast_dewpoint_c_after | forecast_dewpoint_c_interpolation_method | forecast_gust_ms | forecast_gust_ms_before | forecast_gust_ms_after | forecast_gust_ms_interpolation_method | forecast_pressure_hpa | forecast_pressure_hpa_before | forecast_pressure_hpa_after | forecast_pressure_hpa_interpolation_method | forecast_relative_humidity_pct | forecast_relative_humidity_pct_before | forecast_relative_humidity_pct_after | forecast_relative_humidity_pct_interpolation_method | forecast_shortwave_radiation_wm2 | forecast_shortwave_radiation_wm2_before | forecast_shortwave_radiation_wm2_after | forecast_shortwave_radiation_wm2_interpolation_method | forecast_wind_direction_deg | forecast_wind_direction_deg_before | forecast_wind_direction_deg_after | forecast_wind_direction_deg_interpolation_method | forecast_wind_speed_10m_ms | forecast_wind_speed_10m_ms_before | forecast_wind_speed_10m_ms_after | forecast_wind_speed_10m_ms_interpolation_method
2026,weather/output/r3b3_environment_ridge_predictions_v1.csv,CSV,140,
2018,weather/output/r3b3_repeat_pair_environment_dataset_v1.csv,CSV,39,baseline_forecast_dewpoint_c | repeat_forecast_dewpoint_c | delta_forecast_dewpoint_c | baseline_forecast_relative_humidity_pct | repeat_forecast_relative_humidity_pct | delta_forecast_relative_humidity_pct | baseline_forecast_wind_speed_10m_ms | repeat_forecast_wind_speed_10m_ms | delta_forecast_wind_speed_10m_ms | baseline_forecast_gust_ms | repeat_forecast_gust_ms | delta_forecast_gust_ms | baseline_forecast_pressure_hpa | repeat_forecast_pressure_hpa | delta_forecast_pressure_hpa | baseline_forecast_cloud_cover_pct | repeat_forecast_cloud_cover_pct | delta_forecast_cloud_cover_pct | baseline_forecast_shortwave_radiation_wm2 | repeat_forecast_shortwave_radiation_wm2 | delta_forecast_shortwave_radiation_wm2 | baseline_ptsc_ambient_c | repeat_ptsc_ambient_c | delta_ptsc_ambient_c | baseline_ptsc_track_c | repeat_ptsc_track_c | delta_ptsc_track_c | baseline_ptsc_humidity | repeat_ptsc_humidity | delta_ptsc_humidity | baseline_ptsc_wind | repeat_ptsc_wind | delta_ptsc_wind | baseline_ptsc_pressure | repeat_ptsc_pressure | delta_ptsc_pressure
2026,weather/output/r3b3_repeat_pair_environment_dataset_v1.csv,CSV,39,baseline_forecast_dewpoint_c | repeat_forecast_dewpoint_c | delta_forecast_dewpoint_c | baseline_forecast_relative_humidity_pct | repeat_forecast_relative_humidity_pct | delta_forecast_relative_humidity_pct | baseline_forecast_wind_speed_10m_ms | repeat_forecast_wind_speed_10m_ms | delta_forecast_wind_speed_10m_ms | baseline_forecast_gust_ms | repeat_forecast_gust_ms | delta_forecast_gust_ms | baseline_forecast_pressure_hpa | repeat_forecast_pressure_hpa | delta_forecast_pressure_hpa | baseline_forecast_cloud_cover_pct | repeat_forecast_cloud_cover_pct | delta_forecast_cloud_cover_pct | baseline_forecast_shortwave_radiation_wm2 | repeat_forecast_shortwave_radiation_wm2 | delta_forecast_shortwave_radiation_wm2 | baseline_ptsc_ambient_c | repeat_ptsc_ambient_c | delta_ptsc_ambient_c | baseline_ptsc_track_c | repeat_ptsc_track_c | delta_ptsc_track_c | baseline_ptsc_humidity | repeat_ptsc_humidity | delta_ptsc_humidity | baseline_ptsc_wind | repeat_ptsc_wind | delta_ptsc_wind | baseline_ptsc_pressure | repeat_ptsc_pressure | delta_ptsc_pressure
