model,eval_scope,held_out_year,horizon_min,n,mae_c,rmse_c,bias_c,median_abs_error_c
M0,year_horizon,2023,90,24,3.0616683627631445,3.713897411775194,0.42414201284410086,2.4863449810026035
M0,year_horizon,2023,120,24,3.567639918212835,4.173441241090189,0.11616187931523896,2.9020294071430017
M0,year_horizon,2024,15,31,1.1384481548404122,1.3914820757789583,0.07532780495530268,0.9675977737415582
M0,year_horizon,2024,30,29,1.531684443237345,1.840702957070414,0.11431919454783364,1.2009078497034116
M0,year_horizon,2024,60,27,1.5873922471981838,2.0238137171870187,0.30926018238001163,1.243883052409931
M0,year_horizon,2024,90,26,1.8314926923769284,2.2782681037555648,0.4445483765134407,1.4270871774795122
M0,year_horizon,2024,120,25,2.074282367799938,2.4603088839091742,0.3530408572971562,1.8859434988961121
M1,overall,ALL,ALL,611,1.9718630051298234,2.555418164307163,0.04121557386313032,1.614937289264203
M1,year,2020,ALL,113,1.7427276021236844,2.142445459250047,-0.6841059619072992,1.5539118051913694
M1,year,2021,ALL,113,1.7125267573036804,2.0836071684232156,0.8770203623275801,1.5823048400303557
M1,year,2022,ALL,114,2.9716402253168344,3.7475211395146686,1.1380895420144692,2.413584532384852
M1,year,2023,ALL,133,1.9797079851598058,2.5778116652488126,-0.8699195398604551,1.431409873971604
M1,year,2024,ALL,138,1.5383797522221478,1.895578668796009,-0.07724290293715982,1.3773338577901022
M1,horizon,ALL,15,143,1.3397807566952484,1.638533748404002,0.01963783945224849,1.1259708767453378
M1,horizon,ALL,30,133,1.7111593314468068,2.080803484507949,0.024120616719107847,1.5624487971467935
M1,horizon,ALL,60,116,2.1210451485780073,2.700882284435626,0.04440275331526165,1.7545161833314848
M1,horizon,ALL,90,110,2.3926182230532675,3.092574540352495,0.06212332318031442,1.8185064272082863
M1,horizon,ALL,120,109,2.5358368355373204,3.222502744329478,0.06589153789591556,2.1042542875920294
M1,year_horizon,2020,15,27,1.3340515666614805,1.6083400392194565,-0.5096385665865242,1.2985854736995637
M1,year_horizon,2020,30,25,1.605119037012307,1.92007790591245,-0.5067359701813223,1.5354352271979108
M1,year_horizon,2020,60,21,1.7816260066795115,2.110033163954546,-0.6341385908429541,1.8519296449781524
M1,year_horizon,2020,90,20,1.9842167867146259,2.4372494967511584,-0.8657314747658763,1.5980089740152155
M1,year_horizon,2020,120,20,2.1841184470123216,2.686703555982057,-1.012189662006802,1.6453108547928532
M1,year_horizon,2021,15,27,1.1259405773403883,1.3555142598189638,0.8872363052668648,1.0229809238432332
M1,year_horizon,2021,30,25,1.451607967173084,1.6747631055991912,0.9678019887696859,1.2129109819905717
M1,year_horizon,2021,60,21,1.9091659453166738,2.2528435962554503,0.9548380145220838,1.8587654740880453
M1,year_horizon,2021,90,20,2.087043036996767,2.5683634916483657,0.8843194031978954,1.935134478448708
M1,year_horizon,2021,120,20,2.2495791608106415,2.572333773681392,0.6607442306323685,2.1456502752840203
M1,year_horizon,2022,15,27,1.842063472254633,2.2117273930313317,1.1704629058453235,1.6676779219407196
M1,year_horizon,2022,30,25,2.544041103481961,3.0793479352969486,1.0615044344382587,1.9320647261530937
M1,year_horizon,2022,60,22,3.5304644903884768,4.189680214705418,0.7821227027611354,3.4387896855540507
M1,year_horizon,2022,90,20,3.915523519949043,4.68191875015386,0.9151890531888816,3.7008827464488503
M1,year_horizon,2022,120,20,3.472477758033387,4.512689021958021,1.804580897317334,2.303987431089427
M1,year_horizon,2023,15,31,1.340542998518962,1.48004520871246,-0.954271165483245,1.2548750722255932
M1,year_horizon,2023,30,29,1.5338712123708382,1.7339878905806698,-0.9522181405225005,1.5133277450711256
M1,year_horizon,2023,60,25,1.9858511409711483,2.5862479567567487,-0.7862896278190106,1.2205438234996397
M1,year_horizon,2023,90,24,2.465638859671509,3.202464009684561,-0.693764191460675,1.6838358855345608
M1,year_horizon,2023,120,24,2.8516855315423815,3.6248171910369877,-0.9247910544073318,2.4683209792437144
M1,year_horizon,2024,15,31,1.0927843101421668,1.442322642791958,-0.30345226550131643,0.9206165920240121
M1,year_horizon,2024,30,29,1.4856111459305923,1.75492679240445,-0.2497204560990243,1.4011246863274973
M1,year_horizon,2024,60,27,1.5265966270482887,1.8531466295203394,0.03209528600144118,1.5556654741513758
M1,year_horizon,2024,90,26,1.7029617319436334,2.119166179333878,0.1849371735566455,1.6453678780384928
M1,year_horizon,2024,120,25,1.9936901999769518,2.3028428701631025,0.012578144702910504,2.0010678903977244
M2a,overall,ALL,ALL,611,1.9866137477463297,2.5775228232443874,0.049071346970588695,1.619246104385359
M2a,year,2020,ALL,113,1.7234197810582086,2.126965626995311,-0.6882917691905748,1.5125436200030813
M2a,year,2021,ALL,113,1.7326643125282057,2.0946374196508164,0.8817676231601409,1.5522096735334108
M2a,year,2022,ALL,114,2.973587215972221,3.754261482997925,1.1346030419329802,2.413290817072619
M2a,year,2023,ALL,133,2.0458334853497786,2.6815424029621266,-0.8363712060378382,1.4946716039916734
M2a,year,2024,ALL,138,1.5376717472854253,1.8826559249750436,-0.0723735860641929,1.423792223565424
M2a,horizon,ALL,15,143,1.3365191288201013,1.6400109605662567,0.022395656007512265,1.1345588423072743
M2a,horizon,ALL,30,133,1.7270074052704192,2.096330399523821,0.028678174683414624,1.5090223337901687
M2a,horizon,ALL,60,116,2.133533111868717,2.7330728884164306,0.05344412483653131,1.7260686691265545
M2a,horizon,ALL,90,110,2.422757390079303,3.1178625306325385,0.06835235858004807,1.9027382844855127
M2a,horizon,ALL,120,109,2.5597580336263532,3.2542889538915665,0.08483980763503023,2.1889975307924208
M2a,year_horizon,2020,15,27,1.3170406868960232,1.5884188299721762,-0.5217615494592699,1.5016747441649425
M2a,year_horizon,2020,30,25,1.5830169181107165,1.8801542220075502,-0.5153219321201304,1.4507745705443607
M2a,year_horizon,2020,60,21,1.7509008501629741,2.106362306985282,-0.6390129995976276,1.7304708061939649
M2a,year_horizon,2020,90,20,1.99113246504346,2.433813541730311,-0.8634152063364432,1.5999251033223096
M2a,year_horizon,2020,120,20,2.1509673303162655,2.6746175016417046,-1.0059391330926177,1.6559730617429216
M2a,year_horizon,2021,15,27,1.1641989929405587,1.3827010573936798,0.8829256539472325,1.0142257782466444
M2a,year_horizon,2021,30,25,1.4992656999369922,1.7262666268887465,0.969576712432878,1.2184572616707028
M2a,year_horizon,2021,60,21,1.9240925705343639,2.2774582061795448,0.9556064805648429,1.7216665320591442
M2a,year_horizon,2021,90,20,2.074433133110451,2.5433695534898284,0.8785791187427219,1.9847018941761392
M2a,year_horizon,2021,120,20,2.2490722682218354,2.562911140358495,0.6961006241491278,2.1956779518871983
M2a,year_horizon,2022,15,27,1.8254864284068617,2.201933677289107,1.1624722044469251,1.5900061781434456
M2a,year_horizon,2022,30,25,2.5413553431936284,3.0745613266803185,1.0555030964975438,1.956594131009667
M2a,year_horizon,2022,60,22,3.5332999157991467,4.195054844470846,0.7776587808802993,3.4756693182835283
M2a,year_horizon,2022,90,20,3.9307597019856404,4.695853317346133,0.9115948890133281,3.766738525482598
M2a,year_horizon,2022,120,20,3.49095666433566,4.535141628467913,1.8115014444110518,2.3111845802361044
M2a,year_horizon,2023,15,31,1.3293591663800775,1.5147164658885826,-0.9160857594094496,1.112884092824217
M2a,year_horizon,2023,30,29,1.5859900566869882,1.844642655987039,-0.9191742923678344,1.5090223337901687
M2a,year_horizon,2023,60,25,2.0733053521680462,2.7269024880581916,-0.7387832400873161,1.2482828370917254
M2a,year_horizon,2023,90,24,2.5887472438895016,3.3301090712541686,-0.6719089620163959,1.8310419890618665
M2a,year_horizon,2023,120,24,2.955393337177764,3.7333199392930405,-0.8994692205039988,2.50128346106479
M2a,year_horizon,2024,15,31,1.08485472067481,1.4237556648052283,-0.3076433222733798,0.9579469200003248
M2a,year_horizon,2024,30,29,1.4864594560692994,1.7281230589399705,-0.2508170761619292,1.4347512452892714
M2a,year_horizon,2024,60,27,1.5092498959386926,1.8391020169692627,0.03378308161268251,1.5514961166696564
M2a,year_horizon,2024,90,26,1.7094951174070863,2.096719057567014,0.19651532706948707,1.62199105042455
M2a,year_horizon,2024,120,25,2.010570412621239,2.3156590834353237,0.03206166459852065,2.0547345039388425
