year,analysis_file,root,car_number,record_index,history_start_index,history_end_index,lap1_s,lap2_s,lap3_s,lap4_s,fourlap_total_s,derived_speed_mph,flag1_count,candidate_start_ts,candidate_mid_ts,candidate_end_ts,candidate_start_utc,candidate_mid_utc,candidate_end_utc,candidate_mid_indianapolis,timestamp_quality,lap1_s_r,lap2_s_r,lap3_s_r,lap4_s_r,candidate_mid_r,timestamp_resolved,root_priority,candidate_id
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,15,0,2,5,41.3107,39.3761,39.4162,39.4298,159.5328,225.65892405825008,4,1558216025.0248768,1558216104.791277,1558216184.5576768,2019-05-18T21:47:05.024877+00:00,2019-05-18T21:48:24.791277+00:00,2019-05-18T21:49:44.557677+00:00,2019-05-18T17:48:24.791277-04:00,PARENT_END_BACKCALC,41.3107,39.3761,39.4162,39.4298,1558216104.8,True,0,LEGACY_2019_15_34
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,15,0,3,6,39.3761,39.4162,39.4298,39.6005,157.8226,228.1042132115426,4,1558216066.335577,1558216145.246877,1558216224.158177,2019-05-18T21:47:46.335577+00:00,2019-05-18T21:49:05.246877+00:00,2019-05-18T21:50:24.158177+00:00,2019-05-18T17:49:05.246877-04:00,PARENT_END_DIRECT,39.3761,39.4162,39.4298,39.6005,1558216145.2,True,0,LEGACY_2019_15_35
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,59,0,2,5,39.86,39.6954,39.7075,39.7335,158.9964,226.42022083518873,4,1558213800.329733,1558213879.8279328,1558213959.326133,2019-05-18T21:10:00.329733+00:00,2019-05-18T21:11:19.827933+00:00,2019-05-18T21:12:39.326133+00:00,2019-05-18T17:11:19.827933-04:00,PARENT_END_BACKCALC,39.86,39.6954,39.7075,39.7335,1558213879.8,True,0,LEGACY_2019_59_36
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,59,0,3,6,39.6954,39.7075,39.7335,39.86,158.9964,226.42022083518873,4,1558213840.1897328,1558213919.6879327,1558213999.186133,2019-05-18T21:10:40.189733+00:00,2019-05-18T21:11:59.687933+00:00,2019-05-18T21:13:19.186133+00:00,2019-05-18T17:11:59.687933-04:00,PARENT_END_BACKCALC,39.6954,39.7075,39.7335,39.86,1558213919.7,True,0,LEGACY_2019_59_37
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,59,0,4,7,39.7075,39.7335,39.86,39.9297,159.2307,226.08705482045858,4,1558213879.885133,1558213959.500483,1558214039.115833,2019-05-18T21:11:19.885133+00:00,2019-05-18T21:12:39.500483+00:00,2019-05-18T21:13:59.115833+00:00,2019-05-18T17:12:39.500483-04:00,PARENT_END_BACKCALC,39.7075,39.7335,39.86,39.9297,1558213959.5,True,0,LEGACY_2019_59_38
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,59,0,5,8,39.7335,39.86,39.9297,39.86,159.3832,225.87073167059012,4,1558213919.592633,1558213999.284233,1558214078.975833,2019-05-18T21:11:59.592633+00:00,2019-05-18T21:13:19.284233+00:00,2019-05-18T21:14:38.975833+00:00,2019-05-18T17:13:19.284233-04:00,PARENT_END_DIRECT,39.7335,39.86,39.9297,39.86,1558213999.3,True,0,LEGACY_2019_59_39
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,24,0,1,4,39.7551,39.4864,39.645,39.7297,158.6162,226.96294577729137,4,1558215453.429602,1558215532.737702,1558215612.0458019,2019-05-18T21:37:33.429602+00:00,2019-05-18T21:38:52.737702+00:00,2019-05-18T21:40:12.045802+00:00,2019-05-18T17:38:52.737702-04:00,PARENT_END_BACKCALC,39.7551,39.4864,39.645,39.7297,1558215532.7,True,0,LEGACY_2019_24_40
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,24,0,2,5,39.4864,39.645,39.7297,39.7551,158.6162,226.96294577729137,4,1558215493.184702,1558215572.492802,1558215651.800902,2019-05-18T21:38:13.184702+00:00,2019-05-18T21:39:32.492802+00:00,2019-05-18T21:40:51.800902+00:00,2019-05-18T17:39:32.492802-04:00,PARENT_END_BACKCALC,39.4864,39.645,39.7297,39.7551,1558215572.5,True,0,LEGACY_2019_24_41
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,24,0,3,6,39.645,39.7297,39.7551,39.7637,158.89350000000002,226.56685138158574,4,1558215532.6711018,1558215612.1178517,1558215691.564602,2019-05-18T21:38:52.671102+00:00,2019-05-18T21:40:12.117852+00:00,2019-05-18T21:41:31.564602+00:00,2019-05-18T17:40:12.117852-04:00,PARENT_END_DIRECT,39.645,39.7297,39.7551,39.7637,1558215612.1,True,0,LEGACY_2019_24_42
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,lap,48,0,0,3,39.3381,39.4374,39.5441,39.6388,157.95839999999998,227.90810745107575,4,1558215797.216018,1558215876.1952178,1558215955.174418,2019-05-18T21:43:17.216018+00:00,2019-05-18T21:44:36.195218+00:00,2019-05-18T21:45:55.174418+00:00,2019-05-18T17:44:36.195218-04:00,PARENT_END_DIRECT,39.3381,39.4374,39.5441,39.6388,1558215876.2,True,0,LEGACY_2019_48_43
