year,source_rank,car_number,driver_name,coverage_status
2019,4,2,"Newgarden, Josef",MATCHED
2019,5,88,"Herta, Colton",MATCHED
2019,6,63,"Jones, Ed",MATCHED
2019,7,20,"Carpenter, Ed",MATCHED
2019,8,27,"Rossi, Alexander",MATCHED
2019,9,18,"Bourdais, Sebastien",MATCHED
2019,10,98,"Andretti, Marco",NO_ACCEPTABLE_FINGERPRINT_MATCH
2019,11,25,"Daly, Conor",MATCHED
2019,12,3,"Castroneves, Helio",MATCHED
2019,13,7,"Ericsson, Marcus",MATCHED
2019,14,30,"Sato, Takuma",MATCHED
2019,15,33,"Davison, James",MATCHED
2019,16,14,"Kanaan, Tony",MATCHED
2019,17,15,"Rahal, Graham",MATCHED
2019,18,9,"Dixon, Scott",MATCHED
2019,19,77,"Servia, Oriol",MATCHED
2019,20,23,"Kimball, Charlie",MATCHED
2019,21,48,"Hildebrand, JR",MATCHED
2019,22,28,"Hunter-Reay, Ryan",MATCHED
2019,23,19,"Ferrucci, Santino",MATCHED
2019,24,4,"Leist, Matheus",MATCHED
2019,25,60,"Harvey, Jack",MATCHED
2019,26,42,"King, Jordan",NO_ACCEPTABLE_FINGERPRINT_MATCH
2019,27,81,"Hanley, Ben",NO_ACCEPTABLE_FINGERPRINT_MATCH
2019,28,26,"Veach, Zach",MATCHED
2019,29,10,"Rosenqvist, Felix",MATCHED
2019,30,39,"Mann, Pippa",MATCHED
2019,31,88,"Herta, Colton",MATCHED
2019,32,27,"Rossi, Alexander",MATCHED
2019,35,3,"Castroneves, Helio",MATCHED
2019,37,25,"Daly, Conor",MATCHED
2019,38,9,"Dixon, Scott",MATCHED
2019,39,15,"Rahal, Graham",MATCHED
2019,40,66,"Alonso, Fernando",MATCHED
2019,41,26,"Veach, Zach",MATCHED
2019,42,10,"Rosenqvist, Felix",MATCHED
2019,43,48,"Hildebrand, JR",MATCHED
2019,44,42,"King, Jordan",MATCHED
2019,45,15,"Rahal, Graham",MATCHED
2019,46,31,"O'Ward, Patricio",MATCHED
2019,47,66,"Alonso, Fernando",MATCHED
2019,48,5T,"Hinchcliffe, James",MATCHED
2019,49,24,"Karam, Sage",MATCHED
2019,50,59,"Chilton, Max",MATCHED
2019,51,31,"O'Ward, Patricio",MATCHED
2019,52,24,"Karam, Sage",MATCHED
2019,53,48,"Hildebrand, JR",MATCHED
2019,54,10,"Rosenqvist, Felix",MATCHED
2019,55,4,"Leist, Matheus",MATCHED
2019,56,81,"Hanley, Ben",MATCHED
2019,57,42,"King, Jordan",MATCHED
2019,58,5T,"Hinchcliffe, James",MATCHED
2019,59,59,"Chilton, Max",MATCHED
2019,60,59,"Chilton, Max",MATCHED
2019,63,81,"Hanley, Ben",MATCHED
2019,64,32,"Kaiser, Kyle",MATCHED
2019,66,24,"Karam, Sage",MATCHED
2019,68,31,"O'Ward, Patricio",MATCHED
2019,69,66,"Alonso, Fernando",MATCHED
2019,70,66,"Alonso, Fernando",MATCHED
2019,71,24,"Karam, Sage",NO_ACCEPTABLE_FINGERPRINT_MATCH
2019,72,5T,"Hinchcliffe, James",NO_ACCEPTABLE_FINGERPRINT_MATCH
