year,analysis_file,root,car_number,record_index,parent_start_ts,parent_end_ts,parent_start_utc,parent_end_utc,history_count
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,5,0,1558200078.872667,1558200173.845899,2019-05-18T17:21:18.872667+00:00,2019-05-18T17:22:53.845899+00:00,2
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,4,0,1558207133.743392,1558207348.963186,2019-05-18T19:18:53.743392+00:00,2019-05-18T19:22:28.963186+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,7,0,1558195473.843673,1558195688.846524,2019-05-18T16:04:33.843673+00:00,2019-05-18T16:08:08.846524+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,48,0,1558204688.969725,1558204933.953739,2019-05-18T18:38:08.969725+00:00,2019-05-18T18:42:13.953739+00:00,8
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,12,0,1558194008.734003,1558194218.739481,2019-05-18T15:40:08.734003+00:00,2019-05-18T15:43:38.739481+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,10,0,1558208258.954807,1558212573.956534,2019-05-18T19:37:38.954807+00:00,2019-05-18T20:49:33.956534+00:00,7
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,26,0,1558210008.96037,1558212573.956534,2019-05-18T20:06:48.960370+00:00,2019-05-18T20:49:33.956534+00:00,88
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,15,0,1558209443.960129,1558212573.956534,2019-05-18T19:57:23.960129+00:00,2019-05-18T20:49:33.956534+00:00,8
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,98,0,1558211543.954513,1558212573.956534,2019-05-18T20:32:23.954513+00:00,2019-05-18T20:49:33.956534+00:00,22
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,88,0,1558212283.950806,1558212573.956534,2019-05-18T20:44:43.950806+00:00,2019-05-18T20:49:33.956534+00:00,1
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,stint,66,0,1558208853.948603,1558209093.961421,2019-05-18T19:47:33.948603+00:00,2019-05-18T19:51:33.961421+00:00,49
