year,file,page,line_no,raw_line
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,13,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,13,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,14,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,14,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,15,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,15,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,16,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,16,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,17,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,17,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,18,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,18,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,19,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,19,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,20,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,20,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,21,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,21,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,22,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,22,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,23,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,23,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,24,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,24,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,25,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,25,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,26,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,26,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,27,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,27,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,28,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,28,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,29,3,Report: Top Section Times Report Verizon IndyCar Series
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,29,6,Rank Car Driver C/E/T Time Speed Lap
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,30,3,Report: Top Section Times Report Verizon IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,1,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,1,7,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,2,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,2,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,3,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,3,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,4,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,4,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,5,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,5,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,6,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,6,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,7,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,7,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,8,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,8,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,9,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,9,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,10,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,10,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,11,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,11,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,12,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,12,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,13,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,13,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,14,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,14,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,15,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,15,6,Rank Car Driver C/E/T Time Speed Lap
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,16,3,Report: Top Section Times Report NTT IndyCar Series
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,16,6,Rank Car Driver C/E/T Time Speed Lap
