anchor_text,url,domain,file_type,relevance_score,matched_keywords
2014 Sonoma Race,https://ptscin.com/wp-content/uploads/2025/06/GoPro-Grand-Prix-of-Sonoma-Race-Tire-Chart.png,ptscin.com,PAGE_OR_OTHER,0,
2014 St. Pete Qualifying,https://ptscin.com/wp-content/uploads/2025/06/2014-St.-Pete-Quals.png,ptscin.com,PAGE_OR_OTHER,0,
2014 St. Pete Race,https://ptscin.com/wp-content/uploads/2025/06/2014-St.-Pete-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Toronto Race 1,https://ptscin.com/wp-content/uploads/2025/06/Toronto-2014-Race-1-Tire-Chart.png,ptscin.com,PAGE_OR_OTHER,0,
2014 Toronto Race 2,https://ptscin.com/wp-content/uploads/2025/06/Toronto-2014-Race-2-Tire-Chart.png,ptscin.com,PAGE_OR_OTHER,0,
2015 Barber Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Barber-Qualifying.png,ptscin.com,PAGE_OR_OTHER,0,
2015 Barber Race,https://ptscin.com/wp-content/uploads/2025/06/Barber-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2015 Detroit Race 1,https://ptscin.com/wp-content/uploads/2025/06/Detroit-Race-1.png,ptscin.com,PAGE_OR_OTHER,0,
2015 Detroit Race 2,https://ptscin.com/wp-content/uploads/2025/06/Detroit-Race-2.png,ptscin.com,PAGE_OR_OTHER,0,
2015 Long Beach Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Long-Beach-Qualifying.png,ptscin.com,PAGE_OR_OTHER,0,
2015 Long Beach Race,https://ptscin.com/wp-content/uploads/2025/06/Long-Beach-Race-1.png,ptscin.com,PAGE_OR_OTHER,0,
2015 Mid-Ohio Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Mid-Ohio-Qualifying.bmp,ptscin.com,PAGE_OR_OTHER,0,
2015 Mid-Ohio Race,https://ptscin.com/wp-content/uploads/2025/06/Mid-Ohio-Race-2015-Tire-Chart.png,ptscin.com,PAGE_OR_OTHER,0,
2015 NOLA Race,https://ptscin.com/wp-content/uploads/2025/06/NOLA-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2015 Sonoma Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Sonoma-Qualifying.png,ptscin.com,PAGE_OR_OTHER,0,
2015 Sonoma Race,https://ptscin.com/wp-content/uploads/2025/06/Sonoma-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2015 St. Pete Qualifying,https://ptscin.com/wp-content/uploads/2025/06/St-Pete-Qualifying.png,ptscin.com,PAGE_OR_OTHER,0,
2015 St. Pete Race,https://ptscin.com/wp-content/uploads/2025/06/St-Pete-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2015 Toronto Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Toronto-Qualifying.png,ptscin.com,PAGE_OR_OTHER,0,
2015 Toronto Race,https://ptscin.com/wp-content/uploads/2025/06/Toronto-Race.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Barber Qualifying,https://ptscin.com/wp-content/uploads/2025/06/Barber-16-Qual-Chart.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Barber Race,https://ptscin.com/wp-content/uploads/2025/06/Barber-16-Race-Chart.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Detroit Qualifying 1,https://ptscin.com/wp-content/uploads/2025/06/Detroit16Race1Qual.png,ptscin.com,PAGE_OR_OTHER,0,
2016 Detroit Qualifying 2,https://ptscin.com/wp-content/uploads/2025/06/DetroitRace2Qual.png,ptscin.com,PAGE_OR_OTHER,0,
