year,source_line_no,source_rank,car_number,driver_name,cet,lap1_s,lap2_s,lap3_s,lap4_s,total_time,average_speed_mph,status,tail_raw,raw_line,timed_lap_count,complete_four_lap,zero_lap,partial_attempt,car_key,driver_key,entrant_key,record_index_for_entrant,records_for_entrant,complete_attempts_for_entrant,has_repeat_complete_attempt,chronology_verified,source_order_semantics
2019,16,11,25,"Daly, Conor",D/H/F,39.2626,39.3879,39.404,39.4143,02:37.4688,228.617,VALID_OR_UNLABELED,Day 1,"11 25 Daly, Conor D/H/F 39.2626 39.3879 39.4040 39.4143 02:37.4688 228.617 Day 1",4,True,False,False,25,dalyconor,dalyconor__25,1,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,42,37,25,"Daly, Conor",D/H/F,39.4065,39.4404,39.528,39.5745,02:37.9494,227.921,Retired,Day 1 Retired,"37 25 Daly, Conor D/H/F 39.4065 39.4404 39.5280 39.5745 02:37.9494 227.921 Day 1 Retired",4,True,False,False,25,dalyconor,dalyconor__25,2,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,23,18,9,"Dixon, Scott",D/H/F,39.3605,39.4468,39.4603,39.558,02:37.8256,228.1,VALID_OR_UNLABELED,Day 1,"18 9 Dixon, Scott D/H/F 39.3605 39.4468 39.4603 39.5580 02:37.8256 228.100 Day 1",4,True,False,False,9,dixonscott,dixonscott__9,1,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,43,38,9,"Dixon, Scott",D/H/F,39.4031,39.4315,39.5284,39.6109,02:37.9739,227.886,Retired,Day 1 Retired,"38 9 Dixon, Scott D/H/F 39.4031 39.4315 39.5284 39.6109 02:37.9739 227.886 Day 1 Retired",4,True,False,False,9,dixonscott,dixonscott__9,2,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,32,27,81,"Hanley, Ben",D/C/F,39.4854,39.527,39.586,39.6558,02:38.2542,227.482,VALID_OR_UNLABELED,Day 1,"27 81 Hanley, Ben D/C/F 39.4854 39.5270 39.5860 39.6558 02:38.2542 227.482 Day 1",4,True,False,False,81,hanleyben,hanleyben__81,1,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,61,56,81,"Hanley, Ben",D/C/F,39.5568,39.6378,39.7259,39.8856,02:38.8061,226.692,Bumped,Day 1 Bumped,"56 81 Hanley, Ben D/C/F 39.5568 39.6378 39.7259 39.8856 02:38.8061 226.692 Day 1 Bumped",4,True,False,False,81,hanleyben,hanleyben__81,2,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,68,63,81,"Hanley, Ben",D/C/F,39.5982,39.7666,39.9345,40.0282,02:39.3275,225.95,Bumped,Day 1 Bumped,"63 81 Hanley, Ben D/C/F 39.5982 39.7666 39.9345 40.0282 02:39.3275 225.950 Day 1 Bumped",4,True,False,False,81,hanleyben,hanleyben__81,3,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,10,5,88,"Herta, Colton",D/H/F,39.166,39.2037,39.2797,39.2285,02:36.8779,229.478,VALID_OR_UNLABELED,Day 1,"5 88 Herta, Colton D/H/F 39.1660 39.2037 39.2797 39.2285 02:36.8779 229.478 Day 1",4,True,False,False,88,hertacolton,hertacolton__88,1,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,36,31,88,"Herta, Colton",D/H/F,39.1869,39.2732,39.3191,39.4036,02:37.1828,229.033,Retired,Day 1 Retired,"31 88 Herta, Colton D/H/F 39.1869 39.2732 39.3191 39.4036 02:37.1828 229.033 Day 1 Retired",4,True,False,False,88,hertacolton,hertacolton__88,2,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,26,21,48,"Hildebrand, JR",D/C/F,39.3381,39.4374,39.5441,39.6388,02:37.9584,227.908,VALID_OR_UNLABELED,Day 1,"21 48 Hildebrand, JR D/C/F 39.3381 39.4374 39.5441 39.6388 02:37.9584 227.908 Day 1",4,True,False,False,48,hildebrandjr,hildebrandjr__48,1,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,48,43,48,"Hildebrand, JR",D/C/F,39.3756,39.4908,39.8213,39.7751,02:38.4628,227.183,Bumped,Day 1 Bumped,"43 48 Hildebrand, JR D/C/F 39.3756 39.4908 39.8213 39.7751 02:38.4628 227.183 Day 1 Bumped",4,True,False,False,48,hildebrandjr,hildebrandjr__48,2,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,58,53,48,"Hildebrand, JR",D/C/F,39.2651,39.6658,39.6522,40.1247,02:38.7078,226.832,Retired,Day 1 Retired,"53 48 Hildebrand, JR D/C/F 39.2651 39.6658 39.6522 40.1247 02:38.7078 226.832 Day 1 Retired",4,True,False,False,48,hildebrandjr,hildebrandjr__48,3,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,53,48,5T,"Hinchcliffe, James",D/H/F,39.5843,39.6441,39.6938,39.699,02:38.6212,226.956,Failed Attempt,Day 1 Failed Attempt,"48 5T Hinchcliffe, James D/H/F 39.5843 39.6441 39.6938 39.6990 02:38.6212 226.956 Day 1 Failed Attempt",4,True,False,False,5T,hinchcliffejames,hinchcliffejames__5T,1,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,63,58,5T,"Hinchcliffe, James",D/H/F,39.6008,39.6904,39.6559,39.9725,02:38.9196,226.53,Failed Attempt,Day 1 Failed Attempt,"58 5T Hinchcliffe, James D/H/F 39.6008 39.6904 39.6559 39.9725 02:38.9196 226.530 Day 1 Failed Attempt",4,True,False,False,5T,hinchcliffejames,hinchcliffejames__5T,2,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,77,72,5T,"Hinchcliffe, James",D/H/F,39.7604,39.793,39.9814,51.5065,02:51.0413,210.475,Failed Attempt,Day 1 Failed Attempt,"72 5T Hinchcliffe, James D/H/F 39.7604 39.7930 39.9814 51.5065 02:51.0413 210.475 Day 1 Failed Attempt",4,True,False,False,5T,hinchcliffejames,hinchcliffejames__5T,3,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,54,49,24,"Karam, Sage",D/C/F,39.4864,39.645,39.7297,39.7637,02:38.6248,226.951,Failed Attempt,Day 1 Failed Attempt,"49 24 Karam, Sage D/C/F 39.4864 39.6450 39.7297 39.7637 02:38.6248 226.951 Day 1 Failed Attempt",4,True,False,False,24,karamsage,karamsage__24,1,5,4,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,57,52,24,"Karam, Sage",D/C/F,39.4393,39.6974,39.7884,39.7551,02:38.6802,226.871,Failed Attempt,Day 1 Failed Attempt,"52 24 Karam, Sage D/C/F 39.4393 39.6974 39.7884 39.7551 02:38.6802 226.871 Day 1 Failed Attempt",4,True,False,False,24,karamsage,karamsage__24,2,5,4,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,70,65,24,"Karam, Sage",D/C/F,39.8197,39.8402,39.8712,0.0,01:59.5311,225.883,Waved Off,Day 1 Waved Off,"65 24 Karam, Sage D/C/F 39.8197 39.8402 39.8712 0.0000 01:59.5311 225.883 Day 1 Waved Off",3,False,False,True,24,karamsage,karamsage__24,3,5,4,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,71,66,24,"Karam, Sage",D/C/F,39.5567,39.7184,39.9054,40.2065,02:39.3870,225.865,Failed Attempt,Day 1 Failed Attempt,"66 24 Karam, Sage D/C/F 39.5567 39.7184 39.9054 40.2065 02:39.3870 225.865 Day 1 Failed Attempt",4,True,False,False,24,karamsage,karamsage__24,4,5,4,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,76,71,24,"Karam, Sage",D/C/F,39.8961,39.7744,41.0345,46.1755,02:46.8805,215.723,Withdrawn,Day 1 Withdrawn,"71 24 Karam, Sage D/C/F 39.8961 39.7744 41.0345 46.1755 02:46.8805 215.723 Day 1 Withdrawn",4,True,False,False,24,karamsage,karamsage__24,5,5,4,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,31,26,42,"King, Jordan",D/H/F,39.5103,39.5254,39.5701,39.6344,02:38.2402,227.502,VALID_OR_UNLABELED,Day 1,"26 42 King, Jordan D/H/F 39.5103 39.5254 39.5701 39.6344 02:38.2402 227.502 Day 1",4,True,False,False,42,kingjordan,kingjordan__42,1,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,49,44,42,"King, Jordan",D/H/F,39.5432,39.604,39.672,39.698,02:38.5172,227.105,Retired,Day 1 Retired,"44 42 King, Jordan D/H/F 39.5432 39.6040 39.6720 39.6980 02:38.5172 227.105 Day 1 Retired",4,True,False,False,42,kingjordan,kingjordan__42,2,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,62,57,42,"King, Jordan",D/H/F,39.79,39.4961,39.8554,39.685,02:38.8265,226.662,Retired,Day 1 Retired,"57 42 King, Jordan D/H/F 39.7900 39.4961 39.8554 39.6850 02:38.8265 226.662 Day 1 Retired",4,True,False,False,42,kingjordan,kingjordan__42,3,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,29,24,4,"Leist, Matheus",D/C/F,39.4579,39.5109,39.5662,39.5561,02:38.0911,227.717,VALID_OR_UNLABELED,Day 1,"24 4 Leist, Matheus D/C/F 39.4579 39.5109 39.5662 39.5561 02:38.0911 227.717 Day 1",4,True,False,False,4,leistmatheus,leistmatheus__4,1,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,60,55,4,"Leist, Matheus",D/C/F,39.5514,39.5246,39.6225,40.0829,02:38.7814,226.727,Retired,Day 1 Retired,"55 4 Leist, Matheus D/C/F 39.5514 39.5246 39.6225 40.0829 02:38.7814 226.727 Day 1 Retired",4,True,False,False,4,leistmatheus,leistmatheus__4,2,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,51,46,31,"O'Ward, Patricio",D/C/F,39.5351,39.636,39.6156,39.7585,02:38.5452,227.065,Withdrawn,Day 1 Withdrawn,"46 31 O'Ward, Patricio D/C/F 39.5351 39.6360 39.6156 39.7585 02:38.5452 227.065 Day 1 Withdrawn",4,True,False,False,31,owardpatricio,owardpatricio__31,1,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,56,51,31,"O'Ward, Patricio",D/C/F,39.6065,39.6441,39.6835,39.7279,02:38.6620,226.897,Bumped,Day 1 Bumped,"51 31 O'Ward, Patricio D/C/F 39.6065 39.6441 39.6835 39.7279 02:38.6620 226.897 Day 1 Bumped",4,True,False,False,31,owardpatricio,owardpatricio__31,2,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,73,68,31,"O'Ward, Patricio",D/C/F,39.738,39.7721,39.865,40.1098,02:39.4849,225.727,Bumped,Day 1 Bumped,"68 31 O'Ward, Patricio D/C/F 39.7380 39.7721 39.8650 40.1098 02:39.4849 225.727 Day 1 Bumped",4,True,False,False,31,owardpatricio,owardpatricio__31,3,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2019,22,17,15,"Rahal, Graham",D/H/F,39.3761,39.4162,39.4298,39.6005,02:37.8226,228.104,VALID_OR_UNLABELED,Day 1,"17 15 Rahal, Graham D/H/F 39.3761 39.4162 39.4298 39.6005 02:37.8226 228.104 Day 1",4,True,False,False,15,rahalgraham,rahalgraham__15,1,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
