check_id,year,entity_type,severity,pass_fail,affected_count,reason,affected_identifiers
AT_MOST_ONE_PRIMARY_FIELD_ASSERTION,ALL,PROVENANCE,BLOCKING,PASS,0,Each entity field has at most one current primary assertion,
SUBSTANTIVE_VALUE_PROVENANCE_COVERAGE,ALL,PROVENANCE,BLOCKING,PASS,0,Attempt identity performance laps and section values require evidence or reproducible derivation,
TARGET_SPECIFIC_ELIGIBILITY,ALL,ELIGIBILITY,BLOCKING,PASS,0,All frozen analysis targets must be represented,
NO_WEATHER_LOOKAHEAD,ALL,DECISION_STATE,BLOCKING,PASS,0,Forecast availability must be known and no later than state time,
HRRR_NUMERIC_LAYER_VALID,ALL,WEATHER,BLOCKING,PASS,0,All Phase 4A frozen-input and canonical weather checks must pass,
CAPTURE_TIME_NOT_PROMOTED_TO_EXACT,ALL,CHRONOLOGY,BLOCKING,PASS,0,Recorder capture times must remain approximate,
KNOWN_COVERAGE_GAPS_PRESENT,ALL,CHRONOLOGY,BLOCKING,PASS,0,2020 internal and 2023 terminal gaps must be explicit,
2024_ONE_CHRONOLOGY_CONSTRAINT_PER_ATTEMPT,2024,CHRONOLOGY_CONSTRAINT,BLOCKING,PASS,0,Every 2024 canonical attempt must have exactly one strongest-supported constraint row,
2024_UNCERTAINTY_NOT_PROMOTED_TO_EXACT,2024,CHRONOLOGY_CONSTRAINT,BLOCKING,PASS,0,"Capture, bounded, and derived endpoints cannot become exact observed truth",
2024_CRASH_ANCHOR_NOT_TIMED_RUN_START,2024,CHRONOLOGY_CONSTRAINT,BLOCKING,PASS,0,A crash clock anchor cannot be reinterpreted as first timed-lap start,
2024_NO_INTER_ATTEMPT_GAP_AS_QUEUE_WAIT,2024,CHRONOLOGY_CONSTRAINT,BLOCKING,PASS,0,No chronology diagnostic may be labelled queue wait without queue entry and release evidence,
2024_SESSION_BOUNDARY_CONSISTENCY,2024,CHRONOLOGY_CONSTRAINT,BLOCKING,PASS,0,Attempt-level event and timed-run bounds must remain within the supported session window,
VEEKAY_2024_MULTI_ANCHOR_GOLDEN,2024,CHRONOLOGY_CONSTRAINT,BLOCKING,PASS,0,"VeeKay crash, later runs, penultimate finish, duration, and Rahal ordering must remain mutually compatible",
RAHAL_2024_FINAL_ATTEMPT_CONSISTENCY,2024,CHRONOLOGY_CONSTRAINT,BLOCKING,PASS,0,Rahal must remain the bounded final one-lap waved-off attempt after VeeKay,
2024_CHRONOLOGY_CONSTRAINT_PROVENANCE,2024,PROVENANCE,BLOCKING,PASS,0,Every non-unknown attempt constraint must retain field-level evidence lineage,
YEAR_POLICY_CANNOT_GRANT_2022_CORE,2022,ELIGIBILITY,BLOCKING,PASS,0,2022 remains supporting/robustness only,
SATO_2022_FIRST_ATTEMPT_GOLDEN,2022,ATTEMPT,BLOCKING,PASS,0,First 232.196 mph attempt must remain separate and disallowed,3f221659-74ff-5901-97dc-08071a734690
GLOBAL_CHRONOLOGY_ANALYSIS_READY,ALL,CHRONOLOGY,BLOCKING,FAIL,5,Global chronology analysis requires reconciliation PASS; affected rows remain chronology-core ineligible,2020|2021|2022|2023|2024
UNMATCHED_SECTION_BLOCKS_RETAINED_AS_UNRESOLVED,2020,SECTION,WARNING,PASS,4,Ambiguous Section runs were materialized as C_SECTION_ONLY without fabricated complete laps,car=12;block=2|car=12;block=3|car=26;block=2|car=26;block=3
UNMATCHED_SECTION_BLOCKS_RETAINED_AS_UNRESOLVED,2021,SECTION,WARNING,PASS,1,Ambiguous Section runs were materialized as C_SECTION_ONLY without fabricated complete laps,car=24;block=2
UNMATCHED_SECTION_BLOCKS_RETAINED_AS_UNRESOLVED,2022,SECTION,WARNING,PASS,0,Ambiguous Section runs were materialized as C_SECTION_ONLY without fabricated complete laps,
UNMATCHED_SECTION_BLOCKS_RETAINED_AS_UNRESOLVED,2023,SECTION,WARNING,PASS,1,Ambiguous Section runs were materialized as C_SECTION_ONLY without fabricated complete laps,car=98;block=2
UNMATCHED_SECTION_BLOCKS_RETAINED_AS_UNRESOLVED,2024,SECTION,WARNING,PASS,3,Ambiguous Section runs were materialized as C_SECTION_ONLY without fabricated complete laps,car=15;block=1|car=18;block=1|car=51;block=1
