year,check,status,value,details
2021,MISSING_track_c,PASS,0,0.00%
2021,MISSING_humidity,PASS,0,0.00%
2021,MISSING_wind,PASS,0,0.00%
2021,MISSING_pressure,PASS,0,0.00%
2021,MISSING_sensor_1_f,PASS,0,0.00%
2021,MISSING_sensor_2_f,PASS,0,0.00%
2021,MISSING_sensor_3_f,PASS,0,0.00%
2021,MISSING_sensor_4_f,PASS,0,0.00%
2021,MISSING_sensor_avg_f,PASS,0,0.00%
2021,RANGE_ambient_f,PASS,0,"expected [-20, 130]"
2021,RANGE_track_f,PASS,0,"expected [-20, 180]"
2021,RANGE_humidity,PASS,0,"expected [0, 1.05]"
2021,RANGE_wind,PASS,0,"expected [0, 100]"
2021,RANGE_pressure,PASS,0,"expected [25, 32]"
2021,RANGE_sensor_1_f,PASS,0,"expected [-20, 180]"
2021,RANGE_sensor_2_f,PASS,0,"expected [-20, 180]"
2021,RANGE_sensor_3_f,PASS,0,"expected [-20, 180]"
2021,RANGE_sensor_4_f,PASS,0,"expected [-20, 180]"
2021,RANGE_sensor_avg_f,PASS,0,"expected [-20, 180]"
2021,TRACK_SENSOR_AVG_MAE_F,INFO,0.24924242424242407,median_abs_diff=0.22499999999999432; max_abs_diff=0.5; corr=0.999815987341688
2021,SENSOR_SPREAD_F,INFO,4.5,max=13.5; >10F=3; >20F=0
2021,FC_CONSISTENCY_ambient_f_ambient_c,PASS,0.0,
2021,FC_CONSISTENCY_track_f_track_c,PASS,0.0,
2021,WIND_DIRECTION_VALUES,INFO,13,E; ENE; ESE; N; NE; NNE; NNW; NW; S; SE; SSW; W; ssw
2022,ROW_COUNT,PASS,31,
2022,TIME_COVERAGE,PASS,,2022-05-21 08:00:00 -> 2022-05-21 16:15:00
2022,DUPLICATE_TIMESTAMPS,PASS,0,
2022,MEDIAN_INTERVAL_MIN,INFO,15.0,
2022,MAX_INTERVAL_MIN,PASS,60.0,>30min gaps=1; >60min gaps=0
2022,MISSING_ambient_f,PASS,0,0.00%
2022,MISSING_ambient_c,PASS,0,0.00%
2022,MISSING_track_f,PASS,0,0.00%
2022,MISSING_track_c,PASS,0,0.00%
2022,MISSING_humidity,PASS,0,0.00%
2022,MISSING_wind,PASS,0,0.00%
2022,MISSING_pressure,WARN,1,3.23%
2022,MISSING_sensor_1_f,PASS,0,0.00%
2022,MISSING_sensor_2_f,PASS,0,0.00%
2022,MISSING_sensor_3_f,PASS,0,0.00%
2022,MISSING_sensor_4_f,PASS,0,0.00%
2022,MISSING_sensor_avg_f,PASS,0,0.00%
2022,RANGE_ambient_f,PASS,0,"expected [-20, 130]"
2022,RANGE_track_f,PASS,0,"expected [-20, 180]"
2022,RANGE_humidity,PASS,0,"expected [0, 1.05]"
2022,RANGE_wind,PASS,0,"expected [0, 100]"
2022,RANGE_pressure,PASS,0,"expected [25, 32]"
2022,RANGE_sensor_1_f,PASS,0,"expected [-20, 180]"
2022,RANGE_sensor_2_f,PASS,0,"expected [-20, 180]"
2022,RANGE_sensor_3_f,PASS,0,"expected [-20, 180]"
2022,RANGE_sensor_4_f,PASS,0,"expected [-20, 180]"
2022,RANGE_sensor_avg_f,PASS,0,"expected [-20, 180]"
2022,TRACK_SENSOR_AVG_MAE_F,INFO,0.34782258064516125,median_abs_diff=0.29999999999999716; max_abs_diff=1.9249999999999972; corr=0.9985728820255613
2022,SENSOR_SPREAD_F,INFO,6.700000000000003,max=11.399999999999991; >10F=1; >20F=0
2022,FC_CONSISTENCY_ambient_f_ambient_c,PASS,0.0,
2022,FC_CONSISTENCY_track_f_track_c,PASS,0.0,
2022,WIND_DIRECTION_VALUES,INFO,9,N; NNE; NNW; NW; S; SE; SSW; W; WNW
2023,ROW_COUNT,PASS,36,
2023,TIME_COVERAGE,PASS,,2023-05-20 08:15:00 -> 2023-05-20 17:50:00
2023,DUPLICATE_TIMESTAMPS,PASS,0,
2023,MEDIAN_INTERVAL_MIN,INFO,15.0,
2023,MAX_INTERVAL_MIN,WARN,75.0,>30min gaps=1; >60min gaps=1
2023,MISSING_ambient_f,PASS,0,0.00%
2023,MISSING_ambient_c,PASS,0,0.00%
2023,MISSING_track_f,PASS,0,0.00%
2023,MISSING_track_c,PASS,0,0.00%
2023,MISSING_humidity,PASS,0,0.00%
2023,MISSING_wind,PASS,0,0.00%
2023,MISSING_pressure,PASS,0,0.00%
2023,MISSING_sensor_1_f,PASS,0,0.00%
2023,MISSING_sensor_2_f,PASS,0,0.00%
2023,MISSING_sensor_3_f,PASS,0,0.00%
2023,MISSING_sensor_4_f,PASS,0,0.00%
2023,MISSING_sensor_avg_f,PASS,0,0.00%
2023,RANGE_ambient_f,PASS,0,"expected [-20, 130]"
2023,RANGE_track_f,PASS,0,"expected [-20, 180]"
2023,RANGE_humidity,PASS,0,"expected [0, 1.05]"
2023,RANGE_wind,PASS,0,"expected [0, 100]"
2023,RANGE_pressure,PASS,0,"expected [25, 32]"
2023,RANGE_sensor_1_f,PASS,0,"expected [-20, 180]"
2023,RANGE_sensor_2_f,PASS,0,"expected [-20, 180]"
2023,RANGE_sensor_3_f,PASS,0,"expected [-20, 180]"
2023,RANGE_sensor_4_f,PASS,0,"expected [-20, 180]"
2023,RANGE_sensor_avg_f,PASS,0,"expected [-20, 180]"
2023,TRACK_SENSOR_AVG_MAE_F,INFO,0.24305555555555594,median_abs_diff=0.26250000000000284; max_abs_diff=0.4749999999999943; corr=0.9998672720386044
2023,SENSOR_SPREAD_F,INFO,14.950000000000003,max=38.699999999999996; >10F=25; >20F=12
2023,FC_CONSISTENCY_ambient_f_ambient_c,PASS,1.7763568394002505e-15,
2023,FC_CONSISTENCY_track_f_track_c,PASS,0.0,
2023,WIND_DIRECTION_VALUES,INFO,4,N; NE; NNE; NNW
2024,ROW_COUNT,PASS,36,
2024,TIME_COVERAGE,PASS,,2024-05-18 08:45:00 -> 2024-05-18 17:52:00
2024,DUPLICATE_TIMESTAMPS,PASS,0,
2024,MEDIAN_INTERVAL_MIN,INFO,15.0,
2024,MAX_INTERVAL_MIN,PASS,45.0,>30min gaps=1; >60min gaps=0
2024,MISSING_ambient_f,PASS,0,0.00%
2024,MISSING_ambient_c,PASS,0,0.00%
2024,MISSING_track_f,PASS,0,0.00%
2024,MISSING_track_c,PASS,0,0.00%
2024,MISSING_humidity,PASS,0,0.00%
2024,MISSING_wind,PASS,0,0.00%
2024,MISSING_pressure,PASS,0,0.00%
2024,MISSING_sensor_1_f,PASS,0,0.00%
2024,MISSING_sensor_2_f,PASS,0,0.00%
2024,MISSING_sensor_3_f,PASS,0,0.00%
2024,MISSING_sensor_4_f,PASS,0,0.00%
2024,MISSING_sensor_avg_f,PASS,0,0.00%
2024,RANGE_ambient_f,PASS,0,"expected [-20, 130]"
2024,RANGE_track_f,PASS,0,"expected [-20, 180]"
2024,RANGE_humidity,PASS,0,"expected [0, 1.05]"
2024,RANGE_wind,PASS,0,"expected [0, 100]"
2024,RANGE_pressure,PASS,0,"expected [25, 32]"
2024,RANGE_sensor_1_f,PASS,0,"expected [-20, 180]"
2024,RANGE_sensor_2_f,PASS,0,"expected [-20, 180]"
2024,RANGE_sensor_3_f,PASS,0,"expected [-20, 180]"
2024,RANGE_sensor_4_f,PASS,0,"expected [-20, 180]"
2024,RANGE_sensor_avg_f,PASS,0,"expected [-20, 180]"
2024,TRACK_SENSOR_AVG_MAE_F,INFO,0.22416666666666765,median_abs_diff=0.1875000000000071; max_abs_diff=0.6500000000000057; corr=0.9998336064840503
2024,SENSOR_SPREAD_F,INFO,14.650000000000006,max=29.10000000000001; >10F=27; >20F=11
2024,FC_CONSISTENCY_ambient_f_ambient_c,PASS,0.0,
2024,FC_CONSISTENCY_track_f_track_c,PASS,0.0,
2024,WIND_DIRECTION_VALUES,INFO,10,E; ESE; N; NNW; NW; S; SE; SSW; SW; WSW
