json_path,value,endpoint
$[337].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-09-13 06-07 2025 AIRTOUCH 500 AT THE BEND - 2025 Porsche Paynter Dixon Carrera Cup Australia - Race 1.json,/replays
$[337].series,2025 AIRTOUCH 500 AT THE BEND,/replays
$[338].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/57670-09-27 13-41 2025 AIRTOUCH 500 AT THE BEND - 2025 Touring Car Masters Sponsored by Outsource 1 - Race 1.zip,/replays
$[338].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/57670-09-27 13-41 2025 AIRTOUCH 500 AT THE BEND - 2025 Touring Car Masters Sponsored by Outsource 1 - Race 1.json,/replays
$[338].series,2025 AIRTOUCH 500 AT THE BEND,/replays
$[342].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-03-11 22-12 2023 Thrifty Newcastle 500 - Battery World Aussie Racing Cars Super Series - Race 3.zip,/replays
$[342].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-03-11 22-12 2023 Thrifty Newcastle 500 - Battery World Aussie Racing Cars Super Series - Race 3.json,/replays
$[342].series,2023 Thrifty Newcastle 500,/replays
$[346].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-11-14 02-02 2024 VAILO Adelaide 500 - Boost Mobile Australian Stadium Super Trucks - Practice.zip,/replays
$[346].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-11-14 02-02 2024 VAILO Adelaide 500 - Boost Mobile Australian Stadium Super Trucks - Practice.json,/replays
$[346].series,2024 VAILO Adelaide 500,/replays
$[356].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/57667-05-09 07-53 2025 AIRTOUCH 500 AT THE BEND - 2025 Porsche Paynter Dixon Carrera Cup Australia -Practice 1.zip,/replays
$[356].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/57667-05-09 07-53 2025 AIRTOUCH 500 AT THE BEND - 2025 Porsche Paynter Dixon Carrera Cup Australia -Practice 1.json,/replays
$[356].series,2025 AIRTOUCH 500 AT THE BEND,/replays
$[363].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-08-10 00-29 IndyCar - INDY NXT by Firestone Grand Prix of Portland - Qualifications - Group 2.zip,/replays
$[363].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-08-10 00-29 IndyCar - INDY NXT by Firestone Grand Prix of Portland - Qualifications - Group 2.json,/replays
$[363].series,IndyCar,/replays
$[363].description,INDY NXT by Firestone Grand Prix of Portland - Qualifications - Group 2,/replays
$[364].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-02-28 20-42 IndyCar - INDY NXT by Firestone GP of St Petersburg - Qualifications - Group 2.zip,/replays
$[364].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-02-28 20-42 IndyCar - INDY NXT by Firestone GP of St Petersburg - Qualifications - Group 2.json,/replays
$[364].series,IndyCar,/replays
$[364].description,INDY NXT by Firestone GP of St Petersburg - Qualifications - Group 2,/replays
$[368].startTime,1644688500,/replays
$[378].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-09-05 16-57 IndyCar - Mission Foods Grand Prix of Monterey - Practice 2 - All Cars.zip,/replays
$[378].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-09-05 16-57 IndyCar - Mission Foods Grand Prix of Monterey - Practice 2 - All Cars.json,/replays
$[378].series,IndyCar,/replays
$[382].series,IndyCar,/replays
$[382].description,103rd Indianapolis 500 - Practice 2,/replays
$[387].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-11-16 01-07 2024 VAILO Adelaide 500 - 2024 Dunlop Series - Race 1.zip,/replays
$[387].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-11-16 01-07 2024 VAILO Adelaide 500 - 2024 Dunlop Series - Race 1.json,/replays
$[387].series,2024 VAILO Adelaide 500,/replays
$[390].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/56848-11-30 19-25 2024 VAILO Adelaide 500 - 2024 Porsche Paynter Dixon Carrera Cup Aust - Race 3.zip,/replays
$[390].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/56848-11-30 19-25 2024 VAILO Adelaide 500 - 2024 Porsche Paynter Dixon Carrera Cup Aust - Race 3.json,/replays
$[390].series,2024 VAILO Adelaide 500,/replays
$[398].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-03-12 02-12 2023 Thrifty Newcastle 500 - 2023 Dunlop Super2 & Super3 Series - Race 2.zip,/replays
$[398].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-03-12 02-12 2023 Thrifty Newcastle 500 - 2023 Dunlop Super2 & Super3 Series - Race 2.json,/replays
$[398].series,2023 Thrifty Newcastle 500,/replays
$[401].series,Lionheart IndyCar Series S10,/replays
$[402].series,Lionheart IndyCar Series S10,/replays
$[427].series,IndyCar,/replays
$[427].description,Honda Indy 200 at Mid-Ohio - Qualifying - Group 1,/replays
$[428].series,IndyCar,/replays
$[428].description,Honda Indy 200 at Mid-Ohio - Qualifying - Group 2,/replays
$[429].series,IndyCar,/replays
$[429].description,Honda Indy 200 at Mid-Ohio - Qualifying - Round 2,/replays
$[430].series,IndyCar,/replays
$[430].description,Honda Indy 200 at Mid-Ohio - Qualifying - Firestone Fast Six,/replays
$[446].series,IndyCar,/replays
$[453].series,IndyCar,/replays
$[490].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-08-31 19-57 IndyCar - INDY NXT by Firestone at Milwaukee Mile - Race.zip,/replays
$[490].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-08-31 19-57 IndyCar - INDY NXT by Firestone at Milwaukee Mile - Race.json,/replays
$[490].series,IndyCar,/replays
$[490].description,INDY NXT by Firestone at Milwaukee Mile - Race,/replays
$[504].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-11-17 00-37 2024 VAILO Adelaide 500 - Boost Mobile Australian Stadium Super Trucks - Race 2.zip,/replays
$[504].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-11-17 00-37 2024 VAILO Adelaide 500 - Boost Mobile Australian Stadium Super Trucks - Race 2.json,/replays
$[504].series,2024 VAILO Adelaide 500,/replays
$[505].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-08-29 15-02 IndyCar - INDYNXT by Firestone at Milwaukee Mile - Qualifications.zip,/replays
$[505].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-08-29 15-02 IndyCar - INDYNXT by Firestone at Milwaukee Mile - Qualifications.json,/replays
$[505].series,IndyCar,/replays
$[505].description,INDYNXT by Firestone at Milwaukee Mile - Qualifications,/replays
$[509].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-06-20 16-33 IndyCar - XPEL Grand Prix at Road America - Qualifications - Segment 1 _ Group 1.zip,/replays
$[509].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-06-20 16-33 IndyCar - XPEL Grand Prix at Road America - Qualifications - Segment 1 _ Group 1.json,/replays
$[509].series,IndyCar,/replays
$[547].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-07-29 22-27 2023 Beaurepaires Sydney SuperNight - 2023 S5000 Australian Drivers Championship - Race 2.zip,/replays
$[547].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-07-29 22-27 2023 Beaurepaires Sydney SuperNight - 2023 S5000 Australian Drivers Championship - Race 2.json,/replays
$[547].description,2023 S5000 Australian Drivers Championship - Race 2,/replays
$[557].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-07-07 17-50 IndyCar - Honda Indy 200 at Mid-Ohio - Race.zip,/replays
$[557].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-07-07 17-50 IndyCar - Honda Indy 200 at Mid-Ohio - Race.json,/replays
$[557].series,IndyCar,/replays
$[557].description,Honda Indy 200 at Mid-Ohio - Race,/replays
$[562].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-09-16 04-17 2023 Penrite Oil Sandown 500 - Toyota GAZOO Racing Australia 86 Series - Race 2.zip,/replays
$[562].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-09-16 04-17 2023 Penrite Oil Sandown 500 - Toyota GAZOO Racing Australia 86 Series - Race 2.json,/replays
$[562].series,2023 Penrite Oil Sandown 500,/replays
$[574].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-07-22 23-27 IndyCar - INDY NXT by Firestone at Iowa Speedway - Race.zip,/replays
$[574].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-07-22 23-27 IndyCar - INDY NXT by Firestone at Iowa Speedway - Race.json,/replays
$[574].series,IndyCar,/replays
$[574].description,INDY NXT by Firestone at Iowa Speedway - Race,/replays
$[577].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-07-12 17-57 IndyCar - INDY NXT by Firestone at Iowa Speedway - Practice 1.zip,/replays
$[577].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-07-12 17-57 IndyCar - INDY NXT by Firestone at Iowa Speedway - Practice 1.json,/replays
$[577].series,IndyCar,/replays
$[577].description,INDY NXT by Firestone at Iowa Speedway - Practice 1,/replays
$[591].series,IndyCar,/replays
$[615].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-03-10 23-22 2023 Thrifty Newcastle 500 - 2023 Dunlop Super2 & Super3 Series - Qualifying - Race 1.zip,/replays
$[615].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-03-10 23-22 2023 Thrifty Newcastle 500 - 2023 Dunlop Super2 & Super3 Series - Qualifying - Race 1.json,/replays
$[615].series,2023 Thrifty Newcastle 500,/replays
$[636].description,Autotrader EchoPark 500 - Race,/replays
$[640].series,IndyCar,/replays
$[640].description,103rd Indianapolis 500 - Race,/replays
$[653].series,IndyCar,/replays
$[653].description,Bommarito Automotive Group 500 - Final Practice,/replays
$[666].description,GEICO 500 - Race,/replays
$[671].description,Indianapolis Motor Speedway Hybrid RC - Practice 2,/replays
$[713].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-07-11 21-32 2025 NTI Townsville 500 - 2025 Porsche Michelin Sprint Challenge Australia-Qualifying.zip,/replays
$[713].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-07-11 21-32 2025 NTI Townsville 500 - 2025 Porsche Michelin Sprint Challenge Australia-Qualifying.json,/replays
$[713].series,2025 NTI Townsville 500,/replays
$[714].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/57497-04-13 07-55 2025 NTI Townsville 500 - 2025 Tyrepower V8 SuperUte Series - Race 1.zip,/replays
$[714].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/57497-04-13 07-55 2025 NTI Townsville 500 - 2025 Tyrepower V8 SuperUte Series - Race 1.json,/replays
$[714].series,2025 NTI Townsville 500,/replays
$[718].id,0c17275f-3ab9-4638-9900-3f500e01edda,/replays
$[720].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/57559-06-01 08-10 Mighty Minis - Brands Hatch Indy - Race 14.zip,/replays
$[720].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/57559-06-01 08-10 Mighty Minis - Brands Hatch Indy - Race 14.json,/replays
$[720].description,Brands Hatch Indy - Race 14,/replays
$[721].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/57559-06-17 23-09 Fastest Mini in the World - Brands Hatch Indy - Race 15.zip,/replays
$[721].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/57559-06-17 23-09 Fastest Mini in the World - Brands Hatch Indy - Race 15.json,/replays
$[721].description,Brands Hatch Indy - Race 15,/replays
$[727].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-03-08 19-38 NASCAR Cup Series - Straight Talk Wireless 500 - Race.zip,/replays
$[727].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-03-08 19-38 NASCAR Cup Series - Straight Talk Wireless 500 - Race.json,/replays
$[727].description,Straight Talk Wireless 500 - Race,/replays
$[736].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-08-16 20-17 IndyCar - Bommarito Automotive Group 500 - Qualifications.zip,/replays
$[736].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-08-16 20-17 IndyCar - Bommarito Automotive Group 500 - Qualifications.json,/replays
$[736].series,IndyCar,/replays
$[736].description,Bommarito Automotive Group 500 - Qualifications,/replays
$[746].series,IndyCar,/replays
$[768].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-03-23 15-57 IndyCar - $1 Million Challenge - Practice 3.zip,/replays
$[768].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-03-23 15-57 IndyCar - $1 Million Challenge - Practice 3.json,/replays
$[768].series,IndyCar,/replays
$[770].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-10-25 23-37 2024 Boost Mobile Gold Coast 500 - 2024 TOYOTA GAZOO Racing Australia GR Cup - Qualifying.zip,/replays
$[770].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-10-25 23-37 2024 Boost Mobile Gold Coast 500 - 2024 TOYOTA GAZOO Racing Australia GR Cup - Qualifying.json,/replays
$[770].series,2024 Boost Mobile Gold Coast 500,/replays
$[771].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/56788-05-20 06-14 2024 Boost Mobile Gold Coast 500 - 2024 Porsche Paynter Dixon Carrera Cup Aust - Qualifying.zip,/replays
$[771].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/56788-05-20 06-14 2024 Boost Mobile Gold Coast 500 - 2024 Porsche Paynter Dixon Carrera Cup Aust - Qualifying.json,/replays
$[771].series,2024 Boost Mobile Gold Coast 500,/replays
$[773].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-08-23 21-52 IndyCar - Portland International Raceway - Practice 1 - Group 2.zip,/replays
$[773].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-08-23 21-52 IndyCar - Portland International Raceway - Practice 1 - Group 2.json,/replays
$[773].series,IndyCar,/replays
$[785].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-08-30 20-27 IndyCar - INDY NXT by Firestone at Milwaukee Mile - Practice 1.zip,/replays
$[785].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-08-30 20-27 IndyCar - INDY NXT by Firestone at Milwaukee Mile - Practice 1.json,/replays
$[785].series,IndyCar,/replays
$[785].description,INDY NXT by Firestone at Milwaukee Mile - Practice 1,/replays
$[792].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-03-08 19-42 IndyCar - INDY NXT - Practice 2.zip,/replays
$[792].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-03-08 19-42 IndyCar - INDY NXT - Practice 2.json,/replays
$[792].series,IndyCar,/replays
$[792].description,INDY NXT - Practice 2,/replays
$[813].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-26 14-57 IndyCar - Indianapolis 500 - Final Practice.zip,/replays
$[813].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-26 14-57 IndyCar - Indianapolis 500 - Final Practice.json,/replays
$[813].series,IndyCar,/replays
$[813].description,Indianapolis 500 - Final Practice,/replays
$[821].startTime,1591983500,/replays
$[836].series,IndyCar,/replays
$[862].series,IndyCar,/replays
$[863].series,IndyCar,/replays
$[864].series,IndyCar,/replays
$[870].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-03-23 19-57 IndyCar - Practice 4.zip,/replays
$[870].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-03-23 19-57 IndyCar - Practice 4.json,/replays
$[870].series,IndyCar,/replays
$[872].series,IndyCar,/replays
$[872].description,105th Running of the Indianapolis 500 - Practice 8,/replays
$[873].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-02-28 13-32 IndyCar - INDY NXT by Firestone GP of St Petersburg - Practice 2.zip,/replays
$[873].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-02-28 13-32 IndyCar - INDY NXT by Firestone GP of St Petersburg - Practice 2.json,/replays
$[873].series,IndyCar,/replays
$[873].description,INDY NXT by Firestone GP of St Petersburg - Practice 2,/replays
$[875].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-12 16-57 IndyCar - GMR Grand Prix - Practice 2.zip,/replays
$[875].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-12 16-57 IndyCar - GMR Grand Prix - Practice 2.json,/replays
$[875].series,IndyCar,/replays
$[880].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-02-21 22-53 2026 Dunlop Sydney 500 - 2026 Dunlop Super 2 Series - Qualifying - Race 2.zip,/replays
$[880].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-02-21 22-53 2026 Dunlop Sydney 500 - 2026 Dunlop Super 2 Series - Qualifying - Race 2.json,/replays
$[880].series,2026 Dunlop Sydney 500,/replays
$[883].series,iRacing IndyCar Open,/replays
$[896].series,IndyCar,/replays
$[896].description,Honda Indy 200 at Mid-Ohio - Final Practice,/replays
$[899].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-07-15 14-32 IndyCar - Honda Indy Toronto - Practice 2.zip,/replays
$[899].analysisFilename,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-07-15 14-32 IndyCar - Honda Indy Toronto - Practice 2.json,/replays
$[899].series,IndyCar,/replays
$[899].description,Honda Indy Toronto - Practice 2,/replays
$[927].filename,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-06-01 13-27 IndyCar - Chevrolet Detroit Grand Prix - Warm-up.zip,/replays
