thermal_gap_state,ambient_trajectory,solar_state,horizon_min,expected_delta_speed_mph,median_delta_speed_mph,p_improve,lower_80_mph,upper_80_mph,lower_90_mph,upper_90_mph,pi80_width_mph,pi90_width_mph,model_expected_delta_track_temp_c,_gap,_ambient,_solar
LOW_GAP,COOLING,LOW_SOLAR,120,-0.3995572424755506,-0.3897991454041715,0.2277,-1.2427506501277996,0.3662800021393239,-1.6611762766661144,0.872374247061555,1.6090306522671236,2.533550523727669,-1.070470854450539,LOW_GAP,COOLING,LOW_SOLAR
LOW_GAP,COOLING,MEDIAN_SOLAR,120,-0.4241097123982641,-0.4180154175235533,0.2165,-1.2753542674532343,0.3323999011803015,-1.703454308592828,0.8554845804436962,1.607754168633536,2.5589388890365243,-0.266375714278583,LOW_GAP,COOLING,MEDIAN_SOLAR
LOW_GAP,NEUTRAL,HIGH_SOLAR,120,-0.153689934350125,-0.1510817488559547,0.37996,-0.9645588480874948,0.574277044746865,-1.381189279412491,1.0891942846776568,1.53883589283436,2.470383564090148,4.151456218950393,LOW_GAP,NEUTRAL,HIGH_SOLAR
LOW_GAP,NEUTRAL,LOW_SOLAR,120,-0.1207213582724028,-0.1094428629732723,0.40912,-0.9256210082230868,0.6180705496708802,-1.343434205655135,1.1150024764157962,1.543691557893967,2.458436682070931,2.857703251953705,LOW_GAP,NEUTRAL,LOW_SOLAR
LOW_GAP,NEUTRAL,MEDIAN_SOLAR,120,-0.1362333994655749,-0.1329290310363597,0.3936,-0.9523403186385382,0.6119427511099031,-1.3767221210536198,1.116803040333558,1.5642830697484411,2.493525161387178,3.661798392125661,LOW_GAP,NEUTRAL,MEDIAN_SOLAR
LOW_GAP,WARMING,HIGH_SOLAR,120,0.0520873393907718,0.0561364112307102,0.54622,-0.7509373655508311,0.8125429602280835,-1.1791426002414682,1.3121117285299289,1.5634803257789147,2.4912543287713973,7.097586798753577,LOW_GAP,WARMING,HIGH_SOLAR
LOW_GAP,WARMING,LOW_SOLAR,120,0.1065475513924715,0.1055323403069312,0.58576,-0.6712171734907603,0.874822264622981,-1.1356648370996192,1.3544567992237693,1.5460394381137412,2.4901216363233885,5.803833831756888,LOW_GAP,WARMING,LOW_SOLAR
LOW_GAP,WARMING,MEDIAN_SOLAR,120,0.0705598847001426,0.0767412002191662,0.56278,-0.7296602110139878,0.833300934233953,-1.179346883293631,1.326480403035711,1.5629611452479408,2.5058272863293416,6.607928971928844,LOW_GAP,WARMING,MEDIAN_SOLAR
MEDIAN_GAP,COOLING,HIGH_SOLAR,120,-0.3992693563145604,-0.3857530961211741,0.2291,-1.2378885309016148,0.3498244887082433,-1.6691945724046262,0.863873593911253,1.587713019609858,2.5330681663158794,-1.0851718537538133,MEDIAN_GAP,COOLING,HIGH_SOLAR
MEDIAN_GAP,COOLING,LOW_SOLAR,120,-0.3425051456538516,-0.3410502568029652,0.25176,-1.1589683969098177,0.4267396942096944,-1.593447276694092,0.9301856071064082,1.5857080911195118,2.5236328838005004,-2.378924820750502,MEDIAN_GAP,COOLING,LOW_SOLAR
MEDIAN_GAP,COOLING,MEDIAN_SOLAR,120,-0.372060888653486,-0.3707339051086697,0.23662,-1.2146084604164131,0.3739865566102899,-1.6260477180580728,0.8920323343316037,1.5885950170267034,2.5180800523896765,-1.5748296805785458,MEDIAN_GAP,COOLING,MEDIAN_SOLAR
MEDIAN_GAP,NEUTRAL,HIGH_SOLAR,120,-0.1080845761107424,-0.10547352298518,0.41384,-0.9293768372446836,0.664149241731713,-1.345860220756419,1.156270531466561,1.5935260789763963,2.5021307522229796,2.8430022526504297,MEDIAN_GAP,NEUTRAL,HIGH_SOLAR
MEDIAN_GAP,NEUTRAL,LOW_SOLAR,120,-0.0554941136471609,-0.0550720953929269,0.45622,-0.8456370288454066,0.7199597912553837,-1.2820657276226022,1.1945739910078914,1.5655968201007902,2.476639718630494,1.5492492856537412,MEDIAN_GAP,NEUTRAL,LOW_SOLAR
MEDIAN_GAP,NEUTRAL,MEDIAN_SOLAR,120,-0.0925871532904318,-0.087330972376437,0.42906,-0.8971159215586111,0.678514726214145,-1.3434116813678427,1.1666166030353498,1.5756306477727562,2.5100282844031927,2.3533444258256973,MEDIAN_GAP,NEUTRAL,MEDIAN_SOLAR
MEDIAN_GAP,WARMING,HIGH_SOLAR,120,0.1019093617003611,0.1046839684788322,0.58396,-0.6573453627676615,0.8624219352255921,-1.1157710967061896,1.3364244752553478,1.5197672979932535,2.452195571961538,5.789132832453614,MEDIAN_GAP,WARMING,HIGH_SOLAR
MEDIAN_GAP,WARMING,LOW_SOLAR,120,0.1508038652042566,0.1542204010159773,0.62156,-0.6083779998307559,0.9187291328451674,-1.0948351000195102,1.3809024344989898,1.5271071326759234,2.4757375345185,4.4953798654569255,MEDIAN_GAP,WARMING,LOW_SOLAR
MEDIAN_GAP,WARMING,MEDIAN_SOLAR,120,0.1260599457003995,0.126193477462471,0.60108,-0.654639116040653,0.8979856789414197,-1.1070215848353164,1.3582593295975751,1.5526247949820726,2.4652809144328915,5.2994750056288815,MEDIAN_GAP,WARMING,MEDIAN_SOLAR
