scenario,horizon_min,field,pass,source_value,curve_value
neutral,15,median_delta_speed_mph,True,-0.0165614121965313,-0.0165614121965313
neutral,15,p_improve,True,0.4792,0.4792
neutral,15,lower_80_mph,True,-0.7381679209207908,-0.7381679209207908
neutral,15,upper_80_mph,True,0.7134566114008196,0.7134566114008196
neutral,15,lower_90_mph,True,-1.2249575814239917,-1.2249575814239917
neutral,15,upper_90_mph,True,1.184151160266401,1.184151160266401
neutral,15,expected_delta_track_c,True,0.4085765483072265,0.4085765483072265
neutral,30,expected_delta_speed_mph,True,-0.0349239594504233,-0.0349239594504233
neutral,30,median_delta_speed_mph,True,-0.0291141859879613,-0.0291141859879613
neutral,30,p_improve,True,0.47334,0.47334
neutral,30,lower_80_mph,True,-0.7592460121403944,-0.7592460121403944
neutral,30,upper_80_mph,True,0.7011253646452451,0.7011253646452451
neutral,30,lower_90_mph,True,-1.2478347116389714,-1.2478347116389714
neutral,30,upper_90_mph,True,1.1702080190504822,1.1702080190504822
neutral,30,expected_delta_track_c,True,0.8071910111391698,0.8071910111391698
neutral,60,expected_delta_speed_mph,True,-0.0674627691885279,-0.0674627691885279
neutral,60,median_delta_speed_mph,True,-0.0612673929727969,-0.0612673929727969
neutral,60,p_improve,True,0.44468,0.44468
neutral,60,lower_80_mph,True,-0.822098231989106,-0.822098231989106
neutral,60,upper_80_mph,True,0.6758098519602326,0.6758098519602326
neutral,60,lower_90_mph,True,-1.2892403287156706,-1.2892403287156706
neutral,60,upper_90_mph,True,1.1632171893895544,1.1632171893895544
neutral,60,expected_delta_track_c,True,1.5946044714005652,1.5946044714005652
neutral,90,expected_delta_speed_mph,True,-0.084359862852321,-0.084359862852321
neutral,90,median_delta_speed_mph,True,-0.0795708856948251,-0.0795708856948251
neutral,90,p_improve,True,0.43386,0.43386
neutral,90,lower_80_mph,True,-0.8508497833322626,-0.8508497833322626
neutral,90,upper_80_mph,True,0.6704145547305147,0.6704145547305147
neutral,90,lower_90_mph,True,-1.313306200108196,-1.313306200108196
neutral,90,upper_90_mph,True,1.152392022143197,1.152392022143197
neutral,90,expected_delta_track_c,True,2.203211932205693,2.203211932205693
neutral,120,expected_delta_speed_mph,True,-0.1002561303263352,-0.1002561303263352
neutral,120,median_delta_speed_mph,True,-0.097191115736308,-0.097191115736308
neutral,120,p_improve,True,0.42122,0.42122
neutral,120,lower_80_mph,True,-0.9053803476631344,-0.9053803476631344
neutral,120,upper_80_mph,True,0.6411643695457578,0.6411643695457578
neutral,120,lower_90_mph,True,-1.331673239469476,-1.331673239469476
neutral,120,upper_90_mph,True,1.138284970792844,1.138284970792844
neutral,120,expected_delta_track_c,True,2.455035586338136,2.455035586338136
warming,15,expected_delta_speed_mph,True,0.0285951439272708,0.0285951439272708
warming,15,median_delta_speed_mph,True,0.0276164183807908,0.0276164183807908
warming,15,p_improve,True,0.5282,0.5282
warming,15,lower_80_mph,True,-0.7134854528617942,-0.7134854528617942
warming,15,upper_80_mph,True,0.7548950443710748,0.7548950443710748
warming,15,lower_90_mph,True,-1.1867226505768975,-1.1867226505768975
warming,15,upper_90_mph,True,1.2368746775965394,1.2368746775965394
warming,15,expected_delta_track_c,True,0.6176633058294247,0.6176633058294247
warming,30,expected_delta_speed_mph,True,0.0474549180559999,0.0474549180559999
warming,30,median_delta_speed_mph,True,0.0497252279462634,0.0497252279462634
warming,30,p_improve,True,0.54506,0.54506
warming,30,lower_80_mph,True,-0.6810232075245258,-0.6810232075245258
warming,30,upper_80_mph,True,0.7832543466631614,0.7832543466631614
warming,30,lower_90_mph,True,-1.1618123824167963,-1.1618123824167963
warming,30,upper_90_mph,True,1.261687043000019,1.261687043000019
warming,30,expected_delta_track_c,True,1.3348801708307436,1.3348801708307436
warming,60,expected_delta_speed_mph,True,0.0855751920646003,0.0855751920646003
warming,60,median_delta_speed_mph,True,0.0796310120364561,0.0796310120364561
warming,60,p_improve,True,0.56746,0.56746
warming,60,lower_80_mph,True,-0.6675703434894146,-0.6675703434894146
warming,60,upper_80_mph,True,0.8337608592211789,0.8337608592211789
warming,60,lower_90_mph,True,-1.1454346423130106,-1.1454346423130106
warming,60,upper_90_mph,True,1.3148108638061025,1.3148108638061025
warming,60,expected_delta_track_c,True,3.011736091822947,3.011736091822947
warming,90,expected_delta_speed_mph,True,0.1164287442571175,0.1164287442571175
warming,90,median_delta_speed_mph,True,0.1219929188730003,0.1219929188730003
warming,90,p_improve,True,0.59878,0.59878
warming,90,lower_80_mph,True,-0.6409366471159402,-0.6409366471159402
warming,90,upper_80_mph,True,0.8766332437857616,0.8766332437857616
warming,90,lower_90_mph,True,-1.1111647683267838,-1.1111647683267838
warming,90,upper_90_mph,True,1.348803525584521,1.348803525584521
warming,90,expected_delta_track_c,True,4.591263997618558,4.591263997618558
warming,120,expected_delta_speed_mph,True,0.1635356403717391,0.1635356403717391
warming,120,median_delta_speed_mph,True,0.1635120232069901,0.1635120232069901
warming,120,p_improve,True,0.62762,0.62762
warming,120,lower_80_mph,True,-0.6243419808084251,-0.6243419808084251
warming,120,upper_80_mph,True,0.942513890419257,0.942513890419257
warming,120,lower_90_mph,True,-1.080166647933701,-1.080166647933701
warming,120,upper_90_mph,True,1.4190045159146571,1.4190045159146571
warming,120,expected_delta_track_c,True,5.990392282101953,5.990392282101953
