core_row,year,car_number,driver_name,delta_speed_mph,before_attempt_id,after_attempt_id,frozen_environment_exact_pair_count,frozen_environment__delta_ptsc_wind,frozen_environment__delta_forecast_wind_speed_10m_ms,frozen_environment__delta_forecast_gust_ms,frozen_environment__before_time_utc,frozen_environment__after_time_utc,frozen_environment__before_time_class,frozen_environment__after_time_class,r5_2_repeat_analysis_exact_pair_count,r5_2_repeat_analysis__delta_ptsc_wind,r5_2_repeat_analysis__delta_forecast_wind_speed_10m_ms,r5_2_repeat_analysis__delta_forecast_gust_ms,r5_2_repeat_analysis__delta_wind_speed_ms,r5_2_repeat_analysis__delta_gust_ms,r5_2_repeat_analysis__delta_wind_direction_deg,r5_2_repeat_analysis__delta_wind_u_ms,r5_2_repeat_analysis__delta_wind_v_ms,r5_2_repeat_analysis__previous_wind_speed_ms,r5_2_repeat_analysis__next_wind_speed_ms,r5_2_repeat_analysis__previous_gust_ms,r5_2_repeat_analysis__next_gust_ms,r5_2_repeat_analysis__before_time_utc,r5_2_repeat_analysis__after_time_utc,r5_2_repeat_analysis__before_time_class,r5_2_repeat_analysis__after_time_class,r5_2_repeat_analysis__analysis_source,r5c_same_car_exact_pair_count,r5c_same_car__delta_wind_speed_ms,r5c_same_car__delta_gust_ms,r5c_same_car__delta_wind_direction_deg,r5c_same_car__before_time_utc,r5c_same_car__after_time_utc
24,2021,98,Marco Andretti,0.611,c2deab22-d3a0-5601-80f8-4cbf631c8f88,b671a083-ccd6-5511-a882-53e7bf202c19,1,-0.384444,0.835384,0.391366,2021-05-22T16:05:46Z,2021-05-22T18:54:55Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-0.384444,0.835384,0.391366,0.8353839499,0.3913663254,61.97112372,2.305163079,-1.545045058,2.18617056,3.02155451,4.480323762,4.871690087,2021-05-22T16:05:46Z,2021-05-22T18:54:55Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,0.8353839499,0.3913663254,61.97112372,2021-05-22T16:05:46Z,2021-05-22T18:54:55Z
25,2021,98,Marco Andretti,-0.002,b671a083-ccd6-5511-a882-53e7bf202c19,cb6ab391-510a-562a-a1bc-a173959477a0,1,0.7,0.353273,-0.156119,2021-05-22T18:54:55Z,2021-05-22T21:25:30Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,0.7,0.353273,-0.156119,0.3532725027,-0.1561185165,-2.029766209,0.3243548832,0.1799767712,3.02155451,3.374827012,4.871690087,4.715571571,2021-05-22T18:54:55Z,2021-05-22T21:25:30Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,1,0.3532725027,-0.1561185165,-2.029766209,2021-05-22T18:54:55Z,2021-05-22T21:25:30Z
26,2023,11,Takuma Sato,0.465,55b6b39a-d64a-5a38-9dbc-84a9faac294b,dd0ff96a-0d57-5ba5-8691-ebf2359edec4,1,0.113333,1.28071,1.691328,2023-05-20T16:51:32Z,2023-05-20T19:48:58Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,0.113333,1.28071,1.691328,1.280710302,1.691328054,9.768077081,-0.3598884424,-1.517835401,4.628806341,5.909516642,6.268741997,7.960070052,2023-05-20T16:51:32Z,2023-05-20T19:48:58Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,0,,,,,
27,2023,27,Kyle Kirkwood,0.227,dda33fdd-49c8-5082-a03d-252bf1a6fa49,f9f206a7-b2ab-5eb9-8805-0d279c65164d,1,2.431111,0.517709,0.74614,2023-05-20T17:14:58Z,2023-05-20T19:17:10Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,2.431111,0.517709,0.74614,0.5177088404,0.7461402076,7.502388455,-0.4208457623,-0.7249919124,4.786614283,5.304323124,6.393030509,7.139170717,2023-05-20T17:14:58Z,2023-05-20T19:17:10Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,0,,,,,
28,2023,27,Kyle Kirkwood,0.045,f9f206a7-b2ab-5eb9-8805-0d279c65164d,970e09d9-9783-53a2-ac70-f2117bee1d09,1,-0.26,0.677453,1.01134,2023-05-20T19:17:10Z,2023-05-20T20:10:26Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-0.26,0.677453,1.01134,0.6774534443,1.011339772,1.242430422,0.08640355949,-0.6829324078,5.304323124,5.981776568,7.139170717,8.150510489,2023-05-20T19:17:10Z,2023-05-20T20:10:26Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,0,,,,,
29,2023,29,Devlin DeFrancesco,0.08,f10d3a91-6f0d-59f0-9ea9-4db5cf6e44b9,ab6f7ab5-b6ba-5e02-9560-f89bd35b575c,1,2.376667,0.184395,-0.026224,2023-05-20T16:23:23Z,2023-05-20T19:04:53Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,2.376667,0.184395,-0.026224,0.1843946319,-0.02622414778,1.986280793,-0.09726978265,-0.2340842533,4.926361,5.110755632,6.856105038,6.82988089,2023-05-20T16:23:23Z,2023-05-20T19:04:53Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,0,,,,,
30,2023,33,Ed Carpenter,-0.109,04dd64f3-9175-537b-b611-47d98856e4b7,2b14c17d-769c-504e-819b-55270bb93b13,1,-0.184444,0.653951,0.607077,2023-05-20T16:05:13Z,2023-05-20T19:25:49Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-0.184444,0.653951,0.607077,0.6539510129,0.6070770043,5.849593101,-0.2698789829,-0.7912217498,4.786683547,5.440634559,6.749897539,7.356974543,2023-05-20T16:05:13Z,2023-05-20T19:25:49Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,0,,,,,
31,2023,33,Ed Carpenter,0.178,2b14c17d-769c-504e-819b-55270bb93b13,55035890-97e8-57a3-a2e1-4845f4b05eb9,1,0.503333,0.003672,0.185801,2023-05-20T19:25:49Z,2023-05-20T20:47:30Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,0.503333,0.003672,0.185801,0.003672483889,0.1858010231,-3.178875009,0.2875519313,0.09210197177,5.440634559,5.444307043,7.356974543,7.542775566,2023-05-20T19:25:49Z,2023-05-20T20:47:30Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,0,,,,,
32,2023,66,Tony Kanaan,0.174,09f4cf1e-3fb8-5bfc-808c-b733eb495b54,fdb7fb74-bf21-54a6-8668-36c035e40628,1,0.608889,0.282334,-0.017943,2023-05-20T16:00:52Z,2023-05-20T18:58:45Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,0.608889,0.282334,-0.017943,0.2823341202,-0.0179429835,2.368190309,-0.08322466447,-0.3371516774,4.753237844,5.035571965,6.724466202,6.706523219,2023-05-20T16:00:52Z,2023-05-20T18:58:45Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,0,,,,,
33,2023,66,Tony Kanaan,0.727,fdb7fb74-bf21-54a6-8668-36c035e40628,d1af19f4-254b-5058-b545-543906d4584e,1,-2.64,0.522518,0.950205,2023-05-20T18:58:45Z,2023-05-20T20:33:51Z,APPROXIMATE_POINT,APPROXIMATE_POINT,1,-2.64,0.522518,0.950205,0.5225176008,0.9502046095,1.190631528,0.07509499384,-0.5286501536,5.035571965,5.558089565,6.706523219,7.656727828,2023-05-20T18:58:45Z,2023-05-20T20:33:51Z,APPROXIMATE_POINT,APPROXIMATE_POINT,FROZEN_39,0,,,,,
