core_row,year,car_number,driver_name,delta_speed_mph,residual_loyo_centered,before_attempt_id,after_attempt_id,linkage_source,linkage_status,previous_wind_speed_ms,next_wind_speed_ms,delta_wind_speed_ms,previous_gust_ms,next_gust_ms,delta_gust_ms,previous_wind_direction_deg,next_wind_direction_deg,delta_wind_direction_deg,previous_wind_u_ms,previous_wind_v_ms,next_wind_u_ms,next_wind_v_ms,delta_wind_u_ms,delta_wind_v_ms,delta_ptsc_wind,delta_forecast_wind_speed_10m_ms,delta_forecast_gust_ms,analysis_source,delta_four_lap_average_speed_mph,predicted_physical_delta_mph_loyo,residual_loyo_raw,residual_loyo_centered_core,abs_delta_speed_mph,abs_physics_residual_mph,abs_delta_wind_speed_ms,abs_delta_gust_ms,abs_delta_ptsc_wind,abs_delta_forecast_wind_speed_10m_ms,abs_delta_forecast_gust_ms,wind_vector_change_ms,mean_wind_speed_ms,mean_gust_ms
20,2021,47,Conor Daly,-0.154,-0.1133144307470647,11be8bd4-5c39-5bd2-b24f-b6c87f0d885a,fb947c1e-3d51-506f-bbbc-12ecbcdce5da,original_explicit_anchor,linked,3.209451813,3.460666993,0.2512151793,5.211900448,5.12924793,-0.08265251785,257.4610236,254.3443364,-3.116687233,3.132901717,0.6967838788,3.3322792,0.9338797399,0.1993774828,0.2370958611,-1.0,0.251215,-0.082653,FROZEN_39,-0.154,-0.1202580957880802,-0.0337419042119198,-0.1133144307470647,0.154,0.0337419042119198,0.2512151793,0.08265251785,1.0,0.251215,0.082653,0.3097835179579682,3.335059403,5.170574189
21,2021,60,Jack Harvey,4.695,4.617627178702476,7d5d82b7-9765-51c9-b149-cb7de00d3905,8ff02437-bce9-5d86-b3c7-906d93963538,original_explicit_anchor,linked,3.263080575,2.997666995,-0.2654135806,5.197611059,4.819526463,-0.3780845969,262.1400685,258.5143836,-3.62568489,3.232425041,0.4462322168,2.937637883,0.5969012288,-0.2947871582,0.1506690121,-1.0,-0.265414,-0.378085,FROZEN_39,4.695,-0.0021997052376199,4.697199705237621,4.617627178702476,4.695,4.697199705237621,0.2654135806,0.3780845969,1.0,0.265414,0.378085,0.33105984330151217,3.1303737849999997,5.008568760999999
22,2021,7,Felix Rosenqvist,0.246,0.2048012489410595,4bfd7a23-3f35-5bcf-9655-c286d7ee30ed,595096e7-98a7-552c-a5f8-f2f3eeb54d68,original_explicit_anchor,linked,3.131446342,3.335239173,0.2037928311,5.232685013,4.691416907,-0.5412681065,250.6551402,257.8092547,7.154114433,2.954650787,1.037301749,3.260029582,0.7042921736,0.3053787948,-0.3330095752,-1.181111,0.203793,-0.541268,FROZEN_39,0.246,-0.0383737754762044,0.2843737754762044,0.2048012489410595,0.246,0.2843737754762044,0.2037928311,0.5412681065,1.181111,0.203793,0.541268,0.45183136842010535,3.2333427575,4.96205096
23,2021,86,Juan Pablo Montoya,-0.154,-0.2168926726685859,11bd473d-0cf3-56e2-9aa9-fb4487870c59,f39f497a-d8a0-55e6-8bd1-ef646a4f6e71,original_explicit_anchor,linked,3.301045214,3.1487291,-0.1523161132,5.463517227,4.577617108,-0.8859001189,221.4652468,258.1176986,36.65245181,2.18583872,2.473662991,3.081260131,0.6483293535,0.8954214112,-1.825333637,0.773333,-0.152316,-0.8859,FROZEN_39,-0.154,-0.0166798538665589,-0.137320146133441,-0.2168926726685859,0.154,0.137320146133441,0.1523161132,0.8859001189,0.773333,0.152316,0.8859,2.0331311787484463,3.2248871570000004,5.020567167499999
24,2021,98,Marco Andretti,0.611,-0.0008595076511483,c2deab22-d3a0-5601-80f8-4cbf631c8f88,b671a083-ccd6-5511-a882-53e7bf202c19,original_explicit_anchor,linked,2.18617056,3.02155451,0.8353839499,4.480323762,4.871690087,0.3913663254,197.8024282,259.7735519,61.97112372,0.6683902891,2.081488923,2.973553368,0.5364438648,2.305163079,-1.545045058,-0.384444,0.835384,0.391366,FROZEN_39,0.611,0.5322869811160035,0.0787130188839965,-0.0008595076511483,0.611,0.0787130188839965,0.8353839499,0.3913663254,0.384444,0.835384,0.391366,2.7750569457283185,2.603862535,4.6760069245
25,2021,98,Marco Andretti,-0.002,0.1186628397208867,b671a083-ccd6-5511-a882-53e7bf202c19,cb6ab391-510a-562a-a1bc-a173959477a0,original_explicit_anchor,linked,3.02155451,3.374827012,0.3532725027,4.871690087,4.715571571,-0.1561185165,259.7735519,257.7437857,-2.029766209,2.973553368,0.5364438648,3.297908251,0.716420636,0.3243548832,0.1799767712,0.7,0.353273,-0.156119,FROZEN_39,-0.002,-0.2002353662560316,0.1982353662560316,0.1186628397208867,0.002,0.1982353662560316,0.3532725027,0.1561185165,0.7,0.353273,0.156119,0.37094167793234395,3.198190761,4.793630829
26,2023,11,Takuma Sato,0.465,0.3920186524777352,55b6b39a-d64a-5a38-9dbc-84a9faac294b,dd0ff96a-0d57-5ba5-8691-ebf2359edec4,recovered_strong,linked,4.628806341,5.909516642,1.280710302,6.268741997,7.960070052,1.691328054,333.3429293,343.1110064,9.768077081,2.076711685,-4.136800299,1.716823243,-5.6546357,-0.3598884424,-1.517835401,0.113333,1.28071,1.691328,FROZEN_39,0.465,-0.0065911790128801,0.4715911790128801,0.3920186524777352,0.465,0.4715911790128801,1.280710302,1.691328054,0.113333,1.28071,1.691328,1.5599179451182452,5.2691614915,7.1144060245
27,2023,27,Kyle Kirkwood,0.227,0.0969276072882226,dda33fdd-49c8-5082-a03d-252bf1a6fa49,f9f206a7-b2ab-5eb9-8805-0d279c65164d,recovered_strong,linked,4.786614283,5.304323124,0.5177088404,6.393030509,7.139170717,0.7461402076,334.4265454,341.9289339,7.502388455,2.066227635,-4.317682209,1.645381873,-5.042674121,-0.4208457623,-0.7249919124,2.431111,0.517709,0.74614,FROZEN_39,0.227,0.0504998661766324,0.1765001338233675,0.0969276072882226,0.227,0.1765001338233675,0.5177088404,0.7461402076,2.431111,0.517709,0.74614,0.8382866029534752,5.045468703499999,6.766100613
28,2023,27,Kyle Kirkwood,0.045,0.0227389598282933,f9f206a7-b2ab-5eb9-8805-0d279c65164d,970e09d9-9783-53a2-ac70-f2117bee1d09,recovered_strong,linked,5.304323124,5.981776568,0.6774534443,7.139170717,8.150510489,1.011339772,341.9289339,343.1713643,1.242430422,1.645381873,-5.042674121,1.731785433,-5.725606529,0.08640355949,-0.6829324078,-0.26,0.677453,1.01134,FROZEN_39,0.045,-0.0573114863634382,0.1023114863634382,0.0227389598282933,0.045,0.1023114863634382,0.6774534443,1.011339772,0.26,0.677453,1.01134,0.6883765312066118,5.643049846,7.6448406030000005
29,2023,29,Devlin DeFrancesco,0.08,-0.1695057102752733,f10d3a91-6f0d-59f0-9ea9-4db5cf6e44b9,ab6f7ab5-b6ba-5e02-9560-f89bd35b575c,recovered_strong,linked,4.926361,5.110755632,0.1843946319,6.856105038,6.82988089,-0.02622414778,338.2332461,340.2195269,1.986280793,1.826837602,-4.575117165,1.729567819,-4.809201419,-0.09726978265,-0.2340842533,2.376667,0.184395,-0.026224,FROZEN_39,0.08,0.1699331837401284,-0.0899331837401284,-0.1695057102752733,0.08,0.0899331837401284,0.1843946319,0.02622414778,2.376667,0.184395,0.026224,0.25348934545616864,5.018558316,6.8429929640000005
30,2023,33,Ed Carpenter,-0.109,-0.3480270384777923,04dd64f3-9175-537b-b611-47d98856e4b7,2b14c17d-769c-504e-819b-55270bb93b13,recovered_strong,linked,4.786683547,5.440634559,0.6539510129,6.749897539,7.356974543,0.6070770043,337.2831158,343.1327089,5.849593101,1.848511318,-4.415353359,1.578632335,-5.206575109,-0.2698789829,-0.7912217498,-0.184444,0.653951,0.607077,FROZEN_39,-0.109,0.1594545119426474,-0.2684545119426474,-0.3480270384777923,0.109,0.2684545119426474,0.6539510129,0.6070770043,0.184444,0.653951,0.607077,0.8359823698904854,5.113659053,7.053436040999999
31,2023,33,Ed Carpenter,0.178,0.1794368438561285,2b14c17d-769c-504e-819b-55270bb93b13,55035890-97e8-57a3-a2e1-4845f4b05eb9,recovered_strong,linked,5.440634559,5.444307043,0.003672483889,7.356974543,7.542775566,0.1858010231,343.1327089,339.9538339,-3.178875009,1.578632335,-5.206575109,1.866184266,-5.114473137,0.2875519313,0.09210197177,0.503333,0.003672,0.185801,FROZEN_39,0.178,-0.0810093703912734,0.2590093703912734,0.1794368438561285,0.178,0.2590093703912734,0.003672483889,0.1858010231,0.503333,0.003672,0.185801,0.30194185930122674,5.442470801000001,7.4498750545
32,2023,66,Tony Kanaan,0.174,-0.0724368229288688,09f4cf1e-3fb8-5bfc-808c-b733eb495b54,fdb7fb74-bf21-54a6-8668-36c035e40628,recovered_strong,linked,4.753237844,5.035571965,0.2823341202,6.724466202,6.706523219,-0.0179429835,337.0556076,339.4237979,2.368190309,1.852990652,-4.37717896,1.769765987,-4.714330638,-0.08322466447,-0.3371516774,0.608889,0.282334,-0.017943,FROZEN_39,0.174,0.1668642963937239,0.007135703606276,-0.0724368229288688,0.174,0.007135703606276,0.2823341202,0.0179429835,0.608889,0.282334,0.017943,0.34727164921683107,4.8944049045,6.7154947105
33,2023,66,Tony Kanaan,0.727,0.7687547502819057,fdb7fb74-bf21-54a6-8668-36c035e40628,d1af19f4-254b-5058-b545-543906d4584e,recovered_strong,linked,5.035571965,5.558089565,0.5225176008,6.706523219,7.656727828,0.9502046095,339.4237979,340.6144294,1.190631528,1.769765987,-4.714330638,1.844860981,-5.242980791,0.07509499384,-0.5286501536,-2.64,0.522518,0.950205,FROZEN_39,0.727,-0.1213272768170505,0.8483272768170506,0.7687547502819057,0.727,0.8483272768170506,0.5225176008,0.9502046095,2.64,0.522518,0.950205,0.5339571546492595,5.296830765,7.1816255235
34,2023,77,Callum Ilott,3.462,3.3922253564403406,f7e8b948-2fd0-5183-971b-aaea5c66c226,333cf68d-54d9-5559-ac70-c73c27086892,original_explicit_anchor,linked,4.553014992,5.054953839,0.5019388471,6.311462986,6.702175975,0.3907129888,333.5739444,338.15244,4.578495561,2.026285007,-4.07726803,1.881142555,-4.691893115,-0.1451424518,-0.614625085,-0.335556,0.501939,0.390713,FROZEN_39,3.462,-0.0097978829754853,3.4717978829754856,3.3922253564403406,3.462,3.4717978829754856,0.5019388471,0.3907129888,0.335556,0.501939,0.390713,0.6315301468859366,4.8039844155,6.506819480500001
35,2023,8,Marcus Ericsson,-0.314,-0.4834618477384036,67f2af5c-ca4c-55e7-8c2a-5361873b43cc,fce06089-154b-512e-a547-fd144ec0961c,recovered_strong,linked,4.463453075,4.940315642,0.4768625666,6.363722443,6.749085201,0.3853627572,339.0512724,337.5287754,-1.522496976,1.595828964,-4.168422156,1.888284424,-4.565205425,0.2924554601,-0.396783269,-0.302222,0.476863,0.385363,FROZEN_39,-0.314,0.0898893212032587,-0.4038893212032587,-0.4834618477384036,0.314,0.4038893212032587,0.4768625666,0.3853627572,0.302222,0.476863,0.385363,0.4929169896652265,4.7018843585,6.556403822
36,2023,8,Marcus Ericsson,0.609,0.4766324246372392,fce06089-154b-512e-a547-fd144ec0961c,79d389ee-b055-582a-8985-c09472aa4d69,recovered_strong,linked,4.940315642,6.021027411,1.080711769,6.749085201,8.143996324,1.394911123,337.5287754,343.3600304,5.831255057,1.888284424,-4.565205425,1.724162287,-5.768885116,-0.1641221369,-1.203679691,-2.114444,1.080712,1.394911,FROZEN_39,0.609,0.0527950488276158,0.5562049511723841,0.4766324246372392,0.609,0.5562049511723841,1.080711769,1.394911123,2.114444,1.080712,1.394911,1.2148172184927566,5.4806715265,7.4465407625
37,2023,9,Scott Dixon,0.461,0.2279166593812244,ad6c40ac-4389-5426-b8e5-1d130ac9da81,3a0bcd66-fa08-5944-bf0b-5ec6c5a10f91,recovered_strong,linked,4.538822457,5.154616922,0.6157944657,6.739331855,6.899964202,0.1606323471,335.3149846,340.6068688,5.291884105,1.895545954,-4.124053204,1.711580517,-4.862156697,-0.1839654368,-0.7381034933,-2.626667,0.615794,0.160632,FROZEN_39,0.461,0.1535108140836307,0.3074891859163693,0.2279166593812244,0.461,0.3074891859163693,0.6157944657,0.1606323471,2.626667,0.615794,0.160632,0.7606839348630139,4.8467196895,6.8196480285
38,2023,6,Felix Rosenqvist,0.848,0.7199597912553156,9c85ad9a-de5a-5a03-9262-9ef6823db9e8,f684d582-76d7-5411-83d0-39af174901c3,recovered_strong,linked,4.107239820140483,4.78668373021887,0.6794439100783869,5.809485495090485,8.249429404735565,2.439943909645081,,,,,,,,,,,,,R5_2_PUBLIC_RESCUE,0.848,0.0484676822095394,0.7995323177904605,0.7199597912553156,0.848,0.7995323177904605,0.6794439100783869,2.439943909645081,,,,,4.446961775179677,7.029457449913025
