year,source_rank,car_number,driver_name,official_speed_mph,official_lap1_s,official_lap2_s,official_lap3_s,official_lap4_s,timing_lap1_s,timing_lap2_s,timing_lap3_s,timing_lap4_s,lap_match_abs_sum_s,lap_match_abs_max_s,match_quality,candidate_id,first_lap_timestamp_ms,fourth_lap_timestamp_ms,attempt_mid_timestamp_ms,attempt_anchor_utc,analysis_files
2025,12,7,"Lundgaard, Christian",231.809,38.8304,38.7789,38.8518,38.8393,38.8304,38.7789,38.8518,38.8393,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_7_89,1747511649157.0,1747511765983.0,1747511707570.0,2025-05-17T19:54:09.157000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,56,7,"Lundgaard, Christian",230.304,39.389,39.0007,39.0994,38.8263,39.389,39.0007,39.0994,38.8263,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_7_87,1747496350104.0,1747496466873.0,1747496408488.5,2025-05-17T15:39:10.104000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,9,75,"Sato, Takuma",232.415,38.6448,38.6533,38.8416,38.7554,38.6448,38.6533,38.8416,38.7554,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_75_93,1747515647031.0,1747515762209.0,1747515704620.0,2025-05-17T21:00:47.031000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,34,75,"Sato, Takuma",232.169,38.7201,38.7659,38.7847,38.7889,38.7201,38.7659,38.7847,38.7889,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_75_91,1747500238703.0,1747500355354.0,1747500297028.5,2025-05-17T16:43:58.703000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,13,76,"Daly, Conor",231.725,38.8318,38.814,38.8147,38.8963,38.8318,38.814,38.8147,38.8963,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_76_99,1747518501424.0,1747518616495.0,1747518558959.5,2025-05-17T21:48:21.424000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,39,76,"Daly, Conor",231.596,38.8295,38.8616,38.8684,38.8833,38.8295,38.8616,38.8684,38.8833,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_76_95,1747497150816.0,1747497267585.0,1747497209200.5,2025-05-17T15:52:30.816000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,46,76,"Daly, Conor",231.221,38.8996,38.8977,38.9319,38.966,38.8996,38.8977,38.9319,38.966,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_76_97,1747506428223.0,1747506544993.0,1747506486608.0,2025-05-17T18:27:08.223000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,19,77,"Robb, Sting Ray",231.461,38.7773,38.8971,38.9527,38.9065,38.7773,38.8971,38.9527,38.9065,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_77_103,1747510436076.0,1747510552854.0,1747510494465.0,2025-05-17T19:33:56.076000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,54,77,"Robb, Sting Ray",230.335,39.117,39.016,38.9078,39.2536,39.117,39.016,38.9078,39.2536,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_77_101,1747502252165.0,1747502368877.0,1747502310521.0,2025-05-17T17:17:32.165000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,15,8,"Simpson, Kyffin",231.641,38.7937,38.8439,38.921,38.8541,38.7937,38.8439,38.921,38.8541,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_8_105,1747494940501.0,1747495055643.0,1747494998072.0,2025-05-17T15:15:40.501000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,6,83,"Shwartzman, Robert",232.584,38.5885,38.6101,38.7885,38.7957,38.5885,38.6101,38.7885,38.7957,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_83_108,1747495218430.0,1747495335151.0,1747495276790.5,2025-05-17T15:20:18.430000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,23,90,"Ilott, Callum",230.993,38.9142,38.9637,38.9931,38.9779,38.9142,38.9637,38.9931,38.9779,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_90_113,1747513718394.0,1747513835184.0,1747513776789.0,2025-05-17T20:28:38.394000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,51,90,"Ilott, Callum",230.704,38.9275,38.9392,39.0905,39.0871,38.9275,38.9392,39.0905,39.0871,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_90_111,1747503396335.0,1747503513086.0,1747503454710.5,2025-05-17T17:36:36.335000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,61,98,"Andretti, Marco",229.859,39.048,39.1769,39.0925,39.3006,39.048,39.1769,39.0925,39.3006,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_98_121,1747517723929.0,1747517842359.0,1747517783144.0,2025-05-17T21:35:23.929000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,62,98,"Andretti, Marco",229.857,39.1876,39.158,39.1674,39.1061,39.1876,39.158,39.1674,39.1061,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_98_115,1747500820358.0,1747500936496.0,1747500878427.0,2025-05-17T16:53:40.358000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,65,98,"Andretti, Marco",229.475,39.1535,39.2334,39.2525,39.2402,39.1535,39.2334,39.2525,39.2402,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_98_119,1747515383362.0,1747515500139.0,1747515441750.5,2025-05-17T20:56:23.362000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,66,98,"Andretti, Marco",229.356,39.1984,39.2576,39.2774,39.2278,39.1984,39.2576,39.2774,39.2278,0.0,0.0,EXACT_OR_NEAR_EXACT,T71_2025_98_117,1747508467244.0,1747508584027.0,1747508525635.5,2025-05-17T19:01:07.244000+00:00,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
