year,session_id,file,page,keyword,context
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,6,section,"1  167.351  141.541 Page 6 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 15 - Rahal, Graham Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,7,section,"15 T 3.0904 5.8580 5.7511 5.8876 56.7024 S  217.977  192.045  195.615  191.080  146.032 Page 7 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 17 - Daly, Conor Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,7,section,"615  191.080  146.032 Page 7 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 17 - Daly, Conor Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,8,section,"58 6.4402 6.0358 6.8949 53.0147 S  220.922  183.052  174.684  186.388  163.164  156.190 Page 8 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 18 - Bourdais, Sebastien Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,8,section,".164  156.190 Page 8 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 18 - Bourdais, Sebastien Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,9,section," 5 T 2.9744 5.6188 5.7752 5.5001 49.3882 S  226.478  200.221  194.798  204.542  167.658 Page 9 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 19 - Claman De Melo, Zachary (R) Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,9,section,"7.658 Page 9 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 19 - Claman De Melo, Zachary (R) Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,10,section,"5 T 3.0705 5.9619 6.2619 6.2144 53.7865 S  219.390  188.698  179.658  181.031  153.948 Page 10 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 20 - Carpenter, Ed Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,10,section,"  181.031  153.948 Page 10 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 20 - Carpenter, Ed Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
2018,5320,2018_5320_indycar-sectionresults-quals-day1.pdf,11,section,"5 T 3.0809 5.9490 5.9989 6.1148 51.2886 S  218.649  189.107  187.534  183.980  161.446 Page 11 of 36Information provided by Indy Racing Information System - Copyright INDYCAR 2018 Section Data for Car 21 - Pigot, Spencer Indianapolis Motor Speedway Section Data Report May 19, 2018 102nd Indianapolis 500Event: Track: Report: QualificationsSession: Verizon IndyCar Series 2.5 mile(s) Round 6 "
