year,file,page,line_no,keyword_hits,raw_line
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,13,34,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,13,35,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,14,7,car,May PI IndyCar 52.9570 156.360
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,14,11,car,39.8609 225.785 39.7629 226.342 39.7871 226.204 39.8350 225.932 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,14,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,14,28,speed,"T2500 Speedway T2 5.0224 5.0156 5.0168 5.0214 6.1942 to 223.996 224.300 224.247 224.041 181.622 Sage SS1 Motor Report Karam, SS1to 4.9806 225.876 4.9730 226.222 4.9701 226.354 4.9792 225.940 6.2757 179.263"
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,14,30,car | section,2.9312 229.816 2.9282 230.051 2.9248 230.319 2.9293 229.965 3.2035 210.281 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,14,33,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,14,34,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,15,7,car,May PI IndyCar 50.5640 163.760
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,15,11,car,39.7846 226.218 39.8047 226.104 39.8599 225.791 39.9069 225.525 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,15,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,15,28,speed,"T2500 Speedway T2 5.0239 5.0272 5.0382 5.0358 5.8851 to 223.930 223.783 223.294 223.400 191.161 Stefan SS1 Motor Report SS1 4.9815 225.836 4.9754 226.112 4.9760 226.085 4.9784 225.976 5.6799 198.067 Wilson, to"
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,15,30,car | section,2.9325 229.714 2.9233 230.437 2.9263 230.201 2.9261 230.216 2.9523 228.173 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,15,33,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,15,34,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,16,7,car,May PI IndyCar 50.7271 163.233
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,16,11,car,39.7337 226.508 39.8180 226.028 39.9202 225.450 39.9579 225.237 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,16,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,16,28,speed,T2500 Speedway T2 5.0031 5.0169 5.0207 5.0347 6.0411 to 224.861 224.242 224.072 223.449 186.224
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,16,32,car | section,2.9179 230.863 2.9175 230.895 2.9234 230.429 2.9302 229.894 3.0817 218.592 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,16,35,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,16,36,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,17,8,car,May SF IndyCar to 43.4752 191.520 42.8862 194.150
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,17,11,car,39.6725 226.857 39.5854 227.357 39.7919 226.177 40.0933 224.476 40.7250 220.994 39.4294 228.256 39.5200 227.733 39.6090 227.221 39.6412 227.037 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,17,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,17,28,speed,"T2500 Speedway T2 4.9872 4.9833 5.0198 5.1173 5.3346 4.9769 4.9887 5.0084 5.0116 8.0263 to 225.577 225.754 224.113 219.842 210.887 226.044 225.510 224.623 224.479 140.164 Alexander SS1 Motor Report SS1 4.9308 228.158 4.9418 227.650 4.9467 227.424 5.1039 220.420 5.4249 207.377 4.9293 228.227 4.9335 228.033 4.9500 227.273 4.9490 227.319 6.8280 164.763 Rossi, to"
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,17,30,car | section,2.9075 231.689 2.9174 230.903 2.9095 231.530 2.9195 230.737 2.9981 224.688 2.9131 231.244 2.9096 231.522 2.9191 230.769 2.9184 230.824 3.1529 213.656 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,17,33,lap,Lap 1 2 3 4 5 6 7 8 9 10
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,17,34,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,18,8,car,May SF IndyCar to 43.2766 192.399 43.0394 193.459
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,18,11,car,39.6541 226.963 39.6726 226.857 39.6538 226.964 39.6682 226.882 39.8817 225.667 39.5556 227.528 39.6166 227.177 39.7279 226.541 39.7237 226.565 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,18,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,18,28,speed,T2 Ryan500 Speedway T2 5.0316 5.0358 5.0343 5.0408 5.0692 4.9977 5.0059 5.0319 5.0339 6.6286 to 223.587 223.400 223.467 223.179 221.929 225.104 224.735 223.574 223.485 169.719
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,18,31,car | section,2.9425 228.933 2.9365 229.401 2.9326 229.706 2.9293 229.965 2.9560 227.888 2.9112 231.395 2.9138 231.188 2.9160 231.014 2.9187 230.800 3.0745 219.104 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,18,34,lap,Lap 1 2 3 4 5 6 7 8 9 10
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,18,35,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,19,7,car,May PI IndyCar 56.9272 145.455
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,19,11,car,39.6732 226.853 39.7171 226.603 39.7207 226.582 39.7592 226.363 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,19,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,19,28,car | speed,"T2500 Speedway T2 5.0033 5.0113 5.0132 5.0217 6.9929 to 224.852 224.493 224.408 224.028 160.877 Carlos SS1 Motor Report Munoz, SS1to 4.9606 226.787 4.9572 226.943 4.9632 226.668 4.9713 226.299 5.9478 189.146"
