year,file,page,page_rotation,word_count,block_count,line_count,char_count
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,20,0,126,21,26,1447
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,21,0,686,36,62,7522
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,22,0,249,33,62,2907
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,23,0,628,34,56,6876
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,24,0,231,31,56,2701
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,25,0,488,30,44,5304
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,26,0,189,27,44,2207
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,27,0,488,30,44,5303
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,28,0,189,27,44,2206
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,29,0,653,35,59,7154
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,30,0,240,32,59,2803
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,31,0,733,37,65,8049
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,32,0,266,34,65,3016
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,33,0,257,23,23,2717
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,34,0,118,20,23,1358
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,35,0,488,30,44,5311
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,36,0,189,27,44,2214
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,37,0,488,30,44,5308
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,38,0,189,27,44,2211
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,39,0,488,30,44,5303
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,40,0,189,27,44,2206
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,41,0,356,26,32,3824
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,42,0,146,23,32,1683
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,43,0,488,30,44,5305
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,44,0,189,27,44,2208
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,45,0,599,33,53,6549
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,46,0,222,30,53,2594
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,47,0,488,30,44,5310
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,48,0,189,27,44,2213
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,49,0,488,30,44,5304
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,50,0,189,27,44,2207
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,51,0,489,30,44,5308
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,52,0,190,27,44,2211
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,53,0,423,28,38,4566
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,54,0,172,25,38,1997
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,55,0,455,29,41,4938
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,56,0,180,26,41,2105
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,57,0,389,27,35,4198
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,58,0,162,24,35,1893
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,59,0,488,30,44,5303
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,60,0,189,27,44,2206
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,61,0,686,36,62,7522
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,62,0,249,33,62,2907
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,63,0,489,30,44,5306
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,64,0,190,27,44,2209
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,65,0,291,24,26,3093
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,66,0,127,21,26,1458
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,67,0,488,30,44,5304
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,68,0,189,27,44,2207
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,69,0,733,37,65,8048
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,70,0,266,34,65,3015
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,71,0,257,23,23,2716
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,72,0,118,20,23,1357
2025,2025_6656_indycar-sectionresults-quals-day1.pdf,73,0,114,33,20,1344
