rescue_priority,year,car_number,driver_name,team_name,before_run_index,after_run_index,before_attempt_id,after_attempt_id,before_time_utc,after_time_utc,before_time_class,after_time_class,elapsed_between_performance_observations_min,before_four_lap_average_speed_mph,after_four_lap_average_speed_mph,delta_four_lap_average_speed_mph,ptsc_pair_available,hrrr_pair_available,full_environment_pair_available,physical_link_quality,exclusion_reason
2,2023,45,Christian Lundgaard,,2.0,3.0,d3cf5026-1b00-5bfb-8172-34a03ecce358,c8919a56-98b9-5688-90ea-6aa29ed080e0,,,UNKNOWN,UNKNOWN,,230.859,231.056,0.197,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,45,Christian Lundgaard,,3.0,4.0,c8919a56-98b9-5688-90ea-6aa29ed080e0,b817b1da-3d3e-5619-bf2d-926dc0e7bfd0,,,UNKNOWN,UNKNOWN,,231.056,230.615,-0.441,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,51,Sting Ray Robb,,1.0,2.0,945afc8b-1f85-54cf-a7c0-a36c707605f6,7d60bb86-6562-54bb-b274-1e7b707149cf,,,UNKNOWN,UNKNOWN,,229.955,230.218,0.263,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,51,Sting Ray Robb,,2.0,3.0,7d60bb86-6562-54bb-b274-1e7b707149cf,aaf63a9f-e624-503d-accf-8f1798a60779,,,UNKNOWN,UNKNOWN,,230.218,230.74,0.522,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2023,60,Simon Pagenaud,,1.0,2.0,368dae23-2a23-508f-9f4a-968aafca6e0d,09fab927-89b4-520d-aad1-456ac5f4f11a,,,UNKNOWN,UNKNOWN,,231.687,231.878,0.191,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,5,Pato O'Ward,,,,0cb1b370-25ae-58b2-88a3-8d079ec339cc,2c6a50e6-564c-5b01-bb51-6a1d93ae56d7,,,UNKNOWN,UNKNOWN,,229.84,231.833,1.993,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,5,Pato O'Ward,,,,2c6a50e6-564c-5b01-bb51-6a1d93ae56d7,592e992b-5103-52a6-b623-e25e826386bc,,,UNKNOWN,UNKNOWN,,231.833,232.434,0.601,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,6,Callum Ilott,,,,411accca-4d36-5e24-a0fe-6db5a36714c5,5c278e99-19d1-5e85-8f4a-80b809055515,,,UNKNOWN,UNKNOWN,,232.23,231.728,-0.502,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,6,Callum Ilott,,,,5c278e99-19d1-5e85-8f4a-80b809055515,fd5283e0-98dd-56b4-8731-1cdc87fbd6b9,,,UNKNOWN,UNKNOWN,,231.728,231.995,0.267,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,15,Graham Rahal,,,,7a43b661-45d0-568a-a5a0-cb277271477b,9c3e9262-c431-5cd6-a825-1390b530a69e,,,UNKNOWN,UNKNOWN,,230.388,230.685,0.297,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,15,Graham Rahal,,,,9c3e9262-c431-5cd6-a825-1390b530a69e,b4791937-d75b-5408-8c3c-2a59daa81554,,,UNKNOWN,UNKNOWN,,230.685,230.233,-0.452,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,18,Nolan Siegel,,,,5f797729-5c3e-57f6-a678-7daba88cd24f,e91f9ace-30e9-55fa-9bfe-2167aa6c9e03,,,UNKNOWN,UNKNOWN,,228.276,226.621,-1.655,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,23,Ryan Hunter-Reay,,,,0ea71424-032e-5cc5-8235-319c546b48b2,31b7c177-37e7-5f95-82da-58b902d61269,,,UNKNOWN,UNKNOWN,,231.695,232.385,0.69,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,24,Conor Daly,,,,1af8c8bf-f788-56f3-81be-80e9e6e4c1af,368def8f-7a28-54d4-9393-3450cb254203,,,UNKNOWN,UNKNOWN,,231.243,231.09,-0.153,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,26,Colton Herta,,,,1918bf96-47b4-5e0b-afc4-1d3a7254a703,2122fcb1-992b-5480-b45c-d7e48ddcf229,,,UNKNOWN,UNKNOWN,,232.316,232.236,-0.08,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,28,Marcus Ericsson,,,,57d1f314-d70f-5dc5-8939-c39e7e310a5b,593951bf-c35d-57ed-99ba-3aca33173abf,,,UNKNOWN,UNKNOWN,,230.603,230.765,0.162,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,28,Marcus Ericsson,,,,593951bf-c35d-57ed-99ba-3aca33173abf,6ff45585-fb1d-530f-9185-8b2474335069,,,UNKNOWN,UNKNOWN,,230.765,230.342,-0.423,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,30,Pietro Fittipaldi,,,,d1cffcb4-c7e0-5ec5-8fdb-d540dcba7eb3,e51bc773-d8e6-5354-b5a6-b655f74dd604,,,UNKNOWN,UNKNOWN,,231.1,230.874,-0.226,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,41,Sting Ray Robb,,,,a6f827ba-f7fd-5632-aa50-9e648038770a,f67e0165-0d7c-5cc9-9076-3a4e6354bcab,,,UNKNOWN,UNKNOWN,,231.346,231.826,0.48,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,45,Christian Lundgaard,,,,b0fea442-416e-5edd-88b3-b430ad75ba1a,bb305266-c60f-5f5b-b658-92109cb4b844,,,UNKNOWN,UNKNOWN,,231.157,231.465,0.308,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,51,Katherine Legge,,,,aace8bfa-a08d-503d-b6f2-627ee9f4eb45,f3afb84c-e701-50f7-aece-f715b96b5be0,,,UNKNOWN,UNKNOWN,,230.83,230.244,-0.586,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,66,Tom Blomqvist,,,,bbf879f3-b407-5099-8ff9-3f4c67ad6bf7,f172d26d-2ebf-5b64-b109-6c83a2062894,,,UNKNOWN,UNKNOWN,,231.578,231.403,-0.175,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
2,2024,75,Takuma Sato,,,,1e58447e-195b-5aab-b720-7d8cd9090436,ae5fc451-f8e7-53f2-aeb0-2d119f29fcf0,,,UNKNOWN,UNKNOWN,,232.14,232.473,0.333,False,False,False,NO_PAIRED_PHYSICAL_STATE,PTSC_PAIR_UNAVAILABLE
