core_row,year,car_number,driver_name,delta_four_lap_average_speed_mph,residual_loyo_centered,abs_residual_loyo_centered,n_common_complete_sections,mean_delta_section_speed_mph,median_delta_section_speed_mph,sd_delta_section_speed_mph,min_delta_section_speed_mph,max_delta_section_speed_mph,positive_section_fraction,negative_section_fraction,direction_coherence,max_abs_section_change_share
23,2021,86,Juan Pablo Montoya,-0.154,-0.2168926726685859,0.2168926726685859,9,-0.1998611111111062,-0.21724999999997863,0.45102695511034036,-0.689249999999987,0.5679999999999836,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.178411958842944
24,2021,98,Marco Andretti,0.611,-0.0008595076511483,0.0008595076511483,9,0.6339722222222216,0.7539999999999907,0.4669217085812558,-0.11224999999998886,1.2542500000000132,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.21150035833228262
25,2021,98,Marco Andretti,-0.002,0.1186628397208867,0.1186628397208867,9,-0.016222222222220733,-0.14074999999996862,0.5310994410837181,-0.9177499999999839,0.8799999999999955,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.26478649740334803
26,2023,11,Takuma Sato,0.465,0.3920186524777352,0.3920186524777352,9,0.4469722222222193,0.4364999999999952,0.3370145222307789,-0.004249999999984766,1.1654999999999802,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.2891162790697666
27,2023,27,Kyle Kirkwood,0.227,0.0969276072882226,0.0969276072882226,9,0.1747499999999952,0.12125000000000341,0.474548337896153,-0.5519999999999925,1.0562500000000057,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.315369112487871
28,2023,27,Kyle Kirkwood,0.045,0.0227389598282933,0.0227389598282933,9,0.09113888888889063,-0.021249999999980673,0.3439916448638114,-0.2737500000000068,0.7377500000000055,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.33907847868551866
29,2023,29,Devlin DeFrancesco,0.08,-0.1695057102752733,0.1695057102752733,9,0.17111111111111021,0.21574999999998568,0.6830027579454632,-0.9347500000000082,1.1667500000000075,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.22732586458841023
30,2023,33,Ed Carpenter,-0.109,-0.3480270384777923,0.3480270384777923,9,-0.04413888888888727,0.060250000000024784,0.5224552778574612,-0.8147500000000036,0.6605000000000132,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.20408291063936113
31,2023,33,Ed Carpenter,0.178,0.1794368438561285,0.1794368438561285,9,0.2175555555555554,0.5447500000000218,0.662157526784809,-0.7394999999999925,1.0672500000000014,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.1933073718529259
32,2023,66,Tony Kanaan,0.174,-0.0724368229288688,0.0724368229288688,9,0.24158333333333026,-0.02149999999997476,0.4310227299690801,-0.20350000000001955,0.9227500000000077,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.3004966213465815
33,2023,66,Tony Kanaan,0.727,0.7687547502819057,0.7687547502819057,9,0.6722222222222203,0.46700000000001296,0.6421269763990957,-0.13700000000000045,1.6167499999999961,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.24832962138084544
34,2023,77,Callum Ilott,3.462,3.3922253564403406,3.3922253564403406,9,3.0743888888888855,1.329499999999996,3.1107088172129043,-0.09874999999999545,8.028500000000008,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.28810062080597193
35,2023,8,Marcus Ericsson,-0.314,-0.4834618477384036,0.4834618477384036,9,-0.22174999999999537,-0.18274999999999864,0.5935842400198966,-0.9694999999999823,0.6807499999999891,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.20841618745633142
36,2023,8,Marcus Ericsson,0.609,0.4766324246372392,0.4766324246372392,9,0.5636944444444415,0.35275000000001455,0.46253985939352077,0.06774999999998954,1.1917499999999848,1.0,0.0,1.0,0.2349085891686771
37,2023,9,Scott Dixon,0.461,0.2279166593812244,0.2279166593812244,9,0.4825833333333315,0.4822499999999934,0.24175998557453407,0.07399999999998386,0.7925000000000182,1.0,0.0,1.0,0.18246704656651613
38,2023,6,Felix Rosenqvist,0.848,0.7199597912553156,0.7199597912553156,9,0.7886666666666619,0.9552499999999782,0.4288094710940963,0.1325000000000216,1.4025000000000034,1.0,0.0,1.0,0.19759087066779543
