core_row,year,car_number,driver_name,delta_four_lap_average_speed_mph,residual_loyo_centered,before_attempt_id,after_attempt_id,section_name,before_mean_section_speed_mph,after_mean_section_speed_mph,delta_section_speed_mph
4,2020,59,Max Chilton,1.484,1.1702080190504822,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,SS2 to T4,223.22725,223.82925,0.6020000000000039
4,2020,59,Max Chilton,1.484,1.1702080190504822,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,T/SSF to T1,231.52125,232.67,1.1487499999999784
4,2020,59,Max Chilton,1.484,1.1702080190504822,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,T1 to SS1,225.6295,228.6365,3.007000000000005
4,2020,59,Max Chilton,1.484,1.1702080190504822,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,T2 to BS,224.85025000000002,226.31525,1.464999999999975
4,2020,59,Max Chilton,1.484,1.1702080190504822,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,T3 to SS2,224.80675,226.1905,1.383749999999992
4,2020,59,Max Chilton,1.484,1.1702080190504822,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,T4 to FS,226.04675,226.65375,0.6069999999999993
5,2020,60,Jack Harvey,-0.104,-0.4768859238856346,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,BS to T3,233.11575,232.45775,-0.657999999999987
5,2020,60,Jack Harvey,-0.104,-0.4768859238856346,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,FS to SF,232.82075,232.76775,-0.05299999999999727
5,2020,60,Jack Harvey,-0.104,-0.4768859238856346,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,SS1 to T2,226.71675,226.50625,-0.21049999999999613
5,2020,60,Jack Harvey,-0.104,-0.4768859238856346,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,SS2 to T4,226.2455,226.18525,-0.06024999999999636
5,2020,60,Jack Harvey,-0.104,-0.4768859238856346,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,T/SSF to T1,235.01975,235.233,0.21325000000001637
5,2020,60,Jack Harvey,-0.104,-0.4768859238856346,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,T1 to SS1,230.53925,230.91,0.3707499999999868
5,2020,60,Jack Harvey,-0.104,-0.4768859238856346,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,T2 to BS,229.19575,229.25525,0.059499999999985675
5,2020,60,Jack Harvey,-0.104,-0.4768859238856346,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,T3 to SS2,228.642,228.3315,-0.31049999999999045
5,2020,60,Jack Harvey,-0.104,-0.4768859238856346,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,T4 to FS,229.2935,229.11175,-0.18174999999999386
6,2020,8,Marcus Ericsson,0.094,-0.2598912928073732,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,BS to T3,233.608,233.5765,-0.03149999999999409
6,2020,8,Marcus Ericsson,0.094,-0.2598912928073732,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,FS to SF,233.3405,233.02775,-0.3127499999999941
6,2020,8,Marcus Ericsson,0.094,-0.2598912928073732,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,SS1 to T2,226.98250000000002,227.781,0.79849999999999
6,2020,8,Marcus Ericsson,0.094,-0.2598912928073732,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,SS2 to T4,227.8495,227.257,-0.5925000000000011
6,2020,8,Marcus Ericsson,0.094,-0.2598912928073732,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,T/SSF to T1,235.2905,235.301,0.010499999999979082
6,2020,8,Marcus Ericsson,0.094,-0.2598912928073732,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,T1 to SS1,230.2475,230.98425,0.7367500000000007
6,2020,8,Marcus Ericsson,0.094,-0.2598912928073732,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,T2 to BS,229.65275,230.4505,0.7977500000000077
6,2020,8,Marcus Ericsson,0.094,-0.2598912928073732,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,T3 to SS2,229.7735,229.41575,-0.35775000000001
6,2020,8,Marcus Ericsson,0.094,-0.2598912928073732,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,T4 to FS,230.2705,229.68775,-0.5827500000000043
7,2020,81,Ben Hanley,1.971,1.57945494014952,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,BS to T3,225.1975,227.26275,2.0652500000000202
7,2020,81,Ben Hanley,1.971,1.57945494014952,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,FS to SF,224.848,225.705,0.8569999999999993
7,2020,81,Ben Hanley,1.971,1.57945494014952,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,SS1 to T2,217.33025,219.166,1.8357499999999902
7,2020,81,Ben Hanley,1.971,1.57945494014952,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,SS2 to T4,216.52425,219.30525,2.781000000000006
7,2020,81,Ben Hanley,1.971,1.57945494014952,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,T/SSF to T1,228.803,228.33275,-0.47024999999999295
7,2020,81,Ben Hanley,1.971,1.57945494014952,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,T1 to SS1,220.96675,222.45275,1.4860000000000184
7,2020,81,Ben Hanley,1.971,1.57945494014952,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,T2 to BS,220.8255,222.831,2.0054999999999836
7,2020,81,Ben Hanley,1.971,1.57945494014952,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,T3 to SS2,218.587,221.80450000000002,3.2175000000000296
7,2020,81,Ben Hanley,1.971,1.57945494014952,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,T4 to FS,219.6,222.37675000000002,2.776750000000021
8,2020,88,Colton Herta,0.215,-0.1927643794706103,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,BS to T3,233.64175,234.322,0.6802500000000009
8,2020,88,Colton Herta,0.215,-0.1927643794706103,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,FS to SF,233.493,233.11175,-0.3812499999999943
8,2020,88,Colton Herta,0.215,-0.1927643794706103,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,SS1 to T2,226.5235,227.51675,0.9932499999999891
8,2020,88,Colton Herta,0.215,-0.1927643794706103,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,SS2 to T4,227.749,227.32549999999998,-0.4235000000000184
8,2020,88,Colton Herta,0.215,-0.1927643794706103,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,T/SSF to T1,235.64875,235.62875,-0.020000000000010232
8,2020,88,Colton Herta,0.215,-0.1927643794706103,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,T1 to SS1,230.873,231.17125,0.2982499999999959
8,2020,88,Colton Herta,0.215,-0.1927643794706103,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,T2 to BS,229.93075,230.407,0.4762500000000216
8,2020,88,Colton Herta,0.215,-0.1927643794706103,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,T3 to SS2,229.67125,230.09375,0.42250000000001364
8,2020,88,Colton Herta,0.215,-0.1927643794706103,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,T4 to FS,230.46699999999998,229.8025,-0.6644999999999754
9,2020,9,Scott Dixon,-0.041,-0.5253020699355216,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,33a57398-b346-53e3-b5e5-369a3ca71efc,BS to T3,234.25625,233.92225000000002,-0.33399999999997476
9,2020,9,Scott Dixon,-0.041,-0.5253020699355216,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,33a57398-b346-53e3-b5e5-369a3ca71efc,FS to SF,233.7215,233.97775000000001,0.25625000000002274
9,2020,9,Scott Dixon,-0.041,-0.5253020699355216,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,33a57398-b346-53e3-b5e5-369a3ca71efc,SS1 to T2,228.012,228.2985,0.28649999999998954
9,2020,9,Scott Dixon,-0.041,-0.5253020699355216,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,33a57398-b346-53e3-b5e5-369a3ca71efc,SS2 to T4,227.55725,226.961,-0.5962499999999977
9,2020,9,Scott Dixon,-0.041,-0.5253020699355216,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,33a57398-b346-53e3-b5e5-369a3ca71efc,T/SSF to T1,236.43675000000002,236.56725,0.13049999999998363
9,2020,9,Scott Dixon,-0.041,-0.5253020699355216,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,33a57398-b346-53e3-b5e5-369a3ca71efc,T1 to SS1,231.849,232.0475,0.1985000000000241
