core_row,year,car_number,driver_name,delta_speed_final_core_mph,residual_loyo_centered,linkage_status,before_attempt_id,after_attempt_id,anchor_delta_difference_mph,before_section_rows,before_valid_section_speed_rows,before_valid_section_time_rows,before_unique_section_names,before_section_names,before_covered_laps,before_n_covered_laps,before_full_lap_coverage_rows,after_section_rows,after_valid_section_speed_rows,after_valid_section_time_rows,after_unique_section_names,after_section_names,after_covered_laps,after_n_covered_laps,after_full_lap_coverage_rows,both_attempts_in_section_table,both_have_section_speed,both_cover_four_laps
20,2021,47,Conor Daly,-0.154,-0.1133144307470647,matched_explicit_anchor,11be8bd4-5c39-5bd2-b24f-b6c87f0d885a,fb947c1e-3d51-506f-bbbc-12ecbcdce5da,3.6914915568786455e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
21,2021,60,Jack Harvey,4.695,4.617627178702476,matched_explicit_anchor,7d5d82b7-9765-51c9-b149-cb7de00d3905,8ff02437-bce9-5d86-b3c7-906d93963538,7.105427357601002e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
22,2021,7,Felix Rosenqvist,0.246,0.2048012489410595,matched_explicit_anchor,4bfd7a23-3f35-5bcf-9655-c286d7ee30ed,595096e7-98a7-552c-a5f8-f2f3eeb54d68,9.298117831235686e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
23,2021,86,Juan Pablo Montoya,-0.154,-0.2168926726685859,matched_explicit_anchor,11bd473d-0cf3-56e2-9aa9-fb4487870c59,f39f497a-d8a0-55e6-8bd1-ef646a4f6e71,3.6914915568786455e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
24,2021,98,Marco Andretti,0.611,-0.0008595076511483,matched_explicit_anchor,c2deab22-d3a0-5601-80f8-4cbf631c8f88,b671a083-ccd6-5511-a882-53e7bf202c19,1.84297022087776e-14,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
25,2021,98,Marco Andretti,-0.002,0.1186628397208867,matched_explicit_anchor,b671a083-ccd6-5511-a882-53e7bf202c19,cb6ab391-510a-562a-a1bc-a173959477a0,9.49977943531799e-15,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,36.0,36.0,36.0,9.0,BS to T3|FS to SF|SS1 to T2|SS2 to T4|T/SSF to T1|T1 to SS1|T2 to BS|T3 to SS2|T4 to FS,1|2|3|4,4.0,36.0,True,True,True
26,2023,11,Takuma Sato,0.465,0.3920186524777352,no_explicit_anchor,,,,,,,,,,,,,,,,,,,,False,False,False
27,2023,27,Kyle Kirkwood,0.227,0.0969276072882226,no_explicit_anchor,,,,,,,,,,,,,,,,,,,,False,False,False
28,2023,27,Kyle Kirkwood,0.045,0.0227389598282933,no_explicit_anchor,,,,,,,,,,,,,,,,,,,,False,False,False
29,2023,29,Devlin DeFrancesco,0.08,-0.1695057102752733,no_explicit_anchor,,,,,,,,,,,,,,,,,,,,False,False,False
