core_row,year,car_number,driver_name,delta_four_lap_average_speed_mph,residual_loyo_centered,abs_residual_loyo_centered,n_common_complete_sections,mean_delta_section_speed_mph,median_delta_section_speed_mph,sd_delta_section_speed_mph,min_delta_section_speed_mph,max_delta_section_speed_mph,positive_section_fraction,negative_section_fraction,direction_coherence,max_abs_section_change_share,abs_delta_speed_mph,coherence_bin
10,2020,9,Scott Dixon,0.102,-0.1684248066023559,0.1684248066023559,9,0.0311944444444394,-0.3559999999999945,0.8566122115069182,-0.8135000000000048,1.4467499999999802,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.2459936238044614,0.102,<=4/9
11,2021,12,Will Power,0.176,0.0433431033147126,0.0433431033147126,9,0.1063055555555586,0.2472499999999797,0.4557840390774758,-0.7652500000000089,0.597500000000025,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.2096144627816233,0.176,5-6/9
12,2021,16,Simona De Silvestro,0.222,0.2918458210302016,0.2918458210302016,9,0.1907222222222312,-0.1037499999999909,0.5371388967896906,-0.1602499999999906,1.380500000000012,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.440702314445332,0.222,<=4/9
13,2021,18,Ed Jones,0.798,0.5261636980322767,0.5261636980322767,9,0.7808333333333337,0.7980000000000018,0.2269897781288785,0.3770000000000095,1.221749999999986,1.0,0.0,1.0,0.1738527214514386,0.798,9/9
14,2021,2,Josef Newgarden,0.022,-0.3896564665988397,0.3896564665988397,9,0.0445277777777764,0.2615000000000123,0.3791040928220681,-0.5412499999999909,0.38900000000001,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.1808537298471292,0.022,5-6/9
15,2021,21,Rinus VeeKay,0.642,0.2778380364767758,0.2778380364767758,9,0.6034444444444458,0.578249999999997,0.2795412754009347,0.2845000000000084,1.0560000000000116,1.0,0.0,1.0,0.1944393297735241,0.642,9/9
16,2021,25,Stefan Wilson,-0.02,-0.3697023639815072,0.3697023639815072,9,-0.0680833333333339,0.3404999999999916,0.8011428360473493,-1.511999999999972,0.7564999999999884,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.2429013213382029,0.02,<=4/9
17,2021,25,Stefan Wilson,-0.062,0.0,0.0,9,-0.0726111111111088,-0.1992499999999779,0.5096560438041571,-0.6037499999999909,1.078249999999997,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.317085722687845,0.062,7-8/9
18,2021,26,Colton Herta,-1.419,-1.2722536368737916,1.2722536368737916,9,-1.5275000000000034,-2.018749999999983,1.141755111385536,-2.78125,0.4802500000000123,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.1890977699211306,1.419,7-8/9
19,2021,4,Dalton Kellett,-0.927,-0.954360860724224,0.954360860724224,9,-0.8872499999999977,-0.8720000000000141,0.6615771166311586,-1.9279999999999973,0.0850000000000079,0.1111111111111111,0.8888888888888888,0.8888888888888888,0.2364121271573524,0.927,7-8/9
20,2021,47,Conor Daly,-0.154,-0.1133144307470647,0.1133144307470647,9,-0.1375277777777878,-0.154750000000007,0.3675258801355884,-0.630500000000012,0.5962499999999693,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.2231266035565822,0.154,7-8/9
21,2021,60,Jack Harvey,4.695,4.617627178702476,4.617627178702476,9,4.428583333333332,4.842249999999979,1.5686894908649125,1.5497499999999889,6.931500000000028,1.0,0.0,1.0,0.1739081346555527,4.695,9/9
22,2021,7,Felix Rosenqvist,0.246,0.2048012489410595,0.2048012489410595,9,0.177249999999996,0.0427500000000122,0.860048036449136,-0.8152500000000202,1.5630000000000166,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.2655566410397984,0.246,5-6/9
23,2021,86,Juan Pablo Montoya,-0.154,-0.2168926726685859,0.2168926726685859,9,-0.1998611111111062,-0.2172499999999786,0.4510269551103403,-0.689249999999987,0.5679999999999836,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.178411958842944,0.154,7-8/9
24,2021,98,Marco Andretti,0.611,-0.0008595076511483,0.0008595076511483,9,0.6339722222222216,0.7539999999999907,0.4669217085812558,-0.1122499999999888,1.2542500000000132,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.2115003583322826,0.611,7-8/9
25,2021,98,Marco Andretti,-0.002,0.1186628397208867,0.1186628397208867,9,-0.0162222222222207,-0.1407499999999686,0.5310994410837181,-0.917749999999984,0.8799999999999955,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.264786497403348,0.002,5-6/9
26,2023,11,Takuma Sato,0.465,0.3920186524777352,0.3920186524777352,9,0.4469722222222193,0.4364999999999952,0.3370145222307789,-0.0042499999999847,1.1654999999999802,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.2891162790697666,0.465,7-8/9
27,2023,27,Kyle Kirkwood,0.227,0.0969276072882226,0.0969276072882226,9,0.1747499999999952,0.1212500000000034,0.474548337896153,-0.5519999999999925,1.0562500000000057,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.315369112487871,0.227,7-8/9
28,2023,27,Kyle Kirkwood,0.045,0.0227389598282933,0.0227389598282933,9,0.0911388888888906,-0.0212499999999806,0.3439916448638114,-0.2737500000000068,0.7377500000000055,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3390784786855186,0.045,<=4/9
29,2023,29,Devlin DeFrancesco,0.08,-0.1695057102752733,0.1695057102752733,9,0.1711111111111102,0.2157499999999856,0.6830027579454632,-0.9347500000000082,1.1667500000000075,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.2273258645884102,0.08,5-6/9
30,2023,33,Ed Carpenter,-0.109,-0.3480270384777923,0.3480270384777923,9,-0.0441388888888872,0.0602500000000247,0.5224552778574612,-0.8147500000000036,0.6605000000000132,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.2040829106393611,0.109,<=4/9
31,2023,33,Ed Carpenter,0.178,0.1794368438561285,0.1794368438561285,9,0.2175555555555554,0.5447500000000218,0.662157526784809,-0.7394999999999925,1.0672500000000014,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.1933073718529259,0.178,5-6/9
32,2023,66,Tony Kanaan,0.174,-0.0724368229288688,0.0724368229288688,9,0.2415833333333302,-0.0214999999999747,0.4310227299690801,-0.2035000000000195,0.9227500000000076,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.3004966213465815,0.174,<=4/9
33,2023,66,Tony Kanaan,0.727,0.7687547502819057,0.7687547502819057,9,0.6722222222222203,0.4670000000000129,0.6421269763990957,-0.1370000000000004,1.616749999999996,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.2483296213808454,0.727,7-8/9
34,2023,77,Callum Ilott,3.462,3.3922253564403406,3.3922253564403406,9,3.0743888888888855,1.329499999999996,3.1107088172129043,-0.0987499999999954,8.028500000000008,0.8888888888888888,0.1111111111111111,0.8888888888888888,0.2881006208059719,3.462,7-8/9
35,2023,8,Marcus Ericsson,-0.314,-0.4834618477384036,0.4834618477384036,9,-0.2217499999999953,-0.1827499999999986,0.5935842400198966,-0.9694999999999824,0.6807499999999891,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.2084161874563314,0.314,7-8/9
36,2023,8,Marcus Ericsson,0.609,0.4766324246372392,0.4766324246372392,9,0.5636944444444415,0.3527500000000145,0.4625398593935207,0.0677499999999895,1.1917499999999848,1.0,0.0,1.0,0.2349085891686771,0.609,9/9
37,2023,9,Scott Dixon,0.461,0.2279166593812244,0.2279166593812244,9,0.4825833333333315,0.4822499999999934,0.241759985574534,0.0739999999999838,0.7925000000000182,1.0,0.0,1.0,0.1824670465665161,0.461,9/9
38,2023,6,Felix Rosenqvist,0.848,0.7199597912553156,0.7199597912553156,9,0.7886666666666619,0.9552499999999782,0.4288094710940963,0.1325000000000216,1.4025000000000034,1.0,0.0,1.0,0.1975908706677954,0.848,9/9
