catalogue_index,id,series,description,startTime,start_utc,start_indianapolis,filename,analysisFilename,indy_keyword,qual_keyword,500_keyword,inferred_year
6875,741354db-854d-4c57-9949-3a79dc835598,IndyCar,110th Running of the Indianapolis 500 - Qualifications - Top 12,1779049655,2026-05-17T20:27:35+00:00,2026-05-17T16:27:35-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-17 20-27 IndyCar - 110th Running of the Indianapolis 500 - Qualifications - Top 12.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-17 20-27 IndyCar - 110th Running of the Indianapolis 500 - Qualifications - Top 12.json,True,True,True,2026
6891,74622252638746b2821d6822ae31527a,IndyCar,102nd Indianapolis 500 - Qualifying,1526741675,2018-05-19T14:54:35+00:00,2018-05-19T10:54:35-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/74622252638746b2821d6822ae31527a.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/74622252638746b2821d6822ae31527a.json,True,True,True,2018
7114,783a363f-d860-483f-812e-fe986b7952d7,IndyCar,109th Running of the Indianapolis 500 - Qualifications - Fast 6,1747602726,2025-05-18T21:12:06+00:00,2025-05-18T17:12:06-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-18 21-12 IndyCar - 109th Running of the Indianapolis 500 - Qualifications - Fast 6.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2025-05-18 21-12 IndyCar - 109th Running of the Indianapolis 500 - Qualifications - Fast 6.json,True,True,True,2025
7145,78b8abc0-6b3c-4315-b757-fbef0250cc16,IndyCar,108th Running of the Indianapolis 500 - Practice 7,1716134257,2024-05-19T15:57:37+00:00,2024-05-19T11:57:37-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-19 15-57 IndyCar - 108th Running of the Indianapolis 500 - Practice 7.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2024-05-19 15-57 IndyCar - 108th Running of the Indianapolis 500 - Practice 7.json,True,False,True,2024
7168,791a7635-42f3-4062-8b1f-e4866b106325,IndyCar,110th Running of the Indianapolis 500 - Practice 2,1778687857,2026-05-13T15:57:37+00:00,2026-05-13T11:57:37-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-13 15-57 IndyCar - 110th Running of the Indianapolis 500 - Practice 2.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2026-05-13 15-57 IndyCar - 110th Running of the Indianapolis 500 - Practice 2.json,True,False,True,2026
7206,79d7dad95913427391defdfc48bd1e0a,IndyCar,104th Indianapolis 500 - Practice 4,1597494309,2020-08-15T12:25:09+00:00,2020-08-15T08:25:09-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/79d7dad95913427391defdfc48bd1e0a.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/79d7dad95913427391defdfc48bd1e0a.json,True,False,True,2020
7461,7e2c11f021464086b1d10e2f414cf9c5,IndyCar,105th Running of the Indianapolis 500 - Practice 6,1621689921,2021-05-22T13:25:21+00:00,2021-05-22T09:25:21-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/7e2c11f021464086b1d10e2f414cf9c5.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/7e2c11f021464086b1d10e2f414cf9c5.json,True,False,True,2021
7532,7f52aa8e7a9845d8aa910632426e5049,IndyCar,104th Indianapolis 500 - Practice 5,1597589710,2020-08-16T14:55:10+00:00,2020-08-16T10:55:10-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/7f52aa8e7a9845d8aa910632426e5049.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/7f52aa8e7a9845d8aa910632426e5049.json,True,False,True,2020
7666,8198a0ed-c303-4c87-915c-862ed6c2823f,IndyCar,Indianapolis 500 - Practice 1,1684263473,2023-05-16T18:57:53+00:00,2023-05-16T14:57:53-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-16 18-57 IndyCar - Indianapolis 500 - Practice 1.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/2023-05-16 18-57 IndyCar - Indianapolis 500 - Practice 1.json,True,False,True,2023
7896,85dd8f4149b04eea83257d1d52e60913,IndyCar,104th Indianapolis 500 - Practice 1,1597244109,2020-08-12T14:55:09+00:00,2020-08-12T10:55:09-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/85dd8f4149b04eea83257d1d52e60913.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/85dd8f4149b04eea83257d1d52e60913.json,True,False,True,2020
7898,85dd8f4149b04eea83257d1d52e60913:2,IndyCar,104th Indianapolis 500 - Practice 1,1597258895,2020-08-12T19:01:35+00:00,2020-08-12T15:01:35-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/85dd8f4149b04eea83257d1d52e60913_2.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/85dd8f4149b04eea83257d1d52e60913_2.json,True,False,True,2020
7966,86b0fc8a4b424ce6b00b7bb152f69b7f:1,IndyCar,105th Running of the Indianapolis 500 - Practice 3,1621440462,2021-05-19T16:07:42+00:00,2021-05-19T12:07:42-04:00,https://s3.us-east-005.backblazeb2.com/t71-archive/86b0fc8a4b424ce6b00b7bb152f69b7f_1.zip,https://s3.us-east-005.backblazeb2.com/t71-archive/86b0fc8a4b424ce6b00b7bb152f69b7f_1.json,True,False,True,2021
