year,car_number,candidate_start_index,lapnum1,lapnum2,lapnum3,lapnum4,lap1_s,lap2_s,lap3_s,lap4_s,derived_avg_speed_mph,first_lap_timestamp_ms,fourth_lap_timestamp_ms,attempt_anchor_timestamp_ms,attempt_anchor_utc,attempt_anchor_indianapolis,window_span_s,analysis_files
2025,17,1,2,3,4,5,39.0386,39.0349,39.1709,39.2411,230.0532637209198,1747499967091,1747500083746,1747499967091,2025-05-17T16:39:27.091000+00:00,2025-05-17T12:39:27.091000-04:00,116.655,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,17,5,6,7,8,9,41.6206,38.8021,38.8883,38.9354,227.49332686241203,1747509231317,1747509348067,1747509231317,2025-05-17T19:13:51.317000+00:00,2025-05-17T15:13:51.317000-04:00,116.75,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,17,6,7,8,9,10,38.8021,38.8883,38.9354,38.9984,231.32649035304277,1747509269666,1747509386436,1747509269666,2025-05-17T19:14:29.666000+00:00,2025-05-17T15:14:29.666000-04:00,116.77,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,18,0,1,2,3,4,41.9963,39.2308,39.2621,39.2902,225.31064705462657,1747503636538,1747503755128,1747503636538,2025-05-17T17:40:36.538000+00:00,2025-05-17T13:40:36.538000-04:00,118.59,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,18,1,2,3,4,5,39.2308,39.2621,39.2902,39.266,229.22767465716134,1747503675054,1747503793500,1747503675054,2025-05-17T17:41:15.054000+00:00,2025-05-17T13:41:15.054000-04:00,118.446,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,18,5,6,7,8,9,40.8288,39.1007,39.0825,39.1754,227.5781762643548,1747513404813,1747513521545,1747513404813,2025-05-17T20:23:24.813000+00:00,2025-05-17T16:23:24.813000-04:00,116.732,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,18,6,7,8,9,10,39.1007,39.0825,39.1754,39.4915,229.51850206024733,1747513443159,1747513561546,1747513443159,2025-05-17T20:24:03.159000+00:00,2025-05-17T16:24:03.159000-04:00,118.387,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,18,10,11,12,13,14,41.2601,39.184,39.2878,39.3557,226.29042112647372,1747517947432,1747518066062,1747517947432,2025-05-17T21:39:07.432000+00:00,2025-05-17T17:39:07.432000-04:00,118.63,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,2,0,1,2,3,4,41.4324,38.6151,38.6252,38.6271,228.8623380322162,1747505220195,1747505335449,1747505220195,2025-05-17T18:07:00.195000+00:00,2025-05-17T14:07:00.195000-04:00,115.254,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,2,1,2,3,4,5,38.6151,38.6252,38.6271,38.6362,233.0042795119337,1747505258737,1747505373835,1747505258737,2025-05-17T18:07:38.737000+00:00,2025-05-17T14:07:38.737000-04:00,115.098,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,20,0,1,2,3,4,41.2214,38.6972,38.8683,38.8927,228.31108145885707,1747495442596,1747495557767,1747495442596,2025-05-17T15:24:02.596000+00:00,2025-05-17T11:24:02.596000-04:00,115.171,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,20,1,2,3,4,5,38.6972,38.8683,38.8927,39.0424,231.5103607317271,1747495480985,1747495597691,1747495480985,2025-05-17T15:24:40.985000+00:00,2025-05-17T11:24:40.985000-04:00,116.706,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,20,5,6,7,8,9,41.3998,38.8206,38.8893,38.8778,227.86612864941844,1747505774027,1747505890817,1747505774027,2025-05-17T18:16:14.027000+00:00,2025-05-17T14:16:14.027000-04:00,116.79,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,20,6,7,8,9,10,38.8206,38.8893,38.8778,39.0213,231.34908649242655,1747505812386,1747505929177,1747505812386,2025-05-17T18:16:52.386000+00:00,2025-05-17T14:16:52.386000-04:00,116.791,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,20,10,11,12,13,14,41.1458,38.671,38.8792,38.8304,228.5331220671583,1747510661289,1747510778094,1747510661289,2025-05-17T19:37:41.289000+00:00,2025-05-17T15:37:41.289000-04:00,116.805,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,20,11,12,13,14,15,38.671,38.8792,38.8304,38.9919,231.70123413087902,1747510701328,1747510818147,1747510701328,2025-05-17T19:38:21.328000+00:00,2025-05-17T15:38:21.328000-04:00,116.819,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,20,15,16,17,18,19,41.3452,38.7909,38.8244,38.8711,228.09120607026733,1747516109113,1747516225921,1747516109113,2025-05-17T21:08:29.113000+00:00,2025-05-17T17:08:29.113000-04:00,116.808,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,20,16,17,18,19,20,38.7909,38.8244,38.8711,38.9052,231.67275451182692,1747516149149,1747516265953,1747516149149,2025-05-17T21:09:09.149000+00:00,2025-05-17T17:09:09.149000-04:00,116.804,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,21,0,1,2,3,4,40.9689,38.9281,38.9435,38.9127,228.20456256988766,1747502475785,1747502632529,1747502475785,2025-05-17T17:21:15.785000+00:00,2025-05-17T13:21:15.785000-04:00,156.744,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,21,4,5,6,7,8,41.2975,38.8525,38.9401,38.9435,227.79965779429182,1747512180260,1747512297012,1747512180260,2025-05-17T20:03:00.260000+00:00,2025-05-17T16:03:00.260000-04:00,116.752,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,21,5,6,7,8,9,38.8525,38.9401,38.9435,38.9694,231.2057056430248,1747512218625,1747512335395,1747512218625,2025-05-17T20:03:38.625000+00:00,2025-05-17T16:03:38.625000-04:00,116.77,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,23,0,1,2,3,4,43.0982,39.073,39.0746,39.074,224.5511783323083,1747495728196,1747495844912,1747495728196,2025-05-17T15:28:48.196000+00:00,2025-05-17T11:28:48.196000-04:00,116.716,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,23,1,2,3,4,5,39.073,39.0746,39.074,39.1398,230.23585104763708,1747495766584,1747495884844,1747495766584,2025-05-17T15:29:26.584000+00:00,2025-05-17T11:29:26.584000-04:00,118.26,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,23,5,6,7,8,9,42.8814,39.0208,39.0438,39.1288,224.89486165217764,1747514188876,1747514307269,1747514188876,2025-05-17T20:36:28.876000+00:00,2025-05-17T16:36:28.876000-04:00,118.393,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,23,6,7,8,9,10,39.0208,39.0438,39.1288,39.0818,230.36284708002293,1747514228891,1747514345636,1747514228891,2025-05-17T20:37:08.891000+00:00,2025-05-17T16:37:08.891000-04:00,116.745,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,24,0,1,2,3,4,42.3706,38.9101,39.0487,39.2036,225.65864115888246,1747496001515,1747496119737,1747496001515,2025-05-17T15:33:21.515000+00:00,2025-05-17T11:33:21.515000-04:00,118.222,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,24,1,2,3,4,5,38.9101,39.0487,39.2036,39.1229,230.34795978892447,1747496041442,1747496158117,1747496041442,2025-05-17T15:34:01.442000+00:00,2025-05-17T11:34:01.442000-04:00,116.675,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,24,5,6,7,8,9,42.1077,39.0065,39.0799,39.177,225.88788055048875,1747515076333,1747515193245,1747515076333,2025-05-17T20:51:16.333000+00:00,2025-05-17T16:51:16.333000-04:00,116.912,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,24,6,7,8,9,10,39.0065,39.0799,39.177,39.2503,230.01181366231836,1747515116349,1747515233249,1747515116349,2025-05-17T20:51:56.349000+00:00,2025-05-17T16:51:56.349000-04:00,116.9,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,26,1,2,3,4,5,41.1013,39.1173,39.0871,39.0924,227.2754534303126,1747514797745,1747514916169,1747514797745,2025-05-17T20:46:37.745000+00:00,2025-05-17T16:46:37.745000-04:00,118.424,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,26,2,3,4,5,6,39.1173,39.0871,39.0924,39.0942,230.1922744914989,1747514836121,1747514954537,1747514836121,2025-05-17T20:47:16.121000+00:00,2025-05-17T16:47:16.121000-04:00,118.416,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,27,0,1,2,3,4,40.7741,38.8022,38.9161,38.9177,228.70197020394497,1747502780970,1747502896056,1747502780970,2025-05-17T17:26:20.970000+00:00,2025-05-17T13:26:20.970000-04:00,115.086,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,27,1,2,3,4,5,38.8022,38.9161,38.9177,39.2639,230.9174027693411,1747502819314,1747502936080,1747502819314,2025-05-17T17:26:59.314000+00:00,2025-05-17T13:26:59.314000-04:00,116.766,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,27,5,6,7,8,9,40.8838,39.0036,39.0055,38.9944,228.01073930582132,1747511066726,1747511183545,1747511066726,2025-05-17T19:44:26.726000+00:00,2025-05-17T15:44:26.726000-04:00,116.819,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,27,6,7,8,9,10,39.0036,39.0055,38.9944,38.93,230.86764550273037,1747511105117,1747511221908,1747511105117,2025-05-17T19:45:05.117000+00:00,2025-05-17T15:45:05.117000-04:00,116.791,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,28,0,1,2,3,4,41.1636,38.7726,38.7193,38.7681,228.6823576642892,1747494346878,1747494463541,1747494346878,2025-05-17T15:05:46.878000+00:00,2025-05-17T11:05:46.878000-04:00,116.663,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,28,1,2,3,4,5,38.7726,38.7193,38.7681,38.8243,232.13181476139107,1747494386800,1747494501923,1747494386800,2025-05-17T15:06:26.800000+00:00,2025-05-17T11:06:26.800000-04:00,115.123,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,28,5,6,7,8,9,41.1705,38.8887,38.8865,38.8941,228.0793564107405,1747509581580,1747509696754,1747509581580,2025-05-17T19:19:41.580000+00:00,2025-05-17T15:19:41.580000-04:00,115.174,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,3,0,1,2,3,4,41.1147,38.6043,38.7107,38.5799,229.2853430618255,1747501934932,1747502051645,1747501934932,2025-05-17T17:12:14.932000+00:00,2025-05-17T13:12:14.932000-04:00,116.713,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,3,1,2,3,4,5,38.6043,38.7107,38.5799,38.603,233.01287590316758,1747501974935,1747502090409,1747501974935,2025-05-17T17:12:54.935000+00:00,2025-05-17T13:12:54.935000-04:00,115.474,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,30,0,1,2,3,4,41.1283,38.7916,39.2063,39.1234,227.4887266697673,1747503062837,1747503179575,1747503062837,2025-05-17T17:31:02.837000+00:00,2025-05-17T13:31:02.837000-04:00,116.738,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,30,1,2,3,4,5,38.7916,39.2063,39.1234,39.1183,230.41533644479375,1747503101191,1747503217935,1747503101191,2025-05-17T17:31:41.191000+00:00,2025-05-17T13:31:41.191000-04:00,116.744,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,30,5,6,7,8,9,41.1782,38.7468,38.8389,38.8811,228.3611912842145,1747512920977,1747513036054,1747512920977,2025-05-17T20:15:20.977000+00:00,2025-05-17T16:15:20.977000-04:00,115.077,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,30,6,7,8,9,10,38.7468,38.8389,38.8811,38.9907,231.57454609780808,1747512959327,1747513076122,1747512959327,2025-05-17T20:15:59.327000+00:00,2025-05-17T16:15:59.327000-04:00,116.795,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,33,0,1,2,3,4,41.4463,38.7285,38.9669,38.9237,227.75382847859174,1747500478658,1747500593633,1747500478658,2025-05-17T16:47:58.658000+00:00,2025-05-17T12:47:58.658000-04:00,114.975,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,33,1,2,3,4,5,38.7285,38.9669,38.9237,38.961,231.39206106693595,1747500518665,1747500633656,1747500518665,2025-05-17T16:48:38.665000+00:00,2025-05-17T12:48:38.665000-04:00,114.991,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,33,5,6,7,8,9,41.4617,38.7904,38.8833,38.8448,227.87665796093435,1747514510721,1747514625992,1747514510721,2025-05-17T20:41:50.721000+00:00,2025-05-17T16:41:50.721000-04:00,115.271,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,33,6,7,8,9,10,38.7904,38.8833,38.8448,38.8995,231.63340153650154,1747514549095,1747514666021,1747514549095,2025-05-17T20:42:29.095000+00:00,2025-05-17T16:42:29.095000-04:00,116.926,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,4,0,1,2,3,4,40.6665,38.8124,38.813,38.7028,229.30710399777828,1747499114064,1747499228963,1747499114064,2025-05-17T16:25:14.064000+00:00,2025-05-17T12:25:14.064000-04:00,114.899,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,4,1,2,3,4,5,38.8124,38.813,38.7028,38.7144,232.1942485484635,1747499152396,1747499268945,1747499152396,2025-05-17T16:25:52.396000+00:00,2025-05-17T12:25:52.396000-04:00,116.549,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,4,5,6,7,8,9,41.4149,38.6251,38.6378,38.7685,228.6493871243719,1747516647445,1747516762979,1747516647445,2025-05-17T21:17:27.445000+00:00,2025-05-17T17:17:27.445000-04:00,115.534,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,4,6,7,8,9,10,38.6251,38.6378,38.7685,38.7766,232.5461216474601,1747516687503,1747516803027,1747516687503,2025-05-17T21:18:07.503000+00:00,2025-05-17T17:18:07.503000-04:00,115.524,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,45,0,1,2,3,4,41.4573,38.953,38.9981,39.0988,227.1190204609002,1747501651500,1747501769848,1747501651500,2025-05-17T17:07:31.500000+00:00,2025-05-17T13:07:31.500000-04:00,118.348,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,45,1,2,3,4,5,38.953,38.9981,39.0988,39.0877,230.5658598569467,1747501691494,1747501808194,1747501691494,2025-05-17T17:08:11.494000+00:00,2025-05-17T13:08:11.494000-04:00,116.7,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,45,5,6,7,8,9,40.6554,38.8669,38.9154,39.012,228.6444496242292,1747516383325,1747516498828,1747516383325,2025-05-17T21:13:03.325000+00:00,2025-05-17T17:13:03.325000-04:00,115.503,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,45,6,7,8,9,10,38.8669,38.9154,39.012,39.0106,231.05820163550698,1747516421995,1747516537194,1747516421995,2025-05-17T21:13:41.995000+00:00,2025-05-17T17:13:41.995000-04:00,115.199,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,5,0,1,2,3,4,41.3227,38.6512,38.6486,38.6614,228.8854739741321,1747494632450,1747494747585,1747494632450,2025-05-17T15:10:32.450000+00:00,2025-05-17T11:10:32.450000-04:00,115.135,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,5,1,2,3,4,5,38.6512,38.6486,38.6614,38.6645,232.82028795989282,1747494670831,1747494785961,1747494670831,2025-05-17T15:11:10.831000+00:00,2025-05-17T11:11:10.831000-04:00,115.13,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,51,0,1,2,3,4,42.5343,39.7125,39.7983,39.6218,222.68009097718829,1747501084756,1747501203145,1747501084756,2025-05-17T16:58:04.756000+00:00,2025-05-17T12:58:04.756000-04:00,118.389,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,51,1,2,3,4,5,39.7125,39.7983,39.6218,39.5566,226.8585385772945,1747501124765,1747501243134,1747501124765,2025-05-17T16:58:44.765000+00:00,2025-05-17T12:58:44.765000-04:00,118.369,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,6,0,1,2,3,4,41.8953,38.9652,38.9952,39.0642,226.5292137737313,1747496842004,1747496958766,1747496842004,2025-05-17T15:47:22.004000+00:00,2025-05-17T11:47:22.004000-04:00,116.762,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,6,1,2,3,4,5,38.9652,38.9952,39.0642,39.1096,230.57088069109778,1747496881961,1747496998708,1747496881961,2025-05-17T15:48:01.961000+00:00,2025-05-17T11:48:01.961000-04:00,116.747,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,6,5,6,7,8,9,41.7695,39.0525,39.1262,39.1257,226.30991004809712,1747508967667,1747509084467,1747508967667,2025-05-17T19:09:27.667000+00:00,2025-05-17T15:09:27.667000-04:00,116.8,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,6,6,7,8,9,10,39.0525,39.1262,39.1257,39.15,230.09899370040088,1747509006035,1747509122848,1747509006035,2025-05-17T19:10:06.035000+00:00,2025-05-17T15:10:06.035000-04:00,116.813,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,60,0,1,2,3,4,38.5713,38.5816,38.9564,38.7633,232.44912269826943,1747497448885,1747497565646,1747497448885,2025-05-17T15:57:28.885000+00:00,2025-05-17T11:57:28.885000-04:00,116.761,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,60,4,5,6,7,8,41.3098,38.9715,38.9603,38.9678,227.54653010503802,1747517420239,1747517537104,1747517420239,2025-05-17T21:30:20.239000+00:00,2025-05-17T17:30:20.239000-04:00,116.865,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,66,3,4,5,6,7,41.631,39.1987,39.2122,40.4147,224.35973341077897,1747518211154,1747518329616,1747518211154,2025-05-17T21:43:31.154000+00:00,2025-05-17T17:43:31.154000-04:00,118.462,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,7,0,1,2,3,4,41.5517,39.389,39.0007,39.0994,226.3570102766083,1747496311698,1747496428467,1747496311698,2025-05-17T15:38:31.698000+00:00,2025-05-17T11:38:31.698000-04:00,116.769,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,7,1,2,3,4,5,39.389,39.0007,39.0994,38.8263,230.30360412345806,1747496350104,1747496466873,1747496350104,2025-05-17T15:39:10.104000+00:00,2025-05-17T11:39:10.104000-04:00,116.769,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,7,5,6,7,8,9,41.5108,38.8304,38.7789,38.8518,227.88863082611527,1747511610757,1747511727617,1747511610757,2025-05-17T19:53:30.757000+00:00,2025-05-17T15:53:30.757000-04:00,116.86,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,7,6,7,8,9,10,38.8304,38.7789,38.8518,38.8393,231.80880409837968,1747511649157,1747511765983,1747511649157,2025-05-17T19:54:09.157000+00:00,2025-05-17T15:54:09.157000-04:00,116.826,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,75,0,1,2,3,4,40.9491,38.7201,38.7659,38.7847,228.97879274747834,1747500200382,1747500317038,1747500200382,2025-05-17T16:43:20.382000+00:00,2025-05-17T12:43:20.382000-04:00,116.656,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,75,1,2,3,4,5,38.7201,38.7659,38.7847,38.7889,232.1687918709967,1747500238703,1747500355354,1747500238703,2025-05-17T16:43:58.703000+00:00,2025-05-17T12:43:58.703000-04:00,116.651,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,75,5,6,7,8,9,41.0171,38.6448,38.6533,38.8416,229.07058428270363,1747515606973,1747515725518,1747515606973,2025-05-17T21:00:06.973000+00:00,2025-05-17T17:00:06.973000-04:00,118.545,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,75,6,7,8,9,10,38.6448,38.6533,38.8416,38.7554,232.415357232088,1747515647031,1747515762209,1747515647031,2025-05-17T21:00:47.031000+00:00,2025-05-17T17:00:47.031000-04:00,115.178,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,76,0,1,2,3,4,41.8047,38.8295,38.8616,38.8684,227.32410481661887,1747497112415,1747497229179,1747497112415,2025-05-17T15:51:52.415000+00:00,2025-05-17T11:51:52.415000-04:00,116.764,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,76,1,2,3,4,5,38.8295,38.8616,38.8684,38.8833,231.5964457665456,1747497150816,1747497267585,1747497150816,2025-05-17T15:52:30.816000+00:00,2025-05-17T11:52:30.816000-04:00,116.769,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,76,5,6,7,8,9,41.8583,38.8996,38.8977,38.9319,227.00401986285175,1747506388200,1747506504955,1747506388200,2025-05-17T18:26:28.200000+00:00,2025-05-17T14:26:28.200000-04:00,116.755,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
2025,76,6,7,8,9,10,38.8996,38.8977,38.9319,38.966,231.22100103278714,1747506428223,1747506544993,1747506428223,2025-05-17T18:27:08.223000+00:00,2025-05-17T14:27:08.223000-04:00,116.77,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json
