year,analysis_file,car_number,stint_index,lap_index,lap_number,laptime_s,timestamp_ms,timestamp_utc,timestamp_indianapolis,flag
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,6,0,2,3,38.9952,1747496920364,2025-05-17T15:48:40.364000+00:00,2025-05-17T11:48:40.364000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,6,0,3,4,39.0642,1747496958766,2025-05-17T15:49:18.766000+00:00,2025-05-17T11:49:18.766000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,6,0,4,5,39.1096,1747496998708,2025-05-17T15:49:58.708000+00:00,2025-05-17T11:49:58.708000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,76,0,0,1,41.8047,1747497112415,2025-05-17T15:51:52.415000+00:00,2025-05-17T11:51:52.415000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,76,0,1,2,38.8295,1747497150816,2025-05-17T15:52:30.816000+00:00,2025-05-17T11:52:30.816000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,76,0,2,3,38.8616,1747497190777,2025-05-17T15:53:10.777000+00:00,2025-05-17T11:53:10.777000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,76,0,3,4,38.8684,1747497229179,2025-05-17T15:53:49.179000+00:00,2025-05-17T11:53:49.179000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,76,0,4,5,38.8833,1747497267585,2025-05-17T15:54:27.585000+00:00,2025-05-17T11:54:27.585000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,60,0,0,1,38.5713,1747497448885,2025-05-17T15:57:28.885000+00:00,2025-05-17T11:57:28.885000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,60,0,1,2,38.5816,1747497488801,2025-05-17T15:58:08.801000+00:00,2025-05-17T11:58:08.801000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,60,0,2,3,38.9564,1747497527232,2025-05-17T15:58:47.232000+00:00,2025-05-17T11:58:47.232000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,60,0,3,4,38.7633,1747497565646,2025-05-17T15:59:25.646000+00:00,2025-05-17T11:59:25.646000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,9,0,0,1,41.1864,1747497674759,2025-05-17T16:01:14.759000+00:00,2025-05-17T12:01:14.759000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,9,0,1,2,38.6806,1747497753098,2025-05-17T16:02:33.098000+00:00,2025-05-17T12:02:33.098000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,9,0,2,3,38.6962,1747497791493,2025-05-17T16:03:11.493000+00:00,2025-05-17T12:03:11.493000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,9,0,3,4,38.6667,1747497829907,2025-05-17T16:03:49.907000+00:00,2025-05-17T12:03:49.907000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,26,0,0,1,40.6946,1747497962588,2025-05-17T16:06:02.588000+00:00,2025-05-17T12:06:02.588000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,4,0,0,1,40.6665,1747499114064,2025-05-17T16:25:14.064000+00:00,2025-05-17T12:25:14.064000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,4,0,1,2,38.8124,1747499152396,2025-05-17T16:25:52.396000+00:00,2025-05-17T12:25:52.396000-04:00,green
