year,analysis_file,root,car_number,record_index,parent_start_ts,parent_end_ts,parent_start_utc,parent_end_utc,history_count,record_repr
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,15,0,1558209443.960129,1558209683.955886,2019-05-18T19:57:23.960129+00:00,2019-05-18T20:01:23.955886+00:00,8,"[1, 1558209443.960129, 0.0, 1558209683.955886, True, 0, 39.3793, 2, 39.851800000000004, [[39.6605, 9], [41.6076, 9], [39.6605, 1], [39.3793, 1], [39.3793, 1], [39.6078, 1], [39.5751, 1], [39.753, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,60,0,1558194868.875969,1558195078.84023,2019-05-18T15:54:28.875969+00:00,2019-05-18T15:57:58.840230+00:00,5,"[1, 1558194868.875969, 5.0, 1558195078.84023, True, 0, 39.3759, 0, 39.526575, [[41.176, 0], [39.3759, 1], [39.4859, 1], [39.54, 1], [39.7045, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,88,0,1558212283.950806,1558212323.966653,2019-05-18T20:44:43.950806+00:00,2019-05-18T20:45:23.966653+00:00,1,"[1, 1558212283.950806, 6.0, 1558212323.966653, True, 0, 39.4036, 1, None, [[39.4036, 9]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,63,0,1558196023.846146,1558196233.841428,2019-05-18T16:13:43.846146+00:00,2019-05-18T16:17:13.841428+00:00,6,"[1, 1558196023.846146, 5.0, 1558196233.841428, True, 0, 38.9585, 1, 39.55368, [[40.0282, 0], [40.8649, 9], [38.9585, 1], [39.1186, 1], [39.2825, 1], [39.5439, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,66,0,1558211973.97174,1558212218.951426,2019-05-18T20:39:33.971740+00:00,2019-05-18T20:43:38.951426+00:00,9,"[1, 1558211973.97174, 0.0, 1558212218.951426, True, 0, 39.6191, 4, 40.166512499999996, [[40.21, 9], [39.7435, 9], [39.7585, 9], [41.6688, 9], [39.6191, 1], [39.6813, 1], [39.7435, 1], [39.7358, 1], [41.3816, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,25,0,1558209173.973068,1558209418.96018,2019-05-18T19:52:53.973068+00:00,2019-05-18T19:56:58.960180+00:00,6,"[1, 1558209173.973068, 0.0, 1558209418.96018, True, 0, 39.2626, 2, 39.40866, [[39.5745, 9], [39.5745, 9], [39.2626, 1], [39.3879, 1], [39.404, 1], [39.4143, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,39,0,1558196868.846786,1558197078.848207,2019-05-18T16:27:48.846786+00:00,2019-05-18T16:31:18.848207+00:00,5,"[1, 1558196868.846786, 5.0, 1558197078.848207, True, 0, 39.4099, 0, 39.605075, [[41.7153, 1], [39.4099, 1], [39.5814, 1], [39.7379, 1], [39.6911, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,27,0,1558207543.964259,1558207633.96639,2019-05-18T19:25:43.964259+00:00,2019-05-18T19:27:13.966390+00:00,3,"[1, 1558207543.964259, 0.0, 1558207633.96639, True, 0, 39.2488, 0, 39.300799999999995, [[39.2488, 1], [39.2778, 1], [39.3238, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,20,0,1558192563.733992,1558192768.73441,2019-05-18T15:16:03.733992+00:00,2019-05-18T15:19:28.734410+00:00,5,"[1, 1558192563.733992, 5.0, 1558192768.73441, True, 0, 39.1257, 0, 39.24145, [[40.5715, 1], [39.1257, 1], [39.2107, 1], [39.289, 1], [39.3404, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,21,0,1558191978.734024,1558192183.733642,2019-05-18T15:06:18.734024+00:00,2019-05-18T15:09:43.733642+00:00,5,"[1, 1558191978.734024, 5.0, 1558192183.733642, True, 0, 38.9948, 0, 39.116375, [[40.4822, 0], [38.9948, 1], [39.1172, 1], [39.1649, 1], [39.1886, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,22,0,1558196598.842386,1558196808.847107,2019-05-18T16:23:18.842386+00:00,2019-05-18T16:26:48.847107+00:00,5,"[1, 1558196598.842386, 5.0, 1558196808.847107, True, 0, 39.042, 0, 39.155249999999995, [[40.5805, 0], [39.042, 1], [39.1539, 1], [39.1768, 1], [39.2483, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,23,0,1558193723.73575,1558193933.736843,2019-05-18T15:35:23.735750+00:00,2019-05-18T15:38:53.736843+00:00,6,"[1, 1558193723.73575, 5.0, 1558193933.736843, True, 0, 39.421, 1, 39.7829, [[39.5745, 0], [40.961, 9], [39.421, 1], [39.4892, 1], [39.4822, 1], [39.5611, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,19,0,1558195158.840667,1558195373.84536,2019-05-18T15:59:18.840667+00:00,2019-05-18T16:02:53.845360+00:00,5,"[1, 1558195158.840667, 5.0, 1558195373.84536, True, 0, 39.423, 0, 39.520375, [[42.5007, 0], [39.423, 1], [39.4593, 1], [39.5772, 1], [39.622, 1]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,18,0,1558192863.772469,1558193078.751766,2019-05-18T15:21:03.772469+00:00,2019-05-18T15:24:38.751766+00:00,5,"[1, 1558192863.772469, 5.0, 1558193078.751766, True, 0, 39.1713, 0, 39.335674999999995, [[43.2298, 1], [39.1771, 1], [39.1713, 1], [39.6865, 1], [39.3078, 1]]]"
