year,evidence_layer,physical_variable,rows,non_null_rows,missing_rows,coverage_pct
2022,DAY1_REPEAT_PAIRS,wind_speed,8,0,8,0
2023,DAY1_REPEAT_PAIRS,air_temperature,35,12,23,34.28571429
2023,DAY1_REPEAT_PAIRS,cloud_cover,35,12,23,34.28571429
2023,DAY1_REPEAT_PAIRS,gust,35,12,23,34.28571429
2023,DAY1_REPEAT_PAIRS,humidity,35,12,23,34.28571429
2023,DAY1_REPEAT_PAIRS,pressure,35,12,23,34.28571429
2023,DAY1_REPEAT_PAIRS,shortwave_radiation,35,12,23,34.28571429
2023,DAY1_REPEAT_PAIRS,track_temperature,35,12,23,34.28571429
2023,DAY1_REPEAT_PAIRS,wind_speed,35,12,23,34.28571429
2024,DAY1_REPEAT_PAIRS,air_temperature,20,1,19,5
2024,DAY1_REPEAT_PAIRS,cloud_cover,20,1,19,5
2024,DAY1_REPEAT_PAIRS,gust,20,1,19,5
2024,DAY1_REPEAT_PAIRS,humidity,20,1,19,5
2024,DAY1_REPEAT_PAIRS,pressure,20,1,19,5
2024,DAY1_REPEAT_PAIRS,shortwave_radiation,20,1,19,5
2024,DAY1_REPEAT_PAIRS,track_temperature,20,2,18,10
2024,DAY1_REPEAT_PAIRS,wind_speed,20,1,19,5
2021,LAST_CHANCE_COMPLETE_FADE,air_density,7,0,7,0
2021,LAST_CHANCE_COMPLETE_FADE,air_temperature,7,0,7,0
2021,LAST_CHANCE_COMPLETE_FADE,cloud_cover,7,0,7,0
2021,LAST_CHANCE_COMPLETE_FADE,dew_point,7,0,7,0
2021,LAST_CHANCE_COMPLETE_FADE,gust,7,0,7,0
2021,LAST_CHANCE_COMPLETE_FADE,humidity,7,0,7,0
2021,LAST_CHANCE_COMPLETE_FADE,pressure,7,0,7,0
2021,LAST_CHANCE_COMPLETE_FADE,shortwave_radiation,7,0,7,0
2021,LAST_CHANCE_COMPLETE_FADE,solar_geometry,7,0,7,0
2021,LAST_CHANCE_COMPLETE_FADE,track_temperature,7,0,7,0
2021,LAST_CHANCE_COMPLETE_FADE,wind_direction,7,0,7,0
2021,LAST_CHANCE_COMPLETE_FADE,wind_speed,7,0,7,0
2023,LAST_CHANCE_COMPLETE_FADE,air_density,4,0,4,0
2023,LAST_CHANCE_COMPLETE_FADE,air_temperature,4,0,4,0
2023,LAST_CHANCE_COMPLETE_FADE,cloud_cover,4,0,4,0
2023,LAST_CHANCE_COMPLETE_FADE,dew_point,4,0,4,0
2023,LAST_CHANCE_COMPLETE_FADE,gust,4,0,4,0
2023,LAST_CHANCE_COMPLETE_FADE,humidity,4,0,4,0
2023,LAST_CHANCE_COMPLETE_FADE,pressure,4,0,4,0
2023,LAST_CHANCE_COMPLETE_FADE,shortwave_radiation,4,0,4,0
2023,LAST_CHANCE_COMPLETE_FADE,solar_geometry,4,0,4,0
2023,LAST_CHANCE_COMPLETE_FADE,track_temperature,4,0,4,0
2023,LAST_CHANCE_COMPLETE_FADE,wind_direction,4,0,4,0
2023,LAST_CHANCE_COMPLETE_FADE,wind_speed,4,0,4,0
2024,LAST_CHANCE_COMPLETE_FADE,air_density,4,0,4,0
2024,LAST_CHANCE_COMPLETE_FADE,air_temperature,4,0,4,0
2024,LAST_CHANCE_COMPLETE_FADE,cloud_cover,4,0,4,0
2024,LAST_CHANCE_COMPLETE_FADE,dew_point,4,0,4,0
2024,LAST_CHANCE_COMPLETE_FADE,gust,4,0,4,0
2024,LAST_CHANCE_COMPLETE_FADE,humidity,4,0,4,0
2024,LAST_CHANCE_COMPLETE_FADE,pressure,4,0,4,0
2024,LAST_CHANCE_COMPLETE_FADE,shortwave_radiation,4,0,4,0
2024,LAST_CHANCE_COMPLETE_FADE,solar_geometry,4,0,4,0
2024,LAST_CHANCE_COMPLETE_FADE,track_temperature,4,0,4,0
2024,LAST_CHANCE_COMPLETE_FADE,wind_direction,4,0,4,0
2024,LAST_CHANCE_COMPLETE_FADE,wind_speed,4,0,4,0
