year,car_number,driver_name,team_name,attempt_id,car_attempt_index,lap1_s,lap2_s,lap3_s,lap4_s,lap1_speed_mph,lap2_speed_mph,lap3_speed_mph,lap4_speed_mph,four_lap_average_speed_mph,lap2_minus_lap1,lap3_minus_lap2,lap4_minus_lap3,lap4_minus_lap1,mean_laps_3_4_minus_mean_laps_1_2,four_lap_slope_mph_per_lap,track_temperature_c_assembled,forecast_temp_c,forecast_dewpoint_c,forecast_relative_humidity_pct,forecast_pressure_hpa,air_density_kg_m3,forecast_wind_speed_10m_ms,forecast_gust_ms,forecast_wind_direction_deg,wind_u_ms,wind_v_ms,solar_elevation_deg_assembled,solar_zenith_deg_assembled,solar_azimuth_deg_assembled,forecast_shortwave_radiation_wm2,forecast_cloud_cover_pct,physical_link_quality,thermal_degradation_interpretation
2020,45,Spencer Pigot,Rahal Letterman Lanigan Racing with Citrone/Buhl Autosport,e2df4919-a45f-5b41-916e-55908e4f1abb,1,38.90630066,38.98635478,39.08608058,39.1769361,231.325,230.85,230.261,229.727,230.539,-0.475,-0.589,-0.534,-1.598,-1.0935,-0.5383,39.44444444,26.18831342,19.10210427,65.15022441,987.5016667,1.139536782,0.6562786509,1.71455102,345.687053,0.1622438781,-0.6359076911,49.96810325,40.03189675,120.2682875,751.1058333,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,47,Conor Daly,ECR,a7f0ef57-a971-5870-9606-1fe1cd378e2a,1,38.9521019,39.09473959,39.15665272,39.39713627,231.053,230.21,229.846,228.443,229.884,-0.843,-0.364,-1.403,-2.61,-1.487,-0.8194,48.88888889,28.77914365,18.82463633,54.94779042,987.5,1.129922193,0.6835131842,1.04220765,66.83809165,-0.6284199973,-0.2688467593,61.7825877,28.2174123,152.8783456,897.7920833,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,47,Conor Daly,ECR,df3c02a3-9655-512c-a2e6-4ffe9eadc505,2,38.96424381,39.14881771,39.19724051,39.24218971,230.981,229.892,229.608,229.345,229.955,-1.089,-0.284,-0.263,-1.636,-0.96,-0.5192,50.55555556,30.85945494,18.53962881,47.87701858,986.8986111,1.121667441,0.4825775194,1.291020566,6.44820603,-0.05419586987,-0.4795246291,59.74568868,30.25431132,216.1275619,862.0972222,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,5,Pato O'Ward,Arrow McLaren,194c9baa-3297-571e-82bf-ac3ba81e07fc,1,39.0096744,39.10238307,39.22901901,39.2474947,230.712,230.165,229.422,229.314,229.902,-0.547,-0.743,-0.108,-1.398,-1.0705,-0.4937,40.55555556,26.46430147,19.95757832,67.62613475,987.0090278,1.137383522,0.9136247043,2.313106343,8.55784601,-0.1359545273,-0.9034525261,50.79095287,39.20904713,121.6666608,762.0102778,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,5,Pato O'Ward,Arrow McLaren,757828a3-822d-5bd8-b9f0-681a6918b48b,2,38.99328016,39.08845718,39.12363067,39.17165017,230.809,230.247,230.04,229.758,230.213,-0.562,-0.207,-0.282,-1.051,-0.629,-0.336,52.22222222,31.32206879,18.25851784,45.83656701,986.925,1.120154677,0.6295622216,2.274922261,19.59215492,-0.2111064271,-0.5931126936,47.68033759,42.31966241,243.1846909,703.9125,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,51,James Davison,"Dale Coyne Racing with Rick Ware Racing, BYRD and Belardi Auto Racing",e2cf6770-902a-5a11-8e7c-27e4441f0b5e,1,38.9682928,39.08506212,39.51337089,39.81226306,230.957,230.267,227.771,226.061,228.747,-0.69,-2.496,-1.71,-4.896,-3.696,-1.7184,47.77777778,28.3670631,19.03415646,57.11764473,987.5,1.131341456,0.7464159784,1.382937526,52.00652582,-0.588236154,-0.4594725672,60.13839786,29.86160214,145.2582504,876.7643056,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,55,Alex Palou,Dale Coyne Racing with RWR,b3ac1729-6563-5819-a04b-0f76aeae5b0f,1,38.8681592,38.92548365,38.9934491,39.03437627,231.552,231.211,230.808,230.566,231.034,-0.341,-0.403,-0.242,-0.986,-0.6945,-0.3361,48.88888889,28.47008324,18.98177643,56.57518115,987.5,1.130986411,0.7306902799,1.297755057,55.71441727,-0.6037255864,-0.4116111046,60.5831772,29.4168228,147.0946399,882.02125,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,59,Max Chilton,Carlin,75519828-93ba-5485-a4bf-a06b93f7cec3,1,39.60953798,39.85051629,39.87594152,40.08355194,227.218,225.844,225.7,224.531,225.819,-1.374,-0.144,-1.169,-2.687,-1.4155,-0.8205,50.55555556,29.39998716,18.54148907,52.13622698,987.3545833,1.127602188,0.6262041584,0.9802980591,62.22665387,-0.5540640877,-0.2917955358,63.7345077,26.2654923,168.7085094,906.7861111,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,59,Max Chilton,Carlin,fb65c8cf-d1c6-583e-9563-6c22e29bb081,2,39.46624102,39.6187793,39.62209328,39.67169469,228.043,227.165,227.146,226.862,227.303,-0.878,-0.019,-0.284,-1.181,-0.6,-0.3562,54.44444444,31.22256877,18.38181203,46.44564111,987.1333333,1.120688846,0.4858239878,2.284332819,42.42223339,-0.3277314653,-0.3586321705,49.79345476,40.20654524,239.8821249,731.1833333,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,60,Jack Harvey,Meyer Shank Racing,954d29f8-6770-5c41-9322-b23c885935ef,1,39.02980576,39.15580093,39.23842575,39.1919491,230.593,229.851,229.367,229.639,229.861,-0.742,-0.484,0.272,-0.954,-0.719,-0.3346,39.44444444,25.95787392,19.15229975,66.24004704,987.685,1.140597721,0.6540063842,1.768787297,338.5758888,0.2388879697,-0.6088159726,48.42984921,41.57015079,117.8087705,729.7475,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,60,Jack Harvey,Meyer Shank Racing,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,2,39.09677756,39.14881771,39.2199586,39.22166779,230.198,229.892,229.475,229.465,229.757,-0.306,-0.417,-0.01,-0.733,-0.575,-0.2616,53.33333333,29.79119644,18.5119606,50.83332555,987.6070833,1.12645355,0.6597157305,1.339890713,65.76110585,-0.601556272,-0.2708410911,64.08125048,25.91874952,183.4350256,918.3,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,66,Fernando Alonso,Arrow McLaren,c9ee13fe-3b9e-555c-9a7d-a078015b8b91,1,39.22970299,39.32775753,39.38386137,39.42336754,229.418,228.846,228.52,228.291,228.768,-0.572,-0.326,-0.229,-1.127,-0.7265,-0.3707,41.66666667,27.09917306,19.74331991,64.16340274,986.8076389,1.134879862,0.9642300314,1.924930928,23.80027007,-0.3891146523,-0.8822297551,54.57459895,35.42540105,129.0690531,812.1963889,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,67,JR Hildebrand,Dreyer & Reinbold Racing,1a120ea2-c723-5585-8ec6-30169bb44ca7,1,39.3711121,39.94177377,39.82653332,39.91237017,228.594,225.328,225.98,225.494,226.341,-3.266,0.652,-0.486,-3.1,-1.224,-0.8648,51.66666667,29.42403183,18.70235214,52.60058149,987.63625,1.127742852,0.697331861,1.266044218,69.43607769,-0.6528984995,-0.2449393266,64.00157689,25.99842311,173.7244221,911.3,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
2020,7,Oliver Askew,Arrow McLaren,72b65040-5363-5722-b1cd-297bffa2af77,1,39.07878283,39.15511953,39.21278162,39.23842575,230.304,229.855,229.517,229.367,229.76,-0.449,-0.338,-0.15,-0.937,-0.6375,-0.3149,46.66666667,27.58843409,19.48772329,61.48966863,986.8608333,1.133253905,0.924911981,1.754253538,37.45322112,-0.5624514587,-0.7342414653,57.28991936,32.71008064,135.8179117,838.4029167,0,PAST_SAFE_TRACK_PLUS_ISSUE_GATED_HRRR,FOUR_LAP_FADE_PROXY_NOT_MEASURED_TYRE_WEAR
