year,team_name,team_year_id,car_number,driver_name,teammate_cars,teammate_drivers,nearest_teammate_car,nearest_teammate_timing_separation_min,nearest_teammate_track_temp_difference_c,nearest_teammate_air_temp_difference_c,similar_physical_conditions,own_fast_friday_reference_available,teammate_fast_friday_references_available,own_day1_first_run_speed_mph,teammate_day1_first_run_speeds_mph,teammates_are_identical_assumption
2020,"Dale Coyne Racing with Rick Ware Racing, BYRD and Belardi Auto Racing","2020|Dale Coyne Racing with Rick Ware Racing, BYRD and Belardi Auto Racing",51,James Davison,,,,,,,UNAVAILABLE,True,0,228.747,,False
2020,Dale Coyne Racing with Vasser-Sullivan,2020|Dale Coyne Racing with Vasser-Sullivan,18,Santino Ferrucci,,,,,,,UNAVAILABLE,True,0,229.924,,False
2020,DragonSpeed / Cusick Motorsports,2020|DragonSpeed / Cusick Motorsports,81,Ben Hanley,,,,,,,UNAVAILABLE,True,0,220.946,,False
2020,Dreyer & Reinbold Racing,2020|Dreyer & Reinbold Racing,24,Sage Karam,67,JR Hildebrand,67,108.3333333,10,2.565672133,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,1,227.099,226.341,False
2020,Dreyer & Reinbold Racing,2020|Dreyer & Reinbold Racing,67,JR Hildebrand,24,Sage Karam,24,108.3333333,-10,-2.565672133,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,1,226.341,227.099,False
2020,ECR,2020|ECR,21,Rinus VeeKay,20|47,Ed Carpenter|Conor Daly,20,70.83333333,7.22222223,1.968957308,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,231.114,229.811|229.884,False
2020,ECR,2020|ECR,20,Ed Carpenter,21|47,Rinus VeeKay|Conor Daly,47,30.83333333,2.22222222,0.9570576562,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,229.811,231.114|229.884,False
2020,ECR,2020|ECR,47,Conor Daly,21|20,Rinus VeeKay|Ed Carpenter,20,30.83333333,-2.22222222,-0.9570576562,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,229.884,231.114|229.811,False
2020,Meyer Shank Racing,2020|Meyer Shank Racing,60,Jack Harvey,,,,,,,UNAVAILABLE,True,0,229.861,,False
2020,Rahal Letterman Lanigan Racing,2020|Rahal Letterman Lanigan Racing,15,Graham Rahal,30,Takuma Sato,,,,,UNAVAILABLE,True,1,230.822,230.792,False
2020,Rahal Letterman Lanigan Racing,2020|Rahal Letterman Lanigan Racing,30,Takuma Sato,15,Graham Rahal,,,,,UNAVAILABLE,True,1,230.792,230.822,False
2020,Rahal Letterman Lanigan Racing with Citrone/Buhl Autosport,2020|Rahal Letterman Lanigan Racing with Citrone/Buhl Autosport,45,Spencer Pigot,,,,,,,UNAVAILABLE,True,0,230.539,,False
2020,Team Penske,2020|Team Penske,1,Josef Newgarden,22|3|12,Simon Pagenaud|Helio Castroneves|Will Power,22,89.18333333,9.44444444,2.407477654,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,230.296,228.836|228.115|229.701,False
2020,Team Penske,2020|Team Penske,22,Simon Pagenaud,1|3|12,Josef Newgarden|Helio Castroneves|Will Power,3,24.98333333,1.66666667,0.3334798177,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,228.836,230.296|228.115|229.701,False
2020,Team Penske,2020|Team Penske,3,Helio Castroneves,1|22|12,Josef Newgarden|Simon Pagenaud|Will Power,22,24.98333333,-1.66666667,-0.3334798177,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,228.115,230.296|228.836|229.701,False
2020,Team Penske,2020|Team Penske,12,Will Power,1|22|3,Josef Newgarden|Simon Pagenaud|Helio Castroneves,,,,,UNAVAILABLE,True,3,229.701,230.296|228.836|228.115,False
2021,A.J. Foyt Enterprises,2021|A.J. Foyt Enterprises,1,JR Hildebrand,4|11|14,Dalton Kellett|Charlie Kimball|Sebastien Bourdais,4,28.33333333,0,0.7876015557,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,229.98,229.25|228.401|229.744,False
2021,A.J. Foyt Enterprises,2021|A.J. Foyt Enterprises,4,Dalton Kellett,1|11|14,JR Hildebrand|Charlie Kimball|Sebastien Bourdais,1,28.33333333,0,-0.7876015557,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,229.25,229.98|228.401|229.744,False
2021,A.J. Foyt Enterprises,2021|A.J. Foyt Enterprises,11,Charlie Kimball,1|4|14,JR Hildebrand|Dalton Kellett|Sebastien Bourdais,14,5.016666667,0,0.07001614041,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,228.401,229.98|229.25|229.744,False
2021,A.J. Foyt Enterprises,2021|A.J. Foyt Enterprises,14,Sebastien Bourdais,1|4|11,JR Hildebrand|Dalton Kellett|Charlie Kimball,11,5.016666667,0,-0.07001614041,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,229.744,229.98|229.25|228.401,False
2021,Andretti Autosport,2021|Andretti Autosport,28,Ryan Hunter-Reay,25|27,Stefan Wilson|Alexander Rossi,25,19.16666667,0,0.678478241,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,231.139,229.714|231.046,False
2021,Andretti Autosport,2021|Andretti Autosport,25,Stefan Wilson,28|27,Ryan Hunter-Reay|Alexander Rossi,28,19.16666667,0,-0.678478241,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,229.714,231.139|231.046,False
2021,Andretti Autosport,2021|Andretti Autosport,27,Alexander Rossi,28|25,Ryan Hunter-Reay|Stefan Wilson,25,107.5,-3.33333334,-2.45830992,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,231.046,231.139|229.714,False
2021,Andretti Global w/ Curb-Agajanian,2021|Andretti Global w/ Curb-Agajanian,26,Colton Herta,,,,,,,UNAVAILABLE,True,0,231.648,,False
2021,Andretti Herta w/ Marco & Curb-Agajanian,2021|Andretti Herta w/ Marco & Curb-Agajanian,98,Marco Andretti,,,,,,,UNAVAILABLE,True,0,229.261,,False
2021,Andretti Steinbrenner Autosport,2021|Andretti Steinbrenner Autosport,29,James Hinchcliffe,,,,,,,UNAVAILABLE,True,0,230.563,,False
2021,Arrow McLaren,2021|Arrow McLaren,86,Juan Pablo Montoya,5|7,Pato O'Ward|Felix Rosenqvist,5,19.16666667,1.66666666,0.6718873766,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,229.891,230.864|230.498,False
2021,Arrow McLaren,2021|Arrow McLaren,5,Pato O'Ward,86|7,Juan Pablo Montoya|Felix Rosenqvist,7,5,0,0.07159932454,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,230.864,229.891|230.498,False
2021,Arrow McLaren,2021|Arrow McLaren,7,Felix Rosenqvist,86|5,Juan Pablo Montoya|Pato O'Ward,5,5,0,-0.07159932454,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,230.498,229.891|230.864,False
2021,Carlin,2021|Carlin,59,Max Chilton,,,,,,,UNAVAILABLE,True,0,229.417,,False
2021,Chip Ganassi Racing,2021|Chip Ganassi Racing,9,Scott Dixon,48|8|10,Tony Kanaan|Marcus Ericsson|Alex Palou,48,32.5,0.55555556,1.330491282,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,231.828,231.639|231.104|231.145,False
2021,Chip Ganassi Racing,2021|Chip Ganassi Racing,48,Tony Kanaan,9|8|10,Scott Dixon|Marcus Ericsson|Alex Palou,9,32.5,-0.55555556,-1.330491282,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,231.639,231.828|231.104|231.145,False
2021,Chip Ganassi Racing,2021|Chip Ganassi Racing,8,Marcus Ericsson,9|48|10,Scott Dixon|Tony Kanaan|Alex Palou,48,107.5166667,-2.77777778,-2.15115971,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,231.104,231.828|231.639|231.145,False
2021,Chip Ganassi Racing,2021|Chip Ganassi Racing,10,Alex Palou,9|48|8,Scott Dixon|Tony Kanaan|Marcus Ericsson,,,,,UNAVAILABLE,True,3,231.145,231.828|231.639|231.104,False
2021,Dale Coyne Racing with RWR,2021|Dale Coyne Racing with RWR,51,Pietro Fittipaldi,,,,,,,UNAVAILABLE,True,0,230.846,,False
2021,Dale Coyne Racing with Vasser-Sullivan,2021|Dale Coyne Racing with Vasser-Sullivan,18,Ed Jones,,,,,,,UNAVAILABLE,True,0,230.246,,False
2021,Dreyer & Reinbold Racing,2021|Dreyer & Reinbold Racing,24,Sage Karam,,,,,,,UNAVAILABLE,True,0,229.158,,False
2021,ECR,2021|ECR,21,Rinus VeeKay,20|47,Ed Carpenter|Conor Daly,20,42.5,3.33333333,0.9357331509,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,230.841,231.616|230.427,False
2021,ECR,2021|ECR,20,Ed Carpenter,21|47,Rinus VeeKay|Conor Daly,47,23.33333333,0,0.6874916077,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,231.616,230.841|230.427,False
2021,ECR,2021|ECR,47,Conor Daly,21|20,Rinus VeeKay|Ed Carpenter,20,23.33333333,0,-0.6874916077,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,230.427,230.841|231.616,False
2021,Meyer Shank Racing,2021|Meyer Shank Racing,60,Jack Harvey,,,,,,,UNAVAILABLE,True,0,225.496,,False
2021,Meyer Shank w/ Curb-Agajanian,2021|Meyer Shank w/ Curb-Agajanian,06,Helio Castroneves,,,,,,,UNAVAILABLE,True,0,231.164,,False
2021,Paretta Autosport,2021|Paretta Autosport,16,Simona De Silvestro,,,,,,,UNAVAILABLE,True,0,228.173,,False
2021,Rahal Letterman Lanigan Racing,2021|Rahal Letterman Lanigan Racing,30,Takuma Sato,45|15,Santino Ferrucci|Graham Rahal,45,5,0,0.1454035441,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,230.708,229.949|230.521,False
2021,Rahal Letterman Lanigan Racing,2021|Rahal Letterman Lanigan Racing,45,Santino Ferrucci,30|15,Takuma Sato|Graham Rahal,30,5,0,-0.1454035441,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,229.949,230.708|230.521,False
2021,Rahal Letterman Lanigan Racing,2021|Rahal Letterman Lanigan Racing,15,Graham Rahal,30|45,Takuma Sato|Santino Ferrucci,45,55.83333333,-2.22222222,-1.270914154,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,2,230.521,230.708|229.949,False
2021,Team Penske,2021|Team Penske,2,Josef Newgarden,3|12|22,Scott McLaughlin|Will Power|Simon Pagenaud,3,9.166666667,1.11111111,0.2665731642,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,230.049,230.557|229.052|229.778,False
2021,Team Penske,2021|Team Penske,3,Scott McLaughlin,2|12|22,Josef Newgarden|Will Power|Simon Pagenaud,2,9.166666667,-1.11111111,-0.2665731642,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,230.557,230.049|229.052|229.778,False
2021,Team Penske,2021|Team Penske,12,Will Power,2|3|22,Josef Newgarden|Scott McLaughlin|Simon Pagenaud,3,33.33333333,-2.22222222,-0.7177041287,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,229.052,230.049|230.557|229.778,False
2021,Team Penske,2021|Team Penske,22,Simon Pagenaud,2|3|12,Josef Newgarden|Scott McLaughlin|Will Power,12,45.83333333,0.55555555,-0.9524046665,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,3,229.778,230.049|230.557|229.052,False
2021,Top Gun Racing,2021|Top Gun Racing,75,RC Enerson,,,,,,,UNAVAILABLE,True,0,227.283,,False
2022,A.J. Foyt Enterprises,2022|A.J. Foyt Enterprises,11,JR Hildebrand,14|4,Kyle Kirkwood|Dalton Kellett,,,,,UNAVAILABLE,True,2,231.112,229.406|228.916,False
2022,A.J. Foyt Enterprises,2022|A.J. Foyt Enterprises,14,Kyle Kirkwood,11|4,JR Hildebrand|Dalton Kellett,,,,,UNAVAILABLE,True,2,229.406,231.112|228.916,False
2022,A.J. Foyt Enterprises,2022|A.J. Foyt Enterprises,4,Dalton Kellett,11|14,JR Hildebrand|Kyle Kirkwood,,,,,UNAVAILABLE,True,2,228.916,231.112|229.406,False
2022,Andretti Autosport,2022|Andretti Autosport,27,Alexander Rossi,28,Romain Grosjean,,,,,UNAVAILABLE,True,1,231.341,232.201,False
2022,Andretti Autosport,2022|Andretti Autosport,28,Romain Grosjean,27,Alexander Rossi,,,,,UNAVAILABLE,True,1,232.201,231.341,False
2022,Andretti Global w/ Curb-Agajanian,2022|Andretti Global w/ Curb-Agajanian,26,Colton Herta,,,,,,,UNAVAILABLE,True,0,230.235,,False
2022,Andretti Herta w/ Marco & Curb-Agajanian,2022|Andretti Herta w/ Marco & Curb-Agajanian,98,Marco Andretti,,,,,,,UNAVAILABLE,True,0,226.108,,False
2022,Andretti Steinbrenner Autosport,2022|Andretti Steinbrenner Autosport,29,Devlin DeFrancesco,,,,,,,UNAVAILABLE,True,0,230.326,,False
2022,Arrow McLaren,2022|Arrow McLaren,5,Pato O'Ward,6|7,Juan Pablo Montoya|Felix Rosenqvist,,,,,UNAVAILABLE,True,2,233.037,228.622|232.775,False
2022,Arrow McLaren,2022|Arrow McLaren,6,Juan Pablo Montoya,5|7,Pato O'Ward|Felix Rosenqvist,,,,,UNAVAILABLE,True,2,228.622,233.037|232.775,False
2022,Arrow McLaren,2022|Arrow McLaren,7,Felix Rosenqvist,5|6,Pato O'Ward|Juan Pablo Montoya,,,,,UNAVAILABLE,True,2,232.775,233.037|228.622,False
2022,Chip Ganassi Racing,2022|Chip Ganassi Racing,1,Tony Kanaan,10|48|8|9,Alex Palou|Jimmie Johnson|Marcus Ericsson|Scott Dixon,,,,,UNAVAILABLE,True,4,232.625,232.774|232.398|232.275|232.151,False
2022,Chip Ganassi Racing,2022|Chip Ganassi Racing,10,Alex Palou,1|48|8|9,Tony Kanaan|Jimmie Johnson|Marcus Ericsson|Scott Dixon,,,,,UNAVAILABLE,True,4,232.774,232.625|232.398|232.275|232.151,False
2022,Chip Ganassi Racing,2022|Chip Ganassi Racing,48,Jimmie Johnson,1|10|8|9,Tony Kanaan|Alex Palou|Marcus Ericsson|Scott Dixon,,,,,UNAVAILABLE,True,4,232.398,232.625|232.774|232.275|232.151,False
2022,Chip Ganassi Racing,2022|Chip Ganassi Racing,8,Marcus Ericsson,1|10|48|9,Tony Kanaan|Alex Palou|Jimmie Johnson|Scott Dixon,,,,,UNAVAILABLE,True,4,232.275,232.625|232.774|232.398|232.151,False
2022,Chip Ganassi Racing,2022|Chip Ganassi Racing,9,Scott Dixon,1|10|48|8,Tony Kanaan|Alex Palou|Jimmie Johnson|Marcus Ericsson,,,,,UNAVAILABLE,True,4,232.151,232.625|232.774|232.398|232.275,False
2022,Dale Coyne Racing with HMD Motorsports,2022|Dale Coyne Racing with HMD Motorsports,18,David Malukas,,,,,,,UNAVAILABLE,True,0,231.233,,False
2022,Dale Coyne Racing with RWR,2022|Dale Coyne Racing with RWR,51,Takuma Sato,,,,,,,UNAVAILABLE,True,0,232.196,,False
2022,Dreyer & Reinbold Racing,2022|Dreyer & Reinbold Racing,23,Santino Ferrucci,24,Sage Karam,,,,,UNAVAILABLE,True,1,231.508,229.905,False
2022,Dreyer & Reinbold Racing,2022|Dreyer & Reinbold Racing,24,Sage Karam,23,Santino Ferrucci,,,,,UNAVAILABLE,True,1,229.905,231.508,False
2022,ECR,2022|ECR,20,Conor Daly,21|33,Rinus VeeKay|Ed Carpenter,,,,,UNAVAILABLE,True,2,230.999,233.655|232.397,False
2022,ECR,2022|ECR,21,Rinus VeeKay,20|33,Conor Daly|Ed Carpenter,,,,,UNAVAILABLE,True,2,233.655,230.999|232.397,False
2022,ECR,2022|ECR,33,Ed Carpenter,20|21,Conor Daly|Rinus VeeKay,,,,,UNAVAILABLE,True,2,232.397,230.999|233.655,False
2022,Juncos Hollinger Racing,2022|Juncos Hollinger Racing,77,Callum Ilott,,,,,,,UNAVAILABLE,True,0,230.212,,False
2022,Meyer Shank Racing,2022|Meyer Shank Racing,60,Simon Pagenaud,,,,,,,UNAVAILABLE,True,0,231.275,,False
2022,Meyer Shank w/ Curb-Agajanian,2022|Meyer Shank w/ Curb-Agajanian,06,Helio Castroneves,,,,,,,UNAVAILABLE,True,0,225.482,,False
2022,Rahal Letterman Lanigan Racing,2022|Rahal Letterman Lanigan Racing,15,Graham Rahal,30|45,Christian Lundgaard|Jack Harvey,,,,,UNAVAILABLE,True,2,230.766,227.053|226.851,False
2022,Rahal Letterman Lanigan Racing,2022|Rahal Letterman Lanigan Racing,30,Christian Lundgaard,15|45,Graham Rahal|Jack Harvey,,,,,UNAVAILABLE,True,2,227.053,230.766|226.851,False
2022,Rahal Letterman Lanigan Racing,2022|Rahal Letterman Lanigan Racing,45,Jack Harvey,15|30,Graham Rahal|Christian Lundgaard,,,,,UNAVAILABLE,True,2,226.851,230.766|227.053,False
2022,Team Penske,2022|Team Penske,12,Will Power,2|3,Josef Newgarden|Scott McLaughlin,,,,,UNAVAILABLE,True,2,231.842,231.58|231.543,False
2022,Team Penske,2022|Team Penske,2,Josef Newgarden,12|3,Will Power|Scott McLaughlin,,,,,UNAVAILABLE,True,2,231.58,231.842|231.543,False
2022,Team Penske,2022|Team Penske,3,Scott McLaughlin,12|2,Will Power|Josef Newgarden,,,,,UNAVAILABLE,True,2,231.543,231.842|231.58,False
2023,,2023|UNKNOWN,8,Marcus Ericsson,7|9|55|66|33|50|29|21|5|77|11|14|10|27|44|06|12|15|18|2|20|23|24|26|28|3|30|45|51|6|60|78|98,Alexander Rossi|Scott Dixon|Benjamin Pedersen|Tony Kanaan|Ed Carpenter|RC Enerson|Devlin DeFrancesco|Rinus VeeKay|Pato O'Ward|Callum Ilott|Takuma Sato|Santino Ferrucci|Alex Palou|Kyle Kirkwood|Katherine Legge|Helio Castroneves|Will Power|Graham Rahal|David Malukas|Josef Newgarden|Conor Daly|Ryan Hunter-Reay|Stefan Wilson|Colton Herta|Romain Grosjean|Scott McLaughlin|Jack Harvey|Christian Lundgaard|Sting Ray Robb|Felix Rosenqvist|Simon Pagenaud|Agustin Canapino|Marco Andretti,7,9,1.043209873,0.4718047587,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,33,232.735,233.528|232.914|232.739|232.446|232.62|231.129|231.273|233.395|233.252|227.72|232.857|233.147|233.398|232.39|231.07|230.41|232.33|228.526|230.779|232.542|232.433|231.613|231.356|231.951|231.997|232.503|230.098|230.522|229.955|233.099|231.687|231.32|231.682,False
2023,,2023|UNKNOWN,7,Alexander Rossi,8|9|55|66|33|50|29|21|5|77|11|14|10|27|44|06|12|15|18|2|20|23|24|26|28|3|30|45|51|6|60|78|98,Marcus Ericsson|Scott Dixon|Benjamin Pedersen|Tony Kanaan|Ed Carpenter|RC Enerson|Devlin DeFrancesco|Rinus VeeKay|Pato O'Ward|Callum Ilott|Takuma Sato|Santino Ferrucci|Alex Palou|Kyle Kirkwood|Katherine Legge|Helio Castroneves|Will Power|Graham Rahal|David Malukas|Josef Newgarden|Conor Daly|Ryan Hunter-Reay|Stefan Wilson|Colton Herta|Romain Grosjean|Scott McLaughlin|Jack Harvey|Christian Lundgaard|Sting Ray Robb|Felix Rosenqvist|Simon Pagenaud|Agustin Canapino|Marco Andretti,9,4.366666667,0.5728395095,0.07637357924,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,33,233.528,232.735|232.914|232.739|232.446|232.62|231.129|231.273|233.395|233.252|227.72|232.857|233.147|233.398|232.39|231.07|230.41|232.33|228.526|230.779|232.542|232.433|231.613|231.356|231.951|231.997|232.503|230.098|230.522|229.955|233.099|231.687|231.32|231.682,False
2023,,2023|UNKNOWN,9,Scott Dixon,8|7|55|66|33|50|29|21|5|77|11|14|10|27|44|06|12|15|18|2|20|23|24|26|28|3|30|45|51|6|60|78|98,Marcus Ericsson|Alexander Rossi|Benjamin Pedersen|Tony Kanaan|Ed Carpenter|RC Enerson|Devlin DeFrancesco|Rinus VeeKay|Pato O'Ward|Callum Ilott|Takuma Sato|Santino Ferrucci|Alex Palou|Kyle Kirkwood|Katherine Legge|Helio Castroneves|Will Power|Graham Rahal|David Malukas|Josef Newgarden|Conor Daly|Ryan Hunter-Reay|Stefan Wilson|Colton Herta|Romain Grosjean|Scott McLaughlin|Jack Harvey|Christian Lundgaard|Sting Ray Robb|Felix Rosenqvist|Simon Pagenaud|Agustin Canapino|Marco Andretti,7,4.366666667,-0.5728395095,-0.07637357924,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,33,232.914,232.735|233.528|232.739|232.446|232.62|231.129|231.273|233.395|233.252|227.72|232.857|233.147|233.398|232.39|231.07|230.41|232.33|228.526|230.779|232.542|232.433|231.613|231.356|231.951|231.997|232.503|230.098|230.522|229.955|233.099|231.687|231.32|231.682,False
2023,,2023|UNKNOWN,55,Benjamin Pedersen,8|7|9|66|33|50|29|21|5|77|11|14|10|27|44|06|12|15|18|2|20|23|24|26|28|3|30|45|51|6|60|78|98,Marcus Ericsson|Alexander Rossi|Scott Dixon|Tony Kanaan|Ed Carpenter|RC Enerson|Devlin DeFrancesco|Rinus VeeKay|Pato O'Ward|Callum Ilott|Takuma Sato|Santino Ferrucci|Alex Palou|Kyle Kirkwood|Katherine Legge|Helio Castroneves|Will Power|Graham Rahal|David Malukas|Josef Newgarden|Conor Daly|Ryan Hunter-Reay|Stefan Wilson|Colton Herta|Romain Grosjean|Scott McLaughlin|Jack Harvey|Christian Lundgaard|Sting Ray Robb|Felix Rosenqvist|Simon Pagenaud|Agustin Canapino|Marco Andretti,9,8.733333333,-0.5382716005,-0.1527471585,DIRECT_DIFFERENCES_REPORTED_NO_BINARY_SIMILARITY_THRESHOLD,True,33,232.739,232.735|233.528|232.914|232.446|232.62|231.129|231.273|233.395|233.252|227.72|232.857|233.147|233.398|232.39|231.07|230.41|232.33|228.526|230.779|232.542|232.433|231.613|231.356|231.951|231.997|232.503|230.098|230.522|229.955|233.099|231.687|231.32|231.682,False
