fold_id,test_year,model_name,feature_name,standardized_coefficient,model_policy_hash
DELTA_LOYO_2021,2021,HUBER,baseline_speed_mph,-0.5632356682221464,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,HUBER,seconds_since_baseline_attempt,0.13854691982248193,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,HUBER,prior_supported_attempt_count,0.023635129385112228,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,HUBER,delta_temp_c,-0.07066673147501489,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,HUBER,delta_relative_humidity_pct,0.1535642769679234,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,HUBER,delta_wind_speed_10m_ms,-0.09131930029030741,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,HUBER,delta_pressure_hpa,0.16202108536456408,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,HUBER,delta_cloud_cover_pct,0.2812069337033942,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,HUBER,delta_shortwave_radiation_wm2,0.07230738380934235,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,HUBER,delta_forecast_wind_direction_sin,0.04543982679241354,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,HUBER,delta_forecast_wind_direction_cos,0.09255078181866366,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,ELASTIC_NET,baseline_speed_mph,-0.5681607882150637,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,ELASTIC_NET,seconds_since_baseline_attempt,-0.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,ELASTIC_NET,prior_supported_attempt_count,-0.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,ELASTIC_NET,delta_temp_c,-0.10537262506032828,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,ELASTIC_NET,delta_relative_humidity_pct,0.01595989988826598,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,ELASTIC_NET,delta_wind_speed_10m_ms,0.029044243914524964,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,ELASTIC_NET,delta_pressure_hpa,-0.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,ELASTIC_NET,delta_cloud_cover_pct,0.21462422887816082,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,ELASTIC_NET,delta_shortwave_radiation_wm2,0.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,ELASTIC_NET,delta_forecast_wind_direction_sin,-0.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2021,2021,ELASTIC_NET,delta_forecast_wind_direction_cos,0.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,RIDGE,baseline_speed_mph,-0.6684116134477888,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,RIDGE,seconds_since_baseline_attempt,-0.13423872390171573,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,RIDGE,prior_supported_attempt_count,-0.06742678331496713,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,RIDGE,delta_temp_c,-0.059465827953018545,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,RIDGE,delta_relative_humidity_pct,-0.2007304742362048,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,RIDGE,delta_wind_speed_10m_ms,-0.1729772406544808,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,RIDGE,delta_pressure_hpa,-0.023147746586366515,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,RIDGE,delta_cloud_cover_pct,-0.10958875663520211,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,RIDGE,delta_shortwave_radiation_wm2,0.24469851625130995,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,RIDGE,delta_forecast_wind_direction_sin,-0.15489948619259966,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,RIDGE,delta_forecast_wind_direction_cos,-0.09775680931548077,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,HUBER,baseline_speed_mph,-0.4516258975831898,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,HUBER,seconds_since_baseline_attempt,0.026930502363974037,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,HUBER,prior_supported_attempt_count,-0.11365763617255747,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,HUBER,delta_temp_c,0.18340198128489515,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,HUBER,delta_relative_humidity_pct,0.01655161565030157,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,HUBER,delta_wind_speed_10m_ms,0.015199472032008771,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,HUBER,delta_pressure_hpa,0.08774709265848843,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,HUBER,delta_cloud_cover_pct,-0.0885073354244403,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,HUBER,delta_shortwave_radiation_wm2,0.004966856685474453,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,HUBER,delta_forecast_wind_direction_sin,-0.2046355874691313,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,HUBER,delta_forecast_wind_direction_cos,-0.11967380430544625,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,ELASTIC_NET,baseline_speed_mph,-0.6403975036632061,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,ELASTIC_NET,seconds_since_baseline_attempt,-0.03534482922198105,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,ELASTIC_NET,prior_supported_attempt_count,-0.03528583817930681,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,ELASTIC_NET,delta_temp_c,0.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,ELASTIC_NET,delta_relative_humidity_pct,-0.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,ELASTIC_NET,delta_wind_speed_10m_ms,-0.03821687487336684,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,ELASTIC_NET,delta_pressure_hpa,0.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,ELASTIC_NET,delta_cloud_cover_pct,0.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,ELASTIC_NET,delta_shortwave_radiation_wm2,0.20543778851433017,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,ELASTIC_NET,delta_forecast_wind_direction_sin,-0.021366212201720837,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
DELTA_LOYO_2023,2023,ELASTIC_NET,delta_forecast_wind_direction_cos,0.0,80eb047506d98c56cd0a6ac962993fffd309f31da065d684af4d025e1de46c93
