date,cycle_time_utc,forecast_hour,valid_time_utc,ims_lat,ims_lon,TMP_2m,DPT_2m,UGRD_10m,VGRD_10m,GUST_surface,PRES_surface,TCDC_atmosphere,DSWRF_surface
20210522,2021-05-22T14:00:00+00:00,0,2021-05-22T14:00:00+00:00,39.795,-86.234,295.09474182128906,289.01637268066406,0.24285411834716797,0.6600370407104492,4.090895501896739,100330.0,24.0,613.8000000000001
20210522,2021-05-22T14:00:00+00:00,1,2021-05-22T15:00:00+00:00,39.795,-86.234,296.5170593261719,288.6872863769531,0.5659503936767578,1.7496557235717773,4.730125248432159,100200.0,100.0,465.0
20210522,2021-05-22T14:00:00+00:00,2,2021-05-22T16:00:00+00:00,39.795,-86.234,297.5993347167969,287.86512756347656,0.521092414855957,2.097442626953125,4.415432311594486,100120.0,100.0,423.0
20210522,2021-05-22T14:00:00+00:00,3,2021-05-22T17:00:00+00:00,39.795,-86.234,299.7232666015625,286.17596435546875,1.9589176177978516,1.4225835800170898,5.090603470802307,100160.0,100.0,741.0
20210522,2021-05-22T15:00:00+00:00,0,2021-05-22T15:00:00+00:00,39.795,-86.234,296.7438049316406,288.7432098388672,0.2521028518676758,1.3805103302001953,4.046386882662773,100290.0,99.0,119.2
20210522,2021-05-22T15:00:00+00:00,1,2021-05-22T16:00:00+00:00,39.795,-86.234,297.99481201171875,288.8747863769531,0.06951522827148438,2.213231086730957,5.446826189756393,100140.0,100.0,863.0
20210522,2021-05-22T15:00:00+00:00,2,2021-05-22T17:00:00+00:00,39.795,-86.234,299.7396545410156,285.43064880371094,1.8538599014282227,2.69472599029541,5.666536584496498,100170.0,100.0,721.0
20210522,2021-05-22T15:00:00+00:00,3,2021-05-22T18:00:00+00:00,39.795,-86.234,300.78546142578125,285.31703186035156,3.2288742065429688,1.1486616134643555,4.616436459124088,100100.0,100.0,826.0
20210522,2021-05-22T16:00:00+00:00,0,2021-05-22T16:00:00+00:00,39.795,-86.234,298.50323486328125,288.976806640625,0.8406639099121094,1.2570734024047852,5.101456731557846,100270.0,63.0,577.0
20210522,2021-05-22T16:00:00+00:00,1,2021-05-22T17:00:00+00:00,39.795,-86.234,300.17315673828125,285.95948791503906,2.3151750564575195,1.7830305099487305,5.288439609110355,100160.0,100.0,849.0
20210522,2021-05-22T16:00:00+00:00,2,2021-05-22T18:00:00+00:00,39.795,-86.234,301.0323486328125,284.931640625,3.248995780944824,0.39749717712402344,5.194909065961838,100090.0,100.0,827.0
20210522,2021-05-22T16:00:00+00:00,3,2021-05-22T19:00:00+00:00,39.795,-86.234,301.3245544433594,283.8500061035156,3.777409553527832,0.7297039031982422,4.959269970655441,100090.0,100.0,764.0
20210522,2021-05-22T17:00:00+00:00,0,2021-05-22T17:00:00+00:00,39.795,-86.234,300.01947021484375,288.2204895019531,2.038846969604492,1.1011638641357422,4.822602137923241,100210.0,92.0,404.0
20210522,2021-05-22T17:00:00+00:00,1,2021-05-22T18:00:00+00:00,39.795,-86.234,301.0513000488281,285.853759765625,3.4721555709838867,-0.19116783142089844,5.36463275551796,100090.0,24.0,959.0
20210522,2021-05-22T17:00:00+00:00,2,2021-05-22T19:00:00+00:00,39.795,-86.234,301.8887023925781,283.54742431640625,2.9199113845825195,0.5921926498413086,4.826061099767685,100010.0,100.0,893.0
20210522,2021-05-22T17:00:00+00:00,3,2021-05-22T20:00:00+00:00,39.795,-86.234,301.4200134277344,282.8985595703125,3.3621444702148438,0.7137985229492188,4.6626951694488525,100000.0,100.0,440.0
20210522,2021-05-22T18:00:00+00:00,0,2021-05-22T18:00:00+00:00,39.795,-86.234,300.82940673828125,287.6003112792969,3.656024932861328,0.07675743103027344,5.550645887851715,100150.0,99.0,436.0
20210522,2021-05-22T18:00:00+00:00,1,2021-05-22T19:00:00+00:00,39.795,-86.234,301.16455078125,285.33404541015625,3.4479284286499023,0.33269691467285156,5.6263769045472145,99960.0,23.0,918.0
20210522,2021-05-22T18:00:00+00:00,2,2021-05-22T20:00:00+00:00,39.795,-86.234,301.7636413574219,282.81056213378906,3.319697380065918,0.9768161773681641,5.092944920063019,99930.0,100.0,773.0
20210522,2021-05-22T18:00:00+00:00,3,2021-05-22T21:00:00+00:00,39.795,-86.234,302.0463562011719,282.11029052734375,3.7350969314575195,0.36669349670410156,4.944222792983055,99980.0,27.0,675.0
20210522,2021-05-22T19:00:00+00:00,0,2021-05-22T19:00:00+00:00,39.795,-86.234,301.0876159667969,287.1147918701172,2.6177759170532227,0.14323806762695312,5.142399728298187,100090.0,78.0,609.0
20210522,2021-05-22T19:00:00+00:00,1,2021-05-22T20:00:00+00:00,39.795,-86.234,301.6214904785156,284.48670959472656,2.7013301849365234,1.424576759338379,5.142079949378967,99900.0,1.0,824.0
20210522,2021-05-22T19:00:00+00:00,2,2021-05-22T21:00:00+00:00,39.795,-86.234,301.9302062988281,284.314453125,3.055021286010742,0.6402921676635742,4.56094129383564,99930.0,6.0,675.0
20210522,2021-05-22T19:00:00+00:00,3,2021-05-22T22:00:00+00:00,39.795,-86.234,301.8144226074219,281.9321594238281,3.624979019165039,0.8251218795776367,4.924777239561081,99920.0,1.0,497.0
20210522,2021-05-22T20:00:00+00:00,0,2021-05-22T20:00:00+00:00,39.795,-86.234,302.0237731933594,286.1247863769531,2.9197378158569336,1.8149442672729492,5.113488398492336,100000.0,3.0,818.0
