script_path,risk_pattern,severity,line_number,context,explanation,referenced_csv_or_output_paths,action
weather/scripts/audit_2022_castroneves_canonical_identity_v1.py,INT_FLOAT_NORMALIZATION,HIGH,92,"if v is None else str(v).strip()   def norm_car(v):     value = txt(v)      if not value:         return """"      try:         return str(             int(                 float(value)             )         )     except Exception:         return value.lstrip(""0"") or ""0""   def speed_close(a, b, tol=0.003):     try:         retu",Converts textual car number through float/int and can collapse 06 into 6.,chronology_rescue_2022_castroneves_canonical_identity_audit_v1.csv|chronology_rescue_2022_castroneves_canonical_identity_audit_v1_qa.csv|chronology_rescue_2022_castroneves_repeat_pair_evidence_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|data/canonical/v1/attempts.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/audit_2022_castroneves_canonical_identity_v1.py,LEADING_ZERO_STRIP,HIGH,97,"turn """"      try:         return str(             int(                 float(value)             )         )     except Exception:         return value.lstrip(""0"") or ""0""   def speed_close(a, b, tol=0.003):     try:         return abs(             float(txt(a))             -             float(txt(b))         ) <",Explicitly strips leading zeros and can collapse 06 into 6.,chronology_rescue_2022_castroneves_canonical_identity_audit_v1.csv|chronology_rescue_2022_castroneves_canonical_identity_audit_v1_qa.csv|chronology_rescue_2022_castroneves_repeat_pair_evidence_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|data/canonical/v1/attempts.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/audit_2022_castroneves_canonical_identity_v1.py,INT_DIRECT,MEDIUM,92,"if v is None else str(v).strip()   def norm_car(v):     value = txt(v)      if not value:         return """"      try:         return str(             int(                 float(value)             )         )     except Exception:         return value.lstrip(""0"") or ""0""   def speed_close(a, b, tol=0.003)",Direct integer conversion requires context review.,chronology_rescue_2022_castroneves_canonical_identity_audit_v1.csv|chronology_rescue_2022_castroneves_canonical_identity_audit_v1_qa.csv|chronology_rescue_2022_castroneves_repeat_pair_evidence_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|data/canonical/v1/attempts.csv|weather/output|weather/output/,CONTEXT_REVIEW
weather/scripts/audit_2022_castroneves_repeat_pair_evidence_v1.py,INT_FLOAT_NORMALIZATION,HIGH,99,"writer.writerows(rows)   def txt(v):     return """" if v is None else str(v).strip()   def norm_car(v):     value = txt(v)     try:         return str(int(float(value)))     except Exception:         return value.lstrip(""0"") or ""0""   def speed_close(a, b, tol=0.003):     try:         return abs(             fl",Converts textual car number through float/int and can collapse 06 into 6.,chronology_rescue_2022_castroneves_repeat_pair_audit_v1.csv|chronology_rescue_2022_castroneves_repeat_pair_audit_v1_qa.csv|chronology_rescue_2022_castroneves_repeat_pair_evidence_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|data/canonical/v1/attempts.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/audit_2022_castroneves_repeat_pair_evidence_v1.py,LEADING_ZERO_STRIP,HIGH,101,"ne else str(v).strip()   def norm_car(v):     value = txt(v)     try:         return str(int(float(value)))     except Exception:         return value.lstrip(""0"") or ""0""   def speed_close(a, b, tol=0.003):     try:         return abs(             float(txt(a)) - float(txt(b))         ) <= tol     except Excepti",Explicitly strips leading zeros and can collapse 06 into 6.,chronology_rescue_2022_castroneves_repeat_pair_audit_v1.csv|chronology_rescue_2022_castroneves_repeat_pair_audit_v1_qa.csv|chronology_rescue_2022_castroneves_repeat_pair_evidence_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|data/canonical/v1/attempts.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/audit_2022_castroneves_repeat_pair_evidence_v1.py,INT_DIRECT,MEDIUM,99,"writer.writerows(rows)   def txt(v):     return """" if v is None else str(v).strip()   def norm_car(v):     value = txt(v)     try:         return str(int(float(value)))     except Exception:         return value.lstrip(""0"") or ""0""   def speed_close(a, b, tol=0.003):     try:         return abs(",Direct integer conversion requires context review.,chronology_rescue_2022_castroneves_repeat_pair_audit_v1.csv|chronology_rescue_2022_castroneves_repeat_pair_audit_v1_qa.csv|chronology_rescue_2022_castroneves_repeat_pair_evidence_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|data/canonical/v1/attempts.csv|weather/output|weather/output/,CONTEXT_REVIEW
weather/scripts/audit_2022_chronology_action_coverage_v2.py,INT_FLOAT_NORMALIZATION,HIGH,105,") == ""2022""         or         ""2022"" in txt(             row.get(""session_id"")         )     )   def to_int(v, default=999):     try:         return int(float(txt(v)))     except Exception:         return default   def get_constraint_class(row):     return (         txt(             row.get(",Converts textual car number through float/int and can collapse 06 into 6.,chronology_rescue_2022_attempt_coverage_gap_audit_v2.csv|chronology_rescue_2022_chronology_action_coverage_summary_v2.csv|chronology_rescue_2022_chronology_action_coverage_v2_qa.csv|chronology_rescue_2022_next_rescue_priority_v2.csv|chronology_rescue_2022_repeat_pair_coverage_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|data/canonical/v1/attempts.csv|unified_attempt_action_lane_ledger_v1.csv|unified_attempt_chronology_constraint_ledger_v3.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/audit_2022_chronology_coverage_gaps_v1.py,INT_FLOAT_NORMALIZATION,HIGH,99,") == ""2022""         or         ""2022"" in txt(             row.get(""session_id"")         )     )   def to_int(v, default=999):     try:         return int(float(txt(v)))     except Exception:         return default   def get_constraint_class(row):     for field in [         ""constraint_class"",         ""time_qu",Converts textual car number through float/int and can collapse 06 into 6.,chronology_rescue_2022_attempt_coverage_gap_audit_v1.csv|chronology_rescue_2022_coverage_gap_audit_v1_qa.csv|chronology_rescue_2022_coverage_gap_summary_v1.csv|chronology_rescue_2022_next_rescue_priority_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|data/canonical/v1/attempts.csv|unified_attempt_chronology_constraint_ledger_v2.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/audit_2022_editorial_chronology_promotion_candidates_v1.py,INT_FLOAT_NORMALIZATION,HIGH,134,"p()   def normalize_car(value):      value = txt(         value     )      if not value:         return """"      try:          return str(             int(                 float(                     value                 )             )         )      except Exception:          return (             value.lstrip(""0"")",Converts textual car number through float/int and can collapse 06 into 6.,chronology_rescue_2022_editorial_candidates_v1.csv|chronology_rescue_2022_editorial_promotion_audit_v1.csv|chronology_rescue_2022_editorial_promotion_audit_v1_qa.csv|chronology_rescue_2022_official_evidence_v1.csv|chronology_rescue_2022_sato_marco_result_context_v1.csv|official_day1_results_attempt_rows_v1.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/audit_2022_editorial_chronology_promotion_candidates_v1.py,LEADING_ZERO_STRIP,HIGH,144,"float(                     value                 )             )         )      except Exception:          return (             value.lstrip(""0"")             or ""0""         )   # ============================================================ # MAIN # ==============================================",Explicitly strips leading zeros and can collapse 06 into 6.,chronology_rescue_2022_editorial_candidates_v1.csv|chronology_rescue_2022_editorial_promotion_audit_v1.csv|chronology_rescue_2022_editorial_promotion_audit_v1_qa.csv|chronology_rescue_2022_official_evidence_v1.csv|chronology_rescue_2022_sato_marco_result_context_v1.csv|official_day1_results_attempt_rows_v1.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/audit_2022_editorial_chronology_promotion_candidates_v1.py,INT_DIRECT,MEDIUM,134,"p()   def normalize_car(value):      value = txt(         value     )      if not value:         return """"      try:          return str(             int(                 float(                     value                 )             )         )      except Exception:          return (             value",Direct integer conversion requires context review.,chronology_rescue_2022_editorial_candidates_v1.csv|chronology_rescue_2022_editorial_promotion_audit_v1.csv|chronology_rescue_2022_editorial_promotion_audit_v1_qa.csv|chronology_rescue_2022_official_evidence_v1.csv|chronology_rescue_2022_sato_marco_result_context_v1.csv|official_day1_results_attempt_rows_v1.csv|weather/output|weather/output/,CONTEXT_REVIEW
weather/scripts/audit_2022_karam_attempt_identity_rescue_v1.py,INT_FLOAT_NORMALIZATION,HIGH,125,"if v is None else str(v).strip()   def norm_car(v):     value = txt(v)      if not value:         return """"      try:         return str(             int(                 float(value)             )         )     except Exception:         return value.lstrip(""0"") or ""0""   def is_2022(row):     return (         txt(",Converts textual car number through float/int and can collapse 06 into 6.,chronology_rescue_2022_karam_attempt_identity_audit_v1.csv|chronology_rescue_2022_karam_attempt_identity_audit_v1_qa.csv|chronology_rescue_2022_karam_identity_evidence_v1.csv|chronology_rescue_2022_karam_identity_promotion_candidate_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|chronology_rescue_2022_secondary_adjudicated_evidence_v1.csv|chronology_rescue_2022_secondary_editorial_candidates_v1.csv|chronology_rescue_2022_weather_interruption_windows_v1.csv|data/canonical/v1/attempts.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/audit_2022_karam_attempt_identity_rescue_v1.py,LEADING_ZERO_STRIP,HIGH,130,"turn """"      try:         return str(             int(                 float(value)             )         )     except Exception:         return value.lstrip(""0"") or ""0""   def is_2022(row):     return (         txt(             row.get(""year"")         ) == ""2022""         or         ""2022"" in txt(             ro",Explicitly strips leading zeros and can collapse 06 into 6.,chronology_rescue_2022_karam_attempt_identity_audit_v1.csv|chronology_rescue_2022_karam_attempt_identity_audit_v1_qa.csv|chronology_rescue_2022_karam_identity_evidence_v1.csv|chronology_rescue_2022_karam_identity_promotion_candidate_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|chronology_rescue_2022_secondary_adjudicated_evidence_v1.csv|chronology_rescue_2022_secondary_editorial_candidates_v1.csv|chronology_rescue_2022_weather_interruption_windows_v1.csv|data/canonical/v1/attempts.csv|weather/output|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/audit_2022_karam_attempt_identity_rescue_v1.py,INT_DIRECT,MEDIUM,125,"if v is None else str(v).strip()   def norm_car(v):     value = txt(v)      if not value:         return """"      try:         return str(             int(                 float(value)             )         )     except Exception:         return value.lstrip(""0"") or ""0""   def is_2022(row):     return (",Direct integer conversion requires context review.,chronology_rescue_2022_karam_attempt_identity_audit_v1.csv|chronology_rescue_2022_karam_attempt_identity_audit_v1_qa.csv|chronology_rescue_2022_karam_identity_evidence_v1.csv|chronology_rescue_2022_karam_identity_promotion_candidate_v1.csv|chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv|chronology_rescue_2022_secondary_adjudicated_evidence_v1.csv|chronology_rescue_2022_secondary_editorial_candidates_v1.csv|chronology_rescue_2022_weather_interruption_windows_v1.csv|data/canonical/v1/attempts.csv|weather/output|weather/output/,CONTEXT_REVIEW
weather/scripts/audit_2022_unresolved_canonical_attempt_links_v1.py,INT_FLOAT_NORMALIZATION,HIGH,35,"xt(v):     return """" if v is None else str(v).strip()   def norm_car(v):     t = txt(v)      if not t:         return """"      try:         return str(int(float(t)))     except Exception:         return t.lstrip(""0"") or ""0""   def is_2022(row):     if txt(row.get(""year"")) == ""2022"":         return True      if",Converts textual car number through float/int and can collapse 06 into 6.,chronology_rescue_2022_unresolved_attempt_links_v1.csv|data/canonical/v1/attempts.csv|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/audit_2022_unresolved_canonical_attempt_links_v1.py,LEADING_ZERO_STRIP,HIGH,37,"def norm_car(v):     t = txt(v)      if not t:         return """"      try:         return str(int(float(t)))     except Exception:         return t.lstrip(""0"") or ""0""   def is_2022(row):     if txt(row.get(""year"")) == ""2022"":         return True      if ""2022"" in txt(         row.get(""session_id"")     ):",Explicitly strips leading zeros and can collapse 06 into 6.,chronology_rescue_2022_unresolved_attempt_links_v1.csv|data/canonical/v1/attempts.csv|weather/output/,REVIEW_BEFORE_REUSE
weather/scripts/audit_2022_unresolved_canonical_attempt_links_v1.py,INT_DIRECT,MEDIUM,35,"xt(v):     return """" if v is None else str(v).strip()   def norm_car(v):     t = txt(v)      if not t:         return """"      try:         return str(int(float(t)))     except Exception:         return t.lstrip(""0"") or ""0""   def is_2022(row):     if txt(row.get(""year"")) == ""2022"":         return True",Direct integer conversion requires context review.,chronology_rescue_2022_unresolved_attempt_links_v1.csv|data/canonical/v1/attempts.csv|weather/output/,CONTEXT_REVIEW
weather/scripts/audit_2022_unresolved_canonical_attempt_links_v1.py,INT_DIRECT,MEDIUM,320,"""car_number""                 )             ) == car         ]          same_car.sort(             key=lambda row: (                 int(                     txt(                         row.get(                             ""car_attempt_index""                         )",Direct integer conversion requires context review.,chronology_rescue_2022_unresolved_attempt_links_v1.csv|data/canonical/v1/attempts.csv|weather/output/,CONTEXT_REVIEW
weather/scripts/audit_2022_unresolved_canonical_attempt_links_v1.py,INT_DIRECT,MEDIUM,410,"anonical Newgarden attempts:"",         len(newg_canonical),     )      for row in sorted(         newg_canonical,         key=lambda r: (             int(                 txt(                     r.get(                         ""car_attempt_index""                     )                 )                 o",Direct integer conversion requires context review.,chronology_rescue_2022_unresolved_attempt_links_v1.csv|data/canonical/v1/attempts.csv|weather/output/,CONTEXT_REVIEW
weather/scripts/audit_attempt_performance_modeling_readiness.py,TO_NUMERIC,MEDIUM,192,"ired file: {path}""         )      return pd.read_csv(         path,         low_memory=False,     )   def infer_year_from_session(series):     return pd.to_numeric(         series         .astype(str)         .str.extract(             r""(20\d{2})"",             expand=False,         ),         errors=""coerce"",",Numeric conversion may destroy significant leading zeros.,attempt_performance_baseline_feature_set_v1.csv|attempt_performance_modeling_column_audit.csv|attempt_performance_modeling_correlation_audit.csv|attempt_performance_modeling_readiness_summary.csv|weather/output/|weather/output/performance_context_features.csv,CONTEXT_REVIEW
weather/scripts/audit_attempt_performance_modeling_readiness.py,TO_NUMERIC,MEDIUM,204,"r""(20\d{2})"",             expand=False,         ),         errors=""coerce"",     )   def numeric_convertible_fraction(series):     converted = pd.to_numeric(         series,         errors=""coerce"",     )      nonnull_original = series.notna().sum()      if nonnull_original == 0:         return 0.0      re",Numeric conversion may destroy significant leading zeros.,attempt_performance_baseline_feature_set_v1.csv|attempt_performance_modeling_column_audit.csv|attempt_performance_modeling_correlation_audit.csv|attempt_performance_modeling_readiness_summary.csv|weather/output/|weather/output/performance_context_features.csv,CONTEXT_REVIEW
weather/scripts/audit_attempt_performance_modeling_readiness.py,TO_NUMERIC,MEDIUM,302,""",         ""Requires manual review before modeling."",     )   def safe_abs_corr(     a,     b, ):     pair = pd.DataFrame(         {             ""a"": pd.to_numeric(                 a,                 errors=""coerce"",             ),             ""b"": pd.to_numeric(                 b,                 errors=""coerce""",Numeric conversion may destroy significant leading zeros.,attempt_performance_baseline_feature_set_v1.csv|attempt_performance_modeling_column_audit.csv|attempt_performance_modeling_correlation_audit.csv|attempt_performance_modeling_readiness_summary.csv|weather/output/|weather/output/performance_context_features.csv,CONTEXT_REVIEW
weather/scripts/audit_attempt_performance_modeling_readiness.py,TO_NUMERIC,MEDIUM,306,"pair = pd.DataFrame(         {             ""a"": pd.to_numeric(                 a,                 errors=""coerce"",             ),             ""b"": pd.to_numeric(                 b,                 errors=""coerce"",             ),         }     ).dropna()      if len(pair) < 3:         return np.nan      if (",Numeric conversion may destroy significant leading zeros.,attempt_performance_baseline_feature_set_v1.csv|attempt_performance_modeling_column_audit.csv|attempt_performance_modeling_correlation_audit.csv|attempt_performance_modeling_readiness_summary.csv|weather/output/|weather/output/performance_context_features.csv,CONTEXT_REVIEW
weather/scripts/audit_attempt_performance_modeling_readiness.py,TO_NUMERIC,MEDIUM,399,"df = df.copy()      df[         ""_year""     ] = infer_year_from_session(         df[             ""session_id""         ]     )      target_numeric = pd.to_numeric(         df[             TARGET         ],         errors=""coerce"",     )      print()     print(""TARGET COVERAGE"")     print(""-"" * 70)      print(",Numeric conversion may destroy significant leading zeros.,attempt_performance_baseline_feature_set_v1.csv|attempt_performance_modeling_column_audit.csv|attempt_performance_modeling_correlation_audit.csv|attempt_performance_modeling_readiness_summary.csv|weather/output/|weather/output/performance_context_features.csv,CONTEXT_REVIEW
weather/scripts/audit_attempt_performance_modeling_readiness.py,TO_NUMERIC,MEDIUM,503,"(             numeric_convertible_fraction(                 df[                     col                 ]             )         )          numeric = pd.to_numeric(             df[                 col             ],             errors=""coerce"",         )          numeric_nonnull = int(             numeric.notna()",Numeric conversion may destroy significant leading zeros.,attempt_performance_baseline_feature_set_v1.csv|attempt_performance_modeling_column_audit.csv|attempt_performance_modeling_correlation_audit.csv|attempt_performance_modeling_readiness_summary.csv|weather/output/|weather/output/performance_context_features.csv,CONTEXT_REVIEW
weather/scripts/audit_attempt_performance_modeling_readiness.py,TO_NUMERIC,MEDIUM,619,"policy     # ========================================================      feature_rows = []      for col in baseline_candidates:          numeric = pd.to_numeric(             df[                 col             ],             errors=""coerce"",         )          missing = int(             numeric.isna().sum()",Numeric conversion may destroy significant leading zeros.,attempt_performance_baseline_feature_set_v1.csv|attempt_performance_modeling_column_audit.csv|attempt_performance_modeling_correlation_audit.csv|attempt_performance_modeling_readiness_summary.csv|weather/output/|weather/output/performance_context_features.csv,CONTEXT_REVIEW
