fold_id,fold_role,test_year,model_name,diagnostic_type,feature_name,value,model_policy_hash
PRIMARY_LOYO_2020,PRIMARY,2020,RANDOM_FOREST,IMPURITY_FEATURE_IMPORTANCE,has_prior_supported_attempt,0.001508474152448315,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RIDGE,STANDARDIZED_COEFFICIENT,forecast_temp_c,-0.4524829430921355,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RIDGE,STANDARDIZED_COEFFICIENT,forecast_relative_humidity_pct,0.48896229186554724,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RIDGE,STANDARDIZED_COEFFICIENT,forecast_wind_speed_10m_ms,-0.3148715910524054,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RIDGE,STANDARDIZED_COEFFICIENT,forecast_wind_direction_sin,-0.592031229724851,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RIDGE,STANDARDIZED_COEFFICIENT,forecast_wind_direction_cos,0.21213009435482671,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RIDGE,STANDARDIZED_COEFFICIENT,forecast_pressure_hpa,0.478411595331651,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RIDGE,STANDARDIZED_COEFFICIENT,forecast_cloud_cover_pct,0.30864737616570254,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RIDGE,STANDARDIZED_COEFFICIENT,forecast_shortwave_radiation_wm2,0.5924825202456477,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RIDGE,STANDARDIZED_COEFFICIENT,prior_supported_attempt_count,0.6987651230159883,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RIDGE,STANDARDIZED_COEFFICIENT,seconds_since_prior_supported_attempt,0.1341956984206245,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RIDGE,STANDARDIZED_COEFFICIENT,best_prior_supported_average_speed_mph,0.12570538126925496,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,RIDGE,STANDARDIZED_COEFFICIENT,has_prior_supported_attempt,-0.4324352291726871,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
