path,field_name,field_class,nonempty_samples
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,DriverName,IDENTITY_LIKE,"[""Scott Dixon"", ""Colton Herta"", ""Tony Kanaan"", ""Ed Carpenter"", ""Rinus VeeKay"", ""Helio Castroneves"", ""Alex Palou"", ""Ryan Hunter-Reay""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,DriverOverrideID,IDENTITY_LIKE,"[""3628"", ""4511"", ""3648"", ""3620"", ""4614"", ""3622"", ""4931"", ""3645""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,DriverUrl,IDENTITY_LIKE,"[""/Drivers/Scott-Dixon"", ""/Drivers/Ed-Carpenter"", ""/Drivers/Rinus-VeeKay"", ""/Drivers/Helio-Castroneves"", ""/Drivers/Alex-Palou"", ""/Drivers/Ryan-Hunter-Reay"", ""/Drivers/Marcus-Ericsson"", ""/Drivers/Alexander-Rossi""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,DriversID,IDENTITY_LIKE,"[""3628"", ""4511"", ""3648"", ""3620"", ""4614"", ""3622"", ""4931"", ""3645""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,ElapsedTime,IDENTITY_LIKE,"[""02:35.2874"", ""02:35.4081"", ""02:35.4140"", ""02:35.4294"", ""02:35.5192"", ""02:35.7334"", ""02:35.7461"", ""02:35.7501""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,EventsEntrylistID,IDENTITY_LIKE,"[""33902"", ""33910"", ""33920"", ""33925"", ""33908"", ""33922"", ""33903"", ""33912""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,EventsSessionsDetailsID,IDENTITY_LIKE,"[""101198"", ""101199"", ""101200"", ""101201"", ""101202"", ""101203"", ""101204"", ""101205""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,EventsSessionsID,IDENTITY_LIKE,"[""5838""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,InLap,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,LapsComplete,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,LapsDown,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,LapsLed,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,QualLap1,IDENTITY_LIKE,"[""38.6973"", ""38.7324"", ""38.7350"", ""38.7531"", ""38.7788"", ""38.9270"", ""38.8283"", ""38.8731""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,QualLap2,IDENTITY_LIKE,"[""38.8329"", ""38.8145"", ""38.8191"", ""38.8305"", ""38.8558"", ""38.8963"", ""38.9201"", ""38.9195""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,QualLap3,IDENTITY_LIKE,"[""38.8581"", ""38.8901"", ""38.8878"", ""38.9003"", ""38.9164"", ""38.9237"", ""38.9818"", ""38.9663""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,QualLap4,IDENTITY_LIKE,"[""38.8991"", ""38.9711"", ""38.9721"", ""38.9455"", ""38.9682"", ""38.9864"", ""39.0159"", ""38.9912""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SpeedAvg,IDENTITY_LIKE,"[""231.828"", ""231.648"", ""231.639"", ""231.616"", ""231.483"", ""231.164"", ""231.145"", ""231.139""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SpeedAvgFormatted,IDENTITY_LIKE,"[""231.828"", ""231.648"", ""231.639"", ""231.616"", ""231.483"", ""231.164"", ""231.145"", ""231.139""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,Status,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,BestLapTime,TIME_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,ElapsedTime,TIME_LIKE,"[""02:34.0730"", ""02:34.4820"", ""02:34.6558"", ""02:34.6565"", ""02:34.7555"", ""02:34.9070"", ""02:34.9076"", ""02:34.9890""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,EventsSessionsDetailsID,TIME_LIKE,"[""105044"", ""105045"", ""105046"", ""105047"", ""105048"", ""105049"", ""105050"", ""105051""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,EventsSessionsID,TIME_LIKE,"[""6033""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,PositionStart,TIME_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,TimesLed,TIME_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,BestLapTime,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,BestSpeed,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,BestSpeedFormatted,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,CarNumber,IDENTITY_LIKE,"[""21"", ""5"", ""7"", ""10"", ""1"", ""48"", ""33"", ""8""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,DriverName,IDENTITY_LIKE,"[""Rinus VeeKay"", ""Pato O'Ward"", ""Felix Rosenqvist"", ""Alex Palou"", ""Tony Kanaan"", ""Jimmie Johnson"", ""Ed Carpenter"", ""Marcus Ericsson""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,DriverOverrideID,IDENTITY_LIKE,"[""4614"", ""4559"", ""4588"", ""4931"", ""3648"", ""4934"", ""3620"", ""4905""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,DriverUrl,IDENTITY_LIKE,"[""/Drivers/Rinus-VeeKay"", ""/Drivers/Pato-OWard"", ""/Drivers/Felix-Rosenqvist"", ""/Drivers/Alex-Palou"", ""/Drivers/Ed-Carpenter"", ""/Drivers/Marcus-Ericsson"", ""/Drivers/Romain-Grosjean"", ""/Drivers/Scott-Dixon""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,DriversID,IDENTITY_LIKE,"[""4614"", ""4559"", ""4588"", ""4931"", ""3648"", ""4934"", ""3620"", ""4905""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,ElapsedTime,IDENTITY_LIKE,"[""02:34.0730"", ""02:34.4820"", ""02:34.6558"", ""02:34.6565"", ""02:34.7555"", ""02:34.9070"", ""02:34.9076"", ""02:34.9890""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,EventsEntrylistID,IDENTITY_LIKE,"[""34657"", ""34645"", ""34647"", ""34650"", ""34669"", ""34664"", ""34668"", ""34648""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,EventsSessionsDetailsID,IDENTITY_LIKE,"[""105044"", ""105045"", ""105046"", ""105047"", ""105048"", ""105049"", ""105050"", ""105051""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,EventsSessionsID,IDENTITY_LIKE,"[""6033""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,InLap,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,LapsComplete,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,LapsDown,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,LapsLed,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,QualLap1,IDENTITY_LIKE,"[""38.3465"", ""38.5602"", ""38.5419"", ""38.5293"", ""38.5968"", ""38.6043"", ""38.6342"", ""38.6717""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,QualLap2,IDENTITY_LIKE,"[""38.4745"", ""38.5975"", ""38.6049"", ""38.5976"", ""38.6797"", ""38.7216"", ""38.6611"", ""38.7254""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,QualLap3,IDENTITY_LIKE,"[""38.5681"", ""38.6591"", ""38.8046"", ""38.6919"", ""38.7326"", ""38.7707"", ""38.7016"", ""38.7977""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,QualLap4,IDENTITY_LIKE,"[""38.6839"", ""38.6652"", ""38.7044"", ""38.8377"", ""38.7464"", ""38.8104"", ""38.9107"", ""38.7942""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,SpeedAvg,IDENTITY_LIKE,"[""233.655"", ""233.037"", ""232.775"", ""232.774"", ""232.625"", ""232.398"", ""232.397"", ""232.275""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,SpeedAvgFormatted,IDENTITY_LIKE,"[""233.655"", ""233.037"", ""232.775"", ""232.774"", ""232.625"", ""232.398"", ""232.397"", ""232.275""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,Status,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,BestLapTime,TIME_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,ElapsedTime,TIME_LIKE,"[""02:33.8810"", ""02:34.1569"", ""02:34.2432"", ""02:34.2449"", ""02:34.2584"", ""02:34.2768"", ""02:34.2932"", ""02:34.3394""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,EventsSessionsDetailsID,TIME_LIKE,"[""108594"", ""108595"", ""108596"", ""108597"", ""108598"", ""108599"", ""108600"", ""108601""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,EventsSessionsID,TIME_LIKE,"[""6202""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,PositionStart,TIME_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,TimesLed,TIME_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,BestLapTime,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,BestSpeed,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,BestSpeedFormatted,IDENTITY_LIKE,[]
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,CarNumber,IDENTITY_LIKE,"[""6"", ""7"", ""10"", ""21"", ""9"", ""66"", ""11"", ""5""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,DriverName,IDENTITY_LIKE,"[""Felix Rosenqvist"", ""Alexander Rossi"", ""Alex Palou"", ""Rinus VeeKay"", ""Scott Dixon"", ""Tony Kanaan"", ""Takuma Sato"", ""Pato O'Ward""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,DriverOverrideID,IDENTITY_LIKE,"[""4588"", ""4587"", ""4931"", ""4614"", ""3628"", ""3648"", ""3811"", ""4559""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,DriverUrl,IDENTITY_LIKE,"[""/Drivers/Felix-Rosenqvist"", ""/Drivers/Alexander-Rossi"", ""/Drivers/Alex-Palou"", ""/Drivers/Rinus-VeeKay"", ""/Drivers/Scott-Dixon"", ""/Drivers/Takuma-Sato"", ""/Drivers/Pato-OWard"", ""/Drivers/Santino-Ferrucci""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,DriversID,IDENTITY_LIKE,"[""4588"", ""4587"", ""4931"", ""4614"", ""3628"", ""3648"", ""3811"", ""4559""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,ElapsedTime,IDENTITY_LIKE,"[""02:33.8810"", ""02:34.1569"", ""02:34.2432"", ""02:34.2449"", ""02:34.2584"", ""02:34.2768"", ""02:34.2932"", ""02:34.3394""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,EventsEntrylistID,IDENTITY_LIKE,"[""35294"", ""35295"", ""35298"", ""35305"", ""35297"", ""35319"", ""35299"", ""35292""]"
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,EventsSessionsDetailsID,IDENTITY_LIKE,"[""108594"", ""108595"", ""108596"", ""108597"", ""108598"", ""108599"", ""108600"", ""108601""]"
