model_name,group_type,group_value,rows,mean_actual_speed_mph,mean_predicted_speed_mph,mean_residual_pred_minus_actual_mph,mae_mph,rmse_mph,diagnostic_policy_hash
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2020:car59:Max Chilton,2,226.56099999999998,,4.312168831168847,4.312168831168847,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2020:car60:Jack Harvey,2,229.809,,1.0641688311688426,1.0641688311688426,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2020:car81:Ben Hanley,2,221.9315,,8.94166883116884,8.94166883116884,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2020:car88:Colton Herta,2,230.66750000000002,,0.2056688311688361,0.2056688311688361,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2021:car2:Josef Newgarden,2,230.06,,0.585850746268676,0.585850746268676,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2021:car4:Dalton Kellett,2,228.7865,,1.8593507462686745,1.8593507462686745,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2021:car7:Felix Rosenqvist,2,230.62099999999998,,0.024850746268683097,0.12300000000000459,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2021:car12:Will Power,2,229.14,,1.5058507462686777,1.5058507462686777,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2021:car16:Simona De Silvestro,3,228.19366666666667,,2.452184079602006,2.452184079602006,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2021:car18:Ed Jones,2,230.645,,0.0008507462686679901,0.3990000000000009,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2021:car21:Rinus VeeKay,2,231.162,,-0.5161492537313279,0.5161492537313279,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2021:car25:Stefan Wilson,3,229.67999999999998,,0.9658507462686808,0.9658507462686808,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2021:car26:Colton Herta,2,230.9385,,-0.29264925373132655,0.7094999999999914,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2021:car47:Conor Daly,2,230.35,,0.2958507462686839,0.2958507462686839,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2021:car60:Jack Harvey,2,227.8435,,2.8023507462686723,2.8023507462686723,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2021:car86:Juan Pablo Montoya,2,229.814,,0.8318507462686853,0.8318507462686853,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2021:car98:Marco Andretti,3,229.6676666666667,,0.9781840796020068,0.9781840796020068,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2023:car8:Marcus Ericsson,3,232.72866666666667,,-3.0125075757575814,3.0125075757575814,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2023:car9:Scott Dixon,2,233.1445,,-3.428340909090906,3.428340909090906,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2023:car11:Takuma Sato,2,233.0895,,-3.3733409090909134,3.3733409090909134,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2023:car27:Kyle Kirkwood,3,232.55633333333333,,-2.84017424242424,2.84017424242424,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2023:car29:Devlin DeFrancesco,2,231.313,,-1.5968409090909148,1.5968409090909148,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2023:car33:Ed Carpenter,3,232.60666666666665,,-2.8905075757575767,2.8905075757575767,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2023:car66:Tony Kanaan,3,232.80433333333335,,-3.0881742424242495,3.0881742424242495,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
MEAN_BASELINE,REPEATED_CAR_WITHIN_TEST_YEAR,2023:car77:Callum Ilott,2,229.451,,0.2651590909090942,1.7309999999999945,,575fd17a6f1be1f5d174cf43e422efde3970314f41803aa9ca4bbb59ff72b75a
