script_path,script_name,referenced_version,referenced_filename,line_numbers,classification,recommended_action,notes
weather/scripts/audit_2022_result_match_v3_adoption_dependencies_v1.py,audit_2022_result_match_v3_adoption_dependencies_v1.py,V3,chronology_rescue_2022_result_to_canonical_attempt_matches_v3.csv,34,AUDIT_SCRIPT_PRESERVE,PRESERVE_EXISTING_REFERENCE,Script intentionally compares or audits legacy result-match versions; do not rewrite provenance.
weather/scripts/forensic_audit_2022_car06_car6_result_matches_v1.py,forensic_audit_2022_car06_car6_result_matches_v1.py,V1,chronology_rescue_2022_result_to_canonical_attempt_matches_v1.csv,15,AUDIT_SCRIPT_PRESERVE,PRESERVE_EXISTING_REFERENCE,Script intentionally compares or audits legacy result-match versions; do not rewrite provenance.
weather/scripts/forensic_audit_2022_car06_car6_result_matches_v1.py,forensic_audit_2022_car06_car6_result_matches_v1.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,20,AUDIT_SCRIPT_PRESERVE,PRESERVE_EXISTING_REFERENCE,Script intentionally compares or audits legacy result-match versions; do not rewrite provenance.
weather/scripts/inspect_2022_car06_car6_official_raw_schema_v1.py,inspect_2022_car06_car6_official_raw_schema_v1.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,16,AUDIT_SCRIPT_PRESERVE,PRESERVE_EXISTING_REFERENCE,Script intentionally compares or audits legacy result-match versions; do not rewrite provenance.
weather/scripts/integrate_2022_castroneves_first_run_action_chronology_v1.py,integrate_2022_castroneves_first_run_action_chronology_v1.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,11,ACTIVE_RESCUE_SWITCH_TO_V3,SWITCH_FUTURE_EXECUTION_TO_V3,Future execution should consume repaired V3. Do not alter historical outputs already produced.
weather/scripts/mine_2022_high_priority_chronology_targets_v1.py,mine_2022_high_priority_chronology_targets_v1.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,30,ACTIVE_RESCUE_SWITCH_TO_V3,SWITCH_FUTURE_EXECUTION_TO_V3,Future execution should consume repaired V3. Do not alter historical outputs already produced.
weather/scripts/reaudit_2022_castroneves_with_preserved_car_number_v1.py,reaudit_2022_castroneves_with_preserved_car_number_v1.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,11,ACTIVE_RESCUE_SWITCH_TO_V3,SWITCH_FUTURE_EXECUTION_TO_V3,Future execution should consume repaired V3. Do not alter historical outputs already produced.
weather/scripts/reconcile_2022_results_to_canonical_attempt_ids_v1.py,reconcile_2022_results_to_canonical_attempt_ids_v1.py,V1,chronology_rescue_2022_result_to_canonical_attempt_matches_v1.csv,29,LEGACY_PRESERVE,PRESERVE_EXISTING_REFERENCE,Historical construction/reconciliation stage. Preserve original dependency for reproducibility.
weather/scripts/repair_2022_result_match_car_number_literals_v1.py,repair_2022_result_match_car_number_literals_v1.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,23,AUDIT_SCRIPT_PRESERVE,PRESERVE_EXISTING_REFERENCE,Script intentionally compares or audits legacy result-match versions; do not rewrite provenance.
weather/scripts/repair_2022_result_match_car_number_literals_v1.py,repair_2022_result_match_car_number_literals_v1.py,V3,chronology_rescue_2022_result_to_canonical_attempt_matches_v3.csv,42,AUDIT_SCRIPT_PRESERVE,PRESERVE_EXISTING_REFERENCE,Script intentionally compares or audits legacy result-match versions; do not rewrite provenance.
weather/scripts/resolve_2022_chronology_only_canonical_links_v1.py,resolve_2022_chronology_only_canonical_links_v1.py,V1,chronology_rescue_2022_result_to_canonical_attempt_matches_v1.csv,12,LEGACY_PRESERVE,PRESERVE_EXISTING_REFERENCE,Historical construction/reconciliation stage. Preserve original dependency for reproducibility.
weather/scripts/resolve_2022_chronology_only_canonical_links_v1.py,resolve_2022_chronology_only_canonical_links_v1.py,V2,chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,31,LEGACY_PRESERVE,PRESERVE_EXISTING_REFERENCE,Historical construction/reconciliation stage. Preserve original dependency for reproducibility.
