year,session_id,field_name,value_type,item_count,value_preview
2022,6033,records,list,44,"[{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""21"", ""Difference"": null, ""DriverName"": ""Rinus VeeKay"", ""DriverOverrideID"": 4614, ""DriverUrl"": ""/Drivers/Rinus-VeeKay"", ""DriversID"": 4614, ""ElapsedTime"": ""02:34.0730"", ""EventsEntrylistID"": 34657, ""EventsSessionsDetailsID"": 105044, ""EventsSessionsID"": 6033, ""FirstName"": ""Rinus"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""VeeKay"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 1, ""PositionStart"": null, ""QualLap1"": "" 38.3465"", ""QualLap2"": "" 38.4745"", ""QualLap3"": "" 38.5681"", ""QualLap4"": "" 38.6839"", ""SpeedAvg"": 233.655, ""SpeedAvgFormatted"": ""233.655"", ""Status"": null, ""TeamName"": ""ECR"", ""TimesLed"": null}, {""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""5"", ""Difference"": null, ""DriverName"": ""Pato O'Ward"", ""DriverOverrideID"": 4559, ""DriverUrl"": ""/Drivers/Pato-OWard"", ""DriversID"": 4559, ""ElapsedTime"": ""02:34.4820"", ""EventsEntrylistID"": 34645, ""EventsSessionsDetailsID"": 105045, ""EventsSessionsID"": 6033, ""FirstName"": ""Pato"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null"
2022,6033,SessionReports,list,3,"[{""DocumentID"": ""c1826ed2-b1c2-42d4-8d35-3b68286ed2da"", ""DocumentType"": ""Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Results"", ""SortOrder"": 8, ""Url"": ""INDYCAR/Documents/6033/2022-05-21/indycar-officialqualresults-day1.pdf"", ""modified_date"": ""/Date(1653169717990)/""}, {""DocumentID"": ""c243cf3d-7da1-41fb-9d4e-c6f54f2e016c"", ""DocumentType"": ""Section Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Section Results"", ""SortOrder"": 9, ""Url"": ""INDYCAR/Documents/6033/2022-05-21/indycar-sectionresults-quals-day1.pdf"", ""modified_date"": ""/Date(1653168353783)/""}, {""DocumentID"": ""fe3a8b0b-24ab-4784-abec-3b016a962e8b"", ""DocumentType"": ""Top Section Times"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Top Section Times"", ""SortOrder"": 10, ""Url"": ""INDYCAR/Documents/6033/2022-05-21/indycar-topsectiontimes-quals-day1.pdf"", ""modified_date"": ""/Date(1653168359633)/""}]"
2023,6202,EventName,str,,"""107th Running of the Indianapolis 500"""
2023,6202,SessionName,str,,"""Qualifications - Day 1"""
2023,6202,SessionDate,str,,"""5/20/2023"""
2023,6202,SessionDateFormatted,str,,"""Saturday, May 20, 2023"""
2023,6202,SessionType,str,,"""Q"""
2023,6202,TrackType,str,,"""I"""
2023,6202,records,list,34,"[{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""6"", ""Difference"": null, ""DriverName"": ""Felix Rosenqvist"", ""DriverOverrideID"": 4588, ""DriverUrl"": ""/Drivers/Felix-Rosenqvist"", ""DriversID"": 4588, ""ElapsedTime"": ""02:33.8810"", ""EventsEntrylistID"": 35294, ""EventsSessionsDetailsID"": 108594, ""EventsSessionsID"": 6202, ""FirstName"": ""Felix"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Rosenqvist"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 1, ""PositionStart"": null, ""QualLap1"": "" 38.4076"", ""QualLap2"": "" 38.4107"", ""QualLap3"": "" 38.4977"", ""QualLap4"": "" 38.5650"", ""SpeedAvg"": 233.947, ""SpeedAvgFormatted"": ""233.947"", ""Status"": null, ""TeamName"": ""Arrow McLaren"", ""TimesLed"": null}, {""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""7"", ""Difference"": null, ""DriverName"": ""Alexander Rossi"", ""DriverOverrideID"": 4587, ""DriverUrl"": ""/Drivers/Alexander-Rossi"", ""DriversID"": 4587, ""ElapsedTime"": ""02:34.1569"", ""EventsEntrylistID"": 35295, ""EventsSessionsDetailsID"": 108595, ""EventsSessionsID"": 6202, ""FirstName"": ""Alexander"", ""Gap"": null, ""InLap"": null, ""IsDe"
2023,6202,SessionReports,list,5,"[{""DocumentID"": ""1be5c87d-287b-41fa-b1b7-fc5852d40392"", ""DocumentType"": ""Overall Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Overall Results"", ""SortOrder"": 6, ""Url"": ""INDYCAR/Documents/6202/2023-05-20/indycar-officialqualsfinalpostings-quals-day1.pdf"", ""modified_date"": ""/Date(1684621911940)/""}, {""DocumentID"": ""b5340669-4b5d-4531-9e3e-8b638f10f89e"", ""DocumentType"": ""Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Results"", ""SortOrder"": 8, ""Url"": ""INDYCAR/Documents/6202/2023-05-20/indycar-results-quals-day1.pdf"", ""modified_date"": ""/Date(1684621451753)/""}, {""DocumentID"": ""ced91beb-b652-4045-820a-b9736a86441a"", ""DocumentType"": ""Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Results"", ""SortOrder"": 8, ""Url"": ""INDYCAR/Documents/6202/2023-05-20/indycar-results-quals-day1 - MOD34.pdf"", ""modified_date"": ""/Date(1684637733387)/""}, {""DocumentID"": ""e61f9cd7-6243-4f16-8b88-6f42fe374d2f"", ""DocumentType"": ""Section Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Section Results"", ""SortOrder"": 9, ""Url"": ""INDYCAR/Documents/6202/2023-05-20/indycar-sectionresults-quals-day1.pdf"", ""modified_date"": ""/Date(1684620345767)/"""
2024,6382,EventName,str,,"""108th Running of the Indianapolis 500"""
2024,6382,SessionName,str,,"""Qualifications - Day 1"""
2024,6382,SessionDate,str,,"""5/18/2024"""
2024,6382,SessionDateFormatted,str,,"""Saturday, May 18, 2024"""
2024,6382,SessionType,str,,"""Q"""
2024,6382,TrackType,str,,"""I"""
2024,6382,records,list,34,"[{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""12"", ""Difference"": null, ""DriverName"": ""Will Power"", ""DriverOverrideID"": 3667, ""DriverUrl"": ""/Drivers/Will-Power"", ""DriversID"": 3667, ""ElapsedTime"": ""02:34.0053"", ""EventsEntrylistID"": 36782, ""EventsSessionsDetailsID"": 113228, ""EventsSessionsID"": 6382, ""FirstName"": ""Will"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Power"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 1, ""PositionStart"": null, ""QualLap1"": "" 38.4566"", ""QualLap2"": "" 38.4897"", ""QualLap3"": "" 38.5227"", ""QualLap4"": "" 38.5363"", ""SpeedAvg"": 233.758, ""SpeedAvgFormatted"": ""233.758"", ""Status"": null, ""TeamName"": ""Team Penske"", ""TimesLed"": null}, {""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""3"", ""Difference"": null, ""DriverName"": ""Scott McLaughlin"", ""DriverOverrideID"": 4932, ""DriverUrl"": ""/Drivers/Scott-McLaughlin"", ""DriversID"": 4932, ""ElapsedTime"": ""02:34.2863"", ""EventsEntrylistID"": 36774, ""EventsSessionsDetailsID"": 113229, ""EventsSessionsID"": 6382, ""FirstName"": ""Scott"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsC"
2024,6382,SessionReports,list,3,"[{""DocumentID"": ""35257f36-b4e1-406a-a3ae-54277f4bd7b2"", ""DocumentType"": ""Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Results"", ""SortOrder"": 8, ""Url"": ""INDYCAR/Documents/6382/2024-05-18/indycar-results-quals-day1.pdf"", ""modified_date"": ""/Date(1716072170437)/""}, {""DocumentID"": ""a91c2adc-91f1-4759-896a-f64e921bcdf3"", ""DocumentType"": ""Section Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Section Results"", ""SortOrder"": 9, ""Url"": ""INDYCAR/Documents/6382/2024-05-18/indycar-sectionresults-quals-day1.pdf"", ""modified_date"": ""/Date(1716069870490)/""}, {""DocumentID"": ""c432271c-8596-4afd-a562-7ee43c685da3"", ""DocumentType"": ""Top Section Times"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Top Section Times"", ""SortOrder"": 10, ""Url"": ""INDYCAR/Documents/6382/2024-05-18/indycar-topsectiontimes-quals-day1.pdf"", ""modified_date"": ""/Date(1716069881677)/""}]"
