path,file_type,read_ok,row_count,field_count,years,time_like_fields,identity_like_fields,has_time_like_field,error
weather/output/large_gain_event_section_audit_v1.csv,.csv,True,288,7,"2020,2021,2023",[],"[""year"", ""car_number"", ""driver_name"", ""attempt_role"", ""attempt_id""]",False,
weather/output/official_day1_results_attempt_rows_v1.csv,.csv,True,320,15,"2020,2021,2022,2023,2024","[""elapsed_time""]","[""year"", ""car_number"", ""driver_name_pdf"", ""qual_lap_1"", ""qual_lap_2"", ""qual_lap_3"", ""qual_lap_4"", ""elapsed_time"", ""speed_avg_mph"", ""status""]",True,
weather/output/official_day1_results_attempt_rows_v1_qa.csv,.csv,True,10,3,,[],"[""status""]",False,
weather/output/official_day1_session_detail_audit_v1.csv,.csv,True,5,13,"2020,2021,2022,2023,2024","[""session_id"", ""session_name_expected"", ""session_name_returned"", ""session_type"", ""session_date"", ""session_report_count"", ""session_call_ok""]","[""year"", ""event_id_expected"", ""event_name_expected"", ""session_id"", ""session_name_expected"", ""event_name_returned"", ""session_name_returned"", ""session_type"", ""session_date"", ""session_report_count"", ""session_call_ok""]",True,
weather/output/official_day1_session_details_and_reports_v1_qa.csv,.csv,True,11,3,,[],"[""status""]",False,
weather/output/official_day1_session_field_inventory_v1.csv,.csv,True,40,6,"2020,2021,2022,2023,2024","[""session_id""]","[""year"", ""session_id""]",True,
weather/output/official_day1_session_report_download_v2.csv,.csv,True,17,17,"2020,2021,2022,2023,2024","[""session_id"", ""local_path""]","[""year"", ""session_id"", ""status_code""]",True,
weather/output/official_day1_session_report_download_v2_qa.csv,.csv,True,5,3,,[],"[""status""]",False,
weather/output/official_day1_session_report_fetch_audit_v1.csv,.csv,True,22,9,"2020,2021,2022,2023,2024",[],"[""year"", ""status_code""]",False,
weather/output/official_day1_session_report_inventory_v1.csv,.csv,True,17,16,"2020,2021,2022,2023,2024","[""session_id"", ""session_name"", ""local_path""]","[""year"", ""event_id"", ""session_id"", ""session_name"", ""status_code""]",True,
weather/output/official_indy500_day1_session_candidates_v1.csv,.csv,True,0,12,,"[""events_session_id"", ""session_name"", ""session_type"", ""session_date"", ""session_report_count""]","[""year"", ""event_id"", ""event_name"", ""events_session_id"", ""session_name"", ""session_type"", ""session_date"", ""session_report_count""]",True,
weather/output/official_indy500_day1_session_report_recovery_v1_qa.csv,.csv,True,14,3,,[],"[""status""]",False,
weather/output/official_indy500_event_inventory_v1.csv,.csv,True,62,7,"2021,2022,2023,2024","[""session_count""]","[""year"", ""event_index"", ""event_id"", ""event_name"", ""session_count""]",True,
weather/output/official_indy500_session_inventory_v1.csv,.csv,True,0,12,,"[""session_index"", ""events_session_id"", ""session_name"", ""session_date_raw"", ""session_date_normalized""]","[""year"", ""event_id"", ""event_name"", ""session_index"", ""events_session_id"", ""session_name"", ""session_date_raw"", ""session_date_normalized""]",True,
weather/output/performance_grade_attempt_realized_environment.csv,.csv,True,129,33,"2020,2021,2023","[""session_id"", ""mapped_capture_event_id"", ""mapped_capture_time_utc"", ""environment_time_semantic"", ""ptsc_before_utc"", ""ptsc_after_utc""]","[""attempt_id"", ""session_id"", ""year"", ""attempt_key"", ""car_number"", ""driver_name"", ""car_attempt_index"", ""mapped_capture_event_id"", ""calibration_status"", ""ptsc_alignment_status""]",True,
