resource_id,source_authority,historical_scope,raw_evidence_path,json_path,field_name,data_type,sample_value,lane_signal,priority_signal,queue_signal,line_signal,withdraw_signal,attempt_signal,timestamp_signal,position_signal,rank_signal,cutoff_signal,bump_signal,status_signal,race_control_signal,message_signal,semantic_assessment,notes
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].Gap,Gap,null,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].InLap,InLap,null,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].IsDeleted,IsDeleted,boolean,False,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].LapsComplete,LapsComplete,null,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].LapsDown,LapsDown,null,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].LapsLed,LapsLed,null,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].LastName,LastName,string,Andretti,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].PitStops,PitStops,null,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].PointsEarned,PointsEarned,null,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].PositionFinish,PositionFinish,integer,1,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NAME_SIGNAL_ONLY_REVIEW_REQUIRED,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].PositionStart,PositionStart,null,,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NAME_SIGNAL_ONLY_REVIEW_REQUIRED,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].QualLap1,QualLap1,string, 38.7635,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].QualLap2,QualLap2,string, 38.8670,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].QualLap3,QualLap3,string, 38.9664,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].QualLap4,QualLap4,string, 39.0109,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].SpeedAvg,SpeedAvg,number,231.351,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].SpeedAvgFormatted,SpeedAvgFormatted,string,231.351,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].Status,Status,null,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NAME_SIGNAL_ONLY_REVIEW_REQUIRED,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].TeamName,TeamName,string,Andretti Herta w/ Marco & Curb-Agajanian,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2020,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,records[].TimesLed,TimesLed,null,,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NAME_SIGNAL_ONLY_REVIEW_REQUIRED,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,EventName,EventName,string,105th Running of the Indianapolis 500,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SessionDate,SessionDate,string,5/22/2021,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SessionDateFormatted,SessionDateFormatted,string,"Saturday, May 22, 2021",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
official_results_session_2021,OFFICIAL_FIRST_PARTY,HISTORICAL_CONFIRMED,weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,SessionName,SessionName,string,Qualifications - Day 1,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO_TARGET_NAME_SIGNAL,Field names are inventoried without assigning event semantics.
