fused_decision_id,regime,feasible_action,status,mc_draws,mean_wait_minutes,mean_future_track_temp_c,mean_expected_delta_speed_mph,mean_attempt_speed_mph,mean_final_speed_mph,p_beat_current,p_cross_benchmark,p_downside,parameter_scope
DAY1::DAY1_2020_59_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.4125,51.41262692,1.672747906,227.3809118,227.3809118,0.923,0.091,0.077,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_66_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,228.768,228.768,0,0,0,
DAY1::DAY1_2020_66_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.0875,42.96232755,1.589811077,230.2330142,230.2670134,0.9035,0.8855,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_66_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.2625,42.89980441,1.601634138,230.2890671,230.2890671,0.913,0.9005,0.087,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_67_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,226.341,226.341,0,0,0,
DAY1::DAY1_2020_67_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.665,52.40807159,1.694620312,227.8958456,227.9217104,0.9235,0.1205,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_67_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.0375,52.46919446,1.683062039,227.9123321,227.9123321,0.921,0.1245,0.079,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_7_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,229.76,229.76,0,0,0,
DAY1::DAY1_2020_7_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.0725,47.91749706,1.598288476,231.266367,231.3013386,0.912,0.89,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_7_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.57,47.93859059,1.594299712,231.1984748,231.1984748,0.908,0.8875,0.092,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_8_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,230.472,230.472,0,1,0,
DAY1::DAY1_2020_8_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.71,44.55914123,1.603020205,231.9243711,231.9552363,0.909,1,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_8_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.96,44.62127828,1.591270151,231.9557367,231.9557367,0.922,0.9815,0.078,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_81_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,220.946,220.946,0,0,0,
DAY1::DAY1_2020_81_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.5925,48.94569701,1.613966893,222.4525169,222.4825471,0.9155,0,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_81_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.5875,48.93129133,1.61669099,222.4553727,222.4553727,0.9125,0,0.0875,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_88_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,230.56,230.56,0,1,0,
DAY1::DAY1_2020_88_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.5,51.3781051,1.679275948,232.1459752,232.1682884,0.926,1,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_88_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.5075,51.37678926,1.679524772,232.1105684,232.1105684,0.9265,0.9265,0.0735,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_98_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,231.351,231.351,0,1,0,
DAY1::DAY1_2020_98_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.6025,50.92579338,1.659752644,232.8278286,232.8535573,0.9165,1,0,LOYO_EXCLUDING_2020
DAY1::DAY1_2020_98_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.1825,50.84709938,1.674633599,232.8500553,232.8500553,0.915,0.997,0.085,LOYO_EXCLUDING_2020
DAY1::DAY1_2021_1_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,229.98,229.98,0,0,0,
DAY1::DAY1_2021_1_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.585,38.99238541,0.7958808117,230.7515879,230.963973,0.6795,0.514,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_1_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.555,38.97988848,0.7961605207,230.7247929,230.7247929,0.6725,0.503,0.3275,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_11_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,228.401,228.401,0,0,0,
DAY1::DAY1_2021_11_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.9225,38.33838382,0.8105188166,229.1412209,229.3612137,0.661,0.086,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_11_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.0725,38.27804643,0.8118693011,229.1800649,229.1800649,0.6745,0.082,0.3255,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_12_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,229.052,229.052,0,0,0,
DAY1::DAY1_2021_12_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.625,38.85449553,0.7989670928,229.8114326,230.0307164,0.669,0.21,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_12_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.9125,38.92387419,0.7974142447,229.7862949,229.7862949,0.674,0.2015,0.326,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_14_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,229.744,229.744,0,0,0,
DAY1::DAY1_2021_14_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.0175,38.3238214,0.8108447558,230.4324711,230.6628955,0.648,0.403,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_14_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.91,38.31827779,0.8109688342,230.5018875,230.5018875,0.6705,0.4185,0.3295,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_15_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,230.521,230.521,0,0,0,
DAY1::DAY1_2021_15_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.5475,38.58094754,0.8050897032,231.2659584,231.4754099,0.683,0.6035,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_15_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.4325,38.58386576,0.8050243867,231.3383397,231.3383397,0.68,0.5925,0.32,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_16_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,228.173,228.173,0,0,0,
DAY1::DAY1_2021_16_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.81,37.81226919,0.8098598634,228.8427592,229.0766736,0.646,0.078,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_16_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.875,37.77518073,0.8106899854,228.9835181,228.9835181,0.693,0.09,0.307,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_2_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,230.049,230.049,0,1,0,
DAY1::DAY1_2021_2_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.855,35.98379374,0.7886123737,230.7261066,230.9639358,0.646,1,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_2_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.6725,35.9818049,0.7886568885,230.7716355,230.7716355,0.655,0.914,0.345,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_20_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,231.616,231.616,0,1,0,
DAY1::DAY1_2021_20_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.45,38.89571502,0.7980445093,232.3531543,232.5759796,0.668,1,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_20_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.3725,38.93352417,0.7971982569,232.3722045,232.3722045,0.6805,1,0.3195,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_21_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,230.841,230.841,0,1,0,
DAY1::DAY1_2021_21_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.3525,35.88413137,0.7908430384,231.5532091,231.7877942,0.649,1,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_21_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.955,35.91589309,0.7901321409,231.5823962,231.5823962,0.662,1,0.338,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_22_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,229.778,229.778,0,0,0,
DAY1::DAY1_2021_22_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.875,37.94062777,0.806986914,230.5098257,230.7320925,0.658,0.4455,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_22_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.635,37.88477845,0.8082369457,230.6163048,230.6163048,0.685,0.4895,0.315,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_26_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,231.648,231.648,0,1,0,
DAY1::DAY1_2021_26_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.6475,37.85405299,0.8089246493,232.3704608,232.585348,0.6735,1,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_26_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.6675,37.84857797,0.8090471924,232.3709649,232.3709649,0.6535,0.9565,0.3465,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_27_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,231.046,231.046,0,1,0,
DAY1::DAY1_2021_27_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.23,37.89029382,0.8081134993,231.7747694,231.9969489,0.659,1,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_27_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.5275,37.87603831,0.8084325693,231.7727483,231.7727483,0.6625,0.663,0.3375,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_3_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,230.557,230.557,0,1,0,
DAY1::DAY1_2021_3_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.965,37.01058765,0.7904995796,231.3055888,231.5309188,0.6635,1,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_3_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.7725,36.99579253,0.7908307271,231.2614283,231.2614283,0.6515,0.7205,0.3485,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_30_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,230.708,230.708,0,1,0,
DAY1::DAY1_2021_30_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.36,36.9347441,0.7921971264,231.4039656,231.6279336,0.6625,1,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_30_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.48,36.90579287,0.792845119,231.4837571,231.4837571,0.674,0.7155,0.326,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_4_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,229.25,229.25,0,0,0,
DAY1::DAY1_2021_4_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.92,38.69920661,0.8024428029,229.9948094,230.2152118,0.6685,0.308,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_4_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.53,38.67527655,0.8029784107,229.9709787,229.9709787,0.646,0.302,0.354,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_45_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,229.949,229.949,0,0,0,
DAY1::DAY1_2021_45_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.465,36.95596779,0.7917220932,230.6826171,230.9065886,0.6665,0.59,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_45_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.225,36.90859574,0.7927823846,230.6844648,230.6844648,0.66,0.5885,0.34,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_47_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,230.427,230.427,0,0,0,
DAY1::DAY1_2021_47_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.875,38.67464037,0.8029926499,231.2024822,231.4129462,0.679,0.6,0,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_47_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,24.02,38.5920116,0.804842065,231.1347745,231.1347745,0.667,0.578,0.333,LOYO_EXCLUDING_2021
DAY1::DAY1_2021_5_POST_FIRST_ATTEMPT,DAY1,STOP,SUPPORTED_STOP,2000,0,,0,230.864,230.864,0,1,0,
DAY1::DAY1_2021_5_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,SUPPORTED_CONDITIONAL_ON_COMPLETION,2000,23.785,38.73694247,0.8015981909,231.6294654,231.8395252,0.6835,1,0,LOYO_EXCLUDING_2021
