fused_decision_id,regime,feasible_action,cutoff_policy_id,assumed_time_remaining_minutes,p_complete,p_cross_benchmark,p_no_result,mean_final_speed_mph
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,1,
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.2395,0.2395,0.7605,232.812463
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.2395,0.2395,0.7605,232.812463
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.489,0.489,0.511,232.8326864
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.489,0.489,0.511,232.8326864
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.7485,0.7485,0.2515,232.7881031
DAY1::DAY1_2020_27_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,1,0,232.7292176
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,1,0,231.33
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.249,1,0,231.7202393
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.249,1,0,231.7202393
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.515,1,0,232.0985136
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.515,1,0,232.0985136
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.7395,1,0,232.4162942
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,1,0,232.7722057
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,1,
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.2475,0.2475,0.7525,232.8313222
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.2475,0.2475,0.7525,232.8313222
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.49,0.49,0.51,232.8732043
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.49,0.49,0.51,232.8732043
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.743,0.743,0.257,232.8055958
DAY1::DAY1_2020_28_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,0.999,0,232.7435916
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,1,0,231.195
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.251,1,0,231.6235248
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.251,1,0,231.6235248
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.493,1,0,231.9751301
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.493,1,0,231.9751301
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.751,1,0,232.3636965
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,1,0,232.6981536
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,1,
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.2495,0.2495,0.7505,232.7753098
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.2495,0.2495,0.7505,232.7753098
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.506,0.506,0.494,232.7723125
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.506,0.506,0.494,232.7723125
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.747,0.747,0.253,232.7150611
DAY1::DAY1_2020_29_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,0.9985,0,232.6937196
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,0,228.115
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.2425,0.031,0,228.5019876
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.2425,0.031,0,228.5019876
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.4885,0.058,0,228.8797554
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.4885,0.058,0,228.8797554
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.7475,0.0905,0,229.2748664
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,0.129,0,229.6742869
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,1,
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.2665,0.0285,0.7335,229.6470574
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.2665,0.0285,0.7335,229.6470574
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.5245,0.0515,0.4755,229.5855327
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.5245,0.0515,0.4755,229.5855327
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.777,0.083,0.223,229.598649
DAY1::DAY1_2020_3_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,0.1115,0,229.6077141
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,0,229.884
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.246,0.215,0,230.2979879
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.246,0.215,0,230.2979879
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.4965,0.434,0,230.7161755
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.4965,0.434,0,230.7161755
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.7415,0.6375,0,231.0926349
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,0.8385,0,231.5057585
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,1,
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.2335,0.1975,0.7665,231.4673129
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.2335,0.1975,0.7665,231.4673129
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.4895,0.422,0.5105,231.4711218
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_30MIN,30,0.4895,0.422,0.5105,231.4711218
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_45MIN,45,0.759,0.641,0.241,231.4338848
DAY1::DAY1_2020_47_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,CUTOFF_SENSITIVITY_60MIN,60,1,0.8265,0,231.403069
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_05MIN,5,0,0,0,228.747
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_10MIN,10,0.2545,0.0735,0,229.1558817
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_15MIN,15,0.2545,0.0735,0,229.1558817
DAY1::DAY1_2020_51_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,CUTOFF_SENSITIVITY_20MIN,20,0.525,0.14,0,229.5494989
