fused_decision_id,regime,feasible_action,wait_minutes,wait_probability,decision_time_utc,current_speed_mph,future_attempt_time_utc,future_state_status,track_observation_time_utc,track_observation_age_minutes,current_track_temp_c,track_dynamics_training_years,future_track_temp_mean_c,future_track_temp_sd_c,current_air_temp_c,future_air_temp_c,current_solar_radiation_wm2,future_solar_radiation_wm2,current_solar_elevation_deg,future_solar_elevation_deg,current_solar_azimuth_deg,future_solar_azimuth_deg,current_wind_speed_ms,future_wind_speed_ms,current_relative_humidity_pct,future_relative_humidity_pct,current_dewpoint_c,future_dewpoint_c,current_cloud_cover_fraction,future_cloud_cover_fraction,selected_hrrr_cycle_utc,forecast_time_method,hrrr_availability_lag_minutes
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,5,0.25,2020-08-15T17:09:06+00:00,228.836,2020-08-15T17:14:06+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T17:00:00+00:00,9.1,50,2021|2022|2023|2024,50.60211818,0.6736660281,29.00313187,29.10242844,902.1233333,903.29,62.64361678,62.97909464,158.2182624,160.7706752,0.6610433416,0.6523262816,53.91152254,53.46732849,18.72092519,18.67602875,0,0,2020-08-15T15:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,15,0.25,2020-08-15T17:09:06+00:00,228.836,2020-08-15T17:24:06+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T17:00:00+00:00,9.1,50,2021|2022|2023|2024,50.81010301,1.166823788,29.00313187,29.30102158,902.1233333,905.6233333,62.64361678,63.52617209,158.2182624,166.0260557,0.6610433416,0.6348921615,53.91152254,52.57894038,18.72092519,18.58623586,0,0,2020-08-15T15:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,30,0.25,2020-08-15T17:09:06+00:00,228.836,2020-08-15T17:39:06+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T17:00:00+00:00,9.1,50,2021|2022|2023|2024,51.07002196,1.650138026,29.00313187,29.59891129,902.1233333,909.1233333,62.64361678,64.01857749,158.2182624,174.1935798,0.6610433416,0.6087409815,53.91152254,51.24635822,18.72092519,18.45154653,0,0,2020-08-15T15:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,45,0.25,2020-08-15T17:09:06+00:00,228.836,2020-08-15T17:54:06+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T17:00:00+00:00,9.1,50,2021|2022|2023|2024,51.26720226,2.020998084,29.00313187,29.89680099,902.1233333,912.6233333,62.64361678,64.09807393,158.2182624,182.5193765,0.6610433416,0.5825898014,53.91152254,49.91377607,18.72092519,18.3168572,0,0,2020-08-15T15:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,5,0.25,2020-08-15T17:09:06+00:00,228.836,2020-08-15T17:14:06+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T17:00:00+00:00,9.1,50,2021|2022|2023|2024,50.60211818,0.6736660281,29.00313187,29.10242844,902.1233333,903.29,62.64361678,62.97909464,158.2182624,160.7706752,0.6610433416,0.6523262816,53.91152254,53.46732849,18.72092519,18.67602875,0,0,2020-08-15T15:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,15,0.25,2020-08-15T17:09:06+00:00,228.836,2020-08-15T17:24:06+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T17:00:00+00:00,9.1,50,2021|2022|2023|2024,50.81010301,1.166823788,29.00313187,29.30102158,902.1233333,905.6233333,62.64361678,63.52617209,158.2182624,166.0260557,0.6610433416,0.6348921615,53.91152254,52.57894038,18.72092519,18.58623586,0,0,2020-08-15T15:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,30,0.25,2020-08-15T17:09:06+00:00,228.836,2020-08-15T17:39:06+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T17:00:00+00:00,9.1,50,2021|2022|2023|2024,51.07002196,1.650138026,29.00313187,29.59891129,902.1233333,909.1233333,62.64361678,64.01857749,158.2182624,174.1935798,0.6610433416,0.6087409815,53.91152254,51.24635822,18.72092519,18.45154653,0,0,2020-08-15T15:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_22_POST_FIRST_ATTEMPT,DAY1,WITHDRAW_AND_PRIORITY_REATTEMPT,45,0.25,2020-08-15T17:09:06+00:00,228.836,2020-08-15T17:54:06+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T17:00:00+00:00,9.1,50,2021|2022|2023|2024,51.26720226,2.020998084,29.00313187,29.89680099,902.1233333,912.6233333,62.64361678,64.09807393,158.2182624,182.5193765,0.6610433416,0.5825898014,53.91152254,49.91377607,18.72092519,18.3168572,0,0,2020-08-15T15:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,STOP,0,1,2020-08-15T15:49:55+00:00,227.099,2020-08-15T15:49:55+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T15:45:00+00:00,4.916666667,41.66666667,2021|2022|2023|2024,41.66666667,0.3012726066,26.8583597,26.8583597,793.1602778,793.1602778,53.18076351,53.18076351,126.1275111,126.1275111,0.9450349073,0.9450349073,65.47685281,65.47685281,19.82459034,19.82459034,0,0,2020-08-15T14:00:00+00:00,LINEAR_INTERPOLATION,90
DAY1::DAY1_2020_24_POST_FIRST_ATTEMPT,DAY1,RETAIN_AND_REATTEMPT,5,0.25,2020-08-15T15:49:55+00:00,227.099,2020-08-15T15:54:55+00:00,READY_DECISION_SAFE_FORECAST,2020-08-15T15:45:00+00:00,4.916666667,41.66666667,2021|2022|2023|2024,42.22823745,0.6736660281,26.8583597,26.98971244,793.1602778,803.5436111,53.18076351,53.9478908,126.1275111,127.7104682,0.9450349073,0.955504975,65.47685281,64.7604255,19.82459034,19.78026102,0,0,2020-08-15T14:00:00+00:00,LINEAR_INTERPOLATION,90
