year,id,json_path,key,value_preview
2019,5250b13f10ce468d85c6ed97731ec2e3,$.session.leaderLap,leaderLap,0
2019,5250b13f10ce468d85c6ed97731ec2e3,$.lap,lap,"{'77': [[1, 1558199513.870232, 5.0, 1558199723.87043, True, 0, 39.3764, 1, 39.63096, [[46.1755, 0], [40.2539, 9], [39.3764, 1], [39.4116, 1], [39.5047, 1], [39.6082, 1]]], 1558199728.873499], '10': [[1, 1558203028.851053, 5.0, 1558203238.848245, True, 0, 39.7241, 0, 39.73716666666667, [[41.7908, 1], [39.7418, 1], [39.7241, 1], [39.7456, 1]]], 1558203243.853323], '28': [[1, 1558202578.860761, 5.0, 1558202793.853216, True, 0, 39.3605, 0, 39.53979999999999, [[39.3605, 1], [39.4598, 1], [39.5725, 1]..."
2019,5250b13f10ce468d85c6ed97731ec2e3:1,$.service.startTime,startTime,1558212583.821156
2019,5250b13f10ce468d85c6ed97731ec2e3:1,$.driver,driver,"{'28': ['Ryan Hunter-Reay'], '60': ['Jack Harvey'], '88': ['Colton Herta'], '63': ['Ed Jones'], '66': ['Fernando Alonso'], '81': ['Ben Hanley'], '24': ['Sage Karam'], '25': [' '], '26': ['Zach Veach'], '27': ['Alexander Rossi'], '20': ['Ed Carpenter'], '21': ['Spencer Pigot'], '22': ['Simon Pagenaud'], '23': ['Charlie Kimball'], '42': ['Jordan King'], '3': ['Helio Castroneves'], '2': ['Josef Newgarden'], '5': ['James Hinchcliffe'], '4': ['Matheus Leist'], '7': ['Marcus Ericsson'], '5T': ['James ..."
2019,5250b13f10ce468d85c6ed97731ec2e3:1,$.state.cars,cars,"[['25', 'PIT', ' ', '', '11', '', ['0', ''], '0.3041', '0.0036', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], ['', ''], ['', ''], [39.4143, ''], '228.344', [39.2626, 'sb'], '229.226', '0'], ['48', 'PIT', ' ', '', '11', '', ['0', ''], '0.3066', '0.0025', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], ['', ''], ['', ''], [39.7751, ''], '226.272', [39.2651, ''], '229.211', '0'], ['19', 'PIT', ' ', '', '5', '', ['0', ''], '0.4645', '0.0020', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], ..."
2019,5250b13f10ce468d85c6ed97731ec2e3:1,$.state.session,session,"{'timeRemain': 3616, 'flagState': 'caution', 'timeElapsed': 20983}"
2019,5250b13f10ce468d85c6ed97731ec2e3:1,$.state.session.timeRemain,timeRemain,3616
2019,5250b13f10ce468d85c6ed97731ec2e3:1,$.state.session.timeElapsed,timeElapsed,20983
2019,5250b13f10ce468d85c6ed97731ec2e3:1,$.session,session,"{'currentTimestamp': 1558212578.960259, 'flagStats': [[9, 0, 1558212583.737262, None, None]], 'leaderLap': 0}"
2019,5250b13f10ce468d85c6ed97731ec2e3:1,$.session.currentTimestamp,currentTimestamp,1558212578.960259
2019,5250b13f10ce468d85c6ed97731ec2e3:1,$.session.leaderLap,leaderLap,0
2019,5250b13f10ce468d85c6ed97731ec2e3:1,$.lap,lap,"{'77': [[1, 1558199513.870232, 5.0, 1558199723.87043, True, 0, 39.3764, 1, 39.63096, [[46.1755, 0], [40.2539, 9], [39.3764, 1], [39.4116, 1], [39.5047, 1], [39.6082, 1]]], 1558199728.873499], '10': [[1, 1558208258.954807, 0.0, 1558208503.960087, True, 0, 39.4707, 3, 39.657183333333336, [[5062.1552, 9], [39.7456, 9], [39.7456, 9], [39.4707, 1], [39.6126, 1], [39.6845, 1], [39.6841, 1]]], 1558208508.963711], '28': [[1, 1558202578.860761, 5.0, 1558202793.853216, True, 0, 39.3605, 0, 39.539799999999..."
2019,5250b13f10ce468d85c6ed97731ec2e3:2,$.service.startTime,startTime,1558212588
2019,5250b13f10ce468d85c6ed97731ec2e3:2,$.driver,driver,"{'28': ['Ryan Hunter-Reay'], '60': ['Jack Harvey'], '88': ['Colton Herta'], '63': ['Ed Jones'], '66': ['Fernando Alonso'], '81': ['Ben Hanley'], '24': ['Sage Karam'], '25': ['Conor Daly'], '26': ['Zach Veach'], '27': ['Alexander Rossi'], '20': ['Ed Carpenter'], '21': ['Spencer Pigot'], '22': ['Simon Pagenaud'], '23': ['Charlie Kimball'], '42': ['Jordan King'], '3': ['Helio Castroneves'], '2': ['Josef Newgarden'], '5': ['James Hinchcliffe'], '4': ['Matheus Leist'], '7': ['Marcus Ericsson'], '5T':..."
2019,5250b13f10ce468d85c6ed97731ec2e3:2,$.state.cars,cars,"[['21', 'PIT', 'Spencer Pigot', 'Ed Carpenter Racing', '5', ['P', 'tyre-medium'], ['0', ''], '0.0363', '0.0363', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], ['', ''], ['', ''], [39.1886, ''], '229.659', [38.9948, ''], '230.800', '0'], ['12', 'PIT', 'Will Power', 'Team Penske', '5', ['P', 'tyre-medium'], ['0', ''], '0.0984', '0.0149', ['', 'pb'], ['', 'old'], ['', 'pb'], ['', 'old'], ['', ''], ['', ''], [39.1584, ''], '229.836', [39.0569, ''], '230.433', '0'], ['22', 'PIT', 'Simon Pagenaud'..."
2019,5250b13f10ce468d85c6ed97731ec2e3:2,$.state.session,session,"{'lapsRemain': 4, 'timeRemain': 0, 'flagState': 'none', 'timeElapsed': 24658}"
2019,5250b13f10ce468d85c6ed97731ec2e3:2,$.state.session.lapsRemain,lapsRemain,4
2019,5250b13f10ce468d85c6ed97731ec2e3:2,$.state.session.timeRemain,timeRemain,0
2019,5250b13f10ce468d85c6ed97731ec2e3:2,$.state.session.timeElapsed,timeElapsed,24658
2019,5250b13f10ce468d85c6ed97731ec2e3:2,$.session,session,"{'currentTimestamp': 1558216286.110538, 'flagStats': [[9, 0, 1558212588.740666, 22.0, 1558212633.961743], [1, 22.0, 1558212633.961743, 22.0, 1558212813.972723], [9, 22.0, 1558212813.972723, 22.0, 1558212923.960869], [1, 22.0, 1558212923.960869, 22.0, 1558213103.96126], [9, 22.0, 1558213103.96126, 22.0, 1558213333.961311], [1, 22.0, 1558213333.961311, 23.0, 1558213508.961393], [9, 23.0, 1558213508.961393, 23.0, 1558213623.955502], [1, 23.0, 1558213623.955502, 23.0, 1558213803.955872], [9, 23.0, 1..."
2019,5250b13f10ce468d85c6ed97731ec2e3:2,$.session.currentTimestamp,currentTimestamp,1558216286.110538
2019,5250b13f10ce468d85c6ed97731ec2e3:2,$.session.leaderLap,leaderLap,28.0
2019,5250b13f10ce468d85c6ed97731ec2e3:2,$.lap,lap,"{'77': [[1, 1558199513.870232, 5.0, 1558199723.87043, True, 0, 39.3764, 1, 39.63096, [[46.1755, 0], [40.2539, 9], [39.3764, 1], [39.4116, 1], [39.5047, 1], [39.6082, 1]]], 1558199728.873499], '10': [[1, 1558214634.373853, 0.0, 1558214874.645812, True, 0, 39.518299999999996, 4, 39.976000000000006, [[39.7456, 9], [40.1247, 9], [39.6841, 9], [41.6398, 9], [39.518299999999996, 1], [39.5561, 1], [39.615, 1], [39.694, 1]]], 1558214879.011897], '28': [None, 1558212618.950001], '26': [None, 1558216279.2..."
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars,cars,"{'cars': {'2': {'raceNum': '2', 'raceClass': None, 'teamName': 'Team Penske', 'make': None, 'drivers': [{'idx': 0, 'car': '2', 'name': 'Josef Newgarden'}], 'currentLap': 6, 'stints': [{'startLap': 1, 'startTime': 1747505220153, 'car': '2', 'driver': 0, 'laps': [{'lapNumber': 1, 'laptime': 41.4324, 'driver': 0, 'flag': 'yellow', 'timestamp': 1747505220195, 'car': '2'}, {'lapNumber': 2, 'laptime': 38.6151, 'driver': 0, 'flag': 'green', 'timestamp': 1747505258737, 'car': '2'}, {'lapNumber': 3, 'lap..."
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars,cars,"{'2': {'raceNum': '2', 'raceClass': None, 'teamName': 'Team Penske', 'make': None, 'drivers': [{'idx': 0, 'car': '2', 'name': 'Josef Newgarden'}], 'currentLap': 6, 'stints': [{'startLap': 1, 'startTime': 1747505220153, 'car': '2', 'driver': 0, 'laps': [{'lapNumber': 1, 'laptime': 41.4324, 'driver': 0, 'flag': 'yellow', 'timestamp': 1747505220195, 'car': '2'}, {'lapNumber': 2, 'laptime': 38.6151, 'driver': 0, 'flag': 'green', 'timestamp': 1747505258737, 'car': '2'}, {'lapNumber': 3, 'laptime': 38..."
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.drivers,drivers,"[{'idx': 0, 'car': '2', 'name': 'Josef Newgarden'}]"
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.drivers[0].car,car,2
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.currentLap,currentLap,6
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].startLap,startLap,1
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].startTime,startTime,1747505220153
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].car,car,2
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps,laps,"[{'lapNumber': 1, 'laptime': 41.4324, 'driver': 0, 'flag': 'yellow', 'timestamp': 1747505220195, 'car': '2'}, {'lapNumber': 2, 'laptime': 38.6151, 'driver': 0, 'flag': 'green', 'timestamp': 1747505258737, 'car': '2'}, {'lapNumber': 3, 'laptime': 38.6252, 'driver': 0, 'flag': 'green', 'timestamp': 1747505297102, 'car': '2'}, {'lapNumber': 4, 'laptime': 38.6271, 'driver': 0, 'flag': 'green', 'timestamp': 1747505335449, 'car': '2'}, {'lapNumber': 5, 'laptime': 38.6362, 'driver': 0, 'flag': 'green',..."
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[0].lapNumber,lapNumber,1
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[0].laptime,laptime,41.4324
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[0].driver,driver,0
2025,03072250-77e5-43d5-9844-4550ecd8ae34,$.cars.cars.2.stints[0].laps[0].timestamp,timestamp,1747505220195
