year,file,json_path,depth,key_count,keys
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.state.session,2,3,timeRemain | flagState | timeElapsed
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.session,1,3,currentTimestamp | flagStats | leaderLap
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.static,1,37,28 | 60 | 88 | 63 | 66 | 81 | 24 | 25 | 26 | 27 | 20 | 21 | 22 | 23 | 42 | 3 | 2 | 5 | 4 | 7 | 5T | 9 | 77 | 98 | 15 | 32 | 10 | 39 | 12 | 59 | 14 | 19 | 18 | 31 | 30 | 33 | 48
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.lap,1,37,77 | 10 | 28 | 26 | 15 | 60 | 98 | 88 | 63 | 66 | 59 | 81 | 32 | 14 | 24 | 25 | 39 | 27 | 20 | 21 | 22 | 23 | 19 | 18 | 31 | 30 | 42 | 5T | 33 | 3 | 2 | 5 | 4 | 7 | 48 | 9 | 12
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.stint,1,37,77 | 10 | 28 | 26 | 15 | 60 | 98 | 88 | 63 | 66 | 59 | 81 | 32 | 14 | 24 | 25 | 39 | 27 | 20 | 21 | 22 | 23 | 19 | 18 | 31 | 30 | 42 | 5T | 33 | 3 | 2 | 5 | 4 | 7 | 48 | 9 | 12
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,$,0,7,service | driver | state | session | static | lap | stint
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,$.service,1,12,description | colSpec | serviceClass | uuid | name | source | version | hasAnalysis | startTime | hidden | pollInterval | trackDataSpec
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,$.driver,1,37,28 | 60 | 88 | 63 | 66 | 81 | 24 | 25 | 26 | 27 | 20 | 21 | 22 | 23 | 42 | 3 | 2 | 5 | 4 | 7 | 5T | 9 | 77 | 98 | 15 | 32 | 10 | 39 | 12 | 59 | 14 | 19 | 18 | 31 | 30 | 33 | 48
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,$.state,1,4,cars | session | messages | highlight
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,$.state.session,2,4,lapsRemain | timeRemain | flagState | timeElapsed
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,$.session,1,3,currentTimestamp | flagStats | leaderLap
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,$.static,1,37,28 | 60 | 88 | 63 | 66 | 81 | 24 | 25 | 26 | 27 | 20 | 21 | 22 | 23 | 42 | 3 | 2 | 5 | 4 | 7 | 5T | 9 | 77 | 98 | 15 | 32 | 10 | 39 | 12 | 59 | 14 | 19 | 18 | 31 | 30 | 33 | 48
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,$.lap,1,37,77 | 10 | 28 | 26 | 15 | 60 | 98 | 88 | 63 | 66 | 59 | 81 | 32 | 14 | 24 | 25 | 39 | 27 | 20 | 21 | 22 | 23 | 19 | 18 | 31 | 30 | 42 | 5T | 33 | 3 | 2 | 5 | 4 | 7 | 48 | 9 | 12
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_2_analysis.json,$.stint,1,37,77 | 10 | 28 | 26 | 15 | 60 | 98 | 88 | 63 | 66 | 59 | 81 | 32 | 14 | 24 | 25 | 39 | 27 | 20 | 21 | 22 | 23 | 19 | 18 | 31 | 30 | 42 | 5T | 33 | 3 | 2 | 5 | 4 | 7 | 48 | 9 | 12
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,$,0,7,service | driver | state | session | static | lap | stint
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,$.service,1,12,description | colSpec | serviceClass | uuid | name | source | version | hasAnalysis | startTime | hidden | pollInterval | trackDataSpec
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,$.driver,1,36,28 | 60 | 88 | 63 | 66 | 81 | 24 | 25 | 26 | 27 | 20 | 21 | 22 | 23 | 42 | 3 | 2 | 5 | 4 | 7 | 9 | 77 | 98 | 15 | 32 | 10 | 39 | 12 | 59 | 14 | 19 | 18 | 31 | 30 | 33 | 48
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,$.state,1,4,cars | session | messages | highlight
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,$.state.session,2,4,lapsRemain | timeRemain | flagState | timeElapsed
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,$.session,1,3,currentTimestamp | flagStats | leaderLap
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,$.static,1,36,28 | 60 | 88 | 63 | 66 | 81 | 24 | 25 | 26 | 27 | 20 | 21 | 22 | 23 | 42 | 3 | 2 | 5 | 4 | 7 | 9 | 77 | 98 | 15 | 32 | 10 | 39 | 12 | 59 | 14 | 19 | 18 | 31 | 30 | 33 | 48
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,$.lap,1,36,77 | 10 | 28 | 26 | 15 | 60 | 98 | 88 | 63 | 66 | 59 | 81 | 32 | 14 | 24 | 25 | 39 | 27 | 20 | 21 | 22 | 23 | 19 | 18 | 31 | 30 | 42 | 33 | 3 | 2 | 5 | 4 | 7 | 48 | 9 | 12
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_analysis.json,$.stint,1,36,77 | 10 | 28 | 26 | 15 | 60 | 98 | 88 | 63 | 66 | 59 | 81 | 32 | 14 | 24 | 25 | 39 | 27 | 20 | 21 | 22 | 23 | 19 | 18 | 31 | 30 | 42 | 33 | 3 | 2 | 5 | 4 | 7 | 48 | 9 | 12
