year,file,json_path,depth,value_type
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.service.name,2,str
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.service.source,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.service.version,2,int
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.service.hasAnalysis,2,bool
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.service.startTime,2,float
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.service.hidden,2,bool
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.service.pollInterval,2,int
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.service.trackDataSpec,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver,1,dict
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.28,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.60,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.88,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.63,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.66,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.81,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.24,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.25,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.26,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.27,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.20,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.21,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.22,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.23,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.42,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.3,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.2,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.5,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.4,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.7,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.5T,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.9,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.77,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.98,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.15,2,list
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,$.driver.32,2,list
