year,file,page,line_no,section,section_length_miles,section_rank,car_number,driver_name,cet,session_elapsed,session_elapsed_s,reported_section_value,lap_number,raw_line,driver_key,car_key,entrant_key,elapsed_order_within_year
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,17,SF to T1,0.187121,11,66,"Hildebrand, JR",D/C/F,00:02.9104,2.9104,231.458,2,"11 66 Hildebrand, JR D/C/F 00:02.9104 231.458 2",hildebrandjr,66,hildebrandjr__66,159
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,18,SF to T1,0.187121,12,28,"Hunter-Reay, Ryan",D/H/F,00:02.9112,2.9112,231.395,5,"12 28 Hunter-Reay, Ryan D/H/F 00:02.9112 231.395 5",hunterreayryan,28,hunterreayryan__28,160
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,19,SF to T1,0.187121,13,14,"Kanaan, Tony",D/C/F,00:02.9158,2.9158,231.03,2,"13 14 Kanaan, Tony D/C/F 00:02.9158 231.030 2",kanaantony,14,kanaantony__14,161
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,20,SF to T1,0.187121,14,32,"Kaiser, Kyle (R)",D/C/F,00:02.9160,2.916,231.014,0,"14 32 Kaiser, Kyle (R) D/C/F 00:02.9160 231.014 0",kaiserkyle,32,kaiserkyle__32,162
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,21,SF to T1,0.187121,15,26,"Veach, Zach",D/H/F,00:02.9175,2.9175,230.895,1,"15 26 Veach, Zach D/H/F 00:02.9175 230.895 1",veachzach,26,veachzach__26,163
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,22,SF to T1,0.187121,16,33,"Davison, James",D/C/F,00:02.9207,2.9207,230.642,0,"16 33 Davison, James D/C/F 00:02.9207 230.642 0",davisonjames,33,davisonjames__33,164
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,23,SF to T1,0.187121,17,21,"Pigot, Spencer",D/C/F,00:02.9210,2.921,230.618,0,"17 21 Pigot, Spencer D/C/F 00:02.9210 230.618 0",pigotspencer,21,pigotspencer__21,165
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,24,SF to T1,0.187121,18,22,"Pagenaud, Simon",D/C/F,00:02.9219,2.9219,230.547,3,"18 22 Pagenaud, Simon D/C/F 00:02.9219 230.547 3",pagenaudsimon,22,pagenaudsimon__22,166
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,25,SF to T1,0.187121,19,25,"Wilson, Stefan",D/H/F,00:02.9233,2.9233,230.437,1,"19 25 Wilson, Stefan D/H/F 00:02.9233 230.437 1",wilsonstefan,25,wilsonstefan__25,167
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,26,SF to T1,0.187121,20,29,"Munoz, Carlos",D/H/F,00:02.9240,2.924,230.382,1,"20 29 Munoz, Carlos D/H/F 00:02.9240 230.382 1",munozcarlos,29,munozcarlos__29,168
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,27,SF to T1,0.187121,21,24,"Karam, Sage",D/C/F,00:02.9248,2.9248,230.319,2,"21 24 Karam, Sage D/C/F 00:02.9248 230.319 2",karamsage,24,karamsage__24,169
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,28,SF to T1,0.187121,22,23,"Kimball, Charlie",D/C/F,00:02.9269,2.9269,230.154,0,"22 23 Kimball, Charlie D/C/F 00:02.9269 230.154 0",kimballcharlie,23,kimballcharlie__23,170
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,29,SF to T1,0.187121,23,17,"Daly, Conor",D/H/F,00:02.9269,2.9269,230.154,0,"23 17 Daly, Conor D/H/F 00:02.9269 230.154 0",dalyconor,17,dalyconor__17,170
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,30,SF to T1,0.187121,24,6,"Wickens, Robert (R)",D/H/F,00:02.9275,2.9275,230.106,1,"24 6 Wickens, Robert (R) D/H/F 00:02.9275 230.106 1",wickensrobert,6,wickensrobert__6,171
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,31,SF to T1,0.187121,25,88,"Chaves, Gabby",D/C/F,00:02.9286,2.9286,230.02,0,"25 88 Chaves, Gabby D/C/F 00:02.9286 230.020 0",chavesgabby,88,chavesgabby__88,172
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,32,SF to T1,0.187121,26,59,"Chilton, Max",D/C/F,00:02.9295,2.9295,229.949,2,"26 59 Chilton, Max D/C/F 00:02.9295 229.949 2",chiltonmax,59,chiltonmax__59,173
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,33,SF to T1,0.187121,27,5,"Hinchcliffe, James",D/H/F,00:02.9303,2.9303,229.886,0,"27 5 Hinchcliffe, James D/H/F 00:02.9303 229.886 0",hinchcliffejames,5,hinchcliffejames__5,174
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,34,SF to T1,0.187121,28,60,"Harvey, Jack",D/H/F,00:02.9345,2.9345,229.557,5,"28 60 Harvey, Jack D/H/F 00:02.9345 229.557 5",harveyjack,60,harveyjack__60,175
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,35,SF to T1,0.187121,29,30,"Sato, Takuma",D/H/F,00:02.9348,2.9348,229.534,1,"29 30 Sato, Takuma D/H/F 00:02.9348 229.534 1",satotakuma,30,satotakuma__30,176
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,36,SF to T1,0.187121,30,15,"Rahal, Graham",D/H/F,00:02.9357,2.9357,229.464,7,"30 15 Rahal, Graham D/H/F 00:02.9357 229.464 7",rahalgraham,15,rahalgraham__15,177
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,37,SF to T1,0.187121,31,10,"Jones, Ed",D/H/F,00:02.9360,2.936,229.44,0,"31 10 Jones, Ed D/H/F 00:02.9360 229.440 0",jonesed,10,jonesed__10,178
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,38,SF to T1,0.187121,32,64,"Servia, Oriol",D/H/F,00:02.9383,2.9383,229.261,11,"32 64 Servia, Oriol D/H/F 00:02.9383 229.261 11",serviaoriol,64,serviaoriol__64,179
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,39,SF to T1,0.187121,33,63,"Mann, Pippa",D/H/F,00:02.9493,2.9493,228.406,1,"33 63 Mann, Pippa D/H/F 00:02.9493 228.406 1",mannpippa,63,mannpippa__63,180
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,40,SF to T1,0.187121,34,7,"Howard, Jay",D/H/F,00:02.9541,2.9541,228.034,2,"34 7 Howard, Jay D/H/F 00:02.9541 228.034 2",howardjay,7,howardjay__7,181
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,41,SF to T1,0.187121,35,19,"Claman De Melo, Zachary (R)",D/H/F,00:02.9582,2.9582,227.718,0,"35 19 Claman De Melo, Zachary (R) D/H/F 00:02.9582 227.718 0",clamandemelozachary,19,clamandemelozachary__19,182
