year,entrant_key,driver_name,car_number,timing_event_rows
2019,kanaantony__14,"Kanaan, Tony",14,28
2019,kimballcharlie__23,"Kimball, Charlie",23,28
2019,mannpippa__39,"Mann, Pippa",39,28
2019,newgardenjosef__2,"Newgarden, Josef",2,28
2019,pagenaudsimon__22,"Pagenaud, Simon",22,28
2019,pigotspencer__21,"Pigot, Spencer",21,28
2019,satotakuma__30,"Sato, Takuma",30,28
2019,leistmatheus__4,"Leist, Matheus",4,26
2019,veachzach__26,"Veach, Zach",26,26
2019,ferruccisantino__19,"Ferrucci, Santino (R)",19,25
2019,serviaoriol__77,"Servia, Oriol",77,25
2019,hinchcliffejames__5,"Hinchcliffe, James",5,21
2025,armstrongmarcus__66,"Armstrong, Marcus",66,49
2025,andrettimarco__98,"Andretti, Marco",98,47
2025,carpentered__33,"Carpenter, Ed",33,47
2025,larsonkyle__17,"Larson, Kyle",17,47
2025,owardpato__5,"O'Ward, Pato",5,47
2025,castroneveshelio__06,"Castroneves, Helio",06,46
2025,dixonscott__9,"Dixon, Scott",9,46
2025,ilottcallum__90,"Ilott, Callum",90,46
2025,malukasdavid__4,"Malukas, David",4,46
2025,newgardenjosef__2,"Newgarden, Josef",2,46
2025,powerwill__12,"Power, Will",12,46
2025,rasmussenchristian__21,"Rasmussen, Christian",21,46
2025,robbstingray__77,"Robb, Sting Ray",77,46
2025,rosenqvistfelix__60,"Rosenqvist, Felix",60,46
2025,simpsonkyffin__8,"Simpson, Kyffin",8,46
2025,dalyconor__76,"Daly, Conor",76,45
2025,defrancescodevlin__30,"DeFrancesco, Devlin",30,45
2025,ericssonmarcus__28,"Ericsson, Marcus",28,45
2025,ferruccisantino__14,"Ferrucci, Santino",14,45
2025,fosterlouis__45,"Foster, Louis (R)",45,45
2025,harveyjack__24,"Harvey, Jack",24,45
2025,hunterreayryan__23,"Hunter-Reay, Ryan",23,45
2025,kirkwoodkyle__27,"Kirkwood, Kyle",27,45
2025,lundgaardchristian__7,"Lundgaard, Christian",7,45
2025,paloualex__10,"Palou, Alex",10,45
2025,rahalgraham__15,"Rahal, Graham",15,45
2025,rossialexander__20,"Rossi, Alexander",20,45
2025,satotakuma__75,"Sato, Takuma",75,45
2025,siegelnolan__6,"Siegel, Nolan (R)",6,45
2025,veekayrinus__18,"Veekay, Rinus",18,45
2025,abeljacob__51,"Abel, Jacob (R)",51,44
2025,hertacolton__26,"Herta, Colton",26,44
2025,mclaughlinscott__3,"McLaughlin, Scott",3,44
2025,shwartzmanrobert__83,"Shwartzman, Robert (R)",83,44
