year,entrant_key,driver_name,car_number,session_elapsed,session_elapsed_s,lap_number,section_count,page_count
2018,wilsonstefan__25,"Wilson, Stefan",25,00:00.3541,0.3541,1,1,1
2018,veachzach__26,"Veach, Zach",26,00:00.3542,0.3542,0,1,1
2018,pigotspencer__21,"Pigot, Spencer",21,00:00.3543,0.3543,0,1,1
2018,wickensrobert__6,"Wickens, Robert (R)",6,00:00.3543,0.3543,1,1,1
2018,kimballcharlie__23,"Kimball, Charlie",23,00:00.3544,0.3544,0,1,1
2018,chavesgabby__88,"Chaves, Gabby",88,00:00.3545,0.3545,0,1,1
2018,chiltonmax__59,"Chilton, Max",59,00:00.3545,0.3545,2,1,1
2018,kanaantony__14,"Kanaan, Tony",14,00:00.3545,0.3545,2,1,1
2018,davisonjames__33,"Davison, James",33,00:00.3546,0.3546,0,1,1
2018,rahalgraham__15,"Rahal, Graham",15,00:00.3546,0.3546,8,1,1
2018,castroneveshelio__3,"Castroneves, Helio",3,00:00.3547,0.3547,0,1,1
2018,andrettimarco__98,"Andretti, Marco",98,00:00.3549,0.3549,0,1,1
2018,andrettimarco__98,"Andretti, Marco",98,00:00.3549,0.3549,2,1,1
2018,bourdaissebastien__18,"Bourdais, Sebastien",18,00:00.3549,0.3549,1,1,1
2018,chiltonmax__59,"Chilton, Max",59,00:00.3549,0.3549,2,1,1
2018,harveyjack__60,"Harvey, Jack",60,00:00.3550,0.355,5,1,1
2018,patrickdanica__13,"Patrick, Danica",13,00:00.3552,0.3552,0,1,1
2018,dalyconor__17,"Daly, Conor",17,00:00.3553,0.3553,0,1,1
2018,jonesed__10,"Jones, Ed",10,00:00.3553,0.3553,2,1,1
2018,satotakuma__30,"Sato, Takuma",30,00:00.3553,0.3553,1,1,1
2018,pagenaudsimon__22,"Pagenaud, Simon",22,00:00.3554,0.3554,0,1,1
2018,serviaoriol__64,"Servia, Oriol",64,00:00.3554,0.3554,11,1,1
2018,bourdaissebastien__18,"Bourdais, Sebastien",18,00:00.3555,0.3555,0,1,1
2018,newgardenjosef__1,"Newgarden, Josef",1,00:00.3555,0.3555,0,1,1
2018,rossialexander__27,"Rossi, Alexander",27,00:00.3557,0.3557,5,1,1
2018,kimballcharlie__23,"Kimball, Charlie",23,00:00.3559,0.3559,0,1,1
2018,leistmatheus__4,"Leist, Matheus (R)",4,00:00.3559,0.3559,0,1,1
2018,satotakuma__30,"Sato, Takuma",30,00:00.3559,0.3559,0,1,1
2018,castroneveshelio__3,"Castroneves, Helio",3,00:00.3560,0.356,0,1,1
2018,munozcarlos__29,"Munoz, Carlos",29,00:00.3560,0.356,0,1,1
2018,hinchcliffejames__5,"Hinchcliffe, James",5,00:00.3561,0.3561,0,1,1
2018,wickensrobert__6,"Wickens, Robert (R)",6,00:00.3562,0.3562,1,1,1
2018,carpentered__20,"Carpenter, Ed",20,00:00.3563,0.3563,2,1,1
2018,davisonjames__33,"Davison, James",33,00:00.3563,0.3563,0,1,1
2018,andrettimarco__98,"Andretti, Marco",98,00:00.3564,0.3564,0,1,1
2018,hildebrandjr__66,"Hildebrand, JR",66,00:00.3564,0.3564,0,1,1
2018,leistmatheus__4,"Leist, Matheus (R)",4,00:00.3564,0.3564,0,1,1
2018,mannpippa__63,"Mann, Pippa",63,00:00.3564,0.3564,0,1,1
2018,chavesgabby__88,"Chaves, Gabby",88,00:00.3565,0.3565,0,1,1
2018,hunterreayryan__28,"Hunter-Reay, Ryan",28,00:00.3565,0.3565,0,1,1
2018,veachzach__26,"Veach, Zach",26,00:00.3565,0.3565,0,1,1
2018,pigotspencer__21,"Pigot, Spencer",21,00:00.3566,0.3566,1,1,1
2018,kaiserkyle__32,"Kaiser, Kyle (R)",32,00:00.3568,0.3568,0,1,1
2018,jonesed__10,"Jones, Ed",10,00:00.3569,0.3569,0,1,1
2018,jonesed__10,"Jones, Ed",10,00:00.3569,0.3569,1,1,1
2018,powerwill__12,"Power, Will",12,00:00.3571,0.3571,0,1,1
2018,harveyjack__60,"Harvey, Jack",60,00:00.3572,0.3572,5,1,1
2018,munozcarlos__29,"Munoz, Carlos",29,00:00.3572,0.3572,1,1,1
2018,rossialexander__27,"Rossi, Alexander",27,00:00.3572,0.3572,0,1,1
2018,clamandemelozachary__19,"Claman De Melo, Zachary (R)",19,00:00.3573,0.3573,0,1,1
2018,howardjay__7,"Howard, Jay",7,00:00.3573,0.3573,3,1,1
2018,dalyconor__17,"Daly, Conor",17,00:00.3575,0.3575,5,1,1
2018,dixonscott__9,"Dixon, Scott",9,00:00.3575,0.3575,0,1,1
2018,hildebrandjr__66,"Hildebrand, JR",66,00:00.3575,0.3575,1,1,1
2018,mannpippa__63,"Mann, Pippa",63,00:00.3575,0.3575,0,1,1
2018,kaiserkyle__32,"Kaiser, Kyle (R)",32,00:00.3577,0.3577,0,1,1
2018,hunterreayryan__28,"Hunter-Reay, Ryan",28,00:00.3578,0.3578,0,1,1
2018,clamandemelozachary__19,"Claman De Melo, Zachary (R)",19,00:00.3579,0.3579,0,1,1
2018,chiltonmax__59,"Chilton, Max",59,00:00.3581,0.3581,0,1,1
2018,karamsage__24,"Karam, Sage",24,00:00.3581,0.3581,0,1,1
2018,chavesgabby__88,"Chaves, Gabby",88,00:00.3582,0.3582,0,1,1
2018,clamandemelozachary__19,"Claman De Melo, Zachary (R)",19,00:00.3584,0.3584,0,1,1
2018,hinchcliffejames__5,"Hinchcliffe, James",5,00:00.3584,0.3584,0,1,1
2018,kanaantony__14,"Kanaan, Tony",14,00:00.3585,0.3585,1,1,1
2018,howardjay__7,"Howard, Jay",7,00:00.3589,0.3589,0,1,1
2018,serviaoriol__64,"Servia, Oriol",64,00:00.3591,0.3591,8,1,1
2018,jonesed__10,"Jones, Ed",10,00:00.3592,0.3592,1,1,1
2018,andrettimarco__98,"Andretti, Marco",98,00:00.3593,0.3593,1,1,1
2018,howardjay__7,"Howard, Jay",7,00:00.3593,0.3593,0,1,1
2018,wilsonstefan__25,"Wilson, Stefan",25,00:00.3595,0.3595,1,1,1
2018,davisonjames__33,"Davison, James",33,00:00.3596,0.3596,0,1,1
2018,kimballcharlie__23,"Kimball, Charlie",23,00:00.3597,0.3597,0,1,1
2018,veachzach__26,"Veach, Zach",26,00:00.3597,0.3597,0,1,1
2018,rahalgraham__15,"Rahal, Graham",15,00:00.3599,0.3599,5,1,1
2018,davisonjames__33,"Davison, James",33,00:00.3601,0.3601,0,1,1
2018,wickensrobert__6,"Wickens, Robert (R)",6,00:00.3602,0.3602,0,1,1
2018,wilsonstefan__25,"Wilson, Stefan",25,00:00.3602,0.3602,0,1,1
2018,harveyjack__60,"Harvey, Jack",60,00:00.3607,0.3607,0,1,1
2018,harveyjack__60,"Harvey, Jack",60,00:00.3607,0.3607,4,1,1
2018,satotakuma__30,"Sato, Takuma",30,00:00.3607,0.3607,0,1,1
2018,dalyconor__17,"Daly, Conor",17,00:00.3613,0.3613,0,1,1
2018,karamsage__24,"Karam, Sage",24,00:00.3616,0.3616,0,1,1
2018,rahalgraham__15,"Rahal, Graham",15,00:00.3616,0.3616,6,1,1
2018,chiltonmax__59,"Chilton, Max",59,00:00.3617,0.3617,0,1,1
2018,hinchcliffejames__5,"Hinchcliffe, James",5,00:00.3623,0.3623,0,1,1
2018,mannpippa__63,"Mann, Pippa",63,00:00.3623,0.3623,1,1,1
2018,serviaoriol__64,"Servia, Oriol",64,00:00.3640,0.364,8,1,1
2018,serviaoriol__64,"Servia, Oriol",64,00:00.3640,0.364,10,1,1
2018,bourdaissebastien__18,"Bourdais, Sebastien",18,00:00.4816,0.4816,1,1,1
2018,carpentered__20,"Carpenter, Ed",20,00:00.4818,0.4818,0,1,1
2018,leistmatheus__4,"Leist, Matheus (R)",4,00:00.4821,0.4821,0,1,1
2018,newgardenjosef__1,"Newgarden, Josef",1,00:00.4823,0.4823,0,1,1
2018,patrickdanica__13,"Patrick, Danica",13,00:00.4826,0.4826,0,1,1
2018,dixonscott__9,"Dixon, Scott",9,00:00.4829,0.4829,5,1,1
2018,dixonscott__9,"Dixon, Scott",9,00:00.4829,0.4829,6,1,1
2018,powerwill__12,"Power, Will",12,00:00.4829,0.4829,2,1,1
2018,powerwill__12,"Power, Will",12,00:00.4829,0.4829,3,1,1
2018,castroneveshelio__3,"Castroneves, Helio",3,00:00.4830,0.483,3,1,1
2018,rossialexander__27,"Rossi, Alexander",27,00:00.4831,0.4831,0,1,1
2018,andrettimarco__98,"Andretti, Marco",98,00:00.4835,0.4835,2,1,1
2018,hildebrandjr__66,"Hildebrand, JR",66,00:00.4838,0.4838,0,1,1
2018,hunterreayryan__28,"Hunter-Reay, Ryan",28,00:00.4839,0.4839,5,1,1
2018,veachzach__26,"Veach, Zach",26,00:00.4842,0.4842,0,1,1
2018,kaiserkyle__32,"Kaiser, Kyle (R)",32,00:00.4844,0.4844,0,1,1
2018,kanaantony__14,"Kanaan, Tony",14,00:00.4845,0.4845,4,1,1
2018,pigotspencer__21,"Pigot, Spencer",21,00:00.4849,0.4849,0,1,1
2018,davisonjames__33,"Davison, James",33,00:00.4855,0.4855,0,1,1
2018,pagenaudsimon__22,"Pagenaud, Simon",22,00:00.4857,0.4857,2,1,1
2018,pagenaudsimon__22,"Pagenaud, Simon",22,00:00.4857,0.4857,3,1,1
2018,wilsonstefan__25,"Wilson, Stefan",25,00:00.4860,0.486,1,1,1
2018,munozcarlos__29,"Munoz, Carlos",29,00:00.4862,0.4862,1,1,1
2018,kimballcharlie__23,"Kimball, Charlie",23,00:00.4864,0.4864,0,1,1
2018,wickensrobert__6,"Wickens, Robert (R)",6,00:00.4864,0.4864,0,1,1
2018,chiltonmax__59,"Chilton, Max",59,00:00.4866,0.4866,0,1,1
2018,dalyconor__17,"Daly, Conor",17,00:00.4866,0.4866,0,1,1
2018,karamsage__24,"Karam, Sage",24,00:00.4866,0.4866,2,1,1
2018,chavesgabby__88,"Chaves, Gabby",88,00:00.4870,0.487,0,1,1
2018,rahalgraham__15,"Rahal, Graham",15,00:00.4871,0.4871,5,1,1
2018,hinchcliffejames__5,"Hinchcliffe, James",5,00:00.4874,0.4874,0,1,1
2018,satotakuma__30,"Sato, Takuma",30,00:00.4879,0.4879,1,1,1
2018,harveyjack__60,"Harvey, Jack",60,00:00.4881,0.4881,5,1,1
2018,jonesed__10,"Jones, Ed",10,00:00.4885,0.4885,0,1,1
2018,serviaoriol__64,"Servia, Oriol",64,00:00.4888,0.4888,11,1,1
2018,mannpippa__63,"Mann, Pippa",63,00:00.4901,0.4901,2,1,1
2018,howardjay__7,"Howard, Jay",7,00:00.4912,0.4912,2,1,1
2018,clamandemelozachary__19,"Claman De Melo, Zachary (R)",19,00:00.4916,0.4916,0,1,1
2018,kanaantony__14,"Kanaan, Tony",14,00:01.5868,1.5868,4,1,1
2018,hinchcliffejames__5,"Hinchcliffe, James",5,00:01.5907,1.5907,4,1,1
2018,dalyconor__17,"Daly, Conor",17,00:01.6815,1.6815,4,1,1
2018,pagenaudsimon__22,"Pagenaud, Simon",22,00:01.7662,1.7662,4,1,1
2018,chavesgabby__88,"Chaves, Gabby",88,00:01.9126,1.9126,4,1,1
2018,carpentered__20,"Carpenter, Ed",20,00:01.9384,1.9384,4,1,1
2018,wickensrobert__6,"Wickens, Robert (R)",6,00:01.9387,1.9387,6,1,1
2018,powerwill__12,"Power, Will",12,00:01.9399,1.9399,4,1,1
2018,andrettimarco__98,"Andretti, Marco",98,00:02.0072,2.0072,4,1,1
2018,pigotspencer__21,"Pigot, Spencer",21,00:02.0806,2.0806,4,1,1
2018,bourdaissebastien__18,"Bourdais, Sebastien",18,00:02.0864,2.0864,4,1,1
2018,kaiserkyle__32,"Kaiser, Kyle (R)",32,00:02.0925,2.0925,4,1,1
2018,veachzach__26,"Veach, Zach",26,00:02.1164,2.1164,4,1,1
2018,hildebrandjr__66,"Hildebrand, JR",66,00:02.1397,2.1397,4,1,1
2018,rahalgraham__15,"Rahal, Graham",15,00:02.1603,2.1603,4,1,1
2018,chiltonmax__59,"Chilton, Max",59,00:02.1663,2.1663,4,1,1
2018,hunterreayryan__28,"Hunter-Reay, Ryan",28,00:02.1701,2.1701,4,1,1
2018,munozcarlos__29,"Munoz, Carlos",29,00:02.1705,2.1705,4,1,1
2018,satotakuma__30,"Sato, Takuma",30,00:02.1803,2.1803,4,1,1
2018,wilsonstefan__25,"Wilson, Stefan",25,00:02.1860,2.186,4,1,1
2018,davisonjames__33,"Davison, James",33,00:02.1865,2.1865,4,1,1
2018,newgardenjosef__1,"Newgarden, Josef",1,00:02.1957,2.1957,4,1,1
2018,serviaoriol__64,"Servia, Oriol",64,00:02.2018,2.2018,3,1,1
2018,clamandemelozachary__19,"Claman De Melo, Zachary (R)",19,00:02.2063,2.2063,4,1,1
2018,jonesed__10,"Jones, Ed",10,00:02.2095,2.2095,4,1,1
2018,howardjay__7,"Howard, Jay",7,00:02.2136,2.2136,4,1,1
2018,castroneveshelio__3,"Castroneves, Helio",3,00:02.2340,2.234,4,1,1
2018,leistmatheus__4,"Leist, Matheus (R)",4,00:02.2415,2.2415,4,1,1
2018,rossialexander__27,"Rossi, Alexander",27,00:02.2492,2.2492,4,1,1
2018,karamsage__24,"Karam, Sage",24,00:02.2592,2.2592,4,1,1
2018,harveyjack__60,"Harvey, Jack",60,00:02.2902,2.2902,4,1,1
2018,dixonscott__9,"Dixon, Scott",9,00:02.3172,2.3172,9,1,1
2018,patrickdanica__13,"Patrick, Danica",13,00:02.3675,2.3675,4,1,1
2018,mannpippa__63,"Mann, Pippa",63,00:02.4512,2.4512,4,1,1
2018,kimballcharlie__23,"Kimball, Charlie",23,00:02.4615,2.4615,4,1,1
2018,carpentered__20,"Carpenter, Ed",20,00:02.8962,2.8962,0,1,1
2018,bourdaissebastien__18,"Bourdais, Sebastien",18,00:02.8975,2.8975,1,1,1
2018,patrickdanica__13,"Patrick, Danica",13,00:02.9023,2.9023,0,1,1
2018,newgardenjosef__1,"Newgarden, Josef",1,00:02.9032,2.9032,0,1,1
2018,powerwill__12,"Power, Will",12,00:02.9039,2.9039,3,1,1
2018,leistmatheus__4,"Leist, Matheus (R)",4,00:02.9046,2.9046,0,1,1
2018,castroneveshelio__3,"Castroneves, Helio",3,00:02.9050,2.905,3,1,1
2018,rossialexander__27,"Rossi, Alexander",27,00:02.9075,2.9075,0,1,1
2018,andrettimarco__98,"Andretti, Marco",98,00:02.9082,2.9082,3,1,1
2018,dixonscott__9,"Dixon, Scott",9,00:02.9082,2.9082,6,1,1
2018,hildebrandjr__66,"Hildebrand, JR",66,00:02.9104,2.9104,2,1,1
2018,hunterreayryan__28,"Hunter-Reay, Ryan",28,00:02.9112,2.9112,5,1,1
2018,kanaantony__14,"Kanaan, Tony",14,00:02.9158,2.9158,2,1,1
2018,kaiserkyle__32,"Kaiser, Kyle (R)",32,00:02.9160,2.916,0,1,1
2018,veachzach__26,"Veach, Zach",26,00:02.9175,2.9175,1,1,1
2018,davisonjames__33,"Davison, James",33,00:02.9207,2.9207,0,1,1
2018,pigotspencer__21,"Pigot, Spencer",21,00:02.9210,2.921,0,1,1
2018,pagenaudsimon__22,"Pagenaud, Simon",22,00:02.9219,2.9219,3,1,1
2018,wilsonstefan__25,"Wilson, Stefan",25,00:02.9233,2.9233,1,1,1
2018,munozcarlos__29,"Munoz, Carlos",29,00:02.9240,2.924,1,1,1
2018,karamsage__24,"Karam, Sage",24,00:02.9248,2.9248,2,1,1
2018,dalyconor__17,"Daly, Conor",17,00:02.9269,2.9269,0,1,1
2018,kimballcharlie__23,"Kimball, Charlie",23,00:02.9269,2.9269,0,1,1
2018,wickensrobert__6,"Wickens, Robert (R)",6,00:02.9275,2.9275,1,1,1
2018,chavesgabby__88,"Chaves, Gabby",88,00:02.9286,2.9286,0,1,1
2018,chiltonmax__59,"Chilton, Max",59,00:02.9295,2.9295,2,1,1
2018,hinchcliffejames__5,"Hinchcliffe, James",5,00:02.9303,2.9303,0,1,1
2018,harveyjack__60,"Harvey, Jack",60,00:02.9345,2.9345,5,1,1
2018,satotakuma__30,"Sato, Takuma",30,00:02.9348,2.9348,1,1,1
2018,rahalgraham__15,"Rahal, Graham",15,00:02.9357,2.9357,7,1,1
2018,jonesed__10,"Jones, Ed",10,00:02.9360,2.936,0,1,1
2018,serviaoriol__64,"Servia, Oriol",64,00:02.9383,2.9383,11,1,1
2018,mannpippa__63,"Mann, Pippa",63,00:02.9493,2.9493,1,1,1
2018,howardjay__7,"Howard, Jay",7,00:02.9541,2.9541,2,1,1
2018,clamandemelozachary__19,"Claman De Melo, Zachary (R)",19,00:02.9582,2.9582,0,1,1
2018,castroneveshelio__3,"Castroneves, Helio",3,00:03.1582,3.1582,1,1,1
2018,newgardenjosef__1,"Newgarden, Josef",1,00:03.1589,3.1589,0,1,1
2018,pigotspencer__21,"Pigot, Spencer",21,00:03.1598,3.1598,0,1,1
2018,carpentered__20,"Carpenter, Ed",20,00:03.1604,3.1604,0,1,1
2018,rossialexander__27,"Rossi, Alexander",27,00:03.1613,3.1613,0,1,1
2018,leistmatheus__4,"Leist, Matheus (R)",4,00:03.1631,3.1631,0,1,1
2018,bourdaissebastien__18,"Bourdais, Sebastien",18,00:03.1674,3.1674,0,1,1
2018,patrickdanica__13,"Patrick, Danica",13,00:03.1707,3.1707,0,1,1
2018,pagenaudsimon__22,"Pagenaud, Simon",22,00:03.1715,3.1715,0,1,1
2018,powerwill__12,"Power, Will",12,00:03.1734,3.1734,0,1,1
2018,dixonscott__9,"Dixon, Scott",9,00:03.1765,3.1765,5,1,1
2018,hunterreayryan__28,"Hunter-Reay, Ryan",28,00:03.1800,3.18,4,1,1
2018,kanaantony__14,"Kanaan, Tony",14,00:03.1803,3.1803,0,1,1
2018,hildebrandjr__66,"Hildebrand, JR",66,00:03.1814,3.1814,0,1,1
2018,kaiserkyle__32,"Kaiser, Kyle (R)",32,00:03.1818,3.1818,0,1,1
2018,chavesgabby__88,"Chaves, Gabby",88,00:03.1820,3.182,0,1,1
2018,andrettimarco__98,"Andretti, Marco",98,00:03.1874,3.1874,1,1,1
2018,kimballcharlie__23,"Kimball, Charlie",23,00:03.1885,3.1885,0,1,1
2018,jonesed__10,"Jones, Ed",10,00:03.1888,3.1888,0,1,1
2018,davisonjames__33,"Davison, James",33,00:03.1895,3.1895,0,1,1
2018,wickensrobert__6,"Wickens, Robert (R)",6,00:03.1924,3.1924,0,1,1
2018,clamandemelozachary__19,"Claman De Melo, Zachary (R)",19,00:03.1926,3.1926,0,1,1
2018,dalyconor__17,"Daly, Conor",17,00:03.1934,3.1934,0,1,1
2018,howardjay__7,"Howard, Jay",7,00:03.1935,3.1935,0,1,1
2018,rahalgraham__15,"Rahal, Graham",15,00:03.1936,3.1936,4,1,1
2018,chiltonmax__59,"Chilton, Max",59,00:03.1939,3.1939,0,1,1
2018,munozcarlos__29,"Munoz, Carlos",29,00:03.1942,3.1942,0,1,1
2018,wilsonstefan__25,"Wilson, Stefan",25,00:03.1956,3.1956,0,1,1
2018,karamsage__24,"Karam, Sage",24,00:03.1983,3.1983,0,1,1
2018,veachzach__26,"Veach, Zach",26,00:03.1988,3.1988,0,1,1
2018,satotakuma__30,"Sato, Takuma",30,00:03.2060,3.206,0,1,1
2018,hinchcliffejames__5,"Hinchcliffe, James",5,00:03.2070,3.207,0,1,1
2018,harveyjack__60,"Harvey, Jack",60,00:03.2083,3.2083,4,1,1
2018,serviaoriol__64,"Servia, Oriol",64,00:03.2166,3.2166,8,1,1
2018,mannpippa__63,"Mann, Pippa",63,00:03.2279,3.2279,0,1,1
2018,bourdaissebastien__18,"Bourdais, Sebastien",18,00:03.7116,3.7116,0,1,1
2018,carpentered__20,"Carpenter, Ed",20,00:03.7126,3.7126,0,1,1
2018,newgardenjosef__1,"Newgarden, Josef",1,00:03.7140,3.714,0,1,1
2018,rossialexander__27,"Rossi, Alexander",27,00:03.7155,3.7155,0,1,1
2018,leistmatheus__4,"Leist, Matheus (R)",4,00:03.7161,3.7161,0,1,1
2018,castroneveshelio__3,"Castroneves, Helio",3,00:03.7208,3.7208,2,1,1
2018,dixonscott__9,"Dixon, Scott",9,00:03.7230,3.723,5,1,1
2018,patrickdanica__13,"Patrick, Danica",13,00:03.7236,3.7236,0,1,1
2018,powerwill__12,"Power, Will",12,00:03.7244,3.7244,3,1,1
2018,pigotspencer__21,"Pigot, Spencer",21,00:03.7304,3.7304,1,1,1
2018,hildebrandjr__66,"Hildebrand, JR",66,00:03.7338,3.7338,0,1,1
2018,kaiserkyle__32,"Kaiser, Kyle (R)",32,00:03.7345,3.7345,0,1,1
2018,hunterreayryan__28,"Hunter-Reay, Ryan",28,00:03.7360,3.736,4,1,1
2018,kanaantony__14,"Kanaan, Tony",14,00:03.7368,3.7368,1,1,1
2018,andrettimarco__98,"Andretti, Marco",98,00:03.7375,3.7375,1,1,1
2018,pagenaudsimon__22,"Pagenaud, Simon",22,00:03.7410,3.741,1,1,1
2018,kimballcharlie__23,"Kimball, Charlie",23,00:03.7450,3.745,0,1,1
2018,chavesgabby__88,"Chaves, Gabby",88,00:03.7453,3.7453,0,1,1
2018,davisonjames__33,"Davison, James",33,00:03.7460,3.746,0,1,1
2018,veachzach__26,"Veach, Zach",26,00:03.7473,3.7473,0,1,1
2018,dalyconor__17,"Daly, Conor",17,00:03.7478,3.7478,0,1,1
2018,wilsonstefan__25,"Wilson, Stefan",25,00:03.7487,3.7487,0,1,1
2018,chiltonmax__59,"Chilton, Max",59,00:03.7494,3.7494,2,1,1
2018,munozcarlos__29,"Munoz, Carlos",29,00:03.7496,3.7496,0,1,1
2018,wickensrobert__6,"Wickens, Robert (R)",6,00:03.7510,3.751,0,1,1
2018,rahalgraham__15,"Rahal, Graham",15,00:03.7538,3.7538,4,1,1
2018,karamsage__24,"Karam, Sage",24,00:03.7556,3.7556,1,1,1
2018,jonesed__10,"Jones, Ed",10,00:03.7589,3.7589,0,1,1
2018,hinchcliffejames__5,"Hinchcliffe, James",5,00:03.7607,3.7607,0,1,1
2018,satotakuma__30,"Sato, Takuma",30,00:03.7655,3.7655,2,1,1
2018,harveyjack__60,"Harvey, Jack",60,00:03.7664,3.7664,4,1,1
2018,clamandemelozachary__19,"Claman De Melo, Zachary (R)",19,00:03.7736,3.7736,0,1,1
2018,serviaoriol__64,"Servia, Oriol",64,00:03.7748,3.7748,10,1,1
2018,howardjay__7,"Howard, Jay",7,00:03.7790,3.779,1,1,1
2018,mannpippa__63,"Mann, Pippa",63,00:03.7821,3.7821,1,1,1
