path,file_type,status,rows_sampled,total_columns,filename_relevant,year_columns,attempt_like_columns,time_like_columns,weather_like_columns,has_2018,has_2019,has_2025,has_2026,hits_2018,hits_2019,hits_2025,hits_2026
r5/output/r5h_evaluation_qa.csv,csv,OK,3,4,False,,,,,False,False,False,False,0,0,0,0
r5/output/r5d_physics_model_residuals.csv,csv,OK,243,7,False,year,observed_delta_speed_mph|predicted_delta_speed_mph,,,False,False,False,False,0,0,0,0
r5/output/r5_manual_first_run_thermal_window_rows_v1.csv,csv,OK,71,38,False,year|performance_time_utc|same_year_first_run_speed_median_mph|speed_residual_vs_same_year_first_run_median_mph|same_year_first_run_fade_median_mph|fade_residual_vs_same_year_first_run_median_mph,attempt_id|car_number|driver_name|car_attempt_index|lap1_speed_mph|lap2_speed_mph|lap3_speed_mph|lap4_speed_mph|lap1_to_lap2_delta_mph|lap2_to_lap3_delta_mph|lap3_to_lap4_delta_mph|lap1_to_lap4_delta_mph|late_run_fade_mph|four_lap_average_speed_mph|wind_speed_10m_ms|first_run_sequence_position|first_run_sequence_n|same_year_first_run_speed_median_mph|speed_residual_vs_same_year_first_run_median_mph|same_year_first_run_fade_median_mph|fade_residual_vs_same_year_first_run_median_mph,performance_time_utc,attempt_id|car_attempt_index|track_temp_c|track_temp_slope_c_per_min|air_temp_c|relative_humidity_pct|wind_speed_10m_ms|wind_direction_deg|gust_ms|pressure_hpa|cloud_cover_pct|shortwave_radiation_wm2,False,False,False,False,0,0,0,0
r5/output/r5d_physics_model_coefficients.csv,csv,OK,140,4,False,held_out_year,,,,False,False,False,False,0,0,0,0
r5/output/r5_manual_first_run_sequence_physics_v1.csv,csv,OK,71,33,False,year|performance_time_utc,attempt_id|car_number|driver_name|car_attempt_index|lap1_speed_mph|lap2_speed_mph|lap3_speed_mph|lap4_speed_mph|lap1_to_lap2_delta_mph|lap2_to_lap3_delta_mph|lap3_to_lap4_delta_mph|lap1_to_lap4_delta_mph|late_run_fade_mph|four_lap_average_speed_mph|wind_speed_10m_ms|first_run_sequence_position|first_run_sequence_n,performance_time_utc,attempt_id|car_attempt_index|track_temp_c|track_temp_slope_c_per_min|air_temp_c|relative_humidity_pct|wind_speed_10m_ms|wind_direction_deg|gust_ms|pressure_hpa|cloud_cover_pct|shortwave_radiation_wm2,False,False,False,False,0,0,0,0
r5/output/r5_manual_same_car_physics_predictions_v1.csv,csv,OK,27,7,False,year,driver_name|car_number,,,False,False,False,False,0,0,0,0
r5/output/r5h_uncertainty_calibration.csv,csv,OK,1,5,False,,,,,False,False,False,False,0,0,0,0
r5/output/r5h_benchmark_crossing_evaluation.csv,csv,OK,5,5,False,,,,,False,False,False,False,0,0,0,0
r5/output/r5_manual_within_run_fade_physics_v1.csv,csv,OK,110,31,False,year|performance_time_utc,attempt_id|car_number|driver_name|car_attempt_index|lap1_speed_mph|lap2_speed_mph|lap3_speed_mph|lap4_speed_mph|lap1_to_lap2_delta_mph|lap2_to_lap3_delta_mph|lap3_to_lap4_delta_mph|lap1_to_lap4_delta_mph|late_run_fade_mph|four_lap_average_speed_mph|wind_speed_10m_ms,performance_time_utc,attempt_id|car_attempt_index|track_temp_c|track_temp_slope_c_per_min|air_temp_c|relative_humidity_pct|wind_speed_10m_ms|wind_direction_deg|gust_ms|pressure_hpa|cloud_cover_pct|shortwave_radiation_wm2,False,False,False,False,0,0,0,0
r5/output/r5a_physics_feature_qa.csv,csv,OK,2,4,False,,,,,False,False,False,False,0,0,0,0
