path,key,value_type,value,year,session_id
root.records[26].ElapsedTime,ElapsedTime,str,02:39.4894,2018,5320
root.records[26].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[26].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[26].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[26].InLap,InLap,NoneType,None,2018,5320
root.records[26].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[26].QualLap1,QualLap1,str, 39.7996,2018,5320
root.records[26].QualLap2,QualLap2,str, 39.8525,2018,5320
root.records[26].QualLap3,QualLap3,str, 39.9158,2018,5320
root.records[26].QualLap4,QualLap4,str, 39.9215,2018,5320
root.records[27].DriverUrl,DriverUrl,NoneType,None,2018,5320
root.records[27].ElapsedTime,ElapsedTime,str,02:39.5275,2018,5320
root.records[27].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[27].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[27].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[27].InLap,InLap,NoneType,None,2018,5320
root.records[27].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[27].QualLap1,QualLap1,str, 39.8661,2018,5320
root.records[27].QualLap2,QualLap2,str, 39.8524,2018,5320
root.records[27].QualLap3,QualLap3,str, 39.8671,2018,5320
root.records[27].QualLap4,QualLap4,str, 39.9419,2018,5320
root.records[28].DriverUrl,DriverUrl,str,/Drivers/Takuma-Sato,2018,5320
root.records[28].ElapsedTime,ElapsedTime,str,02:39.6362,2018,5320
root.records[28].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[28].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[28].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[28].InLap,InLap,NoneType,None,2018,5320
root.records[28].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[28].QualLap1,QualLap1,str, 39.7577,2018,5320
root.records[28].QualLap2,QualLap2,str, 39.8607,2018,5320
root.records[28].QualLap3,QualLap3,str, 40.1544,2018,5320
root.records[28].QualLap4,QualLap4,str, 39.8634,2018,5320
root.records[29].DriverUrl,DriverUrl,str,/Drivers/Graham-Rahal,2018,5320
