year,car_number,driver_name,attempt_from,attempt_to,from_lower,from_upper,to_lower,to_upper,interval_lower_min,interval_upper_min,interval_midpoint_min,interval_width_min,time_quality,regime,from_constraint,to_constraint,from_status,to_status,from_source_authority,to_source_authority,from_evidence,to_evidence
2021,25,Stefan Wilson,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,25,Stefan Wilson,2,3,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,26,Colton Herta,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,30,Takuma Sato,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,4,Dalton Kellett,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,45,Santino Ferrucci,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,47,Conor Daly,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,6,Helio Castroneves,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,60,Jack Harvey,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,7,Felix Rosenqvist,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,75,RC Enerson,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,86,Juan Pablo Montoya,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
2021,98,Marco Andretti,1,2,,,,,,,,,NO_USABLE_TIME_BOUNDS,UNKNOWN,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,,,,
