year,car_number,driver_name,attempt_from,attempt_to,time_from,time_to,reattempt_interval_min,interval_status,regime,from_result_status,to_result_status,from_constraint_class,to_constraint_class,from_evidence_summary,to_evidence_summary,source_ledger
2021,60,Jack Harvey,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2021,7,Felix Rosenqvist,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2021,75,RC Enerson,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2021,86,Juan Pablo Montoya,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2021,98,Marco Andretti,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2021,98,Marco Andretti,2,3,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2022,06,Helio Castroneves,1,2,,,,UNAVAILABLE,UNKNOWN,VALID_RETAINED,VALID_RETAINED,ORDERING_ONLY,ORDERING_ONLY,Direct secondary narrative identifies Castroneves' first run; canonical #06 attempt indices identify first and second runs. No timestamp or lane inferred.,Direct secondary narrative identifies Castroneves' first run; canonical #06 attempt indices identify first and second runs. No timestamp or lane inferred.,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2022,18,David Malukas,1,2,,,,UNAVAILABLE,DAY1_PRIORITY,VALID_RETAINED,VALID_RETAINED,ORDERING_ONLY,ORDERING_ONLY,231.233 mph canonical attempt 1 precedes Malukas's later Autosport-reported improvement run.,Autosport explicitly reports Malukas improved; official result row 13 binds the improved result to 231.607 mph.,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2022,27,Alexander Rossi,1,2,,,,UNAVAILABLE,UNKNOWN,VALID_RETAINED,VALID_RETAINED,ORDERING_ONLY,ORDERING_ONLY,Rossi first attempt precedes Rossi second attempt. No wall-clock time or lane is inferred.,Rossi first attempt precedes Rossi second attempt. No wall-clock time or lane is inferred.,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2022,3,Scott McLaughlin,1,2,,,,UNAVAILABLE,DAY1_PRIORITY,VALID_RETAINED,VALID_RETAINED,ORDERING_ONLY,DERIVED_BOUNDED_INTERVAL,"Reports state McLaughlin surrendered his 15th-place 231.543 result to enter Lane 1 and subsequently reran at 230.154, dropping to 26th.",Derived from adjudicated event window and ordering evidence. Not an observed attempt timestamp.,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2022,51,Takuma Sato,1,1,,,,UNAVAILABLE,UNKNOWN,DISALLOWED,DISALLOWED,ORDERING_ONLY,ORDERING_ONLY,INDYCAR states Sato's 232.196 mph run was followed by Marco Andretti beginning the next qualifying run; Sato was penalized for impeding Andretti.,Official editorial states Sato was forced to make a second attempt after his first 232.196 mph run was disallowed. Official Results uniquely contain the 232.196 Failed Attempt and a 231.708 second Sato result.,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2022,51,Takuma Sato,1,2,,,,UNAVAILABLE,UNKNOWN,DISALLOWED,VALID_RETAINED,ORDERING_ONLY,ORDERING_ONLY,Official editorial states Sato was forced to make a second attempt after his first 232.196 mph run was disallowed. Official Results uniquely contain the 232.196 Failed Attempt and a 231.708 second Sato result.,Official editorial states Sato was forced to make a second attempt after the 232.196 mph first run was disallowed; official results identify the subsequent 231.708 mph result.,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2022,77,Callum Ilott,1,2,,,,UNAVAILABLE,DAY1_PRIORITY,VALID_RETAINED,VALID_RETAINED,ORDERING_ONLY,ORDERING_ONLY,Initial Ilott attempt precedes the Autosport-described retake attempt; canonical speed delta 0.749 mph is compatible with source wording of approximately 0.7 mph.,Autosport identifies this as Ilott's retake run and reports an approximately 0.7 mph improvement.,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2022,98,Marco Andretti,1,2,,,,UNAVAILABLE,DAY1_PRIORITY,VALID_RETAINED,VALID_RETAINED,ORDERING_ONLY,ORDERING_ONLY,Sato's failed 232.196 mph attempt occurred before Marco Andretti's first qualifying attempt. Canonical first-attempt identity is 226.108 mph.,The Race explicitly calls Marco Andretti's P23 result his second attempt; official results bind P23 to 230.345 mph.,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2023,11,Takuma Sato,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2023,27,Kyle Kirkwood,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2023,27,Kyle Kirkwood,2,3,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2023,29,Devlin DeFrancesco,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2023,33,Ed Carpenter,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2023,33,Ed Carpenter,2,3,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2023,66,Tony Kanaan,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2023,66,Tony Kanaan,2,3,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2023,77,Callum Ilott,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2023,8,Marcus Ericsson,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2023,8,Marcus Ericsson,2,3,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2023,9,Scott Dixon,1,2,,,,UNAVAILABLE,UNKNOWN,,,PERFORMANCE_CAPTURE_APPROXIMATION,PERFORMANCE_CAPTURE_APPROXIMATION,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2024,21,Rinus VeeKay,1.0,2.0,,2024-05-18T19:26:00+00:00,,UNAVAILABLE,UNKNOWN,WAVED_OFF,WAVED_OFF,APPROXIMATE_OBSERVED,APPROXIMATE_OBSERVED,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2024,21,Rinus VeeKay,2.0,3.0,2024-05-18T19:26:00+00:00,2024-05-18T19:51:00+00:00,25.0,EXACT_FROM_AVAILABLE_TIMESTAMPS,DAY1_PRIORITY,WAVED_OFF,WITHDRAWN,APPROXIMATE_OBSERVED,BOUNDED_INTERVAL,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2024,21,Rinus VeeKay,3.0,4.0,2024-05-18T19:51:00+00:00,,,UNAVAILABLE,DAY1_PRIORITY,WITHDRAWN,VALID_RETAINED,BOUNDED_INTERVAL,BOUNDED_INTERVAL,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
2024,7,Alexander Rossi,1.0,2.0,,2024-05-18T20:40:00+00:00,,UNAVAILABLE,UNKNOWN,RETIRED,VALID_RETAINED,APPROXIMATE_OBSERVED,BOUNDED_INTERVAL,,,weather/output/unified_attempt_chronology_constraint_ledger_v9.csv
