year,file,car,field,path,type,repr,looks_timestamp,timestamp_utc,timestamp_indianapolis
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][5],int,0,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][6],float,39.5854,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][7],int,1,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][8],float,39.909,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][9][0][0],float,40.6099,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][9][0][1],int,0,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][9][1][0],float,40.5862,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][9][1][1],int,9,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][9][2][0],float,39.6725,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][9][2][1],int,1,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][9][3][0],float,39.5854,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][9][3][1],int,1,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][9][4][0],float,39.7919,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][9][4][1],int,1,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][9][5][0],float,40.0933,False,,
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,stint,$.stint.27[0][9][5][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][0],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][1],float,1558211973.97174,True,2019-05-18T20:39:33.971740+00:00,2019-05-18T16:39:33.971740-04:00
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][2],float,0.0,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][3],float,1558212218.951426,True,2019-05-18T20:43:38.951426+00:00,2019-05-18T16:43:38.951426-04:00
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][4],bool,True,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][5],int,0,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][6],float,39.6191,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][7],int,4,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][8],float,40.166512499999996,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][0][0],float,40.21,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][0][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][1][0],float,39.7435,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][1][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][2][0],float,39.7585,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][2][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][3][0],float,41.6688,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][3][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][4][0],float,39.6191,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][4][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][5][0],float,39.6813,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][5][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][6][0],float,39.7435,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][6][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][7][0],float,39.7358,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][7][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][8][0],float,41.3816,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[0][9][8][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,lap,$.lap.66[1],float,1558212223.958774,True,2019-05-18T20:43:43.958774+00:00,2019-05-18T16:43:43.958774-04:00
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][0],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][1],float,1558208853.948603,True,2019-05-18T19:47:33.948603+00:00,2019-05-18T15:47:33.948603-04:00
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][2],float,10.0,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][3],float,1558209093.961421,True,2019-05-18T19:51:33.961421+00:00,2019-05-18T15:51:33.961421-04:00
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][4],bool,False,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][5],int,0,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][6],float,39.3935,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][7],int,24,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][8],float,40.22203404255321,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][0][0],float,39.716,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][0][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][1][0],float,41.9747,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][1][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][2][0],float,39.3935,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][2][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][3][0],float,39.3935,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][3][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][4][0],float,39.7859,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][4][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][5][0],float,40.249,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][5][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][6][0],float,40.21,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][6][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][7][0],float,40.249,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][7][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][8][0],float,40.21,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][8][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][9][0],float,40.249,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][9][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][10][0],float,40.21,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][10][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][11][0],float,40.249,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][11][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][12][0],float,40.21,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][12][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][13][0],float,40.249,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][13][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][14][0],float,40.21,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][14][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][15][0],float,40.249,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][15][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][16][0],float,40.21,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][16][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][17][0],float,40.249,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][17][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][18][0],float,40.21,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][18][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][19][0],float,40.249,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][19][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][20][0],float,40.21,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][20][1],int,9,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][21][0],float,40.249,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][21][1],int,1,False,,
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,stint,$.stint.66[0][9][22][0],float,40.21,False,,
