chronology_event_id,session_id,attempt_id,entry_key,event_type,event_time_utc,event_time_lower_utc,event_time_upper_utc,event_time_quality,time_basis,event_order_lower_bound,event_order_upper_bound,withdrawal_evidence,requeue_evidence,lane_action,lane_evidence,queue_state_evidence,queue_fact_text,event_payload_json
cd7427a3-07e1-5785-b9b8-492650925792,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_12|1,ATTEMPT_START,2020-08-15T20:33:20Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""12\""}"",""reason_codes"":[""CAPTURE_ATTEMPT_COUNT_MISMATCH"",""SESSION_HAS_RELEVANT_COVERAGE_GAP"",""WITHIN_CAR_ORDER_UNRESOLVED""],""relation_status"":""UNRESOLVED""}"
315e83f0-5663-59f7-ac99-062138c20183,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_24|1,ATTEMPT_START,2020-08-15T15:49:55Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""24\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
2e9ac604-7299-559b-803b-11c42f184278,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_27|1,ATTEMPT_START,2020-08-15T15:54:05Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""27\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
93f18f58-308d-5688-93cd-7f2deaadb194,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_66|1,ATTEMPT_START,2020-08-15T15:59:05Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""66\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
ee9d1744-4b1d-5f8c-a939-0f5d1561aadb,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_28|1,ATTEMPT_START,2020-08-15T16:04:05Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""28\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
f7999466-df1c-517a-a2d0-87dedc6d6869,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_26|1,ATTEMPT_START,2020-08-15T16:08:15Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""26\""}"",""reason_codes"":[""CAPTURE_ATTEMPT_COUNT_MISMATCH"",""SESSION_HAS_RELEVANT_COVERAGE_GAP"",""WITHIN_CAR_ORDER_UNRESOLVED""],""relation_status"":""UNRESOLVED""}"
d746e7b2-3593-5fd5-bd89-f4553e651178,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_26|1,ATTEMPT_START,2020-08-15T18:09:05Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""26\""}"",""reason_codes"":[""CAPTURE_ATTEMPT_COUNT_MISMATCH"",""SESSION_HAS_RELEVANT_COVERAGE_GAP"",""WITHIN_CAR_ORDER_UNRESOLVED""],""relation_status"":""UNRESOLVED""}"
40b9e7c2-17b1-5cbd-9677-f634b4bf26ba,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_8|1,ATTEMPT_START,2020-08-15T16:13:15Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""8\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
2f2c7bcf-1cda-5a49-8816-68a9e956e5ca,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_8|1,ATTEMPT_START,2020-08-15T18:16:35Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""8\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
cf008c1f-e9cd-5f92-9d0d-71e24720fd1a,INDY500_DAY1_2020,,INDY500_DAY1_2020|CAR_7|1,ATTEMPT_START,2020-08-15T16:18:15Z,,,APPROXIMATE_OBSERVED,RECORDER_CAPTURE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,"{""capture_source_payload"":""{\""currentQualifier\"": \""7\""}"",""reason_codes"":[""SESSION_HAS_RELEVANT_COVERAGE_GAP""],""relation_status"":""UNRESOLVED""}"
