year,line_no,raw_line,lap_token_count,total_token_count,speed_token_count,status
2018,24,"19 24 Karam, Sage D/C/F 39.8609 39.7629 39.7871 39.8350 02:39.2459 226.065 Day 1",5,1,1,
2018,25,"20 6 Wickens, Robert D/H/F 39.7459 39.8424 39.8592 39.8766 02:39.3241 225.955 Day 1",5,1,1,
2018,26,"21 32 Kaiser, Kyle D/C/F 39.7450 39.8074 39.8642 39.9222 02:39.3388 225.934 Day 1",5,1,1,
2018,27,"22 25 Wilson, Stefan D/H/F 39.7846 39.8047 39.8599 39.9069 02:39.3561 225.909 Day 1",5,1,1,
2018,28,"23 88 Chaves, Gabby D/C/F 39.7941 39.8300 39.8761 39.9271 02:39.4273 225.808 Day 1",5,1,1,
2018,29,"24 26 Veach, Zach D/H/F 39.7337 39.8180 39.9202 39.9579 02:39.4298 225.805 Day 1",5,1,1,
2018,30,"25 23 Kimball, Charlie D/C/F 39.7501 39.8494 39.9953 39.8725 02:39.4673 225.752 Day 1",5,1,1,
2018,31,"26 19 Claman De Melo, D/H/F 39.8091 39.8800 39.8841 39.9149 02:39.4881 225.722 Day 1",5,1,1,
2018,32,"27 60 ZacharyHarvey, Jack D/H/F 39.7996 39.8525 39.9158 39.9215 02:39.4894 225.720 Day 1",5,1,1,
2018,33,"28 59 Chilton, Max D/C/F 39.8661 39.8524 39.8671 39.9419 02:39.5275 225.666 Day 1",5,1,1,
2018,34,"29 30 Sato, Takuma D/H/F 39.7577 39.8607 40.1544 39.8634 02:39.6362 225.513 Day 1",5,1,1,
2018,35,"30 15 Rahal, Graham D/H/F 39.9401 39.9292 39.9339 39.9082 02:39.7114 225.407 Day 1",5,1,1,
2018,36,"31 64 Servia, Oriol D/H/F 39.9216 39.9581 39.9219 40.1937 02:39.9953 225.007 Day 1",5,1,1,
2018,37,"32 17 Daly, Conor D/H/F 39.9928 40.0111 40.0315 40.0543 02:40.0897 224.874 Day 1",5,1,1,
2018,38,"33 33 Davison, James D/C/F 39.9033 39.9934 40.0588 40.1884 02:40.1439 224.798 Day 1 On Bubble",5,1,1,On Bubble
2018,39,"34 9 Dixon, Scott D/H/F 39.5344 39.5292 39.5404 39.5747 02:38.1787 227.591 Day 1 Retired",5,1,1,Retired
2018,40,"35 28 Hunter-Reay, Ryan D/H/F 39.6541 39.6726 39.6538 39.6682 02:38.6487 226.916 Day 1 Retired",5,1,1,Retired
2018,41,"36 6 Wickens, Robert D/H/F 39.7550 0.0000 0.0000 0.0000 00:39.7550 226.387 Day 1 No Attempt",2,1,1,No Attempt
2018,42,"37 27 Rossi, Alexander D/H/F 39.6725 39.5854 39.7919 40.0933 02:39.1431 226.212 Day 1 Retired",5,1,1,Retired
2018,43,"38 60 Harvey, Jack D/H/F 39.9106 39.9438 39.9739 40.0065 02:39.8348 225.233 Day 1 Retired",5,1,1,Retired
2018,44,"39 15 Rahal, Graham D/H/F 39.9211 39.9389 39.9738 40.0473 02:39.8811 225.167 Day 1 Failed Attempt",5,1,1,Failed Attempt
2018,45,"40 5 Hinchcliffe, James D/H/F 39.9378 40.0206 40.1031 40.0926 02:40.1541 224.784 Day 1 Withdrawn",5,1,1,Withdrawn
2018,46,"41 17 Daly, Conor D/H/F 39.9498 40.0617 40.0995 40.0769 02:40.1879 224.736 Day 1 Withdrawn",5,1,1,Withdrawn
2018,47,"42 63 Mann, Pippa D/H/F 40.0303 40.0467 40.1535 40.2260 02:40.4565 224.360 Day 1 Withdrawn",5,1,1,Withdrawn
2018,48,"43 63 Mann, Pippa D/H/F 40.1200 40.1771 40.2679 40.3967 02:40.9617 223.656 Day 1 Waved Off",5,1,1,Waved Off
2018,49,"44 63 Mann, Pippa D/H/F 40.1929 40.3275 40.3347 40.3320 02:41.1871 223.343 Day 1 Failed Attempt",5,1,1,Failed Attempt
2018,50,"45 17 Daly, Conor D/H/F 40.0243 40.5358 40.4942 40.6099 02:41.6642 222.684 Day 1 Withdrawn",5,1,1,Withdrawn
2018,51,"46 64 Servia, Oriol D/H/F 40.5583 40.8462 41.2861 0.0000 02:02.6906 220.066 Day 1 Waved Off",4,1,1,Waved Off
2018,52,"47 64 Servia, Oriol D/H/F 44.6739 45.8510 46.2987 0.0000 02:16.8236 197.334 Day 1 Waved Off",4,1,1,Waved Off
2018,53,"48 5 Hinchcliffe, James D/H/F 0.0000 0.0000 0.0000 0.0000 00:00.0000 Day 1 No Attempt",1,1,0,No Attempt
2019,5,Rank Car Driver Name C/E/T Lap 1 Lap 2 Lap 3 Lap 4 Total Time Speed Qualified On Status,0,0,0,Qualified
2019,6,"1 21 Pigot, Spencer D/C/F 38.9948 39.1172 39.1649 39.1886 02:36.4655 230.083 Day 1",5,1,1,
2019,7,"2 12 Power, Will D/C/F 39.0569 39.0969 39.1544 39.1584 02:36.4666 230.081 Day 1",5,1,1,
2019,8,"3 22 Pagenaud, Simon D/C/F 39.0420 39.1539 39.1768 39.2483 02:36.6210 229.854 Day 1",5,1,1,
2019,9,"4 2 Newgarden, Josef D/C/F 39.1083 39.1758 39.1681 39.2402 02:36.6924 229.749 Day 1",5,1,1,
2019,10,"5 88 Herta, Colton D/H/F 39.1660 39.2037 39.2797 39.2285 02:36.8779 229.478 Day 1",5,1,1,
2019,11,"6 63 Jones, Ed D/C/F 38.9585 39.1186 39.2825 39.5439 02:36.9035 229.440 Day 1",5,1,1,
2019,12,"7 20 Carpenter, Ed D/C/F 39.1257 39.2107 39.2890 39.3404 02:36.9658 229.349 Day 1",5,1,1,
2019,13,"8 27 Rossi, Alexander D/H/F 39.1713 39.2488 39.2778 39.3238 02:37.0217 229.268 Day 1",5,1,1,
2019,14,"9 18 Bourdais, Sebastien D/H/F 39.1771 39.1713 39.6865 39.3078 02:37.3427 228.800 Day 1",5,1,1,
2019,15,"10 98 Andretti, Marco D/H/F 39.1941 39.3151 39.3995 39.4642 02:37.3729 228.756 Day 1",5,1,1,
2019,16,"11 25 Daly, Conor D/H/F 39.2626 39.3879 39.4040 39.4143 02:37.4688 228.617 Day 1",5,1,1,
2019,17,"12 3 Castroneves, Helio D/C/F 39.2083 39.3775 39.4600 39.4879 02:37.5337 228.523 Day 1",5,1,1,
2019,18,"13 7 Ericsson, Marcus D/H/F 39.2987 39.4361 39.3971 39.4096 02:37.5415 228.511 Day 1",5,1,1,
2019,19,"14 30 Sato, Takuma D/H/F 39.3392 39.4293 39.4969 39.4220 02:37.6874 228.300 Day 1",5,1,1,
2019,20,"15 33 Davison, James D/H/F 39.2590 39.4561 39.4936 39.4970 02:37.7057 228.273 Day 1",5,1,1,
2019,21,"16 14 Kanaan, Tony D/C/F 39.3649 39.4391 39.4943 39.5133 02:37.8116 228.120 Day 1",5,1,1,
2019,22,"17 15 Rahal, Graham D/H/F 39.3761 39.4162 39.4298 39.6005 02:37.8226 228.104 Day 1",5,1,1,
2019,23,"18 9 Dixon, Scott D/H/F 39.3605 39.4468 39.4603 39.5580 02:37.8256 228.100 Day 1",5,1,1,
2019,24,"19 77 Servia, Oriol D/H/F 39.3764 39.4116 39.5047 39.6082 02:37.9009 227.991 Day 1",5,1,1,
2019,25,"20 23 Kimball, Charlie D/C/F 39.4210 39.4892 39.4822 39.5611 02:37.9535 227.915 Day 1",5,1,1,
2019,26,"21 48 Hildebrand, JR D/C/F 39.3381 39.4374 39.5441 39.6388 02:37.9584 227.908 Day 1",5,1,1,
2019,27,"22 28 Hunter-Reay, Ryan D/H/F 39.3605 39.4598 39.5725 39.5871 02:37.9799 227.877 Day 1",5,1,1,
2019,28,"23 19 Ferrucci, Santino D/H/F 39.4230 39.4593 39.5772 39.6220 02:38.0815 227.731 Day 1",5,1,1,
2019,29,"24 4 Leist, Matheus D/C/F 39.4579 39.5109 39.5662 39.5561 02:38.0911 227.717 Day 1",5,1,1,
2019,30,"25 60 Harvey, Jack D/H/F 39.3759 39.4859 39.5400 39.7045 02:38.1063 227.695 Day 1",5,1,1,
2019,31,"26 42 King, Jordan D/H/F 39.5103 39.5254 39.5701 39.6344 02:38.2402 227.502 Day 1",5,1,1,
2019,32,"27 81 Hanley, Ben D/C/F 39.4854 39.5270 39.5860 39.6558 02:38.2542 227.482 Day 1",5,1,1,
2019,33,"28 26 Veach, Zach D/H/F 39.4136 39.5770 39.6792 39.6825 02:38.3523 227.341 Day 1",5,1,1,
2019,34,"29 10 Rosenqvist, Felix D/H/F 39.5183 39.5561 39.6150 39.6940 02:38.3834 227.297 Day 1",5,1,1,
2019,35,"30 39 Mann, Pippa D/C/F 39.4099 39.5814 39.7379 39.6911 02:38.4203 227.244 Day 1",5,1,1,
2019,36,"31 88 Herta, Colton D/H/F 39.1869 39.2732 39.3191 39.4036 02:37.1828 229.033 Day 1 Retired",5,1,1,Retired
2019,37,"32 27 Rossi, Alexander D/H/F 39.2116 39.2801 39.3881 39.4518 02:37.3316 228.816 Day 1 Retired",5,1,1,Retired
2019,38,"33 98 Andretti, Marco D/H/F 39.2083 39.4134 39.6596 0.0000 01:58.2813 228.269 Day 1 Waved Off",4,1,1,Waved Off
2019,39,"34 98 Andretti, Marco D/H/F 39.3436 39.5281 0.0000 0.0000 01:18.8717 228.219 Day 1 Waved Off",3,1,1,Waved Off
2019,40,"35 3 Castroneves, Helio D/C/F 39.3339 39.4492 39.4705 39.5304 02:37.7840 228.160 Day 1 Failed Attempt",5,1,1,Failed Attempt
2019,41,"36 5 Hinchcliffe, James D/H/F 39.4461 0.0000 0.0000 0.0000 00:39.4461 228.159 Day 1 Waved Off",2,1,1,Waved Off
2019,42,"37 25 Daly, Conor D/H/F 39.4065 39.4404 39.5280 39.5745 02:37.9494 227.921 Day 1 Retired",5,1,1,Retired
2019,43,"38 9 Dixon, Scott D/H/F 39.4031 39.4315 39.5284 39.6109 02:37.9739 227.886 Day 1 Retired",5,1,1,Retired
2019,44,"39 15 Rahal, Graham D/H/F 39.3793 39.6078 39.5751 39.7530 02:38.3152 227.394 Day 1 Withdrawn",5,1,1,Withdrawn
2019,45,"40 66 Alonso, Fernando D/C/F 39.4738 39.6072 39.6613 39.6916 02:38.4339 227.224 Day 1 Bumped",5,1,1,
2019,46,"41 26 Veach, Zach D/H/F 39.4838 39.6490 39.6460 39.6705 02:38.4493 227.202 Day 1 Failed Attempt",5,1,1,Failed Attempt
2019,47,"42 10 Rosenqvist, Felix D/H/F 39.4707 39.6126 39.6845 39.6841 02:38.4519 227.198 Day 1 Withdrawn",5,1,1,Withdrawn
2019,48,"43 48 Hildebrand, JR D/C/F 39.3756 39.4908 39.8213 39.7751 02:38.4628 227.183 Day 1 Bumped",5,1,1,
2019,49,"44 42 King, Jordan D/H/F 39.5432 39.6040 39.6720 39.6980 02:38.5172 227.105 Day 1 Retired",5,1,1,Retired
2019,50,"45 15 Rahal, Graham D/H/F 39.6161 39.6358 39.6115 39.6605 02:38.5239 227.095 Day 1 Retired",5,1,1,Retired
2019,51,"46 31 O'Ward, Patricio D/C/F 39.5351 39.6360 39.6156 39.7585 02:38.5452 227.065 Day 1 Withdrawn",5,1,1,Withdrawn
2019,52,"47 66 Alonso, Fernando D/C/F 39.5100 39.5596 39.7772 39.7435 02:38.5903 227.000 Day 1 Bumped",5,1,1,
2019,53,"48 5T Hinchcliffe, James D/H/F 39.5843 39.6441 39.6938 39.6990 02:38.6212 226.956 Day 1 Failed Attempt",5,1,1,Failed Attempt
2019,54,"49 24 Karam, Sage D/C/F 39.4864 39.6450 39.7297 39.7637 02:38.6248 226.951 Day 1 Failed Attempt",5,1,1,Failed Attempt
2019,55,"50 59 Chilton, Max D/C/F 39.5426 39.6306 39.7471 39.7160 02:38.6363 226.934 Day 1 Withdrawn",5,1,1,Withdrawn
2019,56,"51 31 O'Ward, Patricio D/C/F 39.6065 39.6441 39.6835 39.7279 02:38.6620 226.897 Day 1 Bumped",5,1,1,
2019,57,"52 24 Karam, Sage D/C/F 39.4393 39.6974 39.7884 39.7551 02:38.6802 226.871 Day 1 Failed Attempt",5,1,1,Failed Attempt
2019,58,"53 48 Hildebrand, JR D/C/F 39.2651 39.6658 39.6522 40.1247 02:38.7078 226.832 Day 1 Retired",5,1,1,Retired
2019,59,"54 10 Rosenqvist, Felix D/H/F 39.5616 39.7418 39.7241 39.7456 02:38.7731 226.739 Day 1 Withdrawn",5,1,1,Withdrawn
2019,60,"55 4 Leist, Matheus D/C/F 39.5514 39.5246 39.6225 40.0829 02:38.7814 226.727 Day 1 Retired",5,1,1,Retired
2019,61,"56 81 Hanley, Ben D/C/F 39.5568 39.6378 39.7259 39.8856 02:38.8061 226.692 Day 1 Bumped",5,1,1,
2019,62,"57 42 King, Jordan D/H/F 39.7900 39.4961 39.8554 39.6850 02:38.8265 226.662 Day 1 Retired",5,1,1,Retired
2019,63,"58 5T Hinchcliffe, James D/H/F 39.6008 39.6904 39.6559 39.9725 02:38.9196 226.530 Day 1 Failed Attempt",5,1,1,Failed Attempt
2019,64,"59 59 Chilton, Max D/C/F 39.6466 39.7373 39.7990 39.8600 02:39.0429 226.354 Day 1 Failed Attempt",5,1,1,Failed Attempt
2019,65,"60 59 Chilton, Max D/C/F 39.6954 39.7075 39.7335 39.9297 02:39.0661 226.321 Day 1 Failed Attempt",5,1,1,Failed Attempt
2019,66,"61 32 Kaiser, Kyle D/C/F 39.7538 39.7301 39.8555 0.0000 01:59.3394 226.245 Day 1 Waved Off",4,1,1,Waved Off
2019,67,"62 66 Alonso, Fernando D/C/F 39.3935 39.7859 40.2490 0.0000 01:59.4284 226.077 Day 1 Waved Off",4,1,1,Waved Off
2019,68,"63 81 Hanley, Ben D/C/F 39.5982 39.7666 39.9345 40.0282 02:39.3275 225.950 Day 1 Bumped",5,1,1,
2019,69,"64 32 Kaiser, Kyle D/C/F 39.6294 39.7515 39.8126 40.1565 02:39.3500 225.918 Day 1 Failed Attempt",5,1,1,Failed Attempt
2019,70,"65 24 Karam, Sage D/C/F 39.8197 39.8402 39.8712 0.0000 01:59.5311 225.883 Day 1 Waved Off",4,1,1,Waved Off
2019,71,"66 24 Karam, Sage D/C/F 39.5567 39.7184 39.9054 40.2065 02:39.3870 225.865 Day 1 Failed Attempt",5,1,1,Failed Attempt
2019,72,"67 32 Kaiser, Kyle D/C/F 39.7532 39.8687 39.9364 0.0000 01:59.5583 225.831 Day 1 Waved Off",4,1,1,Waved Off
2019,73,"68 31 O'Ward, Patricio D/C/F 39.7380 39.7721 39.8650 40.1098 02:39.4849 225.727 Day 1 Bumped",5,1,1,
2019,74,"69 66 Alonso, Fernando D/C/F 39.6527 39.9934 40.0639 40.2100 02:39.9200 225.113 Day 1 Bumped",5,1,1,
2019,75,"70 66 Alonso, Fernando D/C/F 39.6191 39.6813 39.7358 41.3816 02:40.4178 224.414 Day 1 Failed Attempt",5,1,1,Failed Attempt
2019,76,"71 24 Karam, Sage D/C/F 39.8961 39.7744 41.0345 46.1755 02:46.8805 215.723 Day 1 Withdrawn",5,1,1,Withdrawn
2019,77,"72 5T Hinchcliffe, James D/H/F 39.7604 39.7930 39.9814 51.5065 02:51.0413 210.475 Day 1 Failed Attempt",5,1,1,Failed Attempt
2019,78,"73 42 King, Jordan D/H/F 0.0000 0.0000 0.0000 0.0000 00:00.0000 Day 1 No Attempt",1,1,0,No Attempt
2025,5,Rank Car Driver Name C/E/T Lap 1 Lap 2 Lap 3 Lap 4 Total Time Speed Qualified On Status,0,0,0,Qualified
2025,6,"1 10 Palou, Alex D/H/F 38.6133 38.6088 38.6325 38.6235 02:34.4781 233.043 Day 1",5,1,1,
2025,7,"2 3 McLaughlin, Scott D/C/F 38.6043 38.7107 38.5799 38.6030 02:34.4979 233.013 Day 1",5,1,1,
2025,8,"3 2 Newgarden, Josef D/C/F 38.6151 38.6252 38.6271 38.6362 02:34.5036 233.004 Day 1",5,1,1,
2025,9,"4 5 O'Ward, Pato D/C/F 38.6512 38.6486 38.6614 38.6645 02:34.6257 232.820 Day 1",5,1,1,
2025,10,"5 9 Dixon, Scott D/H/F 38.6892 38.6806 38.6962 38.6667 02:34.7327 232.659 Day 1",5,1,1,
2025,11,"6 83 Shwartzman, Robert D/C/F 38.5885 38.6101 38.7885 38.7957 02:34.7828 232.584 Day 1",5,1,1,
2025,12,"7 4 Malukas, David D/C/F 38.6251 38.6378 38.7685 38.7766 02:34.8080 232.546 Day 1",5,1,1,
2025,13,"8 60 Rosenqvist, Felix D/H/F 38.5713 38.5816 38.9564 38.7633 02:34.8726 232.449 Day 1",5,1,1,
2025,14,"9 75 Sato, Takuma D/H/F 38.6448 38.6533 38.8416 38.7554 02:34.8951 232.415 Day 1",5,1,1,
2025,15,"10 12 Power, Will D/C/F 38.7638 38.7848 38.7879 38.7395 02:35.0760 232.144 Day 1",5,1,1,
2025,16,"11 28 Ericsson, Marcus D/H/F 38.7726 38.7193 38.7681 38.8243 02:35.0843 232.132 Day 1",5,1,1,
2025,17,"12 7 Lundgaard, Christian D/C/F 38.8304 38.7789 38.8518 38.8393 02:35.3004 231.809 Day 1",5,1,1,
2025,18,"13 76 Daly, Conor D/C/F 38.8318 38.8140 38.8147 38.8963 02:35.3568 231.725 Day 1",5,1,1,
2025,19,"14 20 Rossi, Alexander D/C/F 38.6710 38.8792 38.8304 38.9919 02:35.3725 231.701 Day 1",5,1,1,
2025,20,"15 8 Simpson, Kyffin D/H/F 38.7937 38.8439 38.9210 38.8541 02:35.4127 231.641 Day 1",5,1,1,
2025,21,"16 33 Carpenter, Ed D/C/F 38.7904 38.8833 38.8448 38.8995 02:35.4180 231.633 Day 1",5,1,1,
2025,22,"17 14 Ferrucci, Santino D/C/F 38.8371 38.8373 38.8351 38.9358 02:35.4453 231.593 Day 1",5,1,1,
2025,23,"18 30 DeFrancesco, Devlin D/H/F 38.7468 38.8389 38.8811 38.9907 02:35.4575 231.575 Day 1",5,1,1,
2025,24,"19 77 Robb, Sting Ray D/C/F 38.7773 38.8971 38.9527 38.9065 02:35.5336 231.461 Day 1",5,1,1,
2025,25,"20 21 Rasmussen, Christian D/C/F 38.7646 38.9281 38.9435 38.9127 02:35.5489 231.438 Day 1",5,1,1,
2025,26,"21 17 Larson, Kyle D/C/F 38.8021 38.8883 38.9354 38.9984 02:35.6242 231.326 Day 1",5,1,1,
2025,27,"22 45 Foster, Louis D/H/F 38.8669 38.9154 39.0120 39.0106 02:35.8049 231.058 Day 1",5,1,1,
2025,28,"23 90 Ilott, Callum D/C/F 38.9142 38.9637 38.9931 38.9779 02:35.8489 230.993 Day 1",5,1,1,
2025,29,"24 06 Castroneves, Helio D/H/F 38.9097 38.9394 39.0034 39.0067 02:35.8592 230.978 Day 1",5,1,1,
2025,30,"25 27 Kirkwood, Kyle D/H/F 38.8022 38.9161 38.9177 39.2639 02:35.8999 230.917 Day 1",5,1,1,
2025,31,"26 6 Siegel, Nolan D/C/F 38.9652 38.9952 39.0642 39.1096 02:36.1342 230.571 Day 1",5,1,1,
2025,32,"27 23 Hunter-Reay, Ryan D/C/F 39.0208 39.0438 39.1288 39.0818 02:36.2752 230.363 Day 1",5,1,1,
2025,33,"28 24 Harvey, Jack D/C/F 38.9101 39.0487 39.2036 39.1229 02:36.2853 230.348 Day 1",5,1,1,
2025,34,"29 26 Herta, Colton D/H/F 39.1173 39.0871 39.0924 39.0942 02:36.3910 230.192 Day 1",5,1,1,
2025,35,"30 15 Rahal, Graham D/H/F 39.0302 39.1385 39.2382 39.2083 02:36.6152 229.863 Day 1",5,1,1,
2025,37,"32 5 O'Ward, Pato D/C/F 38.6964 0.0000 0.0000 0.0000 00:38.6964 232.580 Day 1 Waved Off",2,1,1,Waved Off
2025,38,"33 4 Malukas, David D/C/F 38.8124 38.8130 38.7028 38.7144 02:35.0426 232.194 Day 1 Retired",5,1,1,Retired
2025,39,"34 75 Sato, Takuma D/H/F 38.7201 38.7659 38.7847 38.7889 02:35.0596 232.169 Day 1 Retired",5,1,1,Retired
2025,40,"35 9 Dixon, Scott D/H/F 38.7702 0.0000 0.0000 0.0000 00:38.7702 232.137 Day 1 Waved Off",2,1,1,Waved Off
2025,41,"36 12 Power, Will D/C/F 38.6818 38.6933 38.7225 39.1554 02:35.2530 231.880 Day 1 Retired",5,1,1,Retired
2025,42,"37 20 Rossi, Alexander D/C/F 38.7909 38.8244 38.8711 38.9052 02:35.3916 231.673 Day 1 Failed Attempt",5,1,1,Failed Attempt
2025,43,"38 12 Power, Will D/C/F 38.7421 38.7966 38.8589 39.0297 02:35.4273 231.620 Day 1 Failed Attempt",5,1,1,Failed Attempt
2025,44,"39 76 Daly, Conor D/C/F 38.8295 38.8616 38.8684 38.8833 02:35.4428 231.596 Day 1 Failed Attempt",5,1,1,Failed Attempt
2025,45,"40 20 Rossi, Alexander D/C/F 38.6972 38.8683 38.8927 39.0424 02:35.5006 231.510 Day 1 Retired",5,1,1,Retired
2025,46,"41 8 Simpson, Kyffin D/H/F 38.8335 38.8754 38.9272 0.0000 01:56.6361 231.489 Day 1 Waved Off",4,1,1,Waved Off
2025,47,"42 28 Ericsson, Marcus D/H/F 38.8887 38.8865 38.8941 0.0000 01:56.6693 231.423 Day 1 Waved Off",4,1,1,Waved Off
2025,48,"43 28 Ericsson, Marcus D/H/F 38.8949 38.8852 0.0000 0.0000 01:17.7801 231.422 Day 1 Waved Off",3,1,1,Waved Off
2025,49,"44 33 Carpenter, Ed D/C/F 38.7285 38.9669 38.9237 38.9610 02:35.5801 231.392 Day 1 Retired",5,1,1,Retired
2025,50,"45 20 Rossi, Alexander D/C/F 38.8206 38.8893 38.8778 39.0213 02:35.6090 231.349 Day 1 Failed Attempt",5,1,1,Failed Attempt
2025,51,"46 76 Daly, Conor D/C/F 38.8996 38.8977 38.9319 38.9660 02:35.6952 231.221 Day 1 Retired",5,1,1,Retired
2025,52,"47 21 Rasmussen, Christian D/C/F 38.8525 38.9401 38.9435 38.9694 02:35.7055 231.206 Day 1 Failed Attempt",5,1,1,Failed Attempt
2025,53,"48 60 Rosenqvist, Felix D/H/F 38.9715 38.9603 38.9678 0.0000 01:56.8996 230.967 Day 1 Waved Off",4,1,1,Waved Off
2025,54,"49 27 Kirkwood, Kyle D/H/F 39.0036 39.0055 38.9944 38.9300 02:35.9335 230.868 Day 1 Failed Attempt",5,1,1,Failed Attempt
2025,55,"50 14 Ferrucci, Santino D/C/F 38.8551 39.1399 38.9947 38.9647 02:35.9544 230.837 Day 1 Retired",5,1,1,Retired
2025,56,"51 90 Ilott, Callum D/C/F 38.9275 38.9392 39.0905 39.0871 02:36.0443 230.704 Day 1 Retired",5,1,1,Retired
2025,57,"52 45 Foster, Louis D/H/F 38.9530 38.9981 39.0988 39.0877 02:36.1376 230.566 Day 1 Retired",5,1,1,Retired
2025,58,"53 30 DeFrancesco, Devlin D/H/F 38.7916 39.2063 39.1234 39.1183 02:36.2396 230.415 Day 1 Retired",5,1,1,Retired
2025,59,"54 77 Robb, Sting Ray D/C/F 39.1170 39.0160 38.9078 39.2536 02:36.2944 230.335 Day 1 Retired",5,1,1,Retired
2025,60,"55 14 Ferrucci, Santino D/C/F 38.7043 39.4455 0.0000 0.0000 01:18.1498 230.327 Day 1 Waved Off",3,1,1,Waved Off
2025,61,"56 7 Lundgaard, Christian D/C/F 39.3890 39.0007 39.0994 38.8263 02:36.3154 230.304 Day 1 Retired",5,1,1,Retired
2025,62,"57 23 Hunter-Reay, Ryan D/C/F 39.0730 39.0746 39.0740 39.1398 02:36.3614 230.236 Day 1 Retired",5,1,1,Retired
2025,63,"58 6 Siegel, Nolan D/C/F 39.0525 39.1262 39.1257 39.1500 02:36.4544 230.099 Day 1 Failed Attempt",5,1,1,Failed Attempt
2025,64,"59 17 Larson, Kyle D/C/F 39.0386 39.0349 39.1709 39.2411 02:36.4855 230.053 Day 1 Retired",5,1,1,Retired
2025,65,"60 24 Harvey, Jack D/C/F 39.0065 39.0799 39.1770 39.2503 02:36.5137 230.012 Day 1 Failed Attempt",5,1,1,Failed Attempt
2025,66,"61 98 Andretti, Marco D/H/F 39.0480 39.1769 39.0925 39.3006 02:36.6180 229.859 Day 1 Failed Attempt",5,1,1,Failed Attempt
2025,67,"62 98 Andretti, Marco D/H/F 39.1876 39.1580 39.1674 39.1061 02:36.6191 229.857 Day 1 Bumped",5,1,1,
2025,68,"63 06 Castroneves, Helio D/H/F 39.2006 39.0314 39.2578 39.2812 02:36.7710 229.634 Day 1 Retired",5,1,1,Retired
2025,69,"64 18 Veekay, Rinus D/H/F 39.1007 39.0825 39.1754 39.4915 02:36.8501 229.519 Day 1 Failed Attempt",5,1,1,Failed Attempt
2025,70,"65 98 Andretti, Marco D/H/F 39.1535 39.2334 39.2525 39.2402 02:36.8796 229.475 Day 1 Failed Attempt",5,1,1,Failed Attempt
2025,71,"66 98 Andretti, Marco D/H/F 39.1984 39.2576 39.2774 39.2278 02:36.9612 229.356 Day 1 Failed Attempt",5,1,1,Failed Attempt
2025,72,"67 18 Veekay, Rinus D/H/F 39.2308 39.2621 39.2902 39.2660 02:37.0491 229.228 Day 1 Bumped",5,1,1,
2025,73,"68 18 Veekay, Rinus D/H/F 39.1840 39.2878 39.3557 0.0000 01:57.8275 229.149 Day 1 Waved Off",4,1,1,Waved Off
