decision_id,year,session_regime,car_number,driver_name,decision_stage,source_attempt_id,current_result_mph,current_rank,benchmark_type,benchmark_rank,benchmark_speed_mph,margin_to_benchmark_mph,qualification_state,has_protected_result,feasible_action_set,action_mask_STOP,action_mask_REATTEMPT,action_mask_RETAIN_AND_REATTEMPT,action_mask_WITHDRAW_AND_REATTEMPT,action_mask_WITHDRAW_AND_PRIORITY_REATTEMPT,observed_action,action_resolved,action_evidence_quality,decision_time_utc,time_quality,state_numeric_complete,thermal_state_available,performance_uncertainty_available,wait_model_available,shared_feature_link_status,upstream_safe_for_policy_fit,action_evidence_eligible,decision_state_eligible,counterfactual_model_input_eligible,validation_only,dataset_role,hard_optimality_truth,source_interface
DAY1_2020_5_POST_FIRST_ATTEMPT,2020,DAY1,5,Pato O'Ward,POST_FIRST_ATTEMPT,194c9baa-3297-571e-82bf-ac3ba81e07fc,229.902000,5,FAST_NINE_ADVANCEMENT,9,,,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,2020-08-15T15:34:55+00:00,APPROXIMATE_POINT,False,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,False,False,False,STRUCTURAL_REATTEMPT_EVIDENCE,False,R4F1_DAY1
DAY1_2020_51_POST_FIRST_ATTEMPT,2020,DAY1,51,James Davison,POST_FIRST_ATTEMPT,e2cf6770-902a-5a11-8e7c-27e4441f0b5e,228.747000,17,FAST_NINE_ADVANCEMENT,9,230.296000,-1.549000,CURRENTLY_OUTSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,2020-08-15T16:41:35+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_55_POST_FIRST_ATTEMPT,2020,DAY1,55,Alex Palou,POST_FIRST_ATTEMPT,b3ac1729-6563-5819-a04b-0f76aeae5b0f,231.034000,6,FAST_NINE_ADVANCEMENT,9,230.472000,0.562000,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,STOP,True,HIGH,2020-08-15T16:45:45+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,True,True,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_59_POST_FIRST_ATTEMPT,2020,DAY1,59,Max Chilton,POST_FIRST_ATTEMPT,75519828-93ba-5485-a4bf-a06b93f7cec3,225.819000,25,FAST_NINE_ADVANCEMENT,9,230.560000,-4.741000,CURRENTLY_OUTSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,2020-08-15T17:29:05+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_60_POST_FIRST_ATTEMPT,2020,DAY1,60,Jack Harvey,POST_FIRST_ATTEMPT,954d29f8-6770-5c41-9322-b23c885935ef,229.861000,3,FAST_NINE_ADVANCEMENT,9,,,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,2020-08-15T15:20:45+00:00,APPROXIMATE_POINT,False,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,False,False,False,STRUCTURAL_REATTEMPT_EVIDENCE,False,R4F1_DAY1
DAY1_2020_66_POST_FIRST_ATTEMPT,2020,DAY1,66,Fernando Alonso,POST_FIRST_ATTEMPT,c9ee13fe-3b9e-555c-9a7d-a078015b8b91,228.768000,10,FAST_NINE_ADVANCEMENT,9,228.880000,-0.112000,CURRENTLY_OUTSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,STOP,True,HIGH,2020-08-15T15:59:05+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,True,True,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_67_POST_FIRST_ATTEMPT,2020,DAY1,67,JR Hildebrand,POST_FIRST_ATTEMPT,1a120ea2-c723-5585-8ec6-30169bb44ca7,226.341000,26,FAST_NINE_ADVANCEMENT,9,230.560000,-4.219000,CURRENTLY_OUTSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,STOP,True,HIGH,2020-08-15T17:38:15+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,True,True,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_7_POST_FIRST_ATTEMPT,2020,DAY1,7,Oliver Askew,POST_FIRST_ATTEMPT,72b65040-5363-5722-b1cd-297bffa2af77,229.760000,11,FAST_NINE_ADVANCEMENT,9,229.902000,-0.142000,CURRENTLY_OUTSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,2020-08-15T16:18:15+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_8_POST_FIRST_ATTEMPT,2020,DAY1,8,Marcus Ericsson,POST_FIRST_ATTEMPT,518373d9-25de-58cf-8315-f6c215b6f672,230.472000,7,FAST_NINE_ADVANCEMENT,9,229.902000,0.570000,CURRENTLY_INSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,2020-08-15T16:13:15+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
DAY1_2020_81_POST_FIRST_ATTEMPT,2020,DAY1,81,Ben Hanley,POST_FIRST_ATTEMPT,a3016f3b-449e-576c-bf0f-284c71eddb34,220.946000,18,FAST_NINE_ADVANCEMENT,9,230.296000,-9.350000,CURRENTLY_OUTSIDE_ADVANCEMENT,True,STOP|RETAIN_AND_REATTEMPT|WITHDRAW_AND_PRIORITY_REATTEMPT,True,False,True,False,True,REATTEMPT_SEMANTICS_UNRESOLVED,False,PARTIAL,2020-08-15T16:36:35+00:00,APPROXIMATE_POINT,True,False,True,True,PERFORMANCE_AND_WAIT_READY_THERMAL_PENDING,False,False,True,True,False,COUNTERFACTUAL_MODEL_INPUT,False,R4F1_DAY1
