file,rows,columns,score,name_score,attempt_id_fields,car_fields,current_result_fields,current_rank_fields,benchmark_fields,lane_fields,action_fields,time_fields,time_quality_fields,join_key_strength
r4/output/r4p1_multi_run_four_lap_panel_v1.csv,162,45,26,0,attempt_id,car_number,,,,lane_action,,time_point_utc;canonical_start_time_utc;canonical_end_time_utc,time_evidence_class;canonical_event_time_quality,HIGH
r4/output/r4p1_first_run_order_panel_v1.csv,150,47,26,0,attempt_id,car_number,,,,lane_action,,time_point_utc;canonical_start_time_utc;canonical_end_time_utc,time_evidence_class;canonical_event_time_quality,HIGH
weather/output/chronology_rescue_2022_marco_second_attempt_therace_evidence_v1.csv,1,27,26,2,,car_number,,,,lane,action,,time_quality,MEDIUM
weather/output/chronology_rescue_2022_malukas_autosport_repeat_evidence_v1.csv,1,32,25,1,,car_number,,,,lane,action,,time_quality,MEDIUM
weather/output/decision_time_observable_state_v2.csv,8,66,25,2,,,,current_rank,cutoff_speed_mph,queue_lane,,,,LOW
weather/output/unified_attempt_action_lane_ledger_v8.csv,8,24,24,3,,car_number,,,,lane,action,,,MEDIUM
weather/output/unified_attempt_action_lane_ledger_v7.csv,7,24,24,3,,car_number,,,,lane,action,,,MEDIUM
weather/output/unified_attempt_action_lane_ledger_v6.csv,6,24,24,3,,car_number,,,,lane,action,,,MEDIUM
weather/output/unified_attempt_action_lane_ledger_v5.csv,5,24,24,3,,car_number,,,,lane,action,,,MEDIUM
weather/output/unified_attempt_action_lane_ledger_v4.csv,4,24,24,3,,car_number,,,,lane,action,,,MEDIUM
weather/output/unified_attempt_action_lane_ledger_v3.csv,3,24,24,3,,car_number,,,,lane,action,,,MEDIUM
weather/output/unified_attempt_action_lane_ledger_v2.csv,2,24,24,3,,car_number,,,,lane,action,,,MEDIUM
weather/output/chronology_rescue_2022_action_lane_evidence_v1.csv,1,19,24,3,,car_number,,,,lane,action,,,MEDIUM
weather/output/unified_attempt_action_lane_ledger_v1.csv,1,19,24,3,,car_number,,,,lane,action,,,MEDIUM
weather/output/chronology_rescue_2022_castroneves_first_run_action_v1.csv,0,19,23,2,,car_number,,,,lane,action,,,MEDIUM
weather/output/chronology_rescue_2022_secondary_adjudicated_evidence_v1.csv,3,19,22,1,,car_number,,,,lane,action,,,MEDIUM
weather/output/chronology_rescue_2022_castroneves_first_run_final_adjudication_v1.csv,1,21,22,1,,car_number,,,,lane,action,,,MEDIUM
weather/output/unified_attempt_chronology_constraint_ledger_v2.csv,151,29,21,2,attempt_id,car_number,,,,,,time_point_utc,time_quality,HIGH
weather/output/unified_attempt_chronology_constraint_ledger_v1.csv,142,21,21,2,attempt_id,car_number,,,,,,time_point_utc,time_quality,HIGH
weather/output/chronology_rescue_2022_karam_repeat_conflict_adjudication_v1.csv,1,20,20,1,,,,,,lane,action,,time_quality,LOW
weather/output/decision_time_state_v3_transition_outcome_evidence.csv,10,19,19,2,,,,,cutoff_speed_mph,queue_lane,,,,LOW
weather/output/chronology_rescue_2022_ilott_autosport_retake_evidence_v1.csv,1,28,19,1,,,,,,lane,action,,,LOW
weather/output/chronology_rescue_2022_ilott_autosport_retake_evidence_v2.csv,1,32,19,1,,,,,,lane,action,,,LOW
weather/output/chronology_rescue_2022_marco_second_run_direct_evidence_adjudication_v1.csv,1,15,19,1,,,,,,lane,action,,time_quality,LOW
weather/output/lane_rescue_2022_rossi_lane1_evidence_v2.csv,1,27,19,1,,,,,,lane,action,,,LOW
r4/output/r4p6_decision_safe_conditional_dataset_v1.csv,5,56,18,1,,car_number,current_four_lap_average_speed_mph,,,,,decision_time_utc,,MEDIUM
data/canonical/v1/attempts.csv,329,30,18,1,attempt_id,car_number,,,,lane_action,,,,LOW
weather/output/leaderboard_rescue_2022_external_temporal_evidence_v1.csv,4,20,18,1,,,,rank_before,cutoff_speed_mph,,,,time_quality,LOW
r4/output/r4p10_thermal_conditioned_repeat_dataset_v1.csv,39,27,17,0,,car_number,current_speed_mph,,,,,decision_time_utc,,MEDIUM
weather/output/chronology_rescue_2022_evidence_with_attempt_ids_v1.csv,15,27,16,2,attempt_id,car_number,,,,,,,,HIGH
weather/output/chronology_rescue_2022_evidence_with_attempt_ids_v2.csv,15,27,16,2,attempt_id,car_number,,,,,,,,HIGH
weather/output/chronology_rescue_2022_sato_required_reattempt_adjudication_v1.csv,1,22,15,2,,,,,,lane,,,time_quality,LOW
weather/output/chronology_rescue_2022_attempt_coverage_gap_audit_v1.csv,44,22,14,2,attempt_id,car_number,,,,,,,,HIGH
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v2.csv,44,15,14,2,attempt_id,car_number,,,,,,,,HIGH
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v3.csv,44,24,14,2,attempt_id,car_number,,,,,,,,HIGH
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v1.csv,40,15,14,2,attempt_id,car_number,,,,,,,,HIGH
weather/output/attempt_performance_repeat_delta_context_v1.csv,40,41,14,1,,car_number,current_speed_mph,,,,,,,MEDIUM
data/canonical/v1/chronology_events.csv,305,19,14,1,attempt_id,,,,,lane_action,,,,LOW
weather/output/performance_grade_attempt_realized_environment.csv,129,33,13,1,attempt_id,car_number,,,,,,,,HIGH
weather/output/attempt_performance_model_matrix_v1.csv,123,22,13,1,attempt_id,car_number,,,,,,,,HIGH
weather/output/chronology_rescue_2022_next_rescue_priority_v1.csv,44,22,13,1,attempt_id,car_number,,,,,,,,HIGH
weather/output/performance_grade_attempt_realized_environment_2024_supported.csv,7,30,13,1,attempt_id,car_number,,,,,,,,HIGH
weather/output/chronology_rescue_2022_chronology_only_link_resolution_v1.csv,4,18,13,1,attempt_id,car_number,,,,,,,,HIGH
weather/output/repeat_delta_regime_row_diagnostics_v1.csv,39,52,13,0,,car_number,current_speed_mph,,,,,,,MEDIUM
weather/output/large_gain_event_evidence_audit_v1.csv,4,35,13,0,,car_number,current_speed_mph,,,,,,,MEDIUM
weather/output/queue_requeue_evidence_ledger_v1.csv,5,24,13,0,,,,,,queue_lane,,,time_quality,LOW
weather/output/chronology_rescue_2022_attempt_coverage_gap_audit_v2.csv,44,18,12,2,attempt_id,car_number,,,,,,,,LOW
weather/output/chronology_rescue_2022_marco_first_attempt_identity_binding_v1.csv,1,15,12,2,,,,,,lane,,,time_quality,LOW
r4/output/r4p5_decision_safe_forecast_scenarios_v1.csv,40,109,11,1,,car_number,,,,,,decision_time_utc,,MEDIUM
weather/output/attempt_performance_baseline_predictions_v1.csv,615,13,11,1,attempt_id,car_number,,,,,,,,LOW
weather/output/performance_grade_attempt_timing.csv,129,17,11,1,attempt_id,car_number,,,,,,,,LOW
2024_chronology_constraints.csv,77,30,11,1,attempt_id,car_number,,,,,,,,LOW
data/canonical/v1/chronology_constraints.csv,77,30,11,1,attempt_id,car_number,,,,,,,,LOW
weather/output/chronology_rescue_2022_next_rescue_priority_v2.csv,44,18,11,1,attempt_id,car_number,,,,,,,,LOW
weather/output/ptsc_attempt_realized_environment_alignment.csv,9,28,11,1,attempt_id,car_number,,,,,,,,LOW
weather/output/performance_grade_attempt_timing_2024_supported.csv,7,16,11,1,attempt_id,car_number,,,,,,,,LOW
r4/output/r4p6_decision_safe_probability_predictions_v1.csv,5,8,11,1,attempt_id,car_number,,,,,,,,LOW
weather/output/queue_rescue_2022_external_queue_order_evidence_v1.csv,4,24,11,0,,,,,,queue_lane,,,time_quality,LOW
weather/output/chronology_rescue_2022_karam_repeat_object_reconciliation_v1.csv,3,8,11,1,attempt_id,car_number,,,,,,,,LOW
weather/output/queue_rescue_2022_candidate_adjudication_v1.csv,3,15,11,0,,,,,,queue_lane,,,time_quality,LOW
weather/output/chronology_rescue_2022_marco_repeat_chronology_audit_v1.csv,2,7,11,1,attempt_id,car_number,,,,,,,,LOW
weather/output/chronology_rescue_2022_karam_identity_promotion_candidate_v1.csv,0,13,11,1,attempt_id,car_number,,,,,,,,LOW
weather/output/r3b4_target_gain_probability_v1.csv,1152,11,10,1,,,,,,,action,,,LOW
weather/output/r3b4_monte_carlo_action_envelope_v1.csv,288,45,10,1,,,,,,,action,,,LOW
weather/output/r3c_final_monte_carlo_action_envelope_v1.csv,288,51,10,1,,,,,,,action,,,LOW
weather/output/r3c_final_monte_carlo_action_envelope_v2.csv,288,52,10,1,,,,,,,action,,,LOW
weather/output/chronology_rescue_2022_castroneves_car06_reaudit_v1.csv,2,7,10,1,attempt_id,car_number,,,,,,,,LOW
weather/output/attempt_performance_residual_diagnostics_v1.csv,615,34,9,1,attempt_id,,,,,,,,,HIGH
weather/output/chronology_rescue_2022_adjudicated_evidence_v5.csv,15,25,9,1,,car_number,,,,,,,,MEDIUM
weather/output/chronology_rescue_2022_adjudicated_evidence_v4.csv,13,25,9,1,,car_number,,,,,,,,MEDIUM
weather/output/chronology_rescue_2022_adjudicated_evidence_v3.csv,9,25,9,1,,car_number,,,,,,,,MEDIUM
weather/output/chronology_rescue_2022_adjudicated_evidence_v2.csv,7,25,9,1,,car_number,,,,,,,,MEDIUM
weather/output/chronology_rescue_2022_official_evidence_v1.csv,5,23,9,1,,car_number,,,,,,,,MEDIUM
weather/output/r3b4_queue_wait_influence_diagnostic_v1.csv,72,9,9,0,,,,,,,action,,,LOW
weather/output/chronology_rescue_2022_unresolved_attempt_links_v1.csv,4,10,8,2,,car_number,,,,,,,,MEDIUM
weather/output/chronology_rescue_2022_derived_attempt_intervals_v1.csv,2,19,8,2,,car_number,,,,,,,,MEDIUM
r4/output/r4p11_stochastic_wait_performance_mc_draws_sample_v1.csv,1500,7,8,0,,,,,,,action,,,LOW
weather/output/global_car_number_script_risk_audit_v1.csv,122,8,8,0,,,,,,,action,,,LOW
weather/output/chronology_rescue_2022_repeat_group_denominator_reconciliation_v1.csv,21,8,8,1,attempt_id,,,,,,,,,LOW
r4/output/r4p11_stochastic_wait_performance_mc_results_v1.csv,9,19,8,0,,,,,,,action,,,LOW
weather/output/chronology_rescue_2022_malukas_repeat_chronology_audit_v1.csv,2,6,8,1,attempt_id,,,,,,,,,LOW
weather/output/chronology_rescue_2022_result_row_matches_v1.csv,4,9,7,1,,car_number,,,,,,,,MEDIUM
data/canonical/v1/attempt_sections.csv,9898,15,7,1,attempt_id,,,,,,,,,LOW
data/canonical/v1/attempt_laps.csv,1174,9,7,1,attempt_id,,,,,,,,,LOW
weather/output/chronology_rescue_2022_car06_car6_official_raw_schema_audit_v1.csv,89,6,7,1,attempt_id,,,,,,,,,LOW
weather/output/chronology_rescue_2022_result_match_car_number_literal_repair_audit_v1.csv,44,15,7,1,attempt_id,,,,,,,,,LOW
weather/output/global_car_number_attempt_id_grounded_row_audit_v1.csv,24,12,7,1,attempt_id,,,,,,,,,LOW
weather/output/chronology_rescue_2022_car06_car6_result_match_forensics_v1.csv,6,21,7,1,attempt_id,,,,,,,,,LOW
weather/output/chronology_rescue_2022_castroneves_canonical_identity_audit_v1.csv,3,10,7,1,attempt_id,,,,,,,,,LOW
weather/output/official_day1_results_attempt_rows_v1.csv,320,15,6,1,,car_number,,,,,,,,MEDIUM
weather/output/chronology_rescue_2022_sato_marco_result_context_v1.csv,4,11,6,1,,car_number,,,,,,,,MEDIUM
weather/output/r3b_future_environment_state_coverage_v1.csv,8,11,6,1,,,,,,,,decision_time_utc,,LOW
weather/output/interruption_state_evidence_ledger_2022_v1.csv,5,20,6,1,,,,,,,,,time_quality,LOW
weather/output/chronology_rescue_2022_weather_interruption_windows_v1.csv,4,15,6,1,,,,,,,,,time_quality,LOW
weather/output/official_action_lane_leaderboard_resource_candidates_v1.csv,577,12,5,3,,,,,,,,,,LOW
weather/output/repeat_attempt_delta_baseline_predictions_v1.csv,195,14,5,1,,car_number,,,,,,,,LOW
weather/output/official_action_lane_leaderboard_local_evidence_hits_v1.csv,70,7,5,3,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_editorial_entity_matches_v1.csv,47,11,5,1,,car_number,,,,,,,,LOW
weather/output/chronology_rescue_2022_ilott_precision_archive_targets_v1.csv,16,8,5,2,,,,,,,,,,LOW
weather/output/official_action_lane_leaderboard_fetch_audit_v1.csv,10,11,5,3,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_repeat_pair_coverage_v1.csv,8,12,5,1,,car_number,,,,,,,,LOW
weather/output/decision_time_observable_state_v3.csv,8,52,5,2,,,,,,,,,,LOW
weather/output/decision_time_observable_state_v4_1_final.csv,8,55,5,2,,,,,,,,,,LOW
weather/output/decision_time_observable_state_v4_final.csv,8,55,5,2,,,,,,,,,,LOW
weather/output/leaderboard_rescue_2022_candidate_adjudication_v1.csv,8,15,5,1,,,,,,,,,time_quality,LOW
weather/output/chronology_rescue_2022_karam_racer_two_event_evidence_v1.csv,2,12,5,1,,car_number,,,,,,,,LOW
weather/output/official_lane_queue_live_archive_targets_v1.csv,30,13,4,2,,,,,,,,,,LOW
weather/output/attempt_performance_target_structure_v1.csv,5,12,4,2,,,,,,,,,,LOW
weather/output/unified_attempt_chronology_constraint_summary_v1.csv,5,5,4,2,,,,,,,,,,LOW
weather/output/unified_attempt_chronology_constraint_summary_v2.csv,5,5,4,2,,,,,,,,,,LOW
weather/output/unified_attempt_chronology_constraint_summary_v3.csv,5,5,4,2,,,,,,,,,,LOW
weather/output/unified_attempt_chronology_constraint_summary_v4.csv,5,4,4,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_karam_repeat_conflict_evidence_v1.csv,2,17,4,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_ilott_autosport_retake_adjudication_v1.csv,1,19,4,1,,,,,,,,,time_quality,LOW
weather/output/chronology_rescue_2022_ilott_autosport_retake_adjudication_v2.csv,1,23,4,1,,,,,,,,,time_quality,LOW
weather/output/technical_state_evidence_2022_v1.csv,1,23,4,1,,,,,,,,,,LOW
weather/output/leaderboard_rescue_2022_repeat_pair_targeted_hits_v1.csv,976,15,3,2,,,,,,,,,,LOW
chronology_reconciliation_report.csv,35,6,3,1,,,,,,,,,,LOW
weather/output/official_lane_queue_live_resource_registry_v1.csv,22,30,3,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_sato_second_attempt_action_only_summary_v1.csv,12,2,3,3,,,,,,,,,,LOW
weather/output/decision_time_state_v2_temporal_admissibility_audit_v1.csv,12,12,3,2,,,,,,,,,,LOW
weather/output/official_action_lane_leaderboard_resource_discovery_v1_qa.csv,11,3,3,3,,,,,,,,,,LOW
weather/output/decision_time_observable_state_v3_provenance.csv,10,12,3,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_high_priority_editorial_target_summary_v1.csv,9,8,3,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_sato_second_attempt_action_only_v1_qa.csv,8,3,3,3,,,,,,,,,,LOW
weather/output/decision_time_state_v2_joinability_audit_v1.csv,8,10,3,2,,,,,,,,,,LOW
weather/output/lane_rescue_2022_repeat_pair_targeted_driver_summary_v1.csv,8,8,3,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_lane_action_metric_semantics_v1_qa.csv,6,3,3,3,,,,,,,,,,LOW
weather/output/attempt_performance_prior_speed_diagnostics_v1.csv,5,10,3,1,,,,,,,,,,LOW
weather/output/official_lane_queue_live_year_coverage_v1.csv,5,14,3,1,,,,,,,,,,LOW
weather/output/lane_rescue_2022_repeat_pair_targeted_hits_v1.csv,4,15,3,2,,,,,,,,,,LOW
weather/output/performance_grade_attempt_realized_environment_qa.csv,3,5,3,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_ordering_edges_v2.csv,1,16,3,1,,,,,,,,,,LOW
weather/output/interruption_track_state_identifiability_2022_v1.csv,1,19,3,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_ilott_archive_target_local_matches_v1.csv,52,5,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_secondary_editorial_candidates_v1.csv,29,17,2,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_sato_required_reattempt_evidence_hits_v1.csv,24,13,2,2,,,,,,,,,,LOW
weather/output/r3c_action_historical_applicability_v1.csv,24,10,2,1,,,,,,,,,,LOW
weather/output/decision_time_observable_state_v2_provenance.csv,17,10,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_chronology_action_coverage_summary_v2_corrected.csv,16,2,2,2,,,,,,,,,,LOW
weather/output/decision_time_observable_state_v2_qa.csv,14,3,2,2,,,,,,,,,,LOW
weather/output/queue_rescue_2022_repeat_pair_targeted_hits_v1.csv,14,19,2,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_chronology_action_coverage_summary_v2.csv,13,2,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_marco_second_attempt_integration_summary_v1.csv,13,2,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_marco_second_attempt_integration_v1_qa.csv,13,3,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_high_priority_editorial_candidates_v1.csv,12,17,2,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_marco_first_attempt_integration_summary_v1.csv,12,2,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_sato_required_reattempt_v1_qa.csv,12,3,2,2,,,,,,,,,,LOW
weather/output/pit_service_rescue_2022_repeat_pair_targeted_hits_v1.csv,12,22,2,1,,,,,,,,,,LOW
weather/output/unified_attempt_chronology_constraint_ledger_v1_qa.csv,12,3,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_sato_required_reattempt_summary_v1.csv,11,2,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_castroneves_first_run_action_v1_qa.csv,10,3,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_repeat_pair_coverage_post_ilott_v1.csv,10,6,2,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_repeat_pair_driver_eligibility_v1.csv,10,9,2,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_result_to_canonical_attempt_matches_v1_qa.csv,10,3,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_secondary_rejected_candidates_v1.csv,10,7,2,1,,,,,,,,,,LOW
weather/output/decision_time_observable_state_v3_qa.csv,10,3,2,2,,,,,,,,,,LOW
weather/output/decision_time_state_v2_input_schema_audit_v1.csv,10,12,2,2,,,,,,,,,,LOW
weather/output/unified_attempt_chronology_constraint_ledger_v2_qa.csv,10,3,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_karam_attempt_identity_audit_v1.csv,9,3,2,2,,,,,,,,,,LOW
weather/output/contemporaneous_decision_state_evidence_ledger_v1_summary.csv,9,2,2,2,,,,,,,,,,LOW
weather/output/decision_time_state_v2_input_audit_v1_qa.csv,9,3,2,2,,,,,,,,,,LOW
weather/output/lane_rescue_2022_repeat_pair_targeted_v1_qa.csv,9,3,2,2,,,,,,,,,,LOW
weather/output/leaderboard_rescue_2022_repeat_pair_targeted_v1_qa.csv,9,3,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_chronology_action_coverage_v2_qa.csv,8,3,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_ilott_precision_archive_targets_summary_v1.csv,8,2,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_ilott_precision_archive_targets_v1_qa.csv,8,3,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_marco_first_attempt_identity_binding_v1_qa.csv,8,3,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_marco_first_attempt_integration_v1_qa.csv,8,3,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_marco_second_attempt_therace_evidence_v1_qa.csv,8,3,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_repeat_pair_final_driver_coverage_v1.csv,8,8,2,1,,,,,,,,,,LOW
weather/output/contemporaneous_decision_state_evidence_ledger_v1_qa.csv,8,3,2,2,,,,,,,,,,LOW
weather/output/leaderboard_rescue_2022_repeat_pair_driver_summary_v1.csv,8,6,2,1,,,,,,,,,,LOW
weather/output/r3c_final_state_action_freeze_v1_qa.csv,8,3,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_derived_attempt_intervals_v1_qa.csv,7,3,2,2,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_karam_attempt_identity_audit_v1_qa.csv,7,3,2,2,,,,,,,,,,LOW
weather/output/decision_time_state_v2_temporal_admissibility_audit_v1_qa.csv,6,3,2,2,,,,,,,,,,LOW
data/canonical/v1/decision_state_features.csv,0,25,2,2,,,,,,,,,,LOW
weather/output/official_lane_queue_live_field_inventory_v1.csv,924,24,1,1,,,,,,,,,,LOW
weather/output/retain_withdraw_target_aware_profiles_v1.csv,840,30,1,1,,,,,,,,,,LOW
weather/output/chronology_evidence_field_inventory_v1.csv,526,4,1,1,,,,,,,,,,LOW
weather/output/decision_robustness_envelope_v1.csv,480,37,1,1,,,,,,,,,,LOW
weather/output/final_integrated_decision_compact_v1.csv,480,24,1,1,,,,,,,,,,LOW
weather/output/final_integrated_decision_profiles_v1.csv,480,60,1,1,,,,,,,,,,LOW
weather/output/retain_withdraw_target_aware_compact_v1.csv,480,19,1,1,,,,,,,,,,LOW
weather/output/attempt_performance_baseline_model_diagnostics_v1.csv,144,8,1,1,,,,,,,,,,LOW
weather/output/attempt_performance_modeling_correlation_audit.csv,120,5,1,1,,,,,,,,,,LOW
weather/output/attempt_performance_modeling_column_audit.csv,118,12,1,1,,,,,,,,,,LOW
weather/output/repeat_attempt_delta_model_coefficients_v1.csv,99,6,1,1,,,,,,,,,,LOW
weather/output/chronology_evidence_source_inventory_v1.csv,73,10,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_editorial_candidates_v1.csv,64,23,1,1,,,,,,,,,,LOW
weather/output/attempt_performance_residual_group_summary_v1.csv,61,10,1,1,,,,,,,,,,LOW
weather/output/attempt_performance_residual_feature_correlations_v1.csv,60,9,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_ilott_ledger_integration_schema_preflight_v1.csv,60,4,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_karam_repeat_evidence_hits_v1.csv,59,15,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_marco_second_run_direct_evidence_hits_v1.csv,59,13,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_marco_repeat_evidence_hits_v1.csv,51,4,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_malukas_repeat_evidence_hits_v1.csv,37,12,1,1,,,,,,,,,,LOW
weather/output/decision_recovery_prior_sensitivity_v1.csv,24,13,1,1,,,,,,,,,,LOW
weather/output/target_aware_loyo_profiles_v1.csv,24,15,1,1,,,,,,,,,,LOW
weather/output/attempt_performance_residual_stability_qa_v1.csv,22,3,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_result_match_v3_dependency_audit_v1.csv,22,8,1,1,,,,,,,,,,LOW
weather/output/attempt_performance_baseline_fold_metrics_v1.csv,20,14,1,1,,,,,,,,,,LOW
weather/output/decision_robustness_envelope_v1_qa.csv,20,3,1,1,,,,,,,,,,LOW
weather/output/final_integrated_decision_output_v1_qa.csv,20,3,1,1,,,,,,,,,,LOW
weather/output/attempt_performance_repeat_delta_context_v1_qa.csv,18,3,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_ilott_paragraph_local_adjudication_v1.csv,18,22,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_ilott_repeat_pair_evidence_v1.csv,18,18,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_ilott_sentence_local_adjudication_v1.csv,18,21,1,1,,,,,,,,,,LOW
weather/output/interruption_rescue_2022_targeted_hits_v1.csv,18,19,1,1,,,,,,,,,,LOW
weather/output/retain_withdraw_decision_semantics_v1_qa.csv,18,3,1,1,,,,,,,,,,LOW
weather/output/attempt_performance_v1_design_qa.csv,17,3,1,1,,,,,,,,,,LOW
weather/output/official_lane_queue_live_resource_recon_v1_qa.csv,17,5,1,1,,,,,,,,,,LOW
weather/output/attempt_performance_baseline_feature_set_v1.csv,16,7,1,1,,,,,,,,,,LOW
weather/output/attempt_performance_baseline_v1_qa.csv,16,3,1,1,,,,,,,,,,LOW
weather/output/r3b4_monte_carlo_performance_decision_envelope_v1_qa.csv,16,3,1,1,,,,,,,,,,LOW
weather/output/retain_withdraw_target_aware_profiles_v1_qa.csv,16,3,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_ilott_repeat_pair_audit_v1.csv,15,2,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_karam_repeat_integration_v1_qa.csv,15,3,1,1,,,,,,,,,,LOW
weather/output/repeat_attempt_delta_baseline_fold_metrics_v1.csv,15,16,1,1,,,,,,,,,,LOW
weather/output/repeat_attempt_delta_baseline_qa_v1.csv,15,3,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_karam_repeat_integration_summary_v1.csv,14,2,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_malukas_repeat_integration_v1_qa.csv,14,3,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_repeat_pair_rescue_completion_v1.csv,14,2,1,1,,,,,,,,,,LOW
weather/output/target_aware_cross_year_robustness_v1_qa.csv,14,3,1,1,,,,,,,,,,LOW
weather/output/attempt_performance_modeling_readiness_summary.csv,13,3,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_editorial_candidate_mining_v1_qa.csv,13,3,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_ilott_autosport_retake_adjudication_v1_qa.csv,13,3,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_ilott_postintegration_coverage_corrected_summary_v1.csv,13,2,1,1,,,,,,,,,,LOW
weather/output/chronology_rescue_2022_ilott_retake_ledger_integration_v1_qa.csv,13,3,1,1,,,,,,,,,,LOW
