year,driver_name,driver_key,car_number,reference_speed_mph,reference_type,reference_priority,source_quality,source_type,source_file,extraction_method,model_role,provenance_note,pdf_position,pdf_lap_time
2023,Simon Pagenaud,simon pagenaud,60,232.595,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,23,00:38.6939
2023,Stefan Wilson,stefan wilson,24,232.57,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,24,00:38.6981
2023,Sting Ray Robb,sting ray robb,51,231.699,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,28,00:38.8435
2023,Takuma Sato,takuma sato,11,233.412,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,r4/evidence/fast_friday/2023_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,CORE_DEVELOPMENT,Official editorial: fastest four-lap qualifying sim average.,,
2023,Tony Kanaan,tony kanaan,66,233.097,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2023_fast_friday_practice5_results.pdf,PDFTOTEXT,CORE_DEVELOPMENT,Deterministically parsed from official Fast Friday session result row.,17,00:38.6106
2023,Will Power,will power,12,233.07,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,r4/evidence/fast_friday/2023_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,CORE_DEVELOPMENT,Official editorial: four-lap qualifying sim average.,,
2024,Agustin Canapino,agustin canapino,78,233.341,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,11,00:38.5702
2024,Alex Palou,alex palou,10,232.135,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,24,00:38.7705
2024,Alexander Rossi,alexander rossi,7,233.355,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,r4/evidence/fast_friday/2024_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,VALIDATION_ONLY,Official editorial: fourth on qualifying sim chart.,,
2024,Callum Ilott,callum ilott,6,233.136,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,14,00:38.6041
2024,Christian Lundgaard,christian lundgaard,45,232.57,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,18,00:38.6981
2024,Christian Rasmussen,christian rasmussen,33,232.038,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,27,00:38.7867
2024,Colton Herta,colton herta,26,234.974,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,1,00:38.3021
2024,Conor Daly,conor daly,24,230.952,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,31,00:38.9692
2024,Ed Carpenter,ed carpenter,20,232.547,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,19,00:38.7018
2024,Felix Rosenqvist,felix rosenqvist,60,233.252,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,12,00:38.5848
2024,Graham Rahal,graham rahal,15,231.236,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,30,00:38.9212
2024,Helio Castroneves,helio castroneves,06,232.495,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,20,00:38.7105
2024,Josef Newgarden,josef newgarden,2,234.063,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,r4/evidence/fast_friday/2024_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,VALIDATION_ONLY,Official editorial: best four-lap qualifying sim average.,,
2024,Katherine Legge,katherine legge,51,230.205,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,33,00:39.0956
2024,Kyffin Simpson,kyffin simpson,4,230.62,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,32,00:39.0253
2024,Kyle Kirkwood,kyle kirkwood,27,233.705,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,8,00:38.5101
2024,Kyle Larson,kyle larson,17,232.549,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,r4/evidence/fast_friday/2024_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,VALIDATION_ONLY,Official editorial: 10th on qualifying sim chart.,,
2024,Linus Lundqvist,linus lundqvist,8,231.844,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,28,00:38.8192
2024,Marco Andretti,marco andretti,98,232.901,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,17,00:38.6430
2024,Marcus Armstrong,marcus armstrong,11,232.105,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,26,00:38.7756
2024,Marcus Ericsson,marcus ericsson,28,232.388,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,22,00:38.7283
2024,Nolan Siegel,nolan siegel,18,229.813,GENERAL_FAST_FRIDAY_BEST_SPEED,1,HIGH,OFFICIAL_RESULTS_PDF,r4/evidence/fast_friday/2024_fast_friday_practice5_results.pdf,PDFTOTEXT,VALIDATION_ONLY,Deterministically parsed from official Fast Friday session result row.,34,00:39.1622
2024,Pato O'Ward,pato o ward,5,233.043,FOUR_LAP_QUALIFYING_SIM,3,VERY_HIGH,OFFICIAL_EDITORIAL_HTML,r4/evidence/fast_friday/2024_fast_friday_official_editorial.html,EXPLICIT_VERIFIED_STATEMENT,VALIDATION_ONLY,Official editorial: fifth on qualifying sim chart.,,
