year,car_number,driver_name,attempt_id,attempt_index,attempt_time_utc,reference_attempt_id,reference_time_utc,reference_speed_mph,observed_speed_mph,residual_vs_first_run_mph,minutes_since_reference,baseline_policy,past_only_eligible
2021,16,Simona De Silvestro,73af9176-8333-59df-915e-2cc1016f64b2,3,2021-05-22T21:50:59+00:00,8f660bff-74bd-551e-9007-95b730f87e7d,2021-05-22T18:26:36+00:00,228.173000,228.013000,-0.160000,204.383,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2021,18,Ed Jones,4085390f-e83a-5315-8def-464aeb920059,2,2021-05-22T21:07:57+00:00,4e9e7c88-ddeb-5840-93be-4f539f6eaf04,2021-05-22T16:19:56+00:00,230.246000,231.044000,0.798000,288.017,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2021,2,Josef Newgarden,2493785c-dc47-5ba6-8d28-5398e7a11983,2,2021-05-22T18:44:56+00:00,c4c9ba22-d28c-5937-b36c-72fffbbb67b5,2021-05-22T16:39:06+00:00,230.049000,230.071000,0.022000,125.833,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2021,21,Rinus VeeKay,c10dbae2-ca30-5e09-88ab-298fcf7fa163,2,2021-05-22T18:49:55+00:00,407a503c-1695-5af6-9b88-28e9d802c8d1,2021-05-22T16:43:16+00:00,230.841000,231.483000,0.642000,126.650,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2021,25,Stefan Wilson,09935cc4-f542-569f-b50c-7460e0663860,2,2021-05-22T19:06:36+00:00,8c31470a-6324-527c-bfc3-fe19d8c1dc4d,2021-05-22T16:29:56+00:00,229.714000,229.694000,-0.020000,156.667,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2021,25,Stefan Wilson,8ac7badc-828c-5c70-bbf4-d92f136c2564,3,2021-05-22T21:12:26+00:00,8c31470a-6324-527c-bfc3-fe19d8c1dc4d,2021-05-22T16:29:56+00:00,229.714000,229.632000,-0.082000,282.500,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2021,26,Colton Herta,90108456-7f40-5313-a9ff-43273b65d2f0,2,2021-05-22T20:25:16+00:00,e9da8645-6367-51bf-8601-3670e9e76c5e,2021-05-22T18:12:27+00:00,231.648000,230.229000,-1.419000,132.817,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2021,4,Dalton Kellett,a5d8e516-48e0-58b8-ac13-213c753fc12d,2,2021-05-22T21:46:39+00:00,099ab32a-d351-5011-931c-148b9f3d7921,2021-05-22T17:44:56+00:00,229.250000,228.323000,-0.927000,241.717,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2021,47,Conor Daly,fb947c1e-3d51-506f-bbbc-12ecbcdce5da,2,2021-05-22T19:55:55+00:00,11be8bd4-5c39-5bd2-b24f-b6c87f0d885a,2021-05-22T17:49:06+00:00,230.427000,230.273000,-0.154000,126.817,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2021,60,Jack Harvey,8ff02437-bce9-5d86-b3c7-906d93963538,2,2021-05-22T19:02:24+00:00,7d5d82b7-9765-51c9-b149-cb7de00d3905,2021-05-22T17:58:16+00:00,225.496000,230.191000,4.695000,64.133,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2021,7,Felix Rosenqvist,595096e7-98a7-552c-a5f8-f2f3eeb54d68,2,2021-05-22T21:21:31+00:00,4bfd7a23-3f35-5bcf-9655-c286d7ee30ed,2021-05-22T17:35:46+00:00,230.498000,230.744000,0.246000,225.750,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2021,86,Juan Pablo Montoya,f39f497a-d8a0-55e6-8bd1-ef646a4f6e71,2,2021-05-22T21:02:45+00:00,11bd473d-0cf3-56e2-9aa9-fb4487870c59,2021-05-22T17:11:36+00:00,229.891000,229.737000,-0.154000,231.150,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2021,98,Marco Andretti,b671a083-ccd6-5511-a882-53e7bf202c19,2,2021-05-22T18:54:55+00:00,c2deab22-d3a0-5601-80f8-4cbf631c8f88,2021-05-22T16:05:46+00:00,229.261000,229.872000,0.611000,169.150,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2021,98,Marco Andretti,cb6ab391-510a-562a-a1bc-a173959477a0,3,2021-05-22T21:25:30+00:00,c2deab22-d3a0-5601-80f8-4cbf631c8f88,2021-05-22T16:05:46+00:00,229.261000,229.870000,0.609000,319.733,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2023,11,Takuma Sato,dd0ff96a-0d57-5ba5-8691-ebf2359edec4,2,2023-05-20T19:48:58+00:00,55b6b39a-d64a-5a38-9dbc-84a9faac294b,2023-05-20T16:51:32+00:00,232.857000,233.322000,0.465000,177.433,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
2023,27,Kyle Kirkwood,f9f206a7-b2ab-5eb9-8805-0d279c65164d,2,2023-05-20T19:17:10+00:00,dda33fdd-49c8-5082-a03d-252bf1a6fa49,2023-05-20T17:14:58+00:00,232.390000,232.617000,0.227000,122.200,SAME_DAY_FIRST_USABLE_COMPLETE_POINT_TIMED_RUN,True
