file,column,nonempty_rows,numeric_fraction,numeric_unique,numeric_min,numeric_max,datetime_fraction,sample_1,sample_2,sample_3
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,session_date,168,0.0,0,,,1.0,2020-08-15,2021-05-22,2022-05-21
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,local_time,168,0.0,0,,,1.0,08:15:00,08:30:00,08:45:00
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,timezone_name,168,0.0,0,,,0.0,America/Indiana/Indianapolis,,
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,local_datetime,168,0.0,0,,,1.0,2020-08-15 08:15:00-04:00,2020-08-15 08:30:00-04:00,2020-08-15 08:45:00-04:00
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,utc_datetime,168,0.0,0,,,1.0,2020-08-15 12:15:00+00:00,2020-08-15 12:30:00+00:00,2020-08-15 12:45:00+00:00
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,utc_offset_hours,168,1.0,1,-4.0,-4.0,0.0,-4.0,,
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,source_sheet,168,0.0,0,,,0.0,2020 Temp Archive,2021 Temp Archive,2022 Temp Archive
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,source_row_index,168,1.0,121,325.0,501.0,0.0,325,326,327
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,source_block_occurrence,168,1.0,1,1.0,1.0,0.0,1,,
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,ambient_f,168,1.0,32,55.0,90.0,0.0,70.0,71.0,72.0
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,ambient_c,168,1.0,32,12.77777777777778,32.22222222222222,0.0,21.11111111111111,21.666666666666668,22.22222222222222
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,track_f,168,1.0,58,65.0,130.0,0.0,80.0,81.0,82.0
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,track_c,168,1.0,58,18.333333333333332,54.44444444444444,0.0,26.666666666666668,27.22222222222222,27.77777777777778
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,humidity,168,1.0,47,0.37,0.95,0.0,0.87,0.85,0.82
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,wind_raw,168,1.0,15,0.0,14.0,0.0,0.0,4.0,2.0
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,wind,168,1.0,15,0.0,14.0,0.0,0.0,4.0,2.0
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,wind_direction,168,0.0,0,,,0.0,E,SE,ESE
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,pressure_raw,168,1.0,36,29.08,239.13,0.0,29.17,29.16,29.18
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,pressure,167,1.0,35,29.08,29.63,0.0,29.17,29.16,29.18
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,pressure_quality,168,0.0,0,,,0.0,VALID,SOURCE_VALUE_OUT_OF_RANGE,
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,sensor_1_name,168,0.0,0,,,0.0,SF,T1T,I2
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,sensor_1_f,168,1.0,131,67.1,133.7,0.0,79.0,80.6,83.3
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,sensor_2_name,168,0.0,0,,,0.0,I6,T2T,I3T
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,sensor_2_f,168,1.0,129,58.5,131.9,0.0,77.9,78.1,78.3
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,sensor_3_name,168,0.0,0,,,0.0,I10,T3,I5
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,sensor_3_f,168,1.0,132,61.7,134.2,0.0,79.0,79.3,80.4
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,sensor_4_name,168,0.0,0,,,0.0,I15,T4T,I6
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,sensor_4_f,168,1.0,127,70.9,137.1,0.0,82.9,85.3,87.3
weather/evidence/ptsc/indy500_day1_track_temp_2020_2024_time_normalized.csv,sensor_avg_f,168,1.0,161,64.57499999999999,130.22500000000002,0.0,79.7,80.825,82.325
weather/output/performance_grade_attempt_realized_environment.csv,attempt_id,129,0.0,0,,,0.0,16cb7863-a6d0-5895-93e4-a76ac2c6c71f,a6295479-1996-5baa-b116-ab56a03c118d,e132bf44-6808-5d6b-819c-a993af279439
weather/output/performance_grade_attempt_realized_environment.csv,session_id,129,0.0,0,,,0.0,INDY500_DAY1_2020,INDY500_DAY1_2021,INDY500_DAY1_2023
weather/output/performance_grade_attempt_realized_environment.csv,year,129,1.0,3,2020.0,2023.0,0.0,2020,2021,2023
weather/output/performance_grade_attempt_realized_environment.csv,entry_key,129,0.0,0,,,0.0,INDY500_DAY1_2020|CAR_15|1,INDY500_DAY1_2020|CAR_41|1,INDY500_DAY1_2020|CAR_21|1
weather/output/performance_grade_attempt_realized_environment.csv,attempt_key,129,0.0,0,,,0.0,INDY500_DAY1_2020|INDY500_DAY1_2020|CAR_15|1|1,INDY500_DAY1_2020|INDY500_DAY1_2020|CAR_41|1|1,INDY500_DAY1_2020|INDY500_DAY1_2020|CAR_21|1|1
weather/output/performance_grade_attempt_realized_environment.csv,car_number,129,1.0,45,1.0,98.0,0.0,15,41,21
weather/output/performance_grade_attempt_realized_environment.csv,driver_name,129,0.0,0,,,0.0,Graham Rahal,Dalton Kellett,Rinus VeeKay
weather/output/performance_grade_attempt_realized_environment.csv,car_attempt_index,129,1.0,4,1.0,4.0,0.0,1,2,3
weather/output/performance_grade_attempt_realized_environment.csv,mapped_capture_event_id,129,0.0,0,,,0.0,fc2ec283-1fae-5875-b76e-f15fec26ba5c,3eb50eaa-f725-558e-82b6-a70978c6e36c,fe8b5729-7461-527b-8baa-098dc442bf89
weather/output/performance_grade_attempt_realized_environment.csv,mapped_capture_time_utc,129,0.0,0,,,1.0,2020-08-15T15:00:45Z,2020-08-15T15:11:35Z,2020-08-15T15:16:35Z
weather/output/performance_grade_attempt_realized_environment.csv,timing_class,129,0.0,0,,,0.0,PERFORMANCE_GRADE_SEQUENCE_MATCH,,
weather/output/performance_grade_attempt_realized_environment.csv,timing_basis,129,0.0,0,,,0.0,WITHIN_CAR_SEQUENCE_COUNT_MATCH,,
weather/output/performance_grade_attempt_realized_environment.csv,calibration_status,129,0.0,0,,,0.0,VALIDATED_RULE,,
weather/output/performance_grade_attempt_realized_environment.csv,calibration_reference,129,0.0,0,,,0.0,2021_54_OF_54_EXACT_SEQUENCE_REPRODUCTION,,
weather/output/performance_grade_attempt_realized_environment.csv,performance_alignment_usable,129,0.0,0,,,0.0,True,,
weather/output/performance_grade_attempt_realized_environment.csv,chronology_usable,129,0.0,0,,,0.0,False,,
weather/output/performance_grade_attempt_realized_environment.csv,queue_replay_usable,129,0.0,0,,,0.0,False,,
weather/output/performance_grade_attempt_realized_environment.csv,environment_time_semantic,129,0.0,0,,,0.0,RECORDER_CAPTURE_AS_PERFORMANCE_GRADE_APPROXIMATION,,
weather/output/performance_grade_attempt_realized_environment.csv,max_interpolation_gap_minutes,129,1.0,1,30.0,30.0,0.0,30.0,,
weather/output/performance_grade_attempt_realized_environment.csv,ptsc_alignment_status,129,0.0,0,,,0.0,LINEAR_INTERPOLATION,EXACT_PTSC_OBSERVATION,OUTSIDE_PTSC_COVERAGE
weather/output/performance_grade_attempt_realized_environment.csv,ptsc_before_utc,127,0.0,0,,,1.0,2020-08-15T15:00:00+00:00,2020-08-15T15:15:00+00:00,2020-08-15T15:30:00+00:00
weather/output/performance_grade_attempt_realized_environment.csv,ptsc_after_utc,127,0.0,0,,,1.0,2020-08-15T15:15:00+00:00,2020-08-15T15:30:00+00:00,2020-08-15T15:45:00+00:00
weather/output/performance_grade_attempt_realized_environment.csv,ptsc_gap_minutes,127,1.0,3,0.0,15.0,0.0,15.0,0.0,5.0
weather/output/performance_grade_attempt_realized_environment.csv,ptsc_ambient_c,127,1.0,72,16.666666666666668,32.098765432098766,0.0,26.666666666666668,26.72530864197531,26.87962962962963
weather/output/performance_grade_attempt_realized_environment.csv,ptsc_track_c,127,1.0,110,32.29012345679013,54.44444444444444,0.0,38.38888888888889,39.191358024691354,39.56172839506173
weather/output/performance_grade_attempt_realized_environment.csv,ptsc_humidity,127,1.0,105,0.37,0.669,0.0,0.669,0.6545555555555556,0.6489444444444444
weather/output/performance_grade_attempt_realized_environment.csv,ptsc_wind,127,1.0,99,0.0,13.511111111111111,0.0,0.95,0.22777777777777775,0.4222222222222222
weather/output/performance_grade_attempt_realized_environment.csv,ptsc_pressure,127,1.0,54,29.113888888888887,29.608933333333333,0.0,29.17,29.17327777777778,29.17661111111111
weather/output/performance_grade_attempt_realized_environment.csv,ptsc_sensor_1_f,127,1.0,124,94.37466666666667,132.665,0.0,107.345,109.43944444444445,110.4061111111111
weather/output/performance_grade_attempt_realized_environment.csv,ptsc_sensor_2_f,127,1.0,126,68.39422222222223,131.57777777777778,0.0,80.115,80.33166666666666,80.44222222222223
weather/output/performance_grade_attempt_realized_environment.csv,ptsc_sensor_3_f,127,1.0,125,91.686,133.03333333333333,0.0,102.74,104.76222222222222,105.72722222222222
weather/output/performance_grade_attempt_realized_environment.csv,ptsc_sensor_4_f,127,1.0,125,95.54266666666666,134.41666666666666,0.0,112.955,115.19388888888889,116.16388888888889
weather/output/performance_grade_attempt_realized_environment.csv,ptsc_sensor_avg_f,127,1.0,127,90.16305555555556,129.86944444444444,0.0,100.78875,102.43180555555556,103.18486111111112
weather/output/performance_context_features.csv,attempt_id,136,0.0,0,,,0.0,16cb7863-a6d0-5895-93e4-a76ac2c6c71f,a6295479-1996-5baa-b116-ab56a03c118d,e132bf44-6808-5d6b-819c-a993af279439
weather/output/performance_context_features.csv,session_id,136,0.0,0,,,0.0,INDY500_DAY1_2020,INDY500_DAY1_2021,INDY500_DAY1_2023
weather/output/performance_context_features.csv,entry_key,136,0.0,0,,,0.0,INDY500_DAY1_2020|CAR_15|1,INDY500_DAY1_2020|CAR_41|1,INDY500_DAY1_2020|CAR_21|1
weather/output/performance_context_features.csv,attempt_key,132,0.0,0,,,0.0,INDY500_DAY1_2020|INDY500_DAY1_2020|CAR_15|1|1,INDY500_DAY1_2020|INDY500_DAY1_2020|CAR_41|1|1,INDY500_DAY1_2020|INDY500_DAY1_2020|CAR_21|1|1
weather/output/performance_context_features.csv,car_number,136,1.0,45,1.0,98.0,0.0,15,41,21
weather/output/performance_context_features.csv,driver_name,136,0.0,0,,,0.0,Graham Rahal,Dalton Kellett,Rinus VeeKay
weather/output/performance_context_features.csv,car_attempt_index,132,1.0,4,1.0,4.0,0.0,1.0,2.0,3.0
weather/output/performance_context_features.csv,performance_time_utc,136,0.0,0,,,1.0,2020-08-15T15:00:45Z,2020-08-15T15:11:35Z,2020-08-15T15:16:35Z
weather/output/performance_context_features.csv,performance_time_semantic,136,0.0,0,,,0.0,APPROXIMATE_RECORDER_CAPTURE_PERFORMANCE_ALIGNMENT,,
weather/output/performance_context_features.csv,performance_timing_source,136,0.0,0,,,0.0,PERFORMANCE_GRADE_2020_2021_2023,PERFORMANCE_GRADE_2024_SUPPORTED,
weather/output/performance_context_features.csv,timing_class,136,0.0,0,,,0.0,PERFORMANCE_GRADE_SEQUENCE_MATCH,UNIQUE_SINGLETON_CAPTURE_MATCH,EXISTING_CONSTRAINED_SEQUENCE_LINK
weather/output/performance_context_features.csv,timing_basis,136,0.0,0,,,0.0,WITHIN_CAR_SEQUENCE_COUNT_MATCH,ONE_CANONICAL_ONE_CAPTURE_SAME_CAR,EXISTING_2024_CONSTRAINED_CAPTURE_LINK
weather/output/performance_context_features.csv,attempt_class,136,0.0,0,,,0.0,A_COMPLETE,B_PARTIAL_COMPLETE_LAPS,
weather/output/performance_context_features.csv,result_status,136,0.0,0,,,0.0,VALID_RETAINED,UNKNOWN,WITHDRAWN
weather/output/performance_context_features.csv,result_counted_at_session_end,123,0.0,0,,,0.0,True,False,
weather/output/performance_context_features.csv,four_lap_total_seconds,123,1.0,122,154.0053,162.936,0.0,155.9641,157.288,155.7674
weather/output/performance_context_features.csv,four_lap_average_speed_mph,123,1.0,122,220.946,233.758,0.0,230.822,228.88,231.114
weather/output/performance_context_features.csv,prior_supported_attempt_count,136,1.0,4,0.0,3.0,0.0,0,1,2
weather/output/performance_context_features.csv,most_recent_supported_attempt_time_utc,53,0.0,0,,,1.0,2020-08-15T15:20:45Z,2020-08-15T15:25:45Z,2020-08-15T15:39:55Z
weather/output/performance_context_features.csv,seconds_since_prior_supported_attempt,53,1.0,50,1246.0,17281.0,0.0,9300.0,8800.0,7400.0
weather/output/performance_context_features.csv,prior_supported_attempt_average_speed_mph,53,1.0,52,220.946,232.962,0.0,229.861,231.094,230.296
weather/output/performance_context_features.csv,prior_supported_attempt_total_seconds,53,1.0,52,154.5316,162.936,0.0,156.6161,155.7809,156.3203
weather/output/performance_context_features.csv,best_prior_supported_average_speed_mph,53,1.0,48,220.946,232.962,0.0,229.861,231.094,230.296
weather/output/performance_context_features.csv,best_prior_supported_total_seconds,53,1.0,48,154.5316,162.936,0.0,156.6161,155.7809,156.3203
weather/output/performance_context_features.csv,speed_change_vs_prior_supported_attempt_mph,40,1.0,39,-1.4189999999999827,4.694999999999993,0.0,-0.103999999999985,-0.04099999999999682,0.09399999999999409
weather/output/performance_context_features.csv,speed_change_vs_best_prior_supported_mph,40,1.0,39,-1.4189999999999827,4.694999999999993,0.0,-0.103999999999985,-0.04099999999999682,0.09399999999999409
weather/output/performance_context_features.csv,performance_alignment_usable,136,0.0,0,,,0.0,True,,
weather/output/performance_context_features.csv,decision_state_usable,136,0.0,0,,,0.0,False,,
weather/output/performance_context_features.csv,leaderboard_state_complete,136,0.0,0,,,0.0,False,,
weather/output/performance_context_features.csv,queue_state_available,136,0.0,0,,,0.0,False,,
weather/output/performance_context_features.csv,derivation_rule_version,136,0.0,0,,,0.0,PERFORMANCE_CONTEXT_V1,,
weather/output/performance_context_features.csv,forecast_selection_class,136,0.0,0,,,0.0,LATEST_AVAILABLE_ISSUE_SAME_CYCLE_VALID_TIME_INTERPOLATION,,
weather/output/performance_context_features.csv,availability_lag_minutes,136,1.0,1,90.0,90.0,0.0,90,,
weather/output/performance_context_features.csv,availability_policy_id,136,0.0,0,,,0.0,HRRR_CONSERVATIVE_FIXED_LAG_V1,,
weather/output/performance_context_features.csv,availability_policy_hash,136,0.0,0,,,0.0,7fa0a02223a77db591539cf42bdd4e9461df15bf4a9de77dfd5360c3deac89c6,,
weather/output/performance_context_features.csv,selected_issue_time_utc,136,0.0,0,,,1.0,2020-08-15T13:00:00Z,2020-08-15T14:00:00Z,2020-08-15T15:00:00Z
weather/output/performance_context_features.csv,selected_issue_age_minutes,136,1.0,128,90.21666666666668,149.93333333333334,0.0,120.75,131.58333333333334,136.58333333333334
weather/output/performance_context_features.csv,before_forecast_snapshot_id,136,0.0,0,,,0.0,839bec70-f1c1-5169-88d6-a81c795b3fdd,b64f2781-c6bc-5450-818e-4ba180d8cae3,bcf4cb70-3078-5db0-a63d-6eff547f92bb
weather/output/performance_context_features.csv,after_forecast_snapshot_id,136,0.0,0,,,0.0,0bb6ba04-bd88-5607-b794-787f772834dd,bcf4cb70-3078-5db0-a63d-6eff547f92bb,56465e5d-e6f9-592c-b6f3-ccb479ead5a3
weather/output/performance_context_features.csv,before_valid_time_utc,136,0.0,0,,,1.0,2020-08-15T15:00:00Z,2020-08-15T16:00:00Z,2020-08-15T17:00:00Z
weather/output/performance_context_features.csv,after_valid_time_utc,136,0.0,0,,,1.0,2020-08-15T16:00:00Z,2020-08-15T17:00:00Z,2020-08-15T18:00:00Z
weather/output/performance_context_features.csv,before_forecast_lead_hours,136,1.0,2,1.0,2.0,0.0,2.0,1.0,
weather/output/performance_context_features.csv,after_forecast_lead_hours,136,1.0,2,2.0,3.0,0.0,3.0,2.0,
weather/output/performance_context_features.csv,before_valid_offset_minutes,136,1.0,128,-59.083333333333336,-0.75,0.0,-0.75,-11.583333333333334,-16.583333333333332
weather/output/performance_context_features.csv,after_valid_offset_minutes,136,1.0,128,0.9166666666666666,59.25,0.0,59.25,48.416666666666664,43.416666666666664
weather/output/performance_context_features.csv,interpolation_weight_after,136,1.0,128,0.0125,0.9847222222222224,0.0,0.0125,0.1930555555555555,0.2763888888888889
weather/output/performance_context_features.csv,forecast_available_before_target,136,0.0,0,,,0.0,True,,
weather/output/performance_context_features.csv,forecast_available_after_target,136,0.0,0,,,0.0,True,,
weather/output/performance_context_features.csv,leakage_safe,136,0.0,0,,,0.0,True,,
weather/output/performance_context_features.csv,forecast_DPT_2m,136,1.0,136,278.8874026489258,293.1075783199734,0.0,292.4118171691895,292.35249523586697,292.32511588202584
weather/output/performance_context_features.csv,forecast_DPT_2m_before,136,1.0,38,278.40879821777344,293.4171447753906,0.0,292.4159240722656,293.4171447753906,292.88519287109375
weather/output/performance_context_features.csv,forecast_DPT_2m_after,136,1.0,38,278.6872863769531,292.88519287109375,0.0,292.0873718261719,292.88519287109375,292.07159423828125
weather/output/performance_context_features.csv,forecast_DPT_2m_interpolation_method,136,0.0,0,,,0.0,LINEAR,,
weather/output/performance_context_features.csv,forecast_DSWRF_surface,136,1.0,136,389.2076666666667,993.6661111111111,0.0,683.1475,708.3891666666667,720.0391666666667
weather/output/performance_context_features.csv,forecast_DSWRF_surface_before,136,1.0,37,370.8,1004.0,0.0,681.4000000000001,689.5,814.1
weather/output/performance_context_features.csv,forecast_DSWRF_surface_after,136,1.0,37,440.0,995.0,0.0,821.2,814.1,894.0
weather/output/performance_context_features.csv,forecast_DSWRF_surface_interpolation_method,136,0.0,0,,,0.0,LINEAR,,
weather/output/performance_context_features.csv,forecast_GUST_surface,136,1.0,136,0.9802980591129096,8.150510488955511,0.0,1.887120992038399,1.8230235740025011,1.793440150293625
weather/output/performance_context_features.csv,forecast_GUST_surface_before,136,1.0,38,1.0064310133457184,8.187657326459885,0.0,1.8915585055947304,2.873952891677618,1.9102070331573489
weather/output/performance_context_features.csv,forecast_GUST_surface_after,136,1.0,38,0.9525177553296088,8.217698335647583,0.0,1.536557421088219,1.9102070331573489,1.3974832147359848
weather/output/performance_context_features.csv,forecast_GUST_surface_interpolation_method,136,0.0,0,,,0.0,LINEAR,,
weather/output/performance_context_features.csv,forecast_PRES_surface,136,1.0,128,98514.375,100168.71666666666,0.0,98808.5,98786.83333333331,98776.83333333331
weather/output/performance_context_features.csv,forecast_PRES_surface_before,136,1.0,30,98520.0,100170.0,0.0,98810.0,98730.0,98680.0
weather/output/performance_context_features.csv,forecast_PRES_surface_after,136,1.0,32,98510.0,100170.0,0.0,98690.0,98680.0,98700.0
weather/output/performance_context_features.csv,forecast_PRES_surface_interpolation_method,136,0.0,0,,,0.0,LINEAR,,
weather/output/performance_context_features.csv,forecast_TCDC_atmosphere,136,1.0,56,0.0,100.0,0.0,0.0,100.0,62.992222222222225
weather/output/performance_context_features.csv,forecast_TCDC_atmosphere_before,136,1.0,16,0.0,100.0,0.0,0.0,100.0,24.0
weather/output/performance_context_features.csv,forecast_TCDC_atmosphere_after,136,1.0,15,0.0,100.0,0.0,0.0,100.0,27.0
weather/output/performance_context_features.csv,forecast_TCDC_atmosphere_interpolation_method,136,0.0,0,,,0.0,LINEAR,,
weather/output/performance_context_features.csv,forecast_TMP_2m,136,1.0,136,288.4593473646376,304.48825030856665,0.0,298.6050968170166,298.87743441263837,299.0031286875407
weather/output/performance_context_features.csv,forecast_TMP_2m_before,136,1.0,38,287.9647216796875,304.29296875,0.0,298.58624267578125,298.697021484375,300.27325439453125
weather/output/performance_context_features.csv,forecast_TMP_2m_after,136,1.0,38,289.18267822265625,304.77056884765625,0.0,300.0945739746094,300.27325439453125,301.8026123046875
weather/output/performance_context_features.csv,forecast_TMP_2m_interpolation_method,136,0.0,0,,,0.0,LINEAR,,
weather/output/performance_context_features.csv,forecast_UGRD_10m,136,1.0,136,-2.062425106101566,3.494626746707492,0.0,0.3889517784118652,0.2987993558247883,0.2571905453999836
weather/output/performance_context_features.csv,forecast_UGRD_10m_before,136,1.0,38,-1.8584556579589844,3.4721555709838867,0.0,0.3951930999755859,0.1957111358642578,-0.3987894058227539
weather/output/performance_context_features.csv,forecast_UGRD_10m_after,136,1.0,38,-2.085158348083496,3.777409553527832,0.0,-0.1041126251220703,-0.3987894058227539,-0.7665939331054688
weather/output/performance_context_features.csv,forecast_UGRD_10m_interpolation_method,136,0.0,0,,,0.0,LINEAR,,
weather/output/performance_context_features.csv,forecast_VGRD_10m,136,1.0,136,-5.769024948543972,2.6741287083095973,0.0,-0.5163923740386963,-0.5418305238087971,-0.5535712083180746
weather/output/performance_context_features.csv,forecast_VGRD_10m_before,136,1.0,38,-5.7960309982299805,2.69472599029541,0.0,-0.5146312713623047,-0.8174057006835938,-0.8800067901611328
weather/output/performance_context_features.csv,forecast_VGRD_10m_after,136,1.0,38,-5.846250534057617,2.69472599029541,0.0,-0.6555194854736328,-0.8800067901611328,-0.3196668624877929
weather/output/performance_context_features.csv,forecast_VGRD_10m_interpolation_method,136,0.0,0,,,0.0,LINEAR,,
weather/output/performance_context_features.csv,forecast_cloud_cover_pct,136,1.0,56,0.0,100.0,0.0,0.0,100.0,62.992222222222225
weather/output/performance_context_features.csv,forecast_cloud_cover_pct_before,136,1.0,16,0.0,100.0,0.0,0.0,100.0,24.0
weather/output/performance_context_features.csv,forecast_cloud_cover_pct_after,136,1.0,15,0.0,100.0,0.0,0.0,100.0,27.0
weather/output/performance_context_features.csv,forecast_cloud_cover_pct_interpolation_method,136,0.0,0,,,0.0,LINEAR,,
weather/output/performance_context_features.csv,forecast_dewpoint_c,136,1.0,136,5.737402648925804,19.95757831997344,0.0,19.261817169189477,19.20249523586699,19.17511588202585
weather/output/performance_context_features.csv,forecast_dewpoint_c_before,136,1.0,38,5.25879821777346,20.267144775390648,0.0,19.265924072265648,20.267144775390648,19.735192871093773
weather/output/performance_context_features.csv,forecast_dewpoint_c_after,136,1.0,38,5.537286376953148,19.735192871093773,0.0,18.937371826171898,19.735192871093773,18.921594238281273
weather/output/performance_context_features.csv,forecast_dewpoint_c_interpolation_method,136,0.0,0,,,0.0,LINEAR,,
weather/output/performance_context_features.csv,forecast_gust_ms,136,1.0,136,0.9802980591129096,8.150510488955511,0.0,1.887120992038399,1.8230235740025011,1.793440150293625
weather/output/performance_context_features.csv,forecast_gust_ms_before,136,1.0,38,1.0064310133457184,8.187657326459885,0.0,1.8915585055947304,2.873952891677618,1.9102070331573489
weather/output/performance_context_features.csv,forecast_gust_ms_after,136,1.0,38,0.9525177553296088,8.217698335647583,0.0,1.536557421088219,1.9102070331573489,1.3974832147359848
weather/output/performance_context_features.csv,forecast_gust_ms_interpolation_method,136,0.0,0,,,0.0,LINEAR,,
weather/output/performance_context_features.csv,forecast_pressure_hpa,136,1.0,128,985.14375,1001.6871666666668,0.0,988.085,987.8683333333332,987.7683333333332
weather/output/performance_context_features.csv,forecast_pressure_hpa_before,136,1.0,30,985.2,1001.7,0.0,988.1,987.3,986.8
weather/output/performance_context_features.csv,forecast_pressure_hpa_after,136,1.0,32,985.1,1001.7,0.0,986.9,986.8,987.0
