year,event_id,session_id,session_name,target_last_chance,first_driver_id_seen,first_driver_name_seen,drivers_exposing_session,drivers_exposing_count
2023,5431,6202,Qualifications - Day 1,False,3608,Marco Andretti,Agustin Canapino;Alex Palou;Alexander Rossi;Benjamin Pedersen;Callum Ilott;Christian Lundgaard;Colton Herta;Conor Daly;David Malukas;Devlin DeFrancesco;Ed Carpenter;Felix Rosenqvist;Graham Rahal;Helio Castroneves;Jack Harvey;Josef Newgarden;Katherine Legge;Kyle Kirkwood;Marco Andretti;Marcus Ericsson;Pato O'Ward;RC Enerson;Rinus VeeKay;Romain Grosjean;Ryan Hunter-Reay;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Simon Pagenaud;Sting Ray Robb;Takuma Sato;Tony Kanaan;Will Power,33
2023,5431,6206,Qualifications - Firestone Fast 6,False,3628,Scott Dixon,Alex Palou;Felix Rosenqvist;Pato O'Ward;Rinus VeeKay;Santino Ferrucci;Scott Dixon,6
2023,5431,6205,Qualifications - Last Chance,True,4505,Jack Harvey,Christian Lundgaard;Graham Rahal;Jack Harvey;Sting Ray Robb,4
2023,5431,6204,Qualifications - Top-12,False,3628,Scott Dixon,Alex Palou;Alexander Rossi;Benjamin Pedersen;Felix Rosenqvist;Marcus Ericsson;Pato O'Ward;Rinus VeeKay;Santino Ferrucci;Scott Dixon;Takuma Sato;Tony Kanaan;Will Power,12
2023,5431,6135,Race,False,3608,Marco Andretti,Agustin Canapino;Alex Palou;Alexander Rossi;Benjamin Pedersen;Callum Ilott;Christian Lundgaard;Colton Herta;Conor Daly;David Malukas;Devlin DeFrancesco;Ed Carpenter;Felix Rosenqvist;Graham Rahal;Helio Castroneves;Jack Harvey;Josef Newgarden;Katherine Legge;Kyle Kirkwood;Marco Andretti;Marcus Ericsson;Pato O'Ward;RC Enerson;Rinus VeeKay;Romain Grosjean;Ryan Hunter-Reay;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Simon Pagenaud;Sting Ray Robb;Takuma Sato;Tony Kanaan;Will Power,33
2024,5465,6388,Final Practice (Carb Day),False,3608,Marco Andretti,Agustin Canapino;Alex Palou;Alexander Rossi;Callum Ilott;Christian Lundgaard;Christian Rasmussen;Colton Herta;Conor Daly;Ed Carpenter;Felix Rosenqvist;Graham Rahal;Helio Castroneves;Josef Newgarden;Katherine Legge;Kyffin Simpson;Kyle Kirkwood;Kyle Larson;Linus Lundqvist;Marco Andretti;Marcus Armstrong;Marcus Ericsson;Pato O'Ward;Pietro Fittipaldi;Rinus VeeKay;Romain Grosjean;Ryan Hunter-Reay;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Sting Ray Robb;Takuma Sato;Tom Blomqvist;Will Power,33
2024,5465,6375,Practice 1,False,3608,Marco Andretti,Agustin Canapino;Alexander Rossi;Callum Ilott;Christian Lundgaard;Christian Rasmussen;Colton Herta;Conor Daly;Ed Carpenter;Felix Rosenqvist;Graham Rahal;Helio Castroneves;Josef Newgarden;Kyle Kirkwood;Kyle Larson;Marco Andretti;Marcus Ericsson;Nolan Siegel;Pato O'Ward;Pietro Fittipaldi;Rinus VeeKay;Romain Grosjean;Ryan Hunter-Reay;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Sting Ray Robb;Takuma Sato;Tom Blomqvist;Will Power,29
2024,5465,6378,Practice 3,False,3608,Marco Andretti,Agustin Canapino;Alex Palou;Alexander Rossi;Callum Ilott;Christian Lundgaard;Christian Rasmussen;Colton Herta;Conor Daly;Ed Carpenter;Felix Rosenqvist;Graham Rahal;Helio Castroneves;Josef Newgarden;Katherine Legge;Kyffin Simpson;Kyle Kirkwood;Kyle Larson;Linus Lundqvist;Marco Andretti;Marcus Armstrong;Marcus Ericsson;Nolan Siegel;Pato O'Ward;Pietro Fittipaldi;Rinus VeeKay;Romain Grosjean;Ryan Hunter-Reay;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Sting Ray Robb;Takuma Sato;Tom Blomqvist;Will Power,34
2024,5465,6379,Practice 4,False,3608,Marco Andretti,Agustin Canapino;Alex Palou;Alexander Rossi;Callum Ilott;Christian Lundgaard;Christian Rasmussen;Colton Herta;Conor Daly;Ed Carpenter;Felix Rosenqvist;Graham Rahal;Helio Castroneves;Josef Newgarden;Katherine Legge;Kyffin Simpson;Kyle Kirkwood;Kyle Larson;Linus Lundqvist;Marco Andretti;Marcus Armstrong;Marcus Ericsson;Nolan Siegel;Pato O'Ward;Pietro Fittipaldi;Rinus VeeKay;Romain Grosjean;Ryan Hunter-Reay;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Sting Ray Robb;Takuma Sato;Tom Blomqvist;Will Power,34
2024,5465,6380,Practice 5,False,3608,Marco Andretti,Agustin Canapino;Alex Palou;Alexander Rossi;Callum Ilott;Christian Lundgaard;Christian Rasmussen;Colton Herta;Conor Daly;Ed Carpenter;Felix Rosenqvist;Graham Rahal;Helio Castroneves;Josef Newgarden;Katherine Legge;Kyffin Simpson;Kyle Kirkwood;Kyle Larson;Linus Lundqvist;Marco Andretti;Marcus Armstrong;Marcus Ericsson;Nolan Siegel;Pato O'Ward;Pietro Fittipaldi;Rinus VeeKay;Romain Grosjean;Ryan Hunter-Reay;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Sting Ray Robb;Takuma Sato;Tom Blomqvist;Will Power,34
2024,5465,6381,Practice 6,False,4948,Marcus Armstrong,Alex Palou;Conor Daly;Katherine Legge;Kyffin Simpson;Linus Lundqvist;Marcus Armstrong;Nolan Siegel;Romain Grosjean;Scott Dixon,9
2024,5465,6383,Practice 7,False,4905,Marcus Ericsson,Alexander Rossi;Felix Rosenqvist;Graham Rahal;Josef Newgarden;Katherine Legge;Kyle Kirkwood;Kyle Larson;Marcus Ericsson;Nolan Siegel;Pato O'Ward;Ryan Hunter-Reay;Santino Ferrucci;Scott McLaughlin;Takuma Sato;Will Power,15
2024,5465,6387,Practice 8,False,3608,Marco Andretti,Agustin Canapino;Alex Palou;Alexander Rossi;Callum Ilott;Christian Lundgaard;Christian Rasmussen;Colton Herta;Conor Daly;Ed Carpenter;Felix Rosenqvist;Graham Rahal;Helio Castroneves;Josef Newgarden;Katherine Legge;Kyffin Simpson;Kyle Kirkwood;Kyle Larson;Linus Lundqvist;Marco Andretti;Marcus Armstrong;Marcus Ericsson;Pato O'Ward;Pietro Fittipaldi;Rinus VeeKay;Romain Grosjean;Ryan Hunter-Reay;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Sting Ray Robb;Takuma Sato;Tom Blomqvist;Will Power,33
2024,5465,6382,Qualifications - Day 1,False,3608,Marco Andretti,Agustin Canapino;Alex Palou;Alexander Rossi;Callum Ilott;Christian Lundgaard;Christian Rasmussen;Colton Herta;Conor Daly;Ed Carpenter;Felix Rosenqvist;Graham Rahal;Helio Castroneves;Josef Newgarden;Katherine Legge;Kyffin Simpson;Kyle Kirkwood;Kyle Larson;Linus Lundqvist;Marco Andretti;Marcus Armstrong;Marcus Ericsson;Nolan Siegel;Pato O'Ward;Pietro Fittipaldi;Rinus VeeKay;Romain Grosjean;Ryan Hunter-Reay;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Sting Ray Robb;Takuma Sato;Tom Blomqvist;Will Power,34
2024,5465,6386,Qualifications - Firestone Fast 6,False,4897,Santino Ferrucci,Alexander Rossi;Josef Newgarden;Kyle Larson;Santino Ferrucci;Scott McLaughlin;Will Power,6
2024,5465,6385,Qualifications - Last Chance,True,4905,Marcus Ericsson,Graham Rahal;Katherine Legge;Marcus Ericsson;Nolan Siegel,4
2024,5465,6384,Qualifications - Top-12,False,4897,Santino Ferrucci,Alexander Rossi;Felix Rosenqvist;Josef Newgarden;Kyle Kirkwood;Kyle Larson;Pato O'Ward;Rinus VeeKay;Ryan Hunter-Reay;Santino Ferrucci;Scott McLaughlin;Takuma Sato;Will Power,12
2024,5465,6309,Race,False,3608,Marco Andretti,Agustin Canapino;Alex Palou;Alexander Rossi;Callum Ilott;Christian Lundgaard;Christian Rasmussen;Colton Herta;Conor Daly;Ed Carpenter;Felix Rosenqvist;Graham Rahal;Helio Castroneves;Josef Newgarden;Katherine Legge;Kyffin Simpson;Kyle Kirkwood;Kyle Larson;Linus Lundqvist;Marco Andretti;Marcus Armstrong;Marcus Ericsson;Pato O'Ward;Pietro Fittipaldi;Rinus VeeKay;Romain Grosjean;Ryan Hunter-Reay;Santino Ferrucci;Scott Dixon;Scott McLaughlin;Sting Ray Robb;Takuma Sato;Tom Blomqvist;Will Power,33
